Date,CAPUTLG3361T3S
1948-01-01,82.04
1948-02-01,80.60
1948-03-01,79.98
1948-04-01,78.02
1948-05-01,77.05
1948-06-01,77.98
1948-07-01,81.63
1948-08-01,77.94
1948-09-01,72.02
1948-10-01,81.97
1948-11-01,83.17
1948-12-01,85.29
1949-01-01,84.80
1949-02-01,82.01
1949-03-01,79.07
1949-04-01,81.45
1949-05-01,76.37
1949-06-01,80.17
1949-07-01,82.96
1949-08-01,85.82
1949-09-01,83.89
1949-10-01,80.84
1949-11-01,68.66
1949-12-01,67.41
1950-01-01,90.65
1950-02-01,77.87
1950-03-01,78.84
1950-04-01,85.98
1950-05-01,97.86
1950-06-01,111.36
1950-07-01,110.65
1950-08-01,113.50
1950-09-01,109.24
1950-10-01,111.11
1950-11-01,105.69
1950-12-01,106.16
1951-01-01,103.93
1951-02-01,106.74
1951-03-01,105.80
1951-04-01,98.37
1951-05-01,94.80
1951-06-01,89.61
1951-07-01,80.29
1951-08-01,81.06
1951-09-01,80.61
1951-10-01,77.79
1951-11-01,78.22
1951-12-01,76.62
1952-01-01,75.29
1952-02-01,76.18
1952-03-01,76.85
1952-04-01,76.32
1952-05-01,75.26
1952-06-01,73.61
1952-07-01,45.83
1952-08-01,56.05
1952-09-01,79.89
1952-10-01,82.50
1952-11-01,88.18
1952-12-01,87.53
1953-01-01,92.03
1953-02-01,93.33
1953-03-01,94.53
1953-04-01,95.21
1953-05-01,92.97
1953-06-01,91.59
1953-07-01,99.28
1953-08-01,95.77
1953-09-01,87.46
1953-10-01,87.62
1953-11-01,80.25
1953-12-01,86.40
1954-01-01,80.06
1954-02-01,77.52
1954-03-01,76.78
1954-04-01,77.05
1954-05-01,78.78
1954-06-01,79.05
1954-07-01,75.17
1954-08-01,72.76
1954-09-01,72.15
1954-10-01,70.54
1954-11-01,74.70
1954-12-01,81.73
1955-01-01,90.60
1955-02-01,92.71
1955-03-01,99.33
1955-04-01,103.84
1955-05-01,108.33
1955-06-01,100.57
1955-07-01,105.81
1955-08-01,106.47
1955-09-01,104.40
1955-10-01,101.81
1955-11-01,98.79
1955-12-01,93.32
1956-01-01,88.30
1956-02-01,83.51
1956-03-01,81.97
1956-04-01,80.97
1956-05-01,74.63
1956-06-01,74.40
1956-07-01,74.27
1956-08-01,75.64
1956-09-01,72.64
1956-10-01,80.36
1956-11-01,78.64
1956-12-01,82.21
1957-01-01,84.30
1957-02-01,86.68
1957-03-01,83.83
1957-04-01,81.52
1957-05-01,80.79
1957-06-01,83.26
1957-07-01,81.29
1957-08-01,81.90
1957-09-01,80.16
1957-10-01,77.51
1957-11-01,75.49
1957-12-01,70.60
1958-01-01,64.53
1958-02-01,59.41
1958-03-01,54.45
1958-04-01,50.51
1958-05-01,53.27
1958-06-01,54.12
1958-07-01,54.47
1958-08-01,53.84
1958-09-01,45.22
1958-10-01,48.35
1958-11-01,69.39
1958-12-01,71.87
1959-01-01,72.78
1959-02-01,71.83
1959-03-01,74.98
1959-04-01,78.31
1959-05-01,79.31
1959-06-01,79.72
1959-07-01,80.13
1959-08-01,74.10
1959-09-01,72.12
1959-10-01,73.60
1959-11-01,45.37
1959-12-01,67.06
1960-01-01,91.01
1960-02-01,89.06
1960-03-01,84.14
1960-04-01,80.94
1960-05-01,81.15
1960-06-01,80.04
1960-07-01,74.66
1960-08-01,75.62
1960-09-01,76.49
1960-10-01,76.98
1960-11-01,70.84
1960-12-01,66.18
1961-01-01,59.61
1961-02-01,57.36
1961-03-01,56.72
1961-04-01,64.19
1961-05-01,67.90
1961-06-01,71.33
1961-07-01,71.75
1961-08-01,75.80
1961-09-01,60.78
1961-10-01,68.16
1961-11-01,77.32
1961-12-01,78.72
1962-01-01,75.89
1962-02-01,75.86
1962-03-01,75.81
1962-04-01,78.98
1962-05-01,81.07
1962-06-01,78.17
1962-07-01,81.67
1962-08-01,81.79
1962-09-01,82.80
1962-10-01,84.33
1962-11-01,83.92
1962-12-01,83.73
1963-01-01,83.53
1963-02-01,84.13
1963-03-01,84.67
1963-04-01,84.34
1963-05-01,85.66
1963-06-01,86.80
1963-07-01,87.07
1963-08-01,87.77
1963-09-01,88.12
1963-10-01,88.81
1963-11-01,88.56
1963-12-01,88.27
1964-01-01,87.38
1964-02-01,87.59
1964-03-01,85.40
1964-04-01,88.42
1964-05-01,87.58
1964-06-01,87.66
1964-07-01,88.15
1964-08-01,90.04
1964-09-01,87.07
1964-10-01,57.66
1964-11-01,84.13
1964-12-01,95.06
1965-01-01,99.33
1965-02-01,100.19
1965-03-01,103.69
1965-04-01,102.87
1965-05-01,103.63
1965-06-01,103.91
1965-07-01,104.03
1965-08-01,103.54
1965-09-01,102.35
1965-10-01,102.56
1965-11-01,102.23
1965-12-01,100.47
1966-01-01,100.24
1966-02-01,99.93
1966-03-01,99.40
1966-04-01,99.02
1966-05-01,94.52
1966-06-01,93.58
1966-07-01,86.96
1966-08-01,84.32
1966-09-01,89.66
1966-10-01,95.96
1966-11-01,92.17
1966-12-01,89.88
1967-01-01,82.35
1967-02-01,78.15
1967-03-01,79.11
1967-04-01,80.20
1967-05-01,80.54
1967-06-01,78.89
1967-07-01,77.64
1967-08-01,76.59
1967-09-01,72.51
1967-10-01,72.14
1967-11-01,80.79
1967-12-01,87.47
1968-01-01,87.49
1968-02-01,87.71
1968-03-01,89.25
1968-04-01,89.59
1968-05-01,91.58
1968-06-01,90.00
1968-07-01,89.05
1968-08-01,88.73
1968-09-01,90.25
1968-10-01,93.51
1968-11-01,93.36
1968-12-01,90.67
1969-01-01,88.96
1969-02-01,90.47
1969-03-01,88.52
1969-04-01,85.58
1969-05-01,80.00
1969-06-01,86.22
1969-07-01,88.17
1969-08-01,88.62
1969-09-01,88.71
1969-10-01,88.08
1969-11-01,85.07
1969-12-01,82.26
1970-01-01,74.10
1970-02-01,69.64
1970-03-01,70.42
1970-04-01,69.98
1970-05-01,73.09
1970-06-01,74.17
1970-07-01,71.19
1970-08-01,68.17
1970-09-01,63.28
1970-10-01,46.09
1970-11-01,45.46
1970-12-01,70.44
1971-01-01,77.11
1971-02-01,80.46
1971-03-01,78.60
1971-04-01,76.76
1971-05-01,78.36
1971-06-01,79.22
1971-07-01,78.62
1971-08-01,78.93
1971-09-01,80.15
1971-10-01,81.42
1971-11-01,79.95
1971-12-01,79.57
1972-01-01,79.66
1972-02-01,80.95
1972-03-01,81.52
1972-04-01,84.03
1972-05-01,82.39
1972-06-01,80.94
1972-07-01,80.48
1972-08-01,84.80
1972-09-01,85.94
1972-10-01,88.47
1972-11-01,90.38
1972-12-01,92.30
1973-01-01,93.98
1973-02-01,95.71
1973-03-01,93.94
1973-04-01,93.29
1973-05-01,92.51
1973-06-01,92.76
1973-07-01,92.97
1973-08-01,86.75
1973-09-01,91.70
1973-10-01,91.13
1973-11-01,90.67
1973-12-01,85.89
1974-01-01,77.17
1974-02-01,75.50
1974-03-01,74.89
1974-04-01,75.39
1974-05-01,77.03
1974-06-01,77.78
1974-07-01,79.48
1974-08-01,79.42
1974-09-01,82.60
1974-10-01,81.93
1974-11-01,75.26
1974-12-01,64.18
1975-01-01,58.35
1975-02-01,55.21
1975-03-01,59.29
1975-04-01,62.44
1975-05-01,63.71
1975-06-01,65.23
1975-07-01,66.97
1975-08-01,70.10
1975-09-01,72.60
1975-10-01,71.65
1975-11-01,72.45
1975-12-01,75.26
1976-01-01,75.38
1976-02-01,79.17
1976-03-01,79.68
1976-04-01,80.78
1976-05-01,82.18
1976-06-01,83.30
1976-07-01,83.59
1976-08-01,86.37
1976-09-01,79.78
1976-10-01,76.96
1976-11-01,85.03
1976-12-01,89.50
1977-01-01,87.13
1977-02-01,86.38
1977-03-01,90.18
1977-04-01,88.93
1977-05-01,88.57
1977-06-01,91.64
1977-07-01,92.27
1977-08-01,91.45
1977-09-01,91.13
1977-10-01,91.66
1977-11-01,88.98
1977-12-01,90.67
1978-01-01,82.82
1978-02-01,85.60
1978-03-01,89.83
1978-04-01,93.54
1978-05-01,90.46
1978-06-01,90.27
1978-07-01,92.04
1978-08-01,91.90
1978-09-01,91.23
1978-10-01,92.54
1978-11-01,94.94
1978-12-01,93.68
1979-01-01,94.71
1979-02-01,91.59
1979-03-01,90.81
1979-04-01,80.89
1979-05-01,87.14
1979-06-01,83.36
1979-07-01,79.97
1979-08-01,71.51
1979-09-01,77.05
1979-10-01,74.32
1979-11-01,69.84
1979-12-01,69.36
1980-01-01,64.80
1980-02-01,68.37
1980-03-01,65.01
1980-04-01,59.23
1980-05-01,53.16
1980-06-01,53.47
1980-07-01,53.62
1980-08-01,53.29
1980-09-01,58.73
1980-10-01,61.58
1980-11-01,64.42
1980-12-01,61.04
1981-01-01,58.55
1981-02-01,57.66
1981-03-01,59.96
1981-04-01,61.73
1981-05-01,62.47
1981-06-01,61.98
1981-07-01,59.74
1981-08-01,57.55
1981-09-01,54.05
1981-10-01,54.06
1981-11-01,50.45
1981-12-01,48.04
1982-01-01,44.23
1982-02-01,46.14
1982-03-01,49.11
1982-04-01,51.67
1982-05-01,53.74
1982-06-01,54.28
1982-07-01,56.74
1982-08-01,53.21
1982-09-01,51.00
1982-10-01,48.00
1982-11-01,48.29
1982-12-01,51.61
1983-01-01,54.90
1983-02-01,58.75
1983-03-01,59.04
1983-04-01,60.79
1983-05-01,62.82
1983-06-01,65.57
1983-07-01,67.84
1983-08-01,72.24
1983-09-01,74.06
1983-10-01,75.70
1983-11-01,76.01
1983-12-01,78.63
1984-01-01,83.15
1984-02-01,82.00
1984-03-01,82.85
1984-04-01,80.43
1984-05-01,78.88
1984-06-01,79.49
1984-07-01,81.82
1984-08-01,83.47
1984-09-01,79.82
1984-10-01,79.06
1984-11-01,82.89
1984-12-01,85.12
1985-01-01,86.76
1985-02-01,83.51
1985-03-01,84.05
1985-04-01,83.26
1985-05-01,82.51
1985-06-01,82.23
1985-07-01,85.03
1985-08-01,83.72
1985-09-01,83.01
1985-10-01,82.15
1985-11-01,83.52
1985-12-01,81.29
1986-01-01,84.35
1986-02-01,83.19
1986-03-01,80.36
1986-04-01,78.27
1986-05-01,77.24
1986-06-01,78.66
1986-07-01,78.38
1986-08-01,76.77
1986-09-01,78.85
1986-10-01,76.61
1986-11-01,77.28
1986-12-01,78.94
1987-01-01,79.39
1987-02-01,82.80
1987-03-01,80.64
1987-04-01,79.21
1987-05-01,77.24
1987-06-01,75.16
1987-07-01,74.29
1987-08-01,74.57
1987-09-01,76.12
1987-10-01,80.71
1987-11-01,80.16
1987-12-01,77.92
1988-01-01,77.35
1988-02-01,78.37
1988-03-01,79.64
1988-04-01,83.58
1988-05-01,84.47
1988-06-01,85.24
1988-07-01,79.10
1988-08-01,81.42
1988-09-01,84.90
1988-10-01,85.86
1988-11-01,88.00
1988-12-01,89.36
1989-01-01,90.97
1989-02-01,89.47
1989-03-01,86.84
1989-04-01,86.36
1989-05-01,82.94
1989-06-01,79.12
1989-07-01,74.11
1989-08-01,79.84
1989-09-01,79.24
1989-10-01,74.83
1989-11-01,76.16
1989-12-01,76.75
1990-01-01,62.45
1990-02-01,74.36
1990-03-01,78.01
1990-04-01,75.50
1990-05-01,77.23
1990-06-01,78.93
1990-07-01,76.12
1990-08-01,75.01
1990-09-01,75.78
1990-10-01,72.29
1990-11-01,61.84
1990-12-01,59.22
1991-01-01,60.74
1991-02-01,56.79
1991-03-01,57.45
1991-04-01,60.10
1991-05-01,62.83
1991-06-01,65.37
1991-07-01,69.21
1991-08-01,64.17
1991-09-01,70.02
1991-10-01,69.03
1991-11-01,67.92
1991-12-01,67.41
1992-01-01,61.77
1992-02-01,66.83
1992-03-01,69.33
1992-04-01,71.27
1992-05-01,74.56
1992-06-01,73.12
1992-07-01,76.76
1992-08-01,74.91
1992-09-01,73.76
1992-10-01,75.86
1992-11-01,76.02
1992-12-01,77.65
1993-01-01,79.21
1993-02-01,78.30
1993-03-01,79.02
1993-04-01,79.30
1993-05-01,79.25
1993-06-01,78.32
1993-07-01,75.99
1993-08-01,74.40
1993-09-01,77.00
1993-10-01,81.25
1993-11-01,82.39
1993-12-01,83.08
1994-01-01,84.88
1994-02-01,86.20
1994-03-01,85.08
1994-04-01,86.17
1994-05-01,85.36
1994-06-01,85.94
1994-07-01,85.71
1994-08-01,87.73
1994-09-01,87.03
1994-10-01,87.44
1994-11-01,87.01
1994-12-01,87.25
1995-01-01,87.72
1995-02-01,87.71
1995-03-01,87.10
1995-04-01,85.34
1995-05-01,83.20
1995-06-01,83.21
1995-07-01,79.69
1995-08-01,82.48
1995-09-01,83.18
1995-10-01,80.91
1995-11-01,80.08
1995-12-01,81.24
1996-01-01,77.66
1996-02-01,80.75
1996-03-01,72.15
1996-04-01,82.46
1996-05-01,82.08
1996-06-01,83.21
1996-07-01,84.30
1996-08-01,81.51
1996-09-01,81.99
1996-10-01,77.50
1996-11-01,80.01
1996-12-01,81.49
1997-01-01,82.00
1997-02-01,82.70
1997-03-01,83.41
1997-04-01,78.37
1997-05-01,78.96
1997-06-01,81.02
1997-07-01,79.72
1997-08-01,81.34
1997-09-01,81.47
1997-10-01,82.06
1997-11-01,84.42
1997-12-01,83.16
1998-01-01,81.81
1998-02-01,80.73
1998-03-01,80.13
1998-04-01,80.01
1998-05-01,79.95
1998-06-01,71.40
1998-07-01,61.74
1998-08-01,80.99
1998-09-01,81.46
1998-10-01,83.33
1998-11-01,82.28
1998-12-01,82.82
1999-01-01,82.02
1999-02-01,82.45
1999-03-01,81.99
1999-04-01,82.33
1999-05-01,82.91
1999-06-01,82.39
1999-07-01,82.13
1999-08-01,84.80
1999-09-01,82.83
1999-10-01,85.54
1999-11-01,84.80
1999-12-01,84.06
