Date,U33ENO
1992-02-01,1356000000.00
1992-03-01,2117000000.00
1992-04-01,2499000000.00
1992-05-01,1388000000.00
1992-06-01,1839000000.00
1992-07-01,1873000000.00
1992-08-01,1618000000.00
1992-09-01,1661000000.00
1992-10-01,2141000000.00
1992-11-01,1541000000.00
1992-12-01,1978000000.00
1993-01-01,1811000000.00
1993-02-01,1540000000.00
1993-03-01,2068000000.00
1993-04-01,2368000000.00
1993-05-01,1828000000.00
1993-06-01,1848000000.00
1993-07-01,2054000000.00
1993-08-01,1805000000.00
1993-09-01,1874000000.00
1993-10-01,2289000000.00
1993-11-01,2233000000.00
1993-12-01,2578000000.00
1994-01-01,1964000000.00
1994-02-01,2413000000.00
1994-03-01,2224000000.00
1994-04-01,2538000000.00
1994-05-01,2099000000.00
1994-06-01,2462000000.00
1994-07-01,2682000000.00
1994-08-01,2237000000.00
1994-09-01,2008000000.00
1994-10-01,2910000000.00
1994-11-01,2629000000.00
1994-12-01,2641000000.00
1995-01-01,2991000000.00
1995-02-01,2786000000.00
1995-03-01,2983000000.00
1995-04-01,2681000000.00
1995-05-01,2630000000.00
1995-06-01,3007000000.00
1995-07-01,2324000000.00
1995-08-01,3069000000.00
1995-09-01,2884000000.00
1995-10-01,3050000000.00
1995-11-01,2844000000.00
1995-12-01,3194000000.00
1996-01-01,3417000000.00
1996-02-01,3132000000.00
1996-03-01,3511000000.00
1996-04-01,3330000000.00
1996-05-01,2814000000.00
1996-06-01,3161000000.00
1996-07-01,2749000000.00
1996-08-01,2334000000.00
1996-09-01,2666000000.00
1996-10-01,2987000000.00
1996-11-01,2271000000.00
1996-12-01,3178000000.00
1997-01-01,2676000000.00
1997-02-01,2795000000.00
1997-03-01,3327000000.00
1997-04-01,3093000000.00
1997-05-01,2795000000.00
1997-06-01,3301000000.00
1997-07-01,3285000000.00
1997-08-01,2840000000.00
1997-09-01,3631000000.00
1997-10-01,3659000000.00
1997-11-01,2781000000.00
1997-12-01,3366000000.00
1998-01-01,3068000000.00
1998-02-01,2728000000.00
1998-03-01,3488000000.00
1998-04-01,2909000000.00
1998-05-01,2375000000.00
1998-06-01,2900000000.00
1998-07-01,2562000000.00
1998-08-01,2013000000.00
1998-09-01,2501000000.00
1998-10-01,2576000000.00
1998-11-01,2353000000.00
1998-12-01,2962000000.00
1999-01-01,2767000000.00
1999-02-01,2586000000.00
1999-03-01,3139000000.00
1999-04-01,3292000000.00
1999-05-01,2768000000.00
1999-06-01,3389000000.00
1999-07-01,3384000000.00
1999-08-01,2605000000.00
1999-09-01,3684000000.00
1999-10-01,3320000000.00
1999-11-01,3173000000.00
1999-12-01,3930000000.00
2000-01-01,4632000000.00
2000-02-01,3200000000.00
2000-03-01,4069000000.00
2000-04-01,4906000000.00
2000-05-01,4029000000.00
2000-06-01,3866000000.00
2000-07-01,4735000000.00
2000-08-01,3809000000.00
2000-09-01,3840000000.00
2000-10-01,4456000000.00
2000-11-01,3376000000.00
2000-12-01,3346000000.00
2001-01-01,3705000000.00
2001-02-01,2775000000.00
2001-03-01,2813000000.00
2001-04-01,2983000000.00
2001-05-01,2713000000.00
2001-06-01,2920000000.00
2001-07-01,2399000000.00
2001-08-01,2121000000.00
2001-09-01,2269000000.00
2001-10-01,2655000000.00
2001-11-01,2384000000.00
2001-12-01,2391000000.00
2002-01-01,2560000000.00
2002-02-01,2342000000.00
2002-03-01,2705000000.00
2002-04-01,3472000000.00
2002-05-01,3067000000.00
2002-06-01,2431000000.00
2002-07-01,3794000000.00
2002-08-01,2386000000.00
2002-09-01,2505000000.00
2002-10-01,3235000000.00
2002-11-01,2255000000.00
2002-12-01,2728000000.00
2003-01-01,3771000000.00
2003-02-01,2031000000.00
2003-03-01,3558000000.00
2003-04-01,2548000000.00
2003-05-01,2476000000.00
2003-06-01,2619000000.00
2003-07-01,2399000000.00
2003-08-01,1982000000.00
2003-09-01,2451000000.00
2003-10-01,2704000000.00
2003-11-01,1825000000.00
2003-12-01,2548000000.00
2004-01-01,3124000000.00
2004-02-01,2475000000.00
2004-03-01,3438000000.00
2004-04-01,2722000000.00
2004-05-01,2610000000.00
2004-06-01,3450000000.00
2004-07-01,3344000000.00
2004-08-01,2365000000.00
2004-09-01,3604000000.00
2004-10-01,3745000000.00
2004-11-01,2174000000.00
2004-12-01,2946000000.00
2005-01-01,2944000000.00
2005-02-01,2489000000.00
2005-03-01,2740000000.00
2005-04-01,3359000000.00
2005-05-01,2098000000.00
2005-06-01,2877000000.00
2005-07-01,3058000000.00
2005-08-01,1906000000.00
2005-09-01,3170000000.00
2005-10-01,3252000000.00
2005-11-01,2362000000.00
2005-12-01,3351000000.00
2006-01-01,4526000000.00
2006-02-01,2398000000.00
2006-03-01,3632000000.00
2006-04-01,4071000000.00
2006-05-01,2633000000.00
2006-06-01,3519000000.00
2006-07-01,3860000000.00
2006-08-01,2549000000.00
2006-09-01,3254000000.00
2006-10-01,4317000000.00
2006-11-01,2637000000.00
2006-12-01,3438000000.00
2007-01-01,3169000000.00
2007-02-01,3331000000.00
2007-03-01,3944000000.00
2007-04-01,4625000000.00
2007-05-01,3084000000.00
2007-06-01,3253000000.00
2007-07-01,3974000000.00
2007-08-01,2570000000.00
2007-09-01,2929000000.00
2007-10-01,4444000000.00
2007-11-01,2604000000.00
2007-12-01,3469000000.00
2008-01-01,4233000000.00
2008-02-01,2956000000.00
2008-03-01,3250000000.00
2008-04-01,3861000000.00
2008-05-01,2404000000.00
2008-06-01,2610000000.00
2008-07-01,3885000000.00
2008-08-01,1868000000.00
2008-09-01,2509000000.00
2008-10-01,2980000000.00
2008-11-01,1420000000.00
2008-12-01,1805000000.00
2009-01-01,1454000000.00
2009-02-01,1199000000.00
2009-03-01,794000000.00
2009-04-01,1153000000.00
2009-05-01,1447000000.00
2009-06-01,1920000000.00
2009-07-01,1599000000.00
2009-08-01,1317000000.00
2009-09-01,1636000000.00
2009-10-01,1751000000.00
2009-11-01,1729000000.00
2009-12-01,2208000000.00
2010-01-01,2416000000.00
2010-02-01,2162000000.00
