Date,UANMVS
1992-01-01,4280000000.00
1992-02-01,4640000000.00
1992-03-01,4751000000.00
1992-04-01,4838000000.00
1992-05-01,4899000000.00
1992-06-01,5007000000.00
1992-07-01,4454000000.00
1992-08-01,4734000000.00
1992-09-01,4796000000.00
1992-10-01,4776000000.00
1992-11-01,4547000000.00
1992-12-01,4305000000.00
1993-01-01,4338000000.00
1993-02-01,4752000000.00
1993-03-01,4783000000.00
1993-04-01,4688000000.00
1993-05-01,4430000000.00
1993-06-01,4860000000.00
1993-07-01,3987000000.00
1993-08-01,4478000000.00
1993-09-01,4720000000.00
1993-10-01,4552000000.00
1993-11-01,4676000000.00
1993-12-01,4294000000.00
1994-01-01,4360000000.00
1994-02-01,4746000000.00
1994-03-01,4962000000.00
1994-04-01,4908000000.00
1994-05-01,5097000000.00
1994-06-01,5446000000.00
1994-07-01,4595000000.00
1994-08-01,5321000000.00
1994-09-01,5459000000.00
1994-10-01,5607000000.00
1994-11-01,5677000000.00
1994-12-01,5531000000.00
1995-01-01,6086000000.00
1995-02-01,6260000000.00
1995-03-01,6520000000.00
1995-04-01,6301000000.00
1995-05-01,6359000000.00
1995-06-01,6506000000.00
1995-07-01,5478000000.00
1995-08-01,6161000000.00
1995-09-01,6143000000.00
1995-10-01,6133000000.00
1995-11-01,6015000000.00
1995-12-01,5614000000.00
1996-01-01,5626000000.00
1996-02-01,6081000000.00
1996-03-01,6134000000.00
1996-04-01,6170000000.00
1996-05-01,6256000000.00
1996-06-01,5860000000.00
1996-07-01,5205000000.00
1996-08-01,5711000000.00
1996-09-01,5703000000.00
1996-10-01,5896000000.00
1996-11-01,5936000000.00
1996-12-01,5363000000.00
1997-01-01,5762000000.00
1997-02-01,6333000000.00
1997-03-01,6335000000.00
1997-04-01,6403000000.00
1997-05-01,6322000000.00
1997-06-01,6483000000.00
1997-07-01,5522000000.00
1997-08-01,6108000000.00
1997-09-01,6447000000.00
1997-10-01,6303000000.00
1997-11-01,6167000000.00
1997-12-01,5605000000.00
1998-01-01,6071000000.00
1998-02-01,6562000000.00
1998-03-01,6567000000.00
1998-04-01,6469000000.00
1998-05-01,6264000000.00
1998-06-01,6285000000.00
1998-07-01,5473000000.00
1998-08-01,6009000000.00
1998-09-01,6148000000.00
1998-10-01,6103000000.00
1998-11-01,5734000000.00
1998-12-01,5251000000.00
1999-01-01,5628000000.00
1999-02-01,5771000000.00
1999-03-01,5937000000.00
1999-04-01,5764000000.00
1999-05-01,5792000000.00
1999-06-01,5906000000.00
1999-07-01,5181000000.00
1999-08-01,5817000000.00
1999-09-01,5975000000.00
1999-10-01,5813000000.00
1999-11-01,5679000000.00
1999-12-01,5302000000.00
