Date,SLGOVCONTRIBNOW
2014-04-01,0.33
2014-07-01,0.12
2014-10-01,0.10
2015-01-01,-0.11
2015-04-01,0.21
2015-07-01,0.24
2015-10-01,-0.04
2016-01-01,0.21
2016-04-01,-0.11
2016-07-01,-0.11
2016-10-01,0.17
2017-01-01,-0.11
2017-04-01,0.04
2017-07-01,-0.11
2017-10-01,0.29
2018-01-01,0.07
2018-04-01,0.09
