Date,UDXTVS
2010-12-01,140883000000.00
2011-01-01,130660000000.00
2011-02-01,131621000000.00
2011-03-01,158199000000.00
2011-04-01,146849000000.00
2011-05-01,149268000000.00
2011-06-01,160422000000.00
2011-07-01,143549000000.00
2011-08-01,157920000000.00
2011-09-01,159306000000.00
2011-10-01,153583000000.00
2011-11-01,145586000000.00
2011-12-01,151763000000.00
2012-01-01,139850000000.00
2012-02-01,147285000000.00
2012-03-01,165630000000.00
2012-04-01,153238000000.00
2012-05-01,158918000000.00
2012-06-01,164969000000.00
2012-07-01,147941000000.00
2012-08-01,156835000000.00
2012-09-01,154850000000.00
2012-10-01,155945000000.00
2012-11-01,146957000000.00
2012-12-01,149478000000.00
2013-01-01,141545000000.00
2013-02-01,143935000000.00
2013-03-01,162347000000.00
2013-04-01,155674000000.00
2013-05-01,159212000000.00
2013-06-01,162792000000.00
2013-07-01,150472000000.00
2013-08-01,158238000000.00
2013-09-01,160713000000.00
2013-10-01,158233000000.00
2013-11-01,148951000000.00
2013-12-01,152684000000.00
2014-01-01,141048000000.00
2014-02-01,143134000000.00
2014-03-01,164917000000.00
2014-04-01,156575000000.00
2014-05-01,159052000000.00
2014-06-01,168415000000.00
2014-07-01,155792000000.00
2014-08-01,162097000000.00
2014-09-01,169012000000.00
2014-10-01,162814000000.00
2014-11-01,145403000000.00
2014-12-01,156491000000.00
2015-01-01,140178000000.00
2015-02-01,141722000000.00
2015-03-01,163024000000.00
2015-04-01,154063000000.00
2015-05-01,151611000000.00
2015-06-01,165732000000.00
2015-07-01,150204000000.00
2015-08-01,154412000000.00
2015-09-01,159536000000.00
2015-10-01,152996000000.00
2015-11-01,141682000000.00
2015-12-01,147524000000.00
2016-01-01,131544000000.00
2016-02-01,139688000000.00
2016-03-01,155924000000.00
2016-04-01,145192000000.00
2016-05-01,147052000000.00
2016-06-01,158117000000.00
2016-07-01,139727000000.00
2016-08-01,153243000000.00
2016-09-01,155081000000.00
2016-10-01,148099000000.00
2016-11-01,142281000000.00
2016-12-01,147853000000.00
2017-01-01,136577000000.00
2017-02-01,138785000000.00
2017-03-01,163003000000.00
2017-04-01,147395000000.00
2017-05-01,157734000000.00
2017-06-01,166619000000.00
2017-07-01,146613000000.00
2017-08-01,162534000000.00
2017-09-01,163676000000.00
2017-10-01,161311000000.00
2017-11-01,154190000000.00
2017-12-01,156607000000.00
2018-01-01,148132000000.00
2018-02-01,150082000000.00
2018-03-01,171687000000.00
2018-04-01,163164000000.00
2018-05-01,169234000000.00
