Date,UNXATI
1992-01-01,78405000000.00
1992-02-01,79028000000.00
1992-03-01,77840000000.00
1992-04-01,79065000000.00
1992-05-01,79585000000.00
1992-06-01,77699000000.00
1992-07-01,78455000000.00
1992-08-01,79376000000.00
1992-09-01,78419000000.00
1992-10-01,78702000000.00
1992-11-01,79031000000.00
1992-12-01,76035000000.00
1993-01-01,77146000000.00
1993-02-01,78532000000.00
1993-03-01,77554000000.00
1993-04-01,79492000000.00
1993-05-01,80255000000.00
1993-06-01,79242000000.00
1993-07-01,79716000000.00
1993-08-01,80499000000.00
1993-09-01,79072000000.00
1993-10-01,79951000000.00
1993-11-01,79973000000.00
1993-12-01,76621000000.00
1994-01-01,78757000000.00
1994-02-01,80366000000.00
1994-03-01,80115000000.00
1994-04-01,81823000000.00
1994-05-01,83071000000.00
1994-06-01,82197000000.00
1994-07-01,83658000000.00
1994-08-01,85213000000.00
1994-09-01,83660000000.00
1994-10-01,84746000000.00
1994-11-01,85516000000.00
1994-12-01,82533000000.00
1995-01-01,85818000000.00
1995-02-01,87865000000.00
1995-03-01,87076000000.00
1995-04-01,89109000000.00
1995-05-01,90906000000.00
1995-06-01,89751000000.00
1995-07-01,91682000000.00
1995-08-01,93137000000.00
1995-09-01,92321000000.00
1995-10-01,94495000000.00
1995-11-01,95004000000.00
1995-12-01,91080000000.00
1996-01-01,94337000000.00
1996-02-01,95848000000.00
1996-03-01,93680000000.00
1996-04-01,95908000000.00
1996-05-01,96824000000.00
1996-06-01,94086000000.00
1996-07-01,95595000000.00
1996-08-01,96511000000.00
1996-09-01,94095000000.00
1996-10-01,95006000000.00
1996-11-01,95241000000.00
1996-12-01,90031000000.00
1997-01-01,92998000000.00
1997-02-01,94668000000.00
1997-03-01,93137000000.00
1997-04-01,95966000000.00
1997-05-01,97728000000.00
1997-06-01,95959000000.00
1997-07-01,98274000000.00
1997-08-01,99444000000.00
1997-09-01,97317000000.00
1997-10-01,98818000000.00
1997-11-01,99706000000.00
1997-12-01,95226000000.00
1998-01-01,98048000000.00
1998-02-01,100721000000.00
1998-03-01,98853000000.00
1998-04-01,100919000000.00
1998-05-01,101609000000.00
1998-06-01,98721000000.00
1998-07-01,99971000000.00
1998-08-01,100844000000.00
1998-09-01,98274000000.00
1998-10-01,98973000000.00
1998-11-01,99474000000.00
1998-12-01,94045000000.00
1999-01-01,96053000000.00
1999-02-01,98188000000.00
1999-03-01,97582000000.00
1999-04-01,99578000000.00
1999-05-01,100196000000.00
1999-06-01,97531000000.00
1999-07-01,98948000000.00
1999-08-01,100058000000.00
1999-09-01,97861000000.00
1999-10-01,98705000000.00
1999-11-01,100215000000.00
1999-12-01,96254000000.00
2000-01-01,98799000000.00
2000-02-01,101634000000.00
2000-03-01,99324000000.00
2000-04-01,101607000000.00
2000-05-01,104158000000.00
2000-06-01,102401000000.00
2000-07-01,105228000000.00
2000-08-01,107990000000.00
2000-09-01,105003000000.00
2000-10-01,108162000000.00
2000-11-01,110496000000.00
2000-12-01,106669000000.00
2001-01-01,110026000000.00
2001-02-01,112312000000.00
2001-03-01,108256000000.00
2001-04-01,108452000000.00
2001-05-01,108456000000.00
2001-06-01,104447000000.00
2001-07-01,103790000000.00
2001-08-01,103558000000.00
2001-09-01,97962000000.00
2001-10-01,97605000000.00
2001-11-01,97020000000.00
2001-12-01,90402000000.00
2002-01-01,92169000000.00
2002-02-01,93001000000.00
2002-03-01,90298000000.00
2002-04-01,91457000000.00
2002-05-01,91679000000.00
2002-06-01,88911000000.00
2002-07-01,90291000000.00
2002-08-01,90502000000.00
2002-09-01,87930000000.00
2002-10-01,88531000000.00
2002-11-01,89301000000.00
2002-12-01,85832000000.00
2003-01-01,86966000000.00
2003-02-01,88037000000.00
2003-03-01,85485000000.00
2003-04-01,85541000000.00
2003-05-01,85880000000.00
2003-06-01,83036000000.00
2003-07-01,83399000000.00
2003-08-01,83512000000.00
2003-09-01,81223000000.00
2003-10-01,82350000000.00
2003-11-01,82639000000.00
2003-12-01,79276000000.00
2004-01-01,80310000000.00
2004-02-01,81511000000.00
2004-03-01,79944000000.00
2004-04-01,80841000000.00
2004-05-01,82181000000.00
2004-06-01,81168000000.00
2004-07-01,82357000000.00
2004-08-01,83404000000.00
2004-09-01,81965000000.00
2004-10-01,83092000000.00
2004-11-01,84645000000.00
2004-12-01,81274000000.00
2005-01-01,84577000000.00
2005-02-01,86638000000.00
2005-03-01,85859000000.00
2005-04-01,87520000000.00
2005-05-01,88739000000.00
2005-06-01,87469000000.00
2005-07-01,90125000000.00
2005-08-01,91716000000.00
2005-09-01,90480000000.00
2005-10-01,91856000000.00
2005-11-01,93901000000.00
2005-12-01,90307000000.00
2006-01-01,93413000000.00
2006-02-01,95091000000.00
2006-03-01,93988000000.00
2006-04-01,96067000000.00
2006-05-01,96839000000.00
2006-06-01,95642000000.00
2006-07-01,98040000000.00
2006-08-01,99998000000.00
2006-09-01,99216000000.00
2006-10-01,101342000000.00
2006-11-01,102280000000.00
2006-12-01,98997000000.00
2007-01-01,102406000000.00
2007-02-01,104120000000.00
2007-03-01,101867000000.00
2007-04-01,102572000000.00
2007-05-01,104127000000.00
2007-06-01,101725000000.00
2007-07-01,102582000000.00
2007-08-01,103768000000.00
2007-09-01,102508000000.00
2007-10-01,104531000000.00
2007-11-01,105925000000.00
2007-12-01,101820000000.00
2008-01-01,104972000000.00
2008-02-01,106815000000.00
2008-03-01,106159000000.00
2008-04-01,107517000000.00
2008-05-01,107878000000.00
2008-06-01,105725000000.00
2008-07-01,107671000000.00
2008-08-01,108936000000.00
2008-09-01,106877000000.00
2008-10-01,108093000000.00
2008-11-01,108822000000.00
2008-12-01,104856000000.00
2009-01-01,107449000000.00
2009-02-01,108092000000.00
2009-03-01,104388000000.00
2009-04-01,104551000000.00
2009-05-01,103823000000.00
2009-06-01,99838000000.00
2009-07-01,99098000000.00
2009-08-01,99187000000.00
2009-09-01,97001000000.00
2009-10-01,97660000000.00
2009-11-01,98586000000.00
2009-12-01,94852000000.00
2010-01-01,97312000000.00
2010-02-01,98682000000.00
2010-03-01,96379000000.00
2010-04-01,97486000000.00
2010-05-01,99010000000.00
2010-06-01,98419000000.00
2010-07-01,100238000000.00
2010-08-01,101759000000.00
2010-09-01,100430000000.00
2010-10-01,102829000000.00
2010-11-01,104498000000.00
2010-12-01,100391000000.00
2011-01-01,104330000000.00
2011-02-01,107050000000.00
2011-03-01,106701000000.00
2011-04-01,109029000000.00
2011-05-01,111355000000.00
2011-06-01,109931000000.00
2011-07-01,112237000000.00
2011-08-01,114092000000.00
2011-09-01,111886000000.00
2011-10-01,114266000000.00
2011-11-01,115830000000.00
2011-12-01,110075000000.00
2012-01-01,114978000000.00
2012-02-01,117027000000.00
2012-03-01,115777000000.00
2012-04-01,117769000000.00
2012-05-01,118950000000.00
2012-06-01,116475000000.00
2012-07-01,119222000000.00
2012-08-01,120486000000.00
2012-09-01,117994000000.00
2012-10-01,119621000000.00
2012-11-01,120442000000.00
2012-12-01,114245000000.00
2013-01-01,118129000000.00
2013-02-01,119110000000.00
2013-03-01,116794000000.00
2013-04-01,117883000000.00
2013-05-01,118370000000.00
2013-06-01,115762000000.00
2013-07-01,117553000000.00
2013-08-01,118141000000.00
2013-09-01,115979000000.00
2013-10-01,117469000000.00
2013-11-01,117908000000.00
2013-12-01,112774000000.00
2014-01-01,115907000000.00
2014-02-01,118591000000.00
2014-03-01,116953000000.00
2014-04-01,119376000000.00
2014-05-01,121224000000.00
2014-06-01,119076000000.00
2014-07-01,122048000000.00
2014-08-01,123544000000.00
2014-09-01,121701000000.00
2014-10-01,121683000000.00
2014-11-01,122532000000.00
2014-12-01,116598000000.00
2015-01-01,120699000000.00
2015-02-01,122091000000.00
2015-03-01,120189000000.00
2015-04-01,122147000000.00
2015-05-01,122988000000.00
2015-06-01,120794000000.00
2015-07-01,122937000000.00
2015-08-01,123065000000.00
2015-09-01,120064000000.00
2015-10-01,120218000000.00
2015-11-01,120996000000.00
2015-12-01,115654000000.00
2016-01-01,117498000000.00
2016-02-01,118428000000.00
2016-03-01,116451000000.00
2016-04-01,117111000000.00
2016-05-01,117553000000.00
2016-06-01,115454000000.00
2016-07-01,117409000000.00
2016-08-01,118240000000.00
2016-09-01,115514000000.00
2016-10-01,115887000000.00
2016-11-01,116941000000.00
2016-12-01,112082000000.00
2017-01-01,115302000000.00
2017-02-01,117002000000.00
2017-03-01,116282000000.00
2017-04-01,117415000000.00
2017-05-01,118886000000.00
2017-06-01,118069000000.00
2017-07-01,120287000000.00
2017-08-01,121431000000.00
2017-09-01,119749000000.00
2017-10-01,120812000000.00
2017-11-01,121539000000.00
2017-12-01,117152000000.00
2018-01-01,120262000000.00
2018-02-01,122526000000.00
2018-03-01,121540000000.00
2018-04-01,122939000000.00
2018-05-01,124022000000.00
