Date,PMSAVE
1959-01-01,39500000000.00
1959-02-01,37500000000.00
1959-03-01,36500000000.00
1959-04-01,39800000000.00
1959-05-01,38100000000.00
1959-06-01,38200000000.00
1959-07-01,38700000000.00
1959-08-01,34600000000.00
1959-09-01,31400000000.00
1959-10-01,34100000000.00
1959-11-01,36800000000.00
1959-12-01,40500000000.00
1960-01-01,40800000000.00
1960-02-01,39200000000.00
1960-03-01,35000000000.00
1960-04-01,31300000000.00
1960-05-01,39000000000.00
1960-06-01,39300000000.00
1960-07-01,38900000000.00
1960-08-01,38800000000.00
1960-09-01,37800000000.00
1960-10-01,37500000000.00
1960-11-01,37100000000.00
1960-12-01,39200000000.00
1961-01-01,42300000000.00
1961-02-01,42800000000.00
1961-03-01,40100000000.00
1961-04-01,40900000000.00
1961-05-01,41800000000.00
1961-06-01,45100000000.00
1961-07-01,47600000000.00
1961-08-01,46300000000.00
1961-09-01,44800000000.00
1961-10-01,46700000000.00
1961-11-01,47100000000.00
1961-12-01,47000000000.00
1962-01-01,45800000000.00
1962-02-01,48100000000.00
1962-03-01,47800000000.00
1962-04-01,48200000000.00
1962-05-01,45500000000.00
1962-06-01,47700000000.00
1962-07-01,48000000000.00
1962-08-01,47300000000.00
1962-09-01,43500000000.00
1962-10-01,47100000000.00
1962-11-01,43800000000.00
1962-12-01,43500000000.00
1963-01-01,46700000000.00
1963-02-01,45500000000.00
1963-03-01,45100000000.00
1963-04-01,45600000000.00
1963-05-01,46800000000.00
1963-06-01,45600000000.00
1963-07-01,43900000000.00
1963-08-01,44400000000.00
1963-09-01,48200000000.00
1963-10-01,51200000000.00
1963-11-01,49100000000.00
1963-12-01,48000000000.00
1964-01-01,48600000000.00
1964-02-01,47100000000.00
1964-03-01,56300000000.00
1964-04-01,58100000000.00
1964-05-01,55000000000.00
1964-06-01,54300000000.00
1964-07-01,52900000000.00
1964-08-01,53200000000.00
1964-09-01,56800000000.00
1964-10-01,54000000000.00
1964-11-01,60500000000.00
1964-12-01,61200000000.00
1965-01-01,59600000000.00
1965-02-01,52800000000.00
1965-03-01,52900000000.00
1965-04-01,50500000000.00
1965-05-01,56300000000.00
1965-06-01,60700000000.00
1965-07-01,60400000000.00
1965-08-01,59600000000.00
1965-09-01,66300000000.00
1965-10-01,56900000000.00
1965-11-01,61000000000.00
1965-12-01,62400000000.00
1966-01-01,60300000000.00
1966-02-01,59300000000.00
1966-03-01,57400000000.00
1966-04-01,55500000000.00
1966-05-01,60800000000.00
1966-06-01,62000000000.00
1966-07-01,60000000000.00
1966-08-01,62200000000.00
1966-09-01,61000000000.00
1966-10-01,65400000000.00
1966-11-01,66900000000.00
1966-12-01,65500000000.00
1967-01-01,69100000000.00
1967-02-01,71900000000.00
1967-03-01,73700000000.00
1967-04-01,68500000000.00
1967-05-01,69800000000.00
1967-06-01,69200000000.00
1967-07-01,74200000000.00
1967-08-01,74800000000.00
1967-09-01,70500000000.00
1967-10-01,75500000000.00
1967-11-01,75600000000.00
1967-12-01,74000000000.00
1968-01-01,71900000000.00
1968-02-01,76000000000.00
1968-03-01,73100000000.00
1968-04-01,77800000000.00
1968-05-01,76600000000.00
1968-06-01,74700000000.00
1968-07-01,68200000000.00
1968-08-01,67400000000.00
1968-09-01,68000000000.00
1968-10-01,69800000000.00
1968-11-01,68900000000.00
1968-12-01,72400000000.00
1969-01-01,66800000000.00
1969-02-01,63000000000.00
1969-03-01,66800000000.00
1969-04-01,64400000000.00
1969-05-01,68400000000.00
1969-06-01,75700000000.00
1969-07-01,82100000000.00
1969-08-01,81300000000.00
1969-09-01,82200000000.00
1969-10-01,81400000000.00
1969-11-01,83200000000.00
1969-12-01,85100000000.00
1970-01-01,85700000000.00
1970-02-01,85200000000.00
1970-03-01,90900000000.00
1970-04-01,100800000000.00
1970-05-01,92800000000.00
1970-06-01,88300000000.00
1970-07-01,101300000000.00
1970-08-01,101600000000.00
1970-09-01,100000000000.00
1970-10-01,100800000000.00
1970-11-01,104000000000.00
1970-12-01,101300000000.00
1971-01-01,105100000000.00
1971-02-01,105100000000.00
1971-03-01,107400000000.00
1971-04-01,105900000000.00
1971-05-01,109700000000.00
1971-06-01,121500000000.00
1971-07-01,113000000000.00
1971-08-01,113800000000.00
1971-09-01,109000000000.00
1971-10-01,110200000000.00
1971-11-01,109400000000.00
1971-12-01,110900000000.00
1972-01-01,106500000000.00
1972-02-01,109800000000.00
1972-03-01,100200000000.00
1972-04-01,98900000000.00
1972-05-01,101200000000.00
1972-06-01,100700000000.00
1972-07-01,102500000000.00
1972-08-01,106900000000.00
1972-09-01,109400000000.00
1972-10-01,119200000000.00
1972-11-01,127100000000.00
1972-12-01,128000000000.00
1973-01-01,115700000000.00
1973-02-01,118200000000.00
1973-03-01,121000000000.00
1973-04-01,126600000000.00
1973-05-01,126900000000.00
1973-06-01,132500000000.00
1973-07-01,128500000000.00
1973-08-01,137800000000.00
1973-09-01,130800000000.00
1973-10-01,145400000000.00
1973-11-01,146800000000.00
1973-12-01,151400000000.00
1974-01-01,147600000000.00
1974-02-01,146200000000.00
1974-03-01,138700000000.00
1974-04-01,135700000000.00
1974-05-01,133300000000.00
1974-06-01,136100000000.00
1974-07-01,139800000000.00
1974-08-01,129000000000.00
1974-09-01,138300000000.00
1974-10-01,147400000000.00
1974-11-01,152800000000.00
1974-12-01,155700000000.00
1975-01-01,147800000000.00
1975-02-01,140300000000.00
1975-03-01,143600000000.00
1975-04-01,165200000000.00
1975-05-01,214400000000.00
1975-06-01,170900000000.00
1975-07-01,149400000000.00
1975-08-01,155200000000.00
1975-09-01,156800000000.00
1975-10-01,162900000000.00
1975-11-01,155100000000.00
1975-12-01,146500000000.00
1976-01-01,144700000000.00
1976-02-01,153800000000.00
1976-03-01,152500000000.00
1976-04-01,146100000000.00
1976-05-01,155000000000.00
1976-06-01,143400000000.00
1976-07-01,148400000000.00
1976-08-01,149400000000.00
1976-09-01,146000000000.00
1976-10-01,143000000000.00
1976-11-01,148600000000.00
