Date,UITIUO
1992-01-01,84392000000.00
1992-02-01,84837000000.00
1992-03-01,84344000000.00
1992-04-01,82221000000.00
1992-05-01,81688000000.00
1992-06-01,80641000000.00
1992-07-01,80129000000.00
1992-08-01,78867000000.00
1992-09-01,78699000000.00
1992-10-01,77778000000.00
1992-11-01,78835000000.00
1992-12-01,80754000000.00
1993-01-01,81731000000.00
1993-02-01,81421000000.00
1993-03-01,80674000000.00
1993-04-01,80520000000.00
1993-05-01,80089000000.00
1993-06-01,78567000000.00
1993-07-01,78586000000.00
1993-08-01,78454000000.00
1993-09-01,78431000000.00
1993-10-01,78857000000.00
1993-11-01,78927000000.00
1993-12-01,78461000000.00
1994-01-01,78993000000.00
1994-02-01,79100000000.00
1994-03-01,77597000000.00
1994-04-01,76989000000.00
1994-05-01,76349000000.00
1994-06-01,77074000000.00
1994-07-01,77654000000.00
1994-08-01,76871000000.00
1994-09-01,77704000000.00
1994-10-01,78828000000.00
1994-11-01,78153000000.00
1994-12-01,79379000000.00
1995-01-01,80383000000.00
1995-02-01,80556000000.00
1995-03-01,80985000000.00
1995-04-01,81504000000.00
1995-05-01,81835000000.00
1995-06-01,81216000000.00
1995-07-01,81448000000.00
1995-08-01,80665000000.00
1995-09-01,81240000000.00
1995-10-01,83264000000.00
1995-11-01,83666000000.00
1995-12-01,85099000000.00
1996-01-01,85918000000.00
1996-02-01,87183000000.00
1996-03-01,87315000000.00
1996-04-01,87287000000.00
1996-05-01,86708000000.00
1996-06-01,85694000000.00
1996-07-01,86029000000.00
1996-08-01,85082000000.00
1996-09-01,83379000000.00
1996-10-01,85474000000.00
1996-11-01,85448000000.00
1996-12-01,84145000000.00
1997-01-01,84818000000.00
1997-02-01,87096000000.00
1997-03-01,87400000000.00
1997-04-01,87275000000.00
1997-05-01,86697000000.00
1997-06-01,86566000000.00
1997-07-01,88109000000.00
1997-08-01,87161000000.00
1997-09-01,88251000000.00
1997-10-01,87535000000.00
1997-11-01,87095000000.00
1997-12-01,86999000000.00
1998-01-01,88824000000.00
1998-02-01,90772000000.00
1998-03-01,90680000000.00
1998-04-01,90505000000.00
1998-05-01,91640000000.00
1998-06-01,91557000000.00
1998-07-01,90850000000.00
1998-08-01,89814000000.00
1998-09-01,89675000000.00
1998-10-01,89481000000.00
1998-11-01,88906000000.00
1998-12-01,90158000000.00
1999-01-01,90906000000.00
1999-02-01,91649000000.00
1999-03-01,92654000000.00
1999-04-01,93787000000.00
1999-05-01,94330000000.00
1999-06-01,93547000000.00
1999-07-01,94124000000.00
1999-08-01,93414000000.00
1999-09-01,95752000000.00
1999-10-01,97468000000.00
1999-11-01,98870000000.00
1999-12-01,104934000000.00
2000-01-01,107286000000.00
2000-02-01,107408000000.00
2000-03-01,108713000000.00
2000-04-01,109393000000.00
2000-05-01,109059000000.00
2000-06-01,114704000000.00
2000-07-01,114701000000.00
2000-08-01,113618000000.00
2000-09-01,113798000000.00
2000-10-01,114760000000.00
2000-11-01,115384000000.00
2000-12-01,114683000000.00
2001-01-01,114053000000.00
2001-02-01,114816000000.00
2001-03-01,113575000000.00
2001-04-01,111256000000.00
2001-05-01,109382000000.00
2001-06-01,106562000000.00
2001-07-01,104220000000.00
2001-08-01,101688000000.00
2001-09-01,100106000000.00
2001-10-01,98815000000.00
2001-11-01,98272000000.00
2001-12-01,98381000000.00
2002-01-01,97049000000.00
2002-02-01,97178000000.00
2002-03-01,95481000000.00
2002-04-01,94979000000.00
2002-05-01,94378000000.00
2002-06-01,92903000000.00
2002-07-01,91371000000.00
2002-08-01,89308000000.00
2002-09-01,88421000000.00
2002-10-01,87013000000.00
2002-11-01,86254000000.00
2002-12-01,87370000000.00
2003-01-01,88498000000.00
2003-02-01,89705000000.00
2003-03-01,90916000000.00
2003-04-01,91501000000.00
2003-05-01,91522000000.00
2003-06-01,91312000000.00
