Date,FRGSHPUSM649NCIS
1999-01-01,1.06
1999-02-01,1.07
1999-03-01,1.05
1999-04-01,1.08
1999-05-01,1.04
1999-06-01,1.05
1999-07-01,1.04
1999-08-01,1.01
1999-09-01,1.04
1999-10-01,1.05
1999-11-01,1.10
1999-12-01,1.08
2000-01-01,1.13
2000-02-01,1.11
2000-03-01,1.14
2000-04-01,1.10
2000-05-01,1.10
2000-06-01,1.14
2000-07-01,1.05
2000-08-01,1.16
2000-09-01,1.18
2000-10-01,1.16
2000-11-01,1.10
2000-12-01,0.95
2001-01-01,1.07
2001-02-01,1.02
2001-03-01,1.05
2001-04-01,0.99
2001-05-01,1.08
2001-06-01,1.02
2001-07-01,1.05
2001-08-01,0.99
2001-09-01,1.00
2001-10-01,1.06
2001-11-01,0.98
2001-12-01,0.97
2002-01-01,0.94
2002-02-01,0.94
2002-03-01,0.95
2002-04-01,0.98
2002-05-01,0.97
2002-06-01,0.99
2002-07-01,1.06
2002-08-01,1.03
2002-09-01,1.05
2002-10-01,1.00
2002-11-01,0.94
2002-12-01,0.90
2003-01-01,0.94
2003-02-01,0.95
2003-03-01,1.04
2003-04-01,0.97
2003-05-01,0.99
2003-06-01,1.02
2003-07-01,1.06
2003-08-01,1.06
2003-09-01,1.09
2003-10-01,1.09
2003-11-01,1.07
2003-12-01,1.03
2004-01-01,1.02
2004-02-01,1.13
2004-03-01,1.17
2004-04-01,1.14
2004-05-01,1.19
2004-06-01,1.25
2004-07-01,1.18
2004-08-01,1.29
2004-09-01,1.32
2004-10-01,1.30
2004-11-01,1.29
2004-12-01,1.23
2005-01-01,1.23
2005-02-01,1.32
2005-03-01,1.30
2005-04-01,1.23
2005-05-01,1.22
2005-06-01,1.23
2005-07-01,1.24
2005-08-01,1.24
2005-09-01,1.28
2005-10-01,1.26
2005-11-01,1.24
2005-12-01,1.26
2006-01-01,1.29
2006-02-01,1.25
2006-03-01,1.28
2006-04-01,1.29
2006-05-01,1.33
2006-06-01,1.35
2006-07-01,1.29
2006-08-01,1.35
2006-09-01,1.31
2006-10-01,1.24
2006-11-01,1.21
2006-12-01,1.16
2007-01-01,1.17
2007-02-01,1.20
2007-03-01,1.26
2007-04-01,1.26
2007-05-01,1.28
2007-06-01,1.31
2007-07-01,1.26
2007-08-01,1.27
2007-09-01,1.30
2007-10-01,1.26
2007-11-01,1.26
2007-12-01,1.17
2008-01-01,1.13
2008-02-01,1.13
2008-03-01,1.16
2008-04-01,1.17
2008-05-01,1.16
2008-06-01,1.17
2008-07-01,1.10
2008-08-01,1.13
2008-09-01,1.08
2008-10-01,1.05
2008-11-01,1.03
2008-12-01,0.90
2009-01-01,0.85
2009-02-01,0.94
2009-03-01,0.91
2009-04-01,0.88
2009-05-01,0.91
2009-06-01,0.93
2009-07-01,0.93
2009-08-01,0.94
2009-09-01,0.97
2009-10-01,0.92
2009-11-01,0.95
2009-12-01,0.92
2010-01-01,0.90
2010-02-01,0.93
2010-03-01,0.97
2010-04-01,0.99
2010-05-01,1.01
2010-06-01,1.11
2010-07-01,1.01
2010-08-01,1.10
2010-09-01,1.12
2010-10-01,1.06
2010-11-01,1.09
2010-12-01,1.05
2011-01-01,1.01
2011-02-01,1.04
2011-03-01,1.11
2011-04-01,1.11
2011-05-01,1.11
2011-06-01,1.17
2011-07-01,1.12
2011-08-01,1.14
2011-09-01,1.20
2011-10-01,1.08
2011-11-01,1.06
2011-12-01,1.06
2012-01-01,1.05
2012-02-01,1.07
2012-03-01,1.09
2012-04-01,1.12
2012-05-01,1.14
2012-06-01,1.15
2012-07-01,1.14
2012-08-01,1.13
2012-09-01,1.16
2012-10-01,1.14
2012-11-01,1.09
2012-12-01,1.07
2013-01-01,1.02
2013-02-01,1.08
2013-03-01,1.14
2013-04-01,1.10
2013-05-01,1.13
2013-06-01,1.13
2013-07-01,1.11
2013-08-01,1.13
2013-09-01,1.16
2013-10-01,1.12
2013-11-01,1.11
2013-12-01,1.04
2014-01-01,1.00
2014-02-01,1.07
2014-03-01,1.14
2014-04-01,1.16
2014-05-01,1.17
2014-06-01,1.20
2014-07-01,1.15
2014-08-01,1.18
2014-09-01,1.16
2014-10-01,1.15
2014-11-01,1.15
2014-12-01,1.08
2015-01-01,1.03
2015-02-01,1.08
2015-03-01,1.09
2015-04-01,1.13
2015-05-01,1.16
2015-06-01,1.16
2015-07-01,1.14
2015-08-01,1.13
2015-09-01,1.15
2015-10-01,1.09
2015-11-01,1.09
2015-12-01,1.04
2016-01-01,0.97
2016-02-01,1.06
2016-03-01,1.07
2016-04-01,1.08
2016-05-01,1.09
2016-06-01,1.11
2016-07-01,1.11
2016-08-01,1.12
2016-09-01,1.11
2016-10-01,1.12
2016-11-01,1.09
2016-12-01,1.07
2017-01-01,1.01
2017-02-01,1.08
2017-03-01,1.08
2017-04-01,1.12
2017-05-01,1.17
2017-06-01,1.16
2017-07-01,1.13
2017-08-01,1.16
2017-09-01,1.15
2017-10-01,1.15
2017-11-01,1.16
2017-12-01,1.15
2018-01-01,1.13
2018-02-01,1.20
2018-03-01,1.21
2018-04-01,1.23
2018-05-01,1.31
