Date,TLWSCON
2002-01-01,846000000.00
2002-02-01,873000000.00
2002-03-01,897000000.00
2002-04-01,999000000.00
2002-05-01,1109000000.00
2002-06-01,1094000000.00
2002-07-01,1031000000.00
2002-08-01,1113000000.00
2002-09-01,1180000000.00
2002-10-01,1200000000.00
2002-11-01,1084000000.00
2002-12-01,1019000000.00
2003-01-01,915000000.00
2003-02-01,954000000.00
2003-03-01,963000000.00
2003-04-01,1009000000.00
2003-05-01,1042000000.00
2003-06-01,1111000000.00
2003-07-01,1071000000.00
2003-08-01,1173000000.00
2003-09-01,1136000000.00
2003-10-01,1114000000.00
2003-11-01,1056000000.00
2003-12-01,949000000.00
2004-01-01,928000000.00
2004-02-01,920000000.00
2004-03-01,994000000.00
2004-04-01,1061000000.00
2004-05-01,1028000000.00
2004-06-01,1114000000.00
2004-07-01,1184000000.00
2004-08-01,1169000000.00
2004-09-01,1156000000.00
2004-10-01,1093000000.00
2004-11-01,1020000000.00
2004-12-01,954000000.00
2005-01-01,909000000.00
2005-02-01,934000000.00
2005-03-01,1023000000.00
2005-04-01,1166000000.00
2005-05-01,1201000000.00
2005-06-01,1235000000.00
2005-07-01,1185000000.00
2005-08-01,1356000000.00
2005-09-01,1311000000.00
2005-10-01,1330000000.00
2005-11-01,1245000000.00
2005-12-01,1131000000.00
2006-01-01,1067000000.00
2006-02-01,1056000000.00
2006-03-01,1174000000.00
2006-04-01,1213000000.00
2006-05-01,1292000000.00
2006-06-01,1305000000.00
2006-07-01,1288000000.00
2006-08-01,1355000000.00
2006-09-01,1359000000.00
2006-10-01,1394000000.00
2006-11-01,1277000000.00
2006-12-01,1181000000.00
2007-01-01,1123000000.00
2007-02-01,1176000000.00
2007-03-01,1277000000.00
2007-04-01,1339000000.00
2007-05-01,1416000000.00
2007-06-01,1424000000.00
2007-07-01,1317000000.00
2007-08-01,1447000000.00
2007-09-01,1462000000.00
2007-10-01,1464000000.00
2007-11-01,1260000000.00
2007-12-01,1094000000.00
2008-01-01,995000000.00
2008-02-01,1217000000.00
2008-03-01,1270000000.00
2008-04-01,1304000000.00
2008-05-01,1439000000.00
2008-06-01,1528000000.00
2008-07-01,1560000000.00
2008-08-01,1538000000.00
2008-09-01,1514000000.00
2008-10-01,1563000000.00
2008-11-01,1486000000.00
2008-12-01,1339000000.00
2009-01-01,1121000000.00
2009-02-01,1189000000.00
2009-03-01,1271000000.00
2009-04-01,1340000000.00
2009-05-01,1297000000.00
2009-06-01,1369000000.00
2009-07-01,1340000000.00
2009-08-01,1343000000.00
2009-09-01,1327000000.00
2009-10-01,1334000000.00
2009-11-01,1325000000.00
2009-12-01,1214000000.00
2010-01-01,923000000.00
2010-02-01,972000000.00
2010-03-01,1167000000.00
2010-04-01,1233000000.00
2010-05-01,1356000000.00
2010-06-01,1432000000.00
2010-07-01,1398000000.00
2010-08-01,1479000000.00
2010-09-01,1436000000.00
2010-10-01,1442000000.00
2010-11-01,1336000000.00
2010-12-01,1149000000.00
2011-01-01,1061000000.00
2011-02-01,1040000000.00
2011-03-01,1084000000.00
2011-04-01,1147000000.00
2011-05-01,1125000000.00
2011-06-01,1220000000.00
2011-07-01,1276000000.00
2011-08-01,1338000000.00
2011-09-01,1280000000.00
2011-10-01,1374000000.00
2011-11-01,1216000000.00
2011-12-01,1003000000.00
2012-01-01,1007000000.00
2012-02-01,986000000.00
2012-03-01,1027000000.00
2012-04-01,1111000000.00
2012-05-01,1146000000.00
2012-06-01,1153000000.00
2012-07-01,1121000000.00
2012-08-01,1178000000.00
2012-09-01,1161000000.00
2012-10-01,1185000000.00
2012-11-01,1109000000.00
2012-12-01,1035000000.00
2013-01-01,1008000000.00
2013-02-01,1012000000.00
2013-03-01,1047000000.00
2013-04-01,1124000000.00
2013-05-01,1203000000.00
2013-06-01,1183000000.00
2013-07-01,1201000000.00
2013-08-01,1216000000.00
2013-09-01,1212000000.00
2013-10-01,1271000000.00
2013-11-01,1171000000.00
2013-12-01,949000000.00
2014-01-01,871000000.00
2014-02-01,824000000.00
2014-03-01,963000000.00
2014-04-01,1082000000.00
2014-05-01,1219000000.00
2014-06-01,1186000000.00
2014-07-01,1225000000.00
2014-08-01,1236000000.00
2014-09-01,1249000000.00
2014-10-01,1278000000.00
2014-11-01,1190000000.00
2014-12-01,1057000000.00
2015-01-01,977000000.00
2015-02-01,843000000.00
2015-03-01,973000000.00
2015-04-01,1051000000.00
2015-05-01,1118000000.00
2015-06-01,1287000000.00
2015-07-01,1216000000.00
2015-08-01,1207000000.00
2015-09-01,1213000000.00
2015-10-01,1241000000.00
2015-11-01,1092000000.00
2015-12-01,931000000.00
2016-01-01,874000000.00
2016-02-01,910000000.00
2016-03-01,988000000.00
2016-04-01,1038000000.00
2016-05-01,1094000000.00
2016-06-01,1204000000.00
2016-07-01,1084000000.00
2016-08-01,1079000000.00
2016-09-01,1135000000.00
2016-10-01,1082000000.00
2016-11-01,1086000000.00
2016-12-01,950000000.00
2017-01-01,786000000.00
2017-02-01,792000000.00
2017-03-01,852000000.00
2017-04-01,973000000.00
2017-05-01,992000000.00
2017-06-01,1016000000.00
2017-07-01,974000000.00
2017-08-01,1024000000.00
2017-09-01,1047000000.00
2017-10-01,1032000000.00
2017-11-01,988000000.00
2017-12-01,909000000.00
2018-01-01,862000000.00
2018-02-01,927000000.00
2018-03-01,959000000.00
2018-04-01,1001000000.00
