Date,RESCONTRIBNOW
2014-04-01,0.29
2014-07-01,0.12
2014-10-01,0.27
2015-01-01,0.09
2015-04-01,0.17
2015-07-01,0.29
2015-10-01,0.12
2016-01-01,0.36
2016-04-01,-0.15
2016-07-01,-0.22
2016-10-01,0.30
2017-01-01,0.47
2017-04-01,-0.07
2017-07-01,-0.14
2017-10-01,0.35
2018-01-01,-0.03
2018-04-01,0.02
