Date,CAPUTLG2211A2S
1967-01-01,95.39
1967-02-01,95.04
1967-03-01,93.62
1967-04-01,96.91
1967-05-01,95.32
1967-06-01,93.86
1967-07-01,93.75
1967-08-01,91.87
1967-09-01,92.05
1967-10-01,95.38
1967-11-01,94.92
1967-12-01,96.24
1968-01-01,95.30
1968-02-01,94.30
1968-03-01,95.34
1968-04-01,94.81
1968-05-01,95.44
1968-06-01,95.94
1968-07-01,94.41
1968-08-01,94.64
1968-09-01,95.56
1968-10-01,94.95
1968-11-01,95.02
1968-12-01,97.80
1969-01-01,96.64
1969-02-01,96.78
1969-03-01,97.31
1969-04-01,96.29
1969-05-01,95.84
1969-06-01,97.12
1969-07-01,98.14
1969-08-01,98.10
1969-09-01,96.56
1969-10-01,96.78
1969-11-01,97.70
1969-12-01,97.18
1970-01-01,96.84
1970-02-01,96.25
1970-03-01,96.97
1970-04-01,96.98
1970-05-01,98.23
1970-06-01,95.73
1970-07-01,96.64
1970-08-01,97.37
1970-09-01,97.40
1970-10-01,95.43
1970-11-01,95.32
1970-12-01,94.70
1971-01-01,96.55
1971-02-01,95.49
1971-03-01,95.82
1971-04-01,95.67
1971-05-01,96.02
1971-06-01,96.32
1971-07-01,95.40
1971-08-01,94.15
1971-09-01,94.24
1971-10-01,95.14
1971-11-01,93.35
1971-12-01,92.38
1972-01-01,93.63
1972-02-01,97.64
1972-03-01,97.69
1972-04-01,97.01
1972-05-01,95.37
1972-06-01,94.29
1972-07-01,92.89
1972-08-01,94.34
1972-09-01,94.93
1972-10-01,95.39
1972-11-01,96.24
1972-12-01,95.62
1973-01-01,95.65
1973-02-01,95.64
1973-03-01,94.22
1973-04-01,93.72
1973-05-01,93.93
1973-06-01,94.29
1973-07-01,92.42
1973-08-01,92.50
1973-09-01,94.21
1973-10-01,92.92
1973-11-01,90.85
1973-12-01,85.18
1974-01-01,85.00
1974-02-01,84.89
1974-03-01,86.29
1974-04-01,86.95
1974-05-01,87.70
1974-06-01,86.55
1974-07-01,88.16
1974-08-01,87.14
1974-09-01,85.74
1974-10-01,87.68
1974-11-01,85.59
1974-12-01,85.40
1975-01-01,83.52
1975-02-01,84.49
1975-03-01,86.21
1975-04-01,88.15
1975-05-01,86.34
1975-06-01,84.02
1975-07-01,84.93
1975-08-01,85.41
1975-09-01,84.72
1975-10-01,84.19
1975-11-01,82.92
1975-12-01,84.09
1976-01-01,85.78
1976-02-01,83.72
1976-03-01,84.04
1976-04-01,84.40
1976-05-01,83.90
1976-06-01,84.39
1976-07-01,84.47
1976-08-01,84.57
1976-09-01,85.04
1976-10-01,85.71
1976-11-01,89.43
1976-12-01,89.94
1977-01-01,89.05
1977-02-01,85.92
1977-03-01,84.46
1977-04-01,85.39
1977-05-01,86.58
1977-06-01,87.57
1977-07-01,88.44
1977-08-01,86.85
1977-09-01,87.02
1977-10-01,86.87
1977-11-01,85.56
1977-12-01,86.68
1978-01-01,86.65
1978-02-01,87.86
1978-03-01,87.52
1978-04-01,85.15
1978-05-01,86.62
1978-06-01,87.35
1978-07-01,86.07
1978-08-01,87.14
1978-09-01,87.69
1978-10-01,86.92
1978-11-01,87.08
1978-12-01,86.80
1979-01-01,88.43
1979-02-01,91.05
1979-03-01,89.37
1979-04-01,89.93
1979-05-01,87.46
1979-06-01,86.07
1979-07-01,84.29
1979-08-01,85.48
1979-09-01,84.69
1979-10-01,85.76
1979-11-01,86.17
1979-12-01,84.41
1980-01-01,82.91
1980-02-01,85.77
