Date,UMXTTI
1992-01-01,305778000000.00
1992-02-01,307948000000.00
1992-03-01,307495000000.00
1992-04-01,309698000000.00
1992-05-01,311820000000.00
1992-06-01,308192000000.00
1992-07-01,311202000000.00
1992-08-01,314279000000.00
1992-09-01,312173000000.00
1992-10-01,312777000000.00
1992-11-01,310973000000.00
1992-12-01,305337000000.00
1993-01-01,309693000000.00
1993-02-01,312055000000.00
1993-03-01,311768000000.00
1993-04-01,314885000000.00
1993-05-01,316407000000.00
1993-06-01,313178000000.00
1993-07-01,314702000000.00
1993-08-01,316853000000.00
1993-09-01,313464000000.00
1993-10-01,315189000000.00
1993-11-01,313487000000.00
1993-12-01,308388000000.00
1994-01-01,314723000000.00
1994-02-01,319068000000.00
1994-03-01,318292000000.00
1994-04-01,321191000000.00
1994-05-01,323488000000.00
1994-06-01,321390000000.00
1994-07-01,327091000000.00
1994-08-01,329834000000.00
1994-09-01,327018000000.00
1994-10-01,330237000000.00
1994-11-01,331411000000.00
1994-12-01,327625000000.00
1995-01-01,337913000000.00
1995-02-01,344728000000.00
1995-03-01,344903000000.00
1995-04-01,350664000000.00
1995-05-01,354532000000.00
1995-06-01,353168000000.00
1995-07-01,357451000000.00
1995-08-01,359257000000.00
1995-09-01,358202000000.00
1995-10-01,360620000000.00
1995-11-01,359453000000.00
1995-12-01,353767000000.00
1996-01-01,362276000000.00
1996-02-01,366038000000.00
1996-03-01,362398000000.00
1996-04-01,364820000000.00
1996-05-01,364710000000.00
1996-06-01,359746000000.00
1996-07-01,362135000000.00
1996-08-01,363942000000.00
1996-09-01,361587000000.00
1996-10-01,362989000000.00
1996-11-01,362496000000.00
1996-12-01,354753000000.00
1997-01-01,361427000000.00
1997-02-01,365175000000.00
1997-03-01,362464000000.00
1997-04-01,366851000000.00
1997-05-01,369033000000.00
1997-06-01,365369000000.00
1997-07-01,368743000000.00
1997-08-01,371619000000.00
1997-09-01,369156000000.00
1997-10-01,372944000000.00
1997-11-01,373706000000.00
1997-12-01,367037000000.00
1998-01-01,373532000000.00
1998-02-01,378796000000.00
1998-03-01,374762000000.00
1998-04-01,377449000000.00
1998-05-01,378216000000.00
1998-06-01,372515000000.00
1998-07-01,375228000000.00
1998-08-01,375745000000.00
1998-09-01,371923000000.00
1998-10-01,373717000000.00
1998-11-01,373566000000.00
1998-12-01,361831000000.00
1999-01-01,367981000000.00
1999-02-01,371402000000.00
1999-03-01,368305000000.00
1999-04-01,372151000000.00
1999-05-01,374780000000.00
1999-06-01,369168000000.00
1999-07-01,373139000000.00
1999-08-01,375522000000.00
1999-09-01,374221000000.00
1999-10-01,378943000000.00
1999-11-01,381162000000.00
1999-12-01,376022000000.00
2000-01-01,384825000000.00
2000-02-01,391406000000.00
2000-03-01,387340000000.00
2000-04-01,394328000000.00
2000-05-01,397353000000.00
2000-06-01,395585000000.00
2000-07-01,402394000000.00
2000-08-01,405831000000.00
2000-09-01,402421000000.00
2000-10-01,408411000000.00
2000-11-01,409809000000.00
