Date,UMDMVS
2008-08-01,221389000000.00
2008-09-01,230404000000.00
2008-10-01,216278000000.00
2008-11-01,185053000000.00
2008-12-01,191691000000.00
2009-01-01,157699000000.00
2009-02-01,162374000000.00
2009-03-01,183352000000.00
2009-04-01,166314000000.00
2009-05-01,162793000000.00
2009-06-01,177878000000.00
2009-07-01,159653000000.00
2009-08-01,171450000000.00
2009-09-01,184634000000.00
2009-10-01,179422000000.00
2009-11-01,169471000000.00
2009-12-01,181789000000.00
2010-01-01,162640000000.00
2010-02-01,166609000000.00
2010-03-01,198377000000.00
2010-04-01,188374000000.00
2010-05-01,187865000000.00
2010-06-01,204806000000.00
2010-07-01,180913000000.00
2010-08-01,198682000000.00
2010-09-01,207366000000.00
2010-10-01,198126000000.00
2010-11-01,187967000000.00
2010-12-01,198987000000.00
2011-01-01,178085000000.00
2011-02-01,185371000000.00
2011-03-01,225381000000.00
2011-04-01,200951000000.00
2011-05-01,204951000000.00
2011-06-01,222578000000.00
2011-07-01,191572000000.00
2011-08-01,218806000000.00
2011-09-01,221037000000.00
2011-10-01,214559000000.00
2011-11-01,203331000000.00
2011-12-01,212464000000.00
2012-01-01,194404000000.00
2012-02-01,208977000000.00
2012-03-01,236437000000.00
2012-04-01,215823000000.00
2012-05-01,227458000000.00
2012-06-01,237033000000.00
2012-07-01,202146000000.00
2012-08-01,226007000000.00
2012-09-01,223493000000.00
2012-10-01,224837000000.00
2012-11-01,214153000000.00
2012-12-01,216814000000.00
2013-01-01,199305000000.00
2013-02-01,208330000000.00
2013-03-01,238091000000.00
2013-04-01,222907000000.00
2013-05-01,232441000000.00
2013-06-01,238182000000.00
2013-07-01,208259000000.00
2013-08-01,231940000000.00
2013-09-01,235762000000.00
2013-10-01,235036000000.00
2013-11-01,222284000000.00
2013-12-01,223270000000.00
2014-01-01,203482000000.00
2014-02-01,213817000000.00
2014-03-01,246354000000.00
2014-04-01,229427000000.00
2014-05-01,235193000000.00
2014-06-01,249785000000.00
2014-07-01,225150000000.00
2014-08-01,240338000000.00
2014-09-01,250896000000.00
2014-10-01,246419000000.00
2014-11-01,218286000000.00
2014-12-01,237780000000.00
2015-01-01,205984000000.00
2015-02-01,213414000000.00
2015-03-01,252719000000.00
2015-04-01,232878000000.00
2015-05-01,229817000000.00
2015-06-01,252781000000.00
2015-07-01,221216000000.00
2015-08-01,236179000000.00
2015-09-01,246850000000.00
2015-10-01,235611000000.00
2015-11-01,220063000000.00
2015-12-01,224515000000.00
2016-01-01,199137000000.00
2016-02-01,219057000000.00
2016-03-01,245645000000.00
2016-04-01,222121000000.00
2016-05-01,225313000000.00
2016-06-01,244921000000.00
2016-07-01,205512000000.00
2016-08-01,235407000000.00
2016-09-01,241959000000.00
2016-10-01,227101000000.00
2016-11-01,218982000000.00
2016-12-01,227921000000.00
2017-01-01,204410000000.00
2017-02-01,214095000000.00
2017-03-01,254266000000.00
2017-04-01,221573000000.00
2017-05-01,240593000000.00
2017-06-01,255147000000.00
2017-07-01,212315000000.00
2017-08-01,247126000000.00
2017-09-01,248844000000.00
2017-10-01,243336000000.00
2017-11-01,235718000000.00
2017-12-01,236127000000.00
2018-01-01,220350000000.00
2018-02-01,229193000000.00
2018-03-01,266715000000.00
2018-04-01,244141000000.00
2018-05-01,254171000000.00
