Date,U12SVS
2008-08-01,10993000000.00
2008-09-01,10482000000.00
2008-10-01,10716000000.00
2008-11-01,10436000000.00
2008-12-01,10416000000.00
2009-01-01,9788000000.00
2009-02-01,10011000000.00
2009-03-01,10260000000.00
2009-04-01,10675000000.00
2009-05-01,11278000000.00
2009-06-01,11395000000.00
2009-07-01,10685000000.00
2009-08-01,11225000000.00
2009-09-01,10580000000.00
2009-10-01,10811000000.00
2009-11-01,10566000000.00
2009-12-01,10323000000.00
2010-01-01,9359000000.00
2010-02-01,9160000000.00
2010-03-01,10762000000.00
2010-04-01,10662000000.00
2010-05-01,11294000000.00
2010-06-01,11461000000.00
2010-07-01,11146000000.00
2010-08-01,11913000000.00
2010-09-01,11326000000.00
2010-10-01,11124000000.00
2010-11-01,11321000000.00
2010-12-01,10431000000.00
2011-01-01,9523000000.00
2011-02-01,9732000000.00
2011-03-01,11267000000.00
2011-04-01,10954000000.00
2011-05-01,11825000000.00
2011-06-01,12308000000.00
2011-07-01,10841000000.00
2011-08-01,11867000000.00
2011-09-01,11400000000.00
2011-10-01,11134000000.00
2011-11-01,11663000000.00
2011-12-01,11395000000.00
2012-01-01,9942000000.00
2012-02-01,10861000000.00
2012-03-01,11748000000.00
2012-04-01,11921000000.00
2012-05-01,13347000000.00
2012-06-01,12271000000.00
2012-07-01,12031000000.00
2012-08-01,12905000000.00
2012-09-01,11620000000.00
2012-10-01,11979000000.00
2012-11-01,12217000000.00
2012-12-01,11393000000.00
2013-01-01,10457000000.00
2013-02-01,10727000000.00
2013-03-01,12007000000.00
2013-04-01,12347000000.00
2013-05-01,13709000000.00
2013-06-01,12883000000.00
2013-07-01,12839000000.00
2013-08-01,12877000000.00
2013-09-01,12722000000.00
2013-10-01,12624000000.00
2013-11-01,12303000000.00
2013-12-01,11510000000.00
2014-01-01,10622000000.00
2014-02-01,10735000000.00
2014-03-01,12023000000.00
2014-04-01,12295000000.00
2014-05-01,12981000000.00
2014-06-01,13004000000.00
2014-07-01,12656000000.00
2014-08-01,12587000000.00
2014-09-01,12720000000.00
2014-10-01,12594000000.00
2014-11-01,12252000000.00
2014-12-01,12541000000.00
2015-01-01,11181000000.00
2015-02-01,11385000000.00
2015-03-01,13118000000.00
2015-04-01,13252000000.00
2015-05-01,13650000000.00
2015-06-01,13779000000.00
2015-07-01,12858000000.00
2015-08-01,13217000000.00
2015-09-01,13538000000.00
2015-10-01,13166000000.00
2015-11-01,12840000000.00
2015-12-01,12704000000.00
2016-01-01,11221000000.00
2016-02-01,11833000000.00
2016-03-01,13103000000.00
2016-04-01,12926000000.00
2016-05-01,13289000000.00
2016-06-01,13864000000.00
2016-07-01,13026000000.00
2016-08-01,13850000000.00
2016-09-01,13472000000.00
2016-10-01,12782000000.00
2016-11-01,12845000000.00
2016-12-01,12653000000.00
2017-01-01,11454000000.00
2017-02-01,11616000000.00
2017-03-01,13068000000.00
2017-04-01,12433000000.00
2017-05-01,13285000000.00
2017-06-01,13371000000.00
2017-07-01,12312000000.00
2017-08-01,12870000000.00
2017-09-01,12300000000.00
2017-10-01,11823000000.00
2017-11-01,11974000000.00
2017-12-01,11640000000.00
2018-01-01,11209000000.00
2018-02-01,11395000000.00
2018-03-01,12737000000.00
2018-04-01,12173000000.00
