Date,B102RC1Q027SBEA
1969-04-01,3668000000.00
1969-07-01,3516000000.00
1969-10-01,3448000000.00
1970-01-01,3756000000.00
1970-04-01,3736000000.00
1970-07-01,3832000000.00
1970-10-01,3636000000.00
1971-01-01,4088000000.00
1971-04-01,4216000000.00
1971-07-01,4372000000.00
1971-10-01,4460000000.00
1972-01-01,4992000000.00
1972-04-01,5044000000.00
1972-07-01,5224000000.00
1972-10-01,5748000000.00
1973-01-01,6036000000.00
1973-04-01,6072000000.00
1973-07-01,5856000000.00
1973-10-01,6148000000.00
1974-01-01,6328000000.00
1974-04-01,6632000000.00
1974-07-01,7280000000.00
1974-10-01,6476000000.00
1975-01-01,6112000000.00
1975-04-01,6636000000.00
1975-07-01,8196000000.00
1975-10-01,8444000000.00
1976-01-01,9676000000.00
1976-04-01,9628000000.00
1976-07-01,9660000000.00
1976-10-01,9580000000.00
1977-01-01,10516000000.00
1977-04-01,11388000000.00
1977-07-01,11848000000.00
1977-10-01,11964000000.00
1978-01-01,10516000000.00
1978-04-01,12372000000.00
1978-07-01,12480000000.00
1978-10-01,13056000000.00
1979-01-01,13692000000.00
1979-04-01,13792000000.00
1979-07-01,13608000000.00
1979-10-01,13180000000.00
1980-01-01,16068000000.00
1980-04-01,12756000000.00
1980-07-01,13952000000.00
1980-10-01,15088000000.00
1981-01-01,16816000000.00
1981-04-01,15164000000.00
1981-07-01,15656000000.00
1981-10-01,14132000000.00
1982-01-01,14140000000.00
1982-04-01,14268000000.00
1982-07-01,14380000000.00
1982-10-01,13348000000.00
1983-01-01,12784000000.00
1983-04-01,15664000000.00
1983-07-01,17392000000.00
1983-10-01,17744000000.00
1984-01-01,20068000000.00
1984-04-01,19860000000.00
1984-07-01,17544000000.00
1984-10-01,17724000000.00
1985-01-01,19964000000.00
1985-04-01,19628000000.00
1985-07-01,20920000000.00
1985-10-01,20476000000.00
1986-01-01,21384000000.00
1986-04-01,22048000000.00
1986-07-01,22376000000.00
1986-10-01,24836000000.00
1987-01-01,22679000000.00
1987-04-01,24519000000.00
1987-07-01,24825000000.00
1987-10-01,23582000000.00
1988-01-01,23424000000.00
1988-04-01,25223000000.00
1988-07-01,27305000000.00
1988-10-01,28176000000.00
1989-01-01,27812000000.00
1989-04-01,24247000000.00
1989-07-01,22801000000.00
1989-10-01,22096000000.00
1990-01-01,21420000000.00
1990-04-01,22111000000.00
1990-07-01,22978000000.00
1990-10-01,23436000000.00
1991-01-01,23784000000.00
1991-04-01,23420000000.00
1991-07-01,23731000000.00
1991-10-01,23629000000.00
1992-01-01,25193000000.00
1992-04-01,24742000000.00
1992-07-01,23177000000.00
1992-10-01,24408000000.00
1993-01-01,24832000000.00
1993-04-01,26754000000.00
1993-07-01,25192000000.00
1993-10-01,30847000000.00
1994-01-01,27106000000.00
1994-04-01,28721000000.00
1994-07-01,31401000000.00
1994-10-01,32653000000.00
1995-01-01,32540000000.00
1995-04-01,31287000000.00
1995-07-01,31887000000.00
1995-10-01,30909000000.00
1996-01-01,31931000000.00
1996-04-01,33527000000.00
1996-07-01,33284000000.00
1996-10-01,33350000000.00
1997-01-01,33109000000.00
1997-04-01,33558000000.00
1997-07-01,35546000000.00
1997-10-01,34368000000.00
1998-01-01,34686000000.00
1998-04-01,34544000000.00
1998-07-01,35679000000.00
1998-10-01,34827000000.00
1999-01-01,36254000000.00
1999-04-01,35462000000.00
1999-07-01,35583000000.00
1999-10-01,35885000000.00
2000-01-01,37188000000.00
2000-04-01,36549000000.00
2000-07-01,33479000000.00
2000-10-01,33708000000.00
2001-01-01,30114000000.00
2001-04-01,30385000000.00
2001-07-01,28312000000.00
2001-10-01,26601000000.00
2002-01-01,28300000000.00
2002-04-01,30157000000.00
2002-07-01,31466000000.00
2002-10-01,33533000000.00
2003-01-01,34516000000.00
2003-04-01,31731000000.00
2003-07-01,33559000000.00
2003-10-01,36181000000.00
2004-01-01,37828000000.00
2004-04-01,40794000000.00
2004-07-01,43889000000.00
2004-10-01,44320000000.00
2005-01-01,55301000000.00
2005-04-01,52976000000.00
2005-07-01,53306000000.00
2005-10-01,58189000000.00
2006-01-01,59648000000.00
2006-04-01,60316000000.00
2006-07-01,61764000000.00
2006-10-01,55240000000.00
2007-01-01,59196000000.00
2007-04-01,59436000000.00
2007-07-01,56296000000.00
2007-10-01,56588000000.00
2008-01-01,50204000000.00
2008-04-01,51620000000.00
2008-07-01,52840000000.00
2008-10-01,35072000000.00
2009-01-01,47188000000.00
2009-04-01,42848000000.00
2009-07-01,45596000000.00
2009-10-01,46752000000.00
2010-01-01,44492000000.00
2010-04-01,45608000000.00
2010-07-01,50604000000.00
2010-10-01,49948000000.00
2011-01-01,51552000000.00
2011-04-01,48108000000.00
2011-07-01,50412000000.00
2011-10-01,50744000000.00
2012-01-01,50793000000.00
2012-04-01,52010000000.00
2012-07-01,53440000000.00
2012-10-01,53701000000.00
2013-01-01,55303000000.00
2013-04-01,55535000000.00
2013-07-01,54726000000.00
2013-10-01,56251000000.00
2014-01-01,57396000000.00
2014-04-01,56324000000.00
2014-07-01,58195000000.00
2014-10-01,59425000000.00
2015-01-01,59878000000.00
2015-04-01,60078000000.00
2015-07-01,58776000000.00
2015-10-01,57868000000.00
2016-01-01,58856000000.00
2016-04-01,58281000000.00
2016-07-01,58936000000.00
2016-10-01,56490000000.00
2017-01-01,46076000000.00
2017-04-01,58438000000.00
2017-07-01,55927000000.00
2017-10-01,56708000000.00
2018-01-01,51900000000.00
