Date,U33MTI
2008-08-01,3605000000.00
2008-09-01,3557000000.00
2008-10-01,3577000000.00
2008-11-01,3501000000.00
2008-12-01,3415000000.00
2009-01-01,3432000000.00
2009-02-01,3415000000.00
2009-03-01,3356000000.00
2009-04-01,3290000000.00
2009-05-01,3252000000.00
2009-06-01,3199000000.00
2009-07-01,3148000000.00
2009-08-01,3105000000.00
2009-09-01,3079000000.00
2009-10-01,3110000000.00
2009-11-01,3104000000.00
2009-12-01,3060000000.00
2010-01-01,3181000000.00
2010-02-01,3132000000.00
2010-03-01,3083000000.00
2010-04-01,3096000000.00
2010-05-01,3115000000.00
2010-06-01,3115000000.00
2010-07-01,3135000000.00
2010-08-01,3153000000.00
2010-09-01,3129000000.00
2010-10-01,3201000000.00
2010-11-01,3286000000.00
2010-12-01,3180000000.00
2011-01-01,3301000000.00
2011-02-01,3334000000.00
2011-03-01,3372000000.00
2011-04-01,3442000000.00
2011-05-01,3553000000.00
2011-06-01,3610000000.00
2011-07-01,3687000000.00
2011-08-01,3750000000.00
2011-09-01,3784000000.00
2011-10-01,3761000000.00
2011-11-01,3860000000.00
2011-12-01,3663000000.00
2012-01-01,3852000000.00
2012-02-01,3879000000.00
2012-03-01,3864000000.00
2012-04-01,4014000000.00
2012-05-01,4070000000.00
2012-06-01,4100000000.00
2012-07-01,4188000000.00
2012-08-01,4268000000.00
2012-09-01,4171000000.00
2012-10-01,4167000000.00
2012-11-01,4070000000.00
2012-12-01,3674000000.00
2013-01-01,3860000000.00
2013-02-01,3895000000.00
2013-03-01,3796000000.00
2013-04-01,3860000000.00
2013-05-01,3797000000.00
2013-06-01,3797000000.00
2013-07-01,3901000000.00
2013-08-01,3898000000.00
2013-09-01,3912000000.00
2013-10-01,3893000000.00
2013-11-01,3808000000.00
2013-12-01,3535000000.00
2014-01-01,3736000000.00
2014-02-01,3741000000.00
2014-03-01,3795000000.00
2014-04-01,3853000000.00
2014-05-01,3891000000.00
2014-06-01,3965000000.00
2014-07-01,4123000000.00
2014-08-01,4158000000.00
2014-09-01,4166000000.00
2014-10-01,4218000000.00
2014-11-01,4225000000.00
2014-12-01,3922000000.00
2015-01-01,4004000000.00
2015-02-01,4087000000.00
2015-03-01,4160000000.00
2015-04-01,4226000000.00
2015-05-01,4268000000.00
2015-06-01,4344000000.00
2015-07-01,4474000000.00
2015-08-01,4507000000.00
2015-09-01,4535000000.00
2015-10-01,4557000000.00
2015-11-01,4513000000.00
2015-12-01,4172000000.00
2016-01-01,4329000000.00
2016-02-01,4412000000.00
2016-03-01,4515000000.00
2016-04-01,4626000000.00
2016-05-01,4755000000.00
2016-06-01,4738000000.00
2016-07-01,4841000000.00
2016-08-01,4891000000.00
2016-09-01,4883000000.00
2016-10-01,4914000000.00
2016-11-01,4811000000.00
2016-12-01,4409000000.00
2017-01-01,4735000000.00
2017-02-01,4858000000.00
2017-03-01,4949000000.00
2017-04-01,4988000000.00
2017-05-01,5038000000.00
2017-06-01,5137000000.00
2017-07-01,5377000000.00
2017-08-01,5505000000.00
2017-09-01,5517000000.00
2017-10-01,5579000000.00
2017-11-01,5581000000.00
2017-12-01,5063000000.00
2018-01-01,5460000000.00
2018-02-01,5467000000.00
2018-03-01,5470000000.00
2018-04-01,5586000000.00
