Date,WHLSLRIRNSA
1992-01-01,1.38
1992-02-01,1.44
1992-03-01,1.27
1992-04-01,1.30
1992-05-01,1.33
1992-06-01,1.26
1992-07-01,1.27
1992-08-01,1.29
1992-09-01,1.25
1992-10-01,1.23
1992-11-01,1.35
1992-12-01,1.31
1993-01-01,1.43
1993-02-01,1.44
1993-03-01,1.25
1993-04-01,1.30
1993-05-01,1.29
1993-06-01,1.25
1993-07-01,1.30
1993-08-01,1.24
1993-09-01,1.26
1993-10-01,1.27
1993-11-01,1.31
1993-12-01,1.32
1994-01-01,1.45
1994-02-01,1.46
1994-03-01,1.20
1994-04-01,1.32
1994-05-01,1.28
1994-06-01,1.23
1994-07-01,1.34
1994-08-01,1.18
1994-09-01,1.23
1994-10-01,1.25
1994-11-01,1.29
1994-12-01,1.29
1995-01-01,1.38
1995-02-01,1.42
1995-03-01,1.23
1995-04-01,1.37
1995-05-01,1.24
1995-06-01,1.24
1995-07-01,1.36
1995-08-01,1.21
1995-09-01,1.28
1995-10-01,1.24
1995-11-01,1.30
1995-12-01,1.33
1996-01-01,1.37
1996-02-01,1.38
1996-03-01,1.27
1996-04-01,1.29
1996-05-01,1.23
1996-06-01,1.28
1996-07-01,1.25
1996-08-01,1.21
1996-09-01,1.24
1996-10-01,1.16
1996-11-01,1.28
1996-12-01,1.26
1997-01-01,1.32
1997-02-01,1.35
1997-03-01,1.23
1997-04-01,1.24
1997-05-01,1.22
1997-06-01,1.24
1997-07-01,1.24
1997-08-01,1.26
1997-09-01,1.21
1997-10-01,1.19
1997-11-01,1.37
1997-12-01,1.27
1998-01-01,1.40
1998-02-01,1.44
1998-03-01,1.25
1998-04-01,1.29
1998-05-01,1.32
1998-06-01,1.24
1998-07-01,1.29
1998-08-01,1.32
1998-09-01,1.28
1998-10-01,1.28
1998-11-01,1.39
1998-12-01,1.30
1999-01-01,1.50
1999-02-01,1.47
1999-03-01,1.23
1999-04-01,1.31
1999-05-01,1.30
1999-06-01,1.21
1999-07-01,1.30
1999-08-01,1.24
1999-09-01,1.23
1999-10-01,1.27
1999-11-01,1.29
1999-12-01,1.25
2000-01-01,1.42
2000-02-01,1.36
2000-03-01,1.20
2000-04-01,1.35
2000-05-01,1.23
2000-06-01,1.22
2000-07-01,1.34
2000-08-01,1.22
2000-09-01,1.28
2000-10-01,1.25
2000-11-01,1.32
2000-12-01,1.34
2001-01-01,1.36
2001-02-01,1.43
2001-03-01,1.26
2001-04-01,1.36
2001-05-01,1.26
2001-06-01,1.31
2001-07-01,1.34
2001-08-01,1.24
2001-09-01,1.35
2001-10-01,1.25
2001-11-01,1.33
2001-12-01,1.36
2002-01-01,1.36
2002-02-01,1.40
2002-03-01,1.26
2002-04-01,1.23
2002-05-01,1.19
2002-06-01,1.25
2002-07-01,1.22
2002-08-01,1.20
2002-09-01,1.25
2002-10-01,1.17
2002-11-01,1.28
2002-12-01,1.27
2003-01-01,1.29
2003-02-01,1.36
2003-03-01,1.21
2003-04-01,1.23
2003-05-01,1.22
2003-06-01,1.21
2003-07-01,1.19
2003-08-01,1.21
2003-09-01,1.18
2003-10-01,1.13
2003-11-01,1.28
2003-12-01,1.18
2004-01-01,1.29
2004-02-01,1.29
2004-03-01,1.08
2004-04-01,1.13
2004-05-01,1.17
2004-06-01,1.11
2004-07-01,1.19
2004-08-01,1.14
2004-09-01,1.15
2004-10-01,1.17
2004-11-01,1.19
2004-12-01,1.16
2005-01-01,1.30
2005-02-01,1.30
2005-03-01,1.11
2005-04-01,1.19
2005-05-01,1.16
2005-06-01,1.13
2005-07-01,1.23
2005-08-01,1.10
2005-09-01,1.12
2005-10-01,1.13
2005-11-01,1.17
2005-12-01,1.18
2006-01-01,1.24
2006-02-01,1.29
2006-03-01,1.09
2006-04-01,1.21
