Date,CPIETRANS
1982-12-01,100.00
1983-01-01,99.50
1983-02-01,98.50
1983-03-01,97.70
1983-04-01,99.40
1983-05-01,100.60
1983-06-01,101.30
1983-07-01,101.90
1983-08-01,102.40
1983-09-01,102.70
1983-10-01,103.10
1983-11-01,103.40
1983-12-01,103.40
1984-01-01,103.40
1984-02-01,103.40
1984-03-01,103.70
1984-04-01,104.40
1984-05-01,105.20
1984-06-01,105.40
1984-07-01,105.40
1984-08-01,105.50
1984-09-01,105.70
1984-10-01,106.30
1984-11-01,106.50
1984-12-01,106.50
1985-01-01,106.20
1985-02-01,106.10
1985-03-01,106.90
1985-04-01,108.00
1985-05-01,108.60
1985-06-01,108.80
1985-07-01,109.00
1985-08-01,108.70
1985-09-01,108.50
1985-10-01,108.90
1985-11-01,109.70
1985-12-01,110.00
1986-01-01,110.10
1986-02-01,108.60
1986-03-01,105.50
1986-04-01,103.40
1986-05-01,104.30
1986-06-01,105.30
1986-07-01,104.20
1986-08-01,103.10
1986-09-01,103.40
1986-10-01,103.50
1986-11-01,104.20
1986-12-01,104.50
1987-01-01,105.80
1987-02-01,106.30
1987-03-01,106.50
1987-04-01,107.30
1987-05-01,107.70
1987-06-01,108.40
1987-07-01,109.00
1987-08-01,109.60
1987-09-01,109.70
1987-10-01,110.00
1987-11-01,110.80
1987-12-01,110.50
1988-01-01,110.10
1988-02-01,109.70
1988-03-01,109.50
1988-04-01,110.20
1988-05-01,111.10
1988-06-01,111.50
1988-07-01,111.90
1988-08-01,112.50
1988-09-01,112.50
1988-10-01,112.80
1988-11-01,113.50
1988-12-01,113.70
1989-01-01,114.00
1989-02-01,114.50
1989-03-01,114.80
1989-04-01,117.60
1989-05-01,119.00
1989-06-01,118.90
1989-07-01,118.40
1989-08-01,117.40
1989-09-01,117.70
1989-10-01,118.50
1989-11-01,119.10
1989-12-01,119.30
1990-01-01,121.40
1990-02-01,121.40
1990-03-01,121.30
1990-04-01,121.80
1990-05-01,122.30
1990-06-01,122.80
1990-07-01,123.00
1990-08-01,125.30
1990-09-01,128.00
1990-10-01,130.80
1990-11-01,132.10
1990-12-01,132.60
1991-01-01,130.90
1991-02-01,129.10
1991-03-01,127.60
1991-04-01,127.40
1991-05-01,128.50
1991-06-01,128.80
1991-07-01,128.60
1991-08-01,129.00
1991-09-01,129.00
1991-10-01,129.20
1991-11-01,130.50
1991-12-01,130.80
1992-01-01,130.30
1992-02-01,129.90
1992-03-01,130.50
1992-04-01,131.20
1992-05-01,132.10
1992-06-01,131.80
1992-07-01,132.20
1992-08-01,131.90
1992-09-01,131.80
1992-10-01,133.30
1992-11-01,134.70
1992-12-01,134.60
1993-01-01,134.90
1993-02-01,135.10
1993-03-01,134.80
1993-04-01,135.20
1993-05-01,136.00
1993-06-01,135.90
1993-07-01,136.00
1993-08-01,136.00
1993-09-01,135.80
1993-10-01,137.50
