Date,DHHNGSP
1997-11-10,3200000.00
1997-11-11,3260000.00
1997-11-12,3280000.00
1997-11-13,3270000.00
1997-11-14,3250000.00
1997-11-17,3100000.00
1997-11-18,3000000.00
1997-11-19,2970000.00
1997-11-20,2770000.00
1997-11-21,2590000.00
1997-11-24,2630000.00
1997-11-25,2510000.00
1997-11-26,2500000.00
1997-12-01,2520000.00
1997-12-02,2610000.00
1997-12-03,2530000.00
1997-12-04,2480000.00
1997-12-05,2420000.00
1997-12-08,2300000.00
1997-12-09,2350000.00
1997-12-10,2450000.00
1997-12-11,2300000.00
1997-12-12,2300000.00
1997-12-15,2250000.00
1997-12-16,2290000.00
1997-12-17,2380000.00
1997-12-18,2370000.00
1997-12-19,2390000.00
1997-12-22,2360000.00
1997-12-23,2240000.00
1997-12-24,2060000.00
1997-12-26,2180000.00
1997-12-29,2330000.00
1997-12-30,2270000.00
1997-12-31,2270000.00
1998-01-02,2160000.00
1998-01-05,2050000.00
1998-01-06,2160000.00
1998-01-07,2130000.00
1998-01-08,2110000.00
1998-01-09,2090000.00
1998-01-12,2010000.00
1998-01-13,2030000.00
1998-01-14,2050000.00
1998-01-15,2070000.00
1998-01-16,2110000.00
1998-01-20,2120000.00
1998-01-21,2090000.00
1998-01-22,2100000.00
1998-01-23,2140000.00
1998-01-26,2090000.00
1998-01-27,2060000.00
1998-01-28,2090000.00
1998-01-29,2070000.00
1998-01-30,2090000.00
1998-02-02,2230000.00
1998-02-03,2270000.00
1998-02-04,2230000.00
1998-02-05,2310000.00
1998-02-06,2350000.00
1998-02-09,2250000.00
1998-02-10,2180000.00
1998-02-11,2210000.00
1998-02-12,2200000.00
1998-02-13,2220000.00
1998-02-17,2180000.00
1998-02-18,2190000.00
1998-02-19,2220000.00
1998-02-20,2200000.00
1998-02-23,2200000.00
1998-02-24,2190000.00
1998-02-25,2210000.00
1998-02-26,2280000.00
1998-02-27,2230000.00
1998-03-02,2260000.00
1998-03-03,2240000.00
1998-03-04,2190000.00
1998-03-05,2120000.00
1998-03-06,2100000.00
1998-03-09,2170000.00
1998-03-10,2250000.00
1998-03-11,2250000.00
1998-03-12,2230000.00
1998-03-13,2210000.00
1998-03-16,2200000.00
1998-03-17,2200000.00
1998-03-18,2210000.00
1998-03-19,2250000.00
1998-03-20,2280000.00
1998-03-23,2330000.00
1998-03-24,2290000.00
1998-03-25,2330000.00
1998-03-26,2290000.00
1998-03-27,2260000.00
1998-03-30,2320000.00
1998-03-31,2340000.00
1998-04-01,2450000.00
1998-04-02,2430000.00
1998-04-03,2510000.00
1998-04-06,2510000.00
1998-04-07,2510000.00
1998-04-08,2650000.00
1998-04-09,2610000.00
1998-04-13,2520000.00
1998-04-14,2420000.00
1998-04-15,2480000.00
1998-04-16,2480000.00
1998-04-17,2400000.00
1998-04-20,2400000.00
1998-04-21,2460000.00
1998-04-22,2460000.00
1998-04-23,2350000.00
1998-04-24,2310000.00
1998-04-27,2290000.00
1998-04-28,2270000.00
1998-04-29,2290000.00
1998-04-30,2180000.00
1998-05-01,2110000.00
1998-05-04,2100000.00
1998-05-05,2190000.00
1998-05-06,2120000.00
1998-05-07,2160000.00
1998-05-08,2110000.00
1998-05-11,2190000.00
1998-05-12,2230000.00
1998-05-13,2240000.00
1998-05-14,2180000.00
1998-05-15,2180000.00
1998-05-18,2190000.00
1998-05-19,2170000.00
1998-05-20,2180000.00
1998-05-21,2110000.00
1998-05-22,2020000.00
1998-05-26,2100000.00
1998-05-27,2100000.00
1998-05-28,2040000.00
1998-05-29,2100000.00
1998-06-01,2100000.00
1998-06-02,2200000.00
1998-06-03,2130000.00
1998-06-04,2040000.00
1998-06-05,2010000.00
1998-06-08,2000000.00
1998-06-09,2010000.00
1998-06-10,1980000.00
1998-06-11,1990000.00
1998-06-12,2010000.00
1998-06-15,2080000.00
1998-06-16,2100000.00
1998-06-17,2050000.00
1998-06-18,2140000.00
1998-06-19,2200000.00
1998-06-22,2350000.00
1998-06-23,2350000.00
1998-06-24,2400000.00
1998-06-25,2390000.00
1998-06-26,2400000.00
1998-06-29,2360000.00
1998-06-30,2390000.00
1998-07-01,2460000.00
1998-07-02,2360000.00
1998-07-06,2380000.00
1998-07-07,2350000.00
1998-07-08,2390000.00
1998-07-09,2380000.00
1998-07-10,2320000.00
1998-07-13,2300000.00
1998-07-14,2230000.00
1998-07-15,2210000.00
1998-07-16,2150000.00
1998-07-17,2150000.00
1998-07-20,2180000.00
1998-07-21,2090000.00
1998-07-22,2000000.00
1998-07-23,2000000.00
1998-07-24,1970000.00
1998-07-27,2000000.00
1998-07-28,1970000.00
1998-07-29,1990000.00
1998-07-30,1950000.00
1998-07-31,1850000.00
1998-08-03,1840000.00
1998-08-04,1900000.00
1998-08-05,1910000.00
1998-08-06,1850000.00
1998-08-07,1820000.00
1998-08-10,1870000.00
1998-08-11,1870000.00
1998-08-12,1850000.00
1998-08-13,1830000.00
1998-08-14,1830000.00
1998-08-17,1930000.00
1998-08-18,1940000.00
1998-08-19,1960000.00
1998-08-20,1900000.00
1998-08-21,1930000.00
1998-08-24,1900000.00
1998-08-25,1890000.00
1998-08-26,1830000.00
1998-08-27,1760000.00
1998-08-28,1660000.00
1998-08-31,1610000.00
1998-09-01,1840000.00
1998-09-02,1720000.00
1998-09-03,1710000.00
1998-09-04,1710000.00
1998-09-08,1810000.00
1998-09-09,1780000.00
1998-09-10,1880000.00
1998-09-11,1860000.00
1998-09-14,1860000.00
1998-09-15,1940000.00
1998-09-16,2150000.00
1998-09-17,2120000.00
1998-09-18,2270000.00
1998-09-21,2180000.00
1998-09-22,2290000.00
1998-09-23,2190000.00
1998-09-24,2170000.00
1998-09-25,2380000.00
1998-09-28,2230000.00
1998-09-29,2060000.00
1998-09-30,2220000.00
1998-10-01,2330000.00
1998-10-02,2140000.00
1998-10-05,2090000.00
1998-10-06,2010000.00
1998-10-07,2050000.00
1998-10-08,2020000.00
1998-10-09,1800000.00
1998-10-12,1750000.00
1998-10-13,1700000.00
1998-10-14,1800000.00
1998-10-15,1750000.00
1998-10-16,1640000.00
1998-10-19,1740000.00
1998-10-20,1950000.00
1998-10-21,2040000.00
1998-10-22,1950000.00
1998-10-23,1840000.00
1998-10-26,1920000.00
1998-10-27,1850000.00
1998-10-28,1700000.00
1998-10-29,2000000.00
1998-10-30,2000000.00
1998-11-02,1840000.00
1998-11-03,2100000.00
1998-11-04,2110000.00
1998-11-05,2260000.00
1998-11-06,2250000.00
1998-11-09,2280000.00
1998-11-10,2300000.00
1998-11-11,2330000.00
1998-11-12,2210000.00
1998-11-13,2210000.00
1998-11-16,2190000.00
1998-11-17,2120000.00
1998-11-18,2100000.00
1998-11-19,2100000.00
1998-11-20,2070000.00
1998-11-23,2020000.00
1998-11-24,2080000.00
1998-11-25,2130000.00
1998-11-30,1630000.00
1998-12-01,1410000.00
1998-12-02,1400000.00
1998-12-03,1210000.00
1998-12-04,1050000.00
1998-12-07,1440000.00
1998-12-08,1790000.00
1998-12-09,1640000.00
1998-12-10,1590000.00
1998-12-11,1550000.00
1998-12-14,1800000.00
1998-12-15,1860000.00
1998-12-16,1950000.00
1998-12-17,2020000.00
1998-12-18,2020000.00
1998-12-21,2050000.00
1998-12-22,1960000.00
1998-12-23,1880000.00
1998-12-24,1890000.00
1998-12-28,1790000.00
1998-12-29,1820000.00
1998-12-30,1810000.00
1998-12-31,1950000.00
1999-01-04,2100000.00
1999-01-05,2050000.00
1999-01-06,2040000.00
1999-01-07,1910000.00
1999-01-08,1900000.00
1999-01-11,1830000.00
1999-01-12,1820000.00
1999-01-13,1870000.00
1999-01-14,1770000.00
1999-01-15,1780000.00
1999-01-19,1770000.00
1999-01-20,1810000.00
1999-01-21,1850000.00
1999-01-22,1820000.00
1999-01-25,1760000.00
1999-01-26,1730000.00
1999-01-27,1750000.00
1999-01-28,1750000.00
1999-01-29,1830000.00
1999-02-01,1750000.00
1999-02-02,1780000.00
1999-02-03,1800000.00
1999-02-04,1790000.00
1999-02-05,1810000.00
1999-02-08,1810000.00
1999-02-09,1820000.00
1999-02-10,1800000.00
1999-02-11,1780000.00
1999-02-12,1820000.00
1999-02-16,1790000.00
1999-02-17,1790000.00
1999-02-18,1800000.00
1999-02-19,1790000.00
1999-02-22,1770000.00
1999-02-23,1750000.00
1999-02-24,1730000.00
1999-02-25,1640000.00
1999-02-26,1630000.00
1999-03-01,1650000.00
1999-03-02,1670000.00
1999-03-03,1680000.00
1999-03-04,1720000.00
1999-03-05,1740000.00
1999-03-08,1870000.00
1999-03-09,1860000.00
1999-03-10,1940000.00
1999-03-11,1870000.00
1999-03-12,1810000.00
1999-03-15,1750000.00
1999-03-16,1750000.00
1999-03-17,1750000.00
1999-03-18,1750000.00
1999-03-19,1730000.00
1999-03-22,1740000.00
1999-03-23,1800000.00
1999-03-24,1790000.00
1999-03-25,1800000.00
1999-03-26,1830000.00
1999-03-29,1800000.00
1999-03-30,1890000.00
1999-03-31,2020000.00
1999-04-01,1950000.00
1999-04-05,2030000.00
1999-04-06,1980000.00
1999-04-07,2030000.00
1999-04-08,2070000.00
1999-04-09,2100000.00
1999-04-12,2060000.00
1999-04-13,2140000.00
1999-04-14,2110000.00
1999-04-15,2140000.00
1999-04-16,2140000.00
1999-04-19,2100000.00
1999-04-20,2180000.00
1999-04-21,2170000.00
1999-04-22,2240000.00
1999-04-23,2230000.00
1999-04-26,2230000.00
1999-04-27,2320000.00
1999-04-28,2310000.00
1999-04-29,2370000.00
1999-04-30,2250000.00
1999-05-03,2230000.00
1999-05-04,2320000.00
1999-05-05,2360000.00
1999-05-06,2320000.00
1999-05-07,2250000.00
1999-05-10,2250000.00
1999-05-11,2290000.00
1999-05-12,2190000.00
1999-05-13,2210000.00
1999-05-14,2280000.00
1999-05-17,2310000.00
1999-05-18,2300000.00
1999-05-19,2270000.00
1999-05-20,2260000.00
1999-05-21,2210000.00
1999-05-24,2190000.00
1999-05-25,2180000.00
1999-05-26,2220000.00
1999-05-27,2270000.00
1999-05-28,2290000.00
1999-06-01,2340000.00
1999-06-02,2360000.00
1999-06-03,2350000.00
1999-06-04,2310000.00
1999-06-07,2410000.00
1999-06-08,2380000.00
1999-06-09,2390000.00
1999-06-10,2370000.00
1999-06-11,2300000.00
1999-06-14,2290000.00
1999-06-15,2280000.00
1999-06-16,2280000.00
1999-06-17,2240000.00
1999-06-18,2240000.00
1999-06-21,2220000.00
1999-06-22,2230000.00
1999-06-23,2250000.00
1999-06-24,2260000.00
1999-06-25,2270000.00
1999-06-28,2250000.00
1999-06-29,2330000.00
1999-06-30,2340000.00
1999-07-01,2290000.00
1999-07-02,2260000.00
1999-07-06,2290000.00
1999-07-07,2200000.00
1999-07-08,2190000.00
1999-07-09,2170000.00
1999-07-12,2120000.00
1999-07-13,2140000.00
1999-07-14,2160000.00
1999-07-15,2120000.00
1999-07-16,2180000.00
1999-07-19,2200000.00
1999-07-20,2240000.00
1999-07-21,2250000.00
1999-07-22,2320000.00
1999-07-23,2420000.00
1999-07-26,2550000.00
1999-07-27,2550000.00
1999-07-28,2580000.00
1999-07-29,2670000.00
1999-07-30,2550000.00
1999-08-02,2510000.00
1999-08-03,2610000.00
1999-08-04,2640000.00
1999-08-05,2690000.00
1999-08-06,2690000.00
1999-08-09,2730000.00
1999-08-10,2770000.00
1999-08-11,2790000.00
1999-08-12,2730000.00
1999-08-13,2710000.00
1999-08-16,2730000.00
1999-08-17,2700000.00
1999-08-18,2750000.00
1999-08-19,2870000.00
1999-08-20,2970000.00
1999-08-23,2950000.00
1999-08-24,3010000.00
1999-08-25,3100000.00
1999-08-26,2970000.00
1999-08-27,2870000.00
1999-08-30,2850000.00
1999-08-31,2840000.00
1999-09-01,2710000.00
1999-09-02,2560000.00
1999-09-03,2470000.00
1999-09-07,2560000.00
1999-09-08,2660000.00
1999-09-09,2750000.00
1999-09-10,2840000.00
1999-09-13,2800000.00
1999-09-14,2660000.00
1999-09-15,2520000.00
1999-09-16,2470000.00
1999-09-17,2450000.00
1999-09-20,2490000.00
1999-09-21,2330000.00
1999-09-22,2300000.00
1999-09-23,2450000.00
1999-09-24,2540000.00
1999-09-27,2510000.00
1999-09-28,2520000.00
1999-09-29,2570000.00
1999-09-30,2310000.00
1999-10-01,2390000.00
1999-10-04,2490000.00
1999-10-05,2450000.00
1999-10-06,2480000.00
1999-10-07,2490000.00
1999-10-08,2350000.00
1999-10-11,2530000.00
1999-10-12,2650000.00
1999-10-13,2810000.00
1999-10-14,2700000.00
1999-10-15,2660000.00
1999-10-18,2820000.00
1999-10-19,2890000.00
1999-10-20,2900000.00
1999-10-21,2990000.00
1999-10-22,3000000.00
1999-10-25,2980000.00
1999-10-26,2960000.00
1999-10-27,3020000.00
1999-10-28,2970000.00
1999-10-29,2760000.00
1999-11-01,2730000.00
1999-11-02,2810000.00
1999-11-03,2820000.00
1999-11-04,2750000.00
1999-11-05,2620000.00
1999-11-08,2590000.00
1999-11-09,2440000.00
1999-11-10,2390000.00
1999-11-11,2380000.00
1999-11-12,2160000.00
1999-11-15,2330000.00
1999-11-16,2230000.00
1999-11-17,2240000.00
1999-11-18,2220000.00
1999-11-19,2160000.00
1999-11-22,2050000.00
1999-11-23,1990000.00
1999-11-24,1960000.00
1999-11-29,2250000.00
1999-11-30,2220000.00
1999-12-01,2170000.00
1999-12-02,2180000.00
1999-12-03,2160000.00
1999-12-06,2190000.00
1999-12-07,2160000.00
1999-12-08,2230000.00
1999-12-09,2200000.00
1999-12-10,2270000.00
1999-12-13,2350000.00
1999-12-14,2490000.00
1999-12-15,2540000.00
1999-12-16,2520000.00
1999-12-17,2550000.00
1999-12-20,2670000.00
1999-12-21,2590000.00
1999-12-22,2450000.00
1999-12-23,2420000.00
1999-12-27,2360000.00
1999-12-28,2320000.00
1999-12-29,2340000.00
1999-12-30,2300000.00
2000-01-04,2160000.00
2000-01-05,2170000.00
2000-01-06,2180000.00
2000-01-07,2190000.00
2000-01-10,2200000.00
2000-01-11,2230000.00
2000-01-12,2250000.00
2000-01-13,2290000.00
2000-01-14,2280000.00
2000-01-18,2350000.00
2000-01-19,2400000.00
2000-01-20,2530000.00
2000-01-21,2550000.00
2000-01-24,2550000.00
2000-01-25,2660000.00
2000-01-26,2730000.00
2000-01-27,2760000.00
2000-01-28,2840000.00
2000-01-31,2690000.00
2000-02-01,2810000.00
2000-02-02,2910000.00
2000-02-03,2850000.00
2000-02-04,2780000.00
2000-02-07,2810000.00
2000-02-08,2600000.00
2000-02-09,2620000.00
2000-02-10,2650000.00
2000-02-11,2650000.00
2000-02-14,2610000.00
2000-02-15,2610000.00
2000-02-16,2650000.00
2000-02-17,2660000.00
2000-02-18,2650000.00
2000-02-22,2550000.00
2000-02-23,2500000.00
2000-02-24,2520000.00
2000-02-25,2510000.00
2000-02-28,2600000.00
2000-02-29,2650000.00
2000-03-01,2710000.00
2000-03-02,2800000.00
2000-03-03,2720000.00
2000-03-06,2760000.00
2000-03-07,2780000.00
2000-03-08,2740000.00
2000-03-09,2690000.00
2000-03-13,2790000.00
2000-03-14,2830000.00
2000-03-15,2760000.00
2000-03-16,2840000.00
2000-03-17,2810000.00
2000-03-20,2730000.00
2000-03-21,2740000.00
2000-03-22,2780000.00
2000-03-23,2760000.00
2000-03-24,2820000.00
2000-03-27,2820000.00
2000-03-28,2940000.00
2000-03-29,2920000.00
2000-03-30,2830000.00
2000-03-31,2880000.00
2000-04-03,2920000.00
2000-04-04,2870000.00
2000-04-05,2860000.00
2000-04-06,2980000.00
2000-04-07,2990000.00
2000-04-10,2970000.00
2000-04-11,2980000.00
2000-04-12,3050000.00
2000-04-13,3050000.00
2000-04-14,3110000.00
2000-04-17,3130000.00
2000-04-18,3120000.00
2000-04-19,3120000.00
2000-04-20,3070000.00
2000-04-24,3120000.00
2000-04-25,3180000.00
2000-04-26,3120000.00
2000-04-27,3060000.00
2000-04-28,3090000.00
2000-05-01,3160000.00
2000-05-02,3200000.00
2000-05-03,3180000.00
2000-05-04,3090000.00
2000-05-05,3110000.00
2000-05-08,3120000.00
2000-05-09,3250000.00
2000-05-10,3200000.00
2000-05-11,3370000.00
2000-05-12,3350000.00
2000-05-15,3370000.00
2000-05-16,3450000.00
2000-05-17,3490000.00
2000-05-18,3730000.00
2000-05-19,3760000.00
2000-05-22,3950000.00
2000-05-23,3850000.00
2000-05-24,3940000.00
2000-05-25,4180000.00
2000-05-26,4290000.00
2000-05-30,4350000.00
2000-05-31,4520000.00
2000-06-01,4390000.00
2000-06-02,4210000.00
2000-06-05,4170000.00
2000-06-06,4480000.00
2000-06-07,4230000.00
2000-06-08,3960000.00
2000-06-09,4140000.00
2000-06-12,4220000.00
2000-06-13,4270000.00
2000-06-14,4160000.00
2000-06-15,4380000.00
2000-06-16,4450000.00
2000-06-19,4380000.00
2000-06-20,4020000.00
2000-06-21,4140000.00
2000-06-22,4440000.00
2000-06-23,4420000.00
2000-06-26,4370000.00
2000-06-27,4550000.00
2000-06-28,4440000.00
2000-06-29,4250000.00
2000-06-30,4360000.00
2000-07-03,4360000.00
2000-07-05,4240000.00
2000-07-06,4020000.00
2000-07-07,4000000.00
2000-07-10,4190000.00
2000-07-11,4170000.00
2000-07-12,4290000.00
2000-07-13,4080000.00
2000-07-14,4170000.00
2000-07-17,4130000.00
2000-07-18,3990000.00
2000-07-19,4070000.00
2000-07-20,3860000.00
2000-07-21,3880000.00
2000-07-24,3740000.00
2000-07-25,3630000.00
2000-07-26,3590000.00
2000-07-27,3750000.00
2000-07-28,3890000.00
2000-07-31,3750000.00
2000-08-01,3780000.00
2000-08-02,4050000.00
2000-08-03,4230000.00
2000-08-04,4250000.00
2000-08-07,4390000.00
2000-08-08,4460000.00
2000-08-09,4480000.00
2000-08-10,4430000.00
2000-08-11,4440000.00
2000-08-14,4420000.00
2000-08-15,4240000.00
2000-08-16,4240000.00
2000-08-17,4350000.00
2000-08-18,4380000.00
2000-08-21,4600000.00
2000-08-22,4800000.00
2000-08-23,4670000.00
2000-08-24,4530000.00
2000-08-25,4550000.00
2000-08-28,4620000.00
2000-08-29,4600000.00
2000-08-30,4610000.00
2000-08-31,4760000.00
2000-09-01,4700000.00
2000-09-05,4810000.00
2000-09-06,4890000.00
2000-09-07,4850000.00
2000-09-08,4740000.00
2000-09-11,4850000.00
2000-09-12,4960000.00
2000-09-13,5060000.00
2000-09-14,5100000.00
2000-09-15,5280000.00
2000-09-18,5060000.00
2000-09-19,5220000.00
2000-09-20,5240000.00
2000-09-21,5160000.00
2000-09-22,5160000.00
2000-09-25,5120000.00
2000-09-26,5280000.00
2000-09-27,5340000.00
2000-09-28,5200000.00
2000-09-29,5100000.00
2000-10-02,5240000.00
2000-10-03,5290000.00
2000-10-04,5220000.00
2000-10-05,5210000.00
2000-10-06,5040000.00
2000-10-09,5090000.00
2000-10-10,5160000.00
2000-10-11,5100000.00
2000-10-12,5540000.00
2000-10-13,5430000.00
2000-10-16,5340000.00
2000-10-17,5270000.00
2000-10-18,5360000.00
2000-10-19,5040000.00
2000-10-20,4840000.00
2000-10-23,4820000.00
2000-10-24,4840000.00
2000-10-25,4640000.00
2000-10-26,4610000.00
2000-10-27,4480000.00
2000-10-30,4560000.00
2000-10-31,4370000.00
2000-11-01,4400000.00
2000-11-02,4500000.00
2000-11-03,4640000.00
2000-11-06,4600000.00
2000-11-07,4680000.00
2000-11-08,4920000.00
2000-11-09,5340000.00
