Date,U22ATI
2008-08-01,7053000000.00
2008-09-01,7020000000.00
2008-10-01,7147000000.00
2008-11-01,7201000000.00
2008-12-01,6850000000.00
2009-01-01,6831000000.00
2009-02-01,6794000000.00
2009-03-01,6688000000.00
2009-04-01,6481000000.00
2009-05-01,6342000000.00
2009-06-01,6286000000.00
2009-07-01,6250000000.00
2009-08-01,6335000000.00
2009-09-01,6289000000.00
2009-10-01,6114000000.00
2009-11-01,6187000000.00
2009-12-01,6095000000.00
2010-01-01,6026000000.00
2010-02-01,6073000000.00
2010-03-01,5930000000.00
2010-04-01,6039000000.00
2010-05-01,6013000000.00
2010-06-01,5897000000.00
2010-07-01,5993000000.00
2010-08-01,6041000000.00
2010-09-01,6057000000.00
2010-10-01,6132000000.00
2010-11-01,6222000000.00
2010-12-01,6353000000.00
2011-01-01,6388000000.00
2011-02-01,6484000000.00
2011-03-01,6474000000.00
2011-04-01,6471000000.00
2011-05-01,6515000000.00
2011-06-01,6328000000.00
2011-07-01,6486000000.00
2011-08-01,6537000000.00
2011-09-01,6581000000.00
2011-10-01,6582000000.00
2011-11-01,6586000000.00
2011-12-01,6579000000.00
2012-01-01,6671000000.00
2012-02-01,6723000000.00
2012-03-01,6684000000.00
2012-04-01,6705000000.00
2012-05-01,6757000000.00
2012-06-01,6724000000.00
2012-07-01,6733000000.00
2012-08-01,6662000000.00
2012-09-01,6529000000.00
2012-10-01,6439000000.00
2012-11-01,6436000000.00
2012-12-01,6564000000.00
2013-01-01,6609000000.00
2013-02-01,6700000000.00
2013-03-01,6660000000.00
2013-04-01,6657000000.00
2013-05-01,6650000000.00
2013-06-01,6504000000.00
2013-07-01,6552000000.00
2013-08-01,6561000000.00
2013-09-01,6430000000.00
2013-10-01,6319000000.00
2013-11-01,6366000000.00
2013-12-01,6335000000.00
2014-01-01,6362000000.00
2014-02-01,6418000000.00
2014-03-01,6391000000.00
2014-04-01,6290000000.00
2014-05-01,6260000000.00
2014-06-01,6155000000.00
2014-07-01,6115000000.00
2014-08-01,6115000000.00
2014-09-01,6105000000.00
2014-10-01,6044000000.00
2014-11-01,6115000000.00
2014-12-01,6558000000.00
2015-01-01,6793000000.00
2015-02-01,6788000000.00
2015-03-01,6723000000.00
2015-04-01,6647000000.00
2015-05-01,6674000000.00
2015-06-01,6625000000.00
2015-07-01,6600000000.00
2015-08-01,6577000000.00
2015-09-01,6473000000.00
2015-10-01,6371000000.00
2015-11-01,6406000000.00
2015-12-01,6478000000.00
2016-01-01,6469000000.00
2016-02-01,6539000000.00
2016-03-01,6485000000.00
2016-04-01,6444000000.00
2016-05-01,6384000000.00
2016-06-01,6327000000.00
2016-07-01,6475000000.00
2016-08-01,6432000000.00
2016-09-01,6410000000.00
2016-10-01,6382000000.00
2016-11-01,6438000000.00
2016-12-01,6581000000.00
2017-01-01,6565000000.00
2017-02-01,6626000000.00
2017-03-01,6580000000.00
2017-04-01,6659000000.00
2017-05-01,6552000000.00
2017-06-01,6515000000.00
2017-07-01,6592000000.00
2017-08-01,6562000000.00
2017-09-01,6487000000.00
2017-10-01,6377000000.00
2017-11-01,6437000000.00
2017-12-01,6550000000.00
2018-01-01,6558000000.00
2018-02-01,6607000000.00
2018-03-01,6608000000.00
2018-04-01,6535000000.00
