Date,MJFUELUSGULF
1990-04-01,0.54
1990-05-01,0.52
1990-06-01,0.49
1990-07-01,0.54
1990-08-01,0.79
1990-09-01,1.01
1990-10-01,1.20
1990-11-01,0.97
1990-12-01,0.80
1991-01-01,0.74
1991-02-01,0.64
1991-03-01,0.56
1991-04-01,0.55
1991-05-01,0.57
1991-06-01,0.55
1991-07-01,0.59
1991-08-01,0.62
1991-09-01,0.64
1991-10-01,0.67
1991-11-01,0.65
1991-12-01,0.52
1992-01-01,0.51
1992-02-01,0.54
1992-03-01,0.51
1992-04-01,0.54
1992-05-01,0.58
1992-06-01,0.62
1992-07-01,0.61
1992-08-01,0.59
1992-09-01,0.62
1992-10-01,0.62
1992-11-01,0.56
1992-12-01,0.54
1993-01-01,0.53
1993-02-01,0.55
1993-03-01,0.56
1993-04-01,0.55
1993-05-01,0.55
1993-06-01,0.53
1993-07-01,0.49
1993-08-01,0.50
1993-09-01,0.54
1993-10-01,0.57
1993-11-01,0.53
1993-12-01,0.45
1994-01-01,0.53
1994-02-01,0.50
1994-03-01,0.45
1994-04-01,0.47
1994-05-01,0.47
1994-06-01,0.49
1994-07-01,0.51
1994-08-01,0.50
1994-09-01,0.49
1994-10-01,0.51
1994-11-01,0.51
1994-12-01,0.49
1995-01-01,0.47
1995-02-01,0.47
1995-03-01,0.45
1995-04-01,0.50
1995-05-01,0.51
1995-06-01,0.48
1995-07-01,0.47
1995-08-01,0.50
1995-09-01,0.51
1995-10-01,0.50
1995-11-01,0.52
1995-12-01,0.55
1996-01-01,0.55
1996-02-01,0.56
1996-03-01,0.59
1996-04-01,0.62
1996-05-01,0.56
1996-06-01,0.52
1996-07-01,0.56
1996-08-01,0.62
1996-09-01,0.68
1996-10-01,0.70
1996-11-01,0.70
1996-12-01,0.69
1997-01-01,0.68
1997-02-01,0.62
1997-03-01,0.56
1997-04-01,0.54
1997-05-01,0.55
1997-06-01,0.52
1997-07-01,0.54
1997-08-01,0.56
1997-09-01,0.54
1997-10-01,0.57
1997-11-01,0.55
1997-12-01,0.50
1998-01-01,0.48
1998-02-01,0.45
1998-03-01,0.41
1998-04-01,0.43
1998-05-01,0.42
1998-06-01,0.39
1998-07-01,0.39
1998-08-01,0.37
1998-09-01,0.42
1998-10-01,0.42
1998-11-01,0.37
1998-12-01,0.30
1999-01-01,0.33
1999-02-01,0.31
1999-03-01,0.38
1999-04-01,0.43
1999-05-01,0.42
1999-06-01,0.44
1999-07-01,0.51
1999-08-01,0.56
1999-09-01,0.61
1999-10-01,0.60
1999-11-01,0.66
1999-12-01,0.70
2000-01-01,0.78
2000-02-01,0.78
2000-03-01,0.77
2000-04-01,0.72
2000-05-01,0.76
2000-06-01,0.79
2000-07-01,0.80
2000-08-01,0.90
2000-09-01,1.02
2000-10-01,0.98
2000-11-01,1.03
2000-12-01,0.86
2001-01-01,0.87
2001-02-01,0.82
2001-03-01,0.75
2001-04-01,0.77
2001-05-01,0.82
2001-06-01,0.77
2001-07-01,0.71
2001-08-01,0.76
2001-09-01,0.74
2001-10-01,0.62
2001-11-01,0.54
2001-12-01,0.52
2002-01-01,0.53
2002-02-01,0.55
2002-03-01,0.63
2002-04-01,0.67
2002-05-01,0.67
2002-06-01,0.65
2002-07-01,0.69
2002-08-01,0.72
2002-09-01,0.80
2002-10-01,0.79
2002-11-01,0.71
2002-12-01,0.81
2003-01-01,0.89
2003-02-01,1.06
2003-03-01,0.89
2003-04-01,0.74
2003-05-01,0.71
2003-06-01,0.75
2003-07-01,0.78
2003-08-01,0.82
2003-09-01,0.74
2003-10-01,0.82
2003-11-01,0.83
2003-12-01,0.88
2004-01-01,1.00
2004-02-01,0.93
2004-03-01,0.95
2004-04-01,0.97
2004-05-01,1.09
2004-06-01,1.03
2004-07-01,1.15
2004-08-01,1.23
2004-09-01,1.36
2004-10-01,1.52
2004-11-01,1.35
2004-12-01,1.22
2005-01-01,1.33
2005-02-01,1.33
2005-03-01,1.56
2005-04-01,1.57
2005-05-01,1.47
2005-06-01,1.65
2005-07-01,1.67
2005-08-01,1.87
2005-09-01,2.23
2005-10-01,2.40
2005-11-01,1.70
2005-12-01,1.73
2006-01-01,1.82
2006-02-01,1.75
2006-03-01,1.88
2006-04-01,2.07
2006-05-01,2.07
2006-06-01,2.08
2006-07-01,2.15
2006-08-01,2.13
2006-09-01,1.81
2006-10-01,1.74
2006-11-01,1.73
2006-12-01,1.81
2007-01-01,1.65
2007-02-01,1.74
2007-03-01,1.85
2007-04-01,2.04
2007-05-01,2.04
2007-06-01,2.10
2007-07-01,2.14
2007-08-01,2.09
2007-09-01,2.27
2007-10-01,2.37
2007-11-01,2.67
2007-12-01,2.60
2008-01-01,2.61
2008-02-01,2.73
2008-03-01,3.12
2008-04-01,3.37
2008-05-01,3.74
2008-06-01,3.88
2008-07-01,3.89
2008-08-01,3.27
2008-09-01,3.38
2008-10-01,2.32
2008-11-01,1.88
2008-12-01,1.38
2009-01-01,1.47
2009-02-01,1.26
2009-03-01,1.27
2009-04-01,1.37
2009-05-01,1.49
2009-06-01,1.81
2009-07-01,1.71
2009-08-01,1.89
2009-09-01,1.75
2009-10-01,1.94
2009-11-01,1.99
2009-12-01,1.98
2010-01-01,2.05
2010-02-01,1.99
2010-03-01,2.11
2010-04-01,2.24
2010-05-01,2.06
2010-06-01,2.06
2010-07-01,2.02
2010-08-01,2.08
2010-09-01,2.11
2010-10-01,2.25
2010-11-01,2.32
2010-12-01,2.45
2011-01-01,2.62
2011-02-01,2.84
2011-03-01,3.13
2011-04-01,3.27
2011-05-01,3.09
2011-06-01,3.05
2011-07-01,3.13
2011-08-01,3.01
2011-09-01,2.95
2011-10-01,2.97
2011-11-01,3.05
2011-12-01,2.87
2012-01-01,3.09
2012-02-01,3.21
2012-03-01,3.26
2012-04-01,3.23
2012-05-01,2.97
2012-06-01,2.68
2012-07-01,2.89
2012-08-01,3.16
2012-09-01,3.19
2012-10-01,3.11
2012-11-01,2.96
2012-12-01,2.94
2013-01-01,3.09
2013-02-01,3.22
2013-03-01,2.97
2013-04-01,2.81
2013-05-01,2.73
2013-06-01,2.77
2013-07-01,2.89
2013-08-01,3.00
2013-09-01,2.93
2013-10-01,2.89
2013-11-01,2.83
2013-12-01,2.96
2014-01-01,2.92
2014-02-01,2.97
2014-03-01,2.89
2014-04-01,2.89
2014-05-01,2.87
2014-06-01,2.88
2014-07-01,2.82
2014-08-01,2.84
2014-09-01,2.73
2014-10-01,2.46
2014-11-01,2.30
2014-12-01,1.80
2015-01-01,1.50
2015-02-01,1.77
2015-03-01,1.63
2015-04-01,1.70
2015-05-01,1.85
2015-06-01,1.73
2015-07-01,1.55
2015-08-01,1.39
2015-09-01,1.40
2015-10-01,1.39
2015-11-01,1.33
2015-12-01,1.08
2016-01-01,0.93
2016-02-01,0.97
2016-03-01,1.07
2016-04-01,1.15
2016-05-01,1.30
2016-06-01,1.38
2016-07-01,1.27
2016-08-01,1.30
2016-09-01,1.32
2016-10-01,1.46
2016-11-01,1.36
2016-12-01,1.49
2017-01-01,1.51
2017-02-01,1.55
2017-03-01,1.45
2017-04-01,1.51
2017-05-01,1.41
2017-06-01,1.30
2017-07-01,1.42
2017-08-01,1.56
2017-09-01,1.80
2017-10-01,1.66
2017-11-01,1.76
2017-12-01,1.82
2018-01-01,1.95
2018-02-01,1.85
2018-03-01,1.86
2018-04-01,2.02
2018-05-01,2.16
