Date,FEDGOVCONTRIBNOW
2014-04-01,-0.11
2014-07-01,0.21
2014-10-01,0.08
2015-01-01,-0.11
2015-04-01,0.24
2015-07-01,-0.13
2015-10-01,0.20
2016-01-01,0.05
2016-04-01,0.02
2016-07-01,0.16
2016-10-01,-0.06
2017-01-01,0.20
2017-04-01,-0.03
2017-07-01,-0.18
2017-10-01,0.19
2018-01-01,0.11
2018-04-01,0.06
