Date,TLNRESCON
2002-01-01,33545000000.00
2002-02-01,32868000000.00
2002-03-01,33956000000.00
2002-04-01,36496000000.00
2002-05-01,38325000000.00
2002-06-01,39273000000.00
2002-07-01,39983000000.00
2002-08-01,41101000000.00
2002-09-01,40460000000.00
2002-10-01,39484000000.00
2002-11-01,36792000000.00
2002-12-01,33632000000.00
2003-01-01,31083000000.00
2003-02-01,30511000000.00
2003-03-01,32330000000.00
2003-04-01,34899000000.00
2003-05-01,37304000000.00
2003-06-01,39969000000.00
2003-07-01,39923000000.00
2003-08-01,41520000000.00
2003-09-01,41995000000.00
2003-10-01,40336000000.00
2003-11-01,36385000000.00
2003-12-01,33991000000.00
2004-01-01,30822000000.00
2004-02-01,30688000000.00
2004-03-01,33843000000.00
2004-04-01,36089000000.00
2004-05-01,37759000000.00
2004-06-01,40687000000.00
2004-07-01,41549000000.00
2004-08-01,42738000000.00
2004-09-01,42688000000.00
2004-10-01,40751000000.00
2004-11-01,39406000000.00
2004-12-01,35928000000.00
2005-01-01,32874000000.00
2005-02-01,33266000000.00
2005-03-01,35829000000.00
2005-04-01,38125000000.00
2005-05-01,41125000000.00
2005-06-01,43738000000.00
2005-07-01,43850000000.00
2005-08-01,46076000000.00
2005-09-01,45853000000.00
2005-10-01,44240000000.00
2005-11-01,42409000000.00
2005-12-01,39245000000.00
2006-01-01,36383000000.00
2006-02-01,36734000000.00
2006-03-01,40162000000.00
2006-04-01,42512000000.00
2006-05-01,46297000000.00
2006-06-01,49854000000.00
2006-07-01,49861000000.00
2006-08-01,52110000000.00
2006-09-01,50909000000.00
2006-10-01,49647000000.00
2006-11-01,48009000000.00
2006-12-01,44931000000.00
2007-01-01,42215000000.00
2007-02-01,42611000000.00
2007-03-01,46325000000.00
2007-04-01,49500000000.00
2007-05-01,54457000000.00
2007-06-01,57868000000.00
2007-07-01,58828000000.00
2007-08-01,62472000000.00
2007-09-01,62075000000.00
2007-10-01,62870000000.00
2007-11-01,58960000000.00
2007-12-01,53703000000.00
2008-01-01,50432000000.00
2008-02-01,51184000000.00
2008-03-01,53351000000.00
2008-04-01,56778000000.00
2008-05-01,60103000000.00
2008-06-01,63065000000.00
2008-07-01,64782000000.00
2008-08-01,65290000000.00
2008-09-01,65365000000.00
2008-10-01,65123000000.00
2008-11-01,60013000000.00
2008-12-01,55204000000.00
2009-01-01,48245000000.00
2009-02-01,49115000000.00
2009-03-01,52669000000.00
2009-04-01,54540000000.00
2009-05-01,56246000000.00
2009-06-01,59941000000.00
2009-07-01,60319000000.00
2009-08-01,59668000000.00
2009-09-01,58270000000.00
2009-10-01,55550000000.00
2009-11-01,50621000000.00
2009-12-01,45819000000.00
2010-01-01,38328000000.00
2010-02-01,38148000000.00
2010-03-01,41698000000.00
2010-04-01,44898000000.00
2010-05-01,46675000000.00
2010-06-01,51012000000.00
2010-07-01,50107000000.00
2010-08-01,52545000000.00
2010-09-01,52973000000.00
2010-10-01,50124000000.00
2010-11-01,47521000000.00
2010-12-01,42901000000.00
2011-01-01,34696000000.00
2011-02-01,34991000000.00
2011-03-01,38587000000.00
2011-04-01,40693000000.00
2011-05-01,43698000000.00
2011-06-01,49000000000.00
2011-07-01,48312000000.00
2011-08-01,52006000000.00
2011-09-01,52050000000.00
2011-10-01,49560000000.00
2011-11-01,47835000000.00
2011-12-01,44260000000.00
2012-01-01,39710000000.00
2012-02-01,40291000000.00
2012-03-01,42500000000.00
2012-04-01,45265000000.00
2012-05-01,49106000000.00
2012-06-01,52504000000.00
2012-07-01,52493000000.00
2012-08-01,54217000000.00
2012-09-01,52903000000.00
2012-10-01,52516000000.00
2012-11-01,48734000000.00
2012-12-01,44162000000.00
2013-01-01,38420000000.00
2013-02-01,38619000000.00
2013-03-01,40307000000.00
2013-04-01,44268000000.00
2013-05-01,47799000000.00
2013-06-01,51202000000.00
2013-07-01,53614000000.00
2013-08-01,55212000000.00
2013-09-01,54705000000.00
2013-10-01,54448000000.00
2013-11-01,50928000000.00
2013-12-01,47613000000.00
2014-01-01,42904000000.00
2014-02-01,43048000000.00
2014-03-01,45539000000.00
2014-04-01,49747000000.00
2014-05-01,52921000000.00
2014-06-01,56569000000.00
2014-07-01,58046000000.00
2014-08-01,58750000000.00
2014-09-01,58589000000.00
2014-10-01,59670000000.00
2014-11-01,54229000000.00
2014-12-01,50756000000.00
2015-01-01,44957000000.00
2015-02-01,45533000000.00
2015-03-01,49770000000.00
2015-04-01,55011000000.00
2015-05-01,59169000000.00
2015-06-01,64510000000.00
2015-07-01,64209000000.00
2015-08-01,65538000000.00
2015-09-01,64665000000.00
2015-10-01,61818000000.00
2015-11-01,56695000000.00
2015-12-01,53010000000.00
2016-01-01,47928000000.00
2016-02-01,49490000000.00
2016-03-01,53167000000.00
2016-04-01,55915000000.00
2016-05-01,59808000000.00
2016-06-01,64856000000.00
2016-07-01,64908000000.00
2016-08-01,66452000000.00
2016-09-01,66484000000.00
2016-10-01,64750000000.00
2016-11-01,61950000000.00
2016-12-01,56814000000.00
2017-01-01,50087000000.00
2017-02-01,50660000000.00
2017-03-01,54259000000.00
2017-04-01,55732000000.00
2017-05-01,61251000000.00
2017-06-01,63201000000.00
2017-07-01,62679000000.00
2017-08-01,64707000000.00
2017-09-01,64721000000.00
2017-10-01,64036000000.00
2017-11-01,61243000000.00
2017-12-01,57536000000.00
2018-01-01,52205000000.00
2018-02-01,53119000000.00
2018-03-01,56541000000.00
2018-04-01,59534000000.00
