Date,DTCTHFNM
1943-01-01,1076000000.00
1943-02-01,994000000.00
1943-03-01,938000000.00
1943-04-01,888000000.00
1943-05-01,841000000.00
1943-06-01,821000000.00
1943-07-01,793000000.00
1943-08-01,773000000.00
1943-09-01,766000000.00
1943-10-01,753000000.00
1943-11-01,746000000.00
1943-12-01,763000000.00
1944-01-01,738000000.00
1944-02-01,728000000.00
1944-03-01,745000000.00
1944-04-01,738000000.00
1944-05-01,743000000.00
1944-06-01,756000000.00
1944-07-01,769000000.00
1944-08-01,771000000.00
1944-09-01,771000000.00
1944-10-01,771000000.00
1944-11-01,774000000.00
1944-12-01,799000000.00
1945-01-01,778000000.00
1945-02-01,765000000.00
1945-03-01,776000000.00
1945-04-01,775000000.00
1945-05-01,781000000.00
1945-06-01,792000000.00
1945-07-01,799000000.00
1945-08-01,802000000.00
1945-09-01,805000000.00
1945-10-01,826000000.00
1945-11-01,855000000.00
1945-12-01,910000000.00
1946-01-01,919000000.00
1946-02-01,939000000.00
1946-03-01,969000000.00
1946-04-01,1025000000.00
1946-05-01,1069000000.00
1946-06-01,1110000000.00
1946-07-01,1157000000.00
1946-08-01,1211000000.00
1946-09-01,1263000000.00
1946-10-01,1323000000.00
1946-11-01,1390000000.00
1946-12-01,1494000000.00
1947-01-01,1542000000.00
1947-02-01,1596000000.00
1947-03-01,1670000000.00
1947-04-01,1757000000.00
1947-05-01,1832000000.00
1947-06-01,1903000000.00
1947-07-01,1971000000.00
1947-08-01,2032000000.00
1947-09-01,2072000000.00
1947-10-01,2141000000.00
1947-11-01,2236000000.00
1947-12-01,2359000000.00
1948-01-01,2435000000.00
1948-02-01,2491000000.00
1948-03-01,2606000000.00
1948-04-01,2719000000.00
1948-05-01,2805000000.00
1948-06-01,2862000000.00
1948-07-01,2943000000.00
1948-08-01,3017000000.00
1948-09-01,3087000000.00
1948-10-01,3093000000.00
1948-11-01,3128000000.00
1948-12-01,3206000000.00
1949-01-01,3191000000.00
1949-02-01,3198000000.00
1949-03-01,3279000000.00
1949-04-01,3394000000.00
1949-05-01,3529000000.00
1949-06-01,3649000000.00
1949-07-01,3769000000.00
1949-08-01,3907000000.00
1949-09-01,4005000000.00
1949-10-01,4094000000.00
1949-11-01,4192000000.00
1949-12-01,4305000000.00
1950-01-01,4319000000.00
1950-02-01,4367000000.00
1950-03-01,4449000000.00
1950-04-01,4547000000.00
1950-05-01,4673000000.00
1950-06-01,4866000000.00
1950-07-01,5080000000.00
1950-08-01,5219000000.00
1950-09-01,5321000000.00
1950-10-01,5339000000.00
1950-11-01,5294000000.00
1950-12-01,5315000000.00
1951-01-01,5274000000.00
1951-02-01,5224000000.00
1951-03-01,5213000000.00
1951-04-01,5206000000.00
1951-05-01,5255000000.00
1951-06-01,5328000000.00
1951-07-01,5360000000.00
1951-08-01,5477000000.00
1951-09-01,5557000000.00
1951-10-01,5519000000.00
1951-11-01,5541000000.00
1951-12-01,5601000000.00
1952-01-01,5549000000.00
1952-02-01,5522000000.00
1952-03-01,5508000000.00
1952-04-01,5585000000.00
1952-05-01,5806000000.00
1952-06-01,6117000000.00
1952-07-01,6317000000.00
1952-08-01,6380000000.00
1952-09-01,6470000000.00
1952-10-01,6646000000.00
1952-11-01,6802000000.00
1952-12-01,7057000000.00
1953-01-01,7180000000.00
1953-02-01,7271000000.00
1953-03-01,7441000000.00
1953-04-01,7605000000.00
1953-05-01,7787000000.00
1953-06-01,7973000000.00
1953-07-01,8192000000.00
1953-08-01,8317000000.00
1953-09-01,8405000000.00
1953-10-01,8479000000.00
1953-11-01,8546000000.00
1953-12-01,8624000000.00
1954-01-01,8521000000.00
1954-02-01,8425000000.00
1954-03-01,8340000000.00
1954-04-01,8368000000.00
1954-05-01,8405000000.00
1954-06-01,8534000000.00
1954-07-01,8672000000.00
1954-08-01,8739000000.00
1954-09-01,8793000000.00
1954-10-01,8827000000.00
1954-11-01,8869000000.00
1954-12-01,9063000000.00
1955-01-01,9107000000.00
1955-02-01,9230000000.00
1955-03-01,9474000000.00
1955-04-01,9769000000.00
1955-05-01,10080000000.00
1955-06-01,10463000000.00
1955-07-01,10805000000.00
1955-08-01,11149000000.00
1955-09-01,11385000000.00
1955-10-01,11500000000.00
1955-11-01,11605000000.00
1955-12-01,11838000000.00
1956-01-01,11842000000.00
1956-02-01,11894000000.00
1956-03-01,11994000000.00
1956-04-01,12073000000.00
1956-05-01,12162000000.00
1956-06-01,12326000000.00
1956-07-01,12445000000.00
1956-08-01,12583000000.00
1956-09-01,12614000000.00
1956-10-01,12600000000.00
1956-11-01,12620000000.00
1956-12-01,12726000000.00
1957-01-01,12645000000.00
1957-02-01,12618000000.00
1957-03-01,12605000000.00
1957-04-01,12672000000.00
1957-05-01,12755000000.00
1957-06-01,12902000000.00
1957-07-01,13066000000.00
1957-08-01,13172000000.00
1957-09-01,13189000000.00
1957-10-01,13169000000.00
1957-11-01,13149000000.00
1957-12-01,13234000000.00
1958-01-01,13092000000.00
