Date,SUUR0000SEFV
1999-12-01,100.00
2000-01-01,100.20
2000-02-01,100.50
2000-03-01,100.70
2000-04-01,100.80
2000-05-01,101.00
2000-06-01,101.20
2000-07-01,101.50
2000-08-01,101.70
2000-09-01,102.00
2000-10-01,102.00
2000-11-01,102.10
2000-12-01,102.40
2001-01-01,102.70
2001-02-01,102.90
2001-03-01,103.20
2001-04-01,103.50
2001-05-01,103.80
2001-06-01,104.00
2001-07-01,104.40
2001-08-01,104.70
2001-09-01,105.00
2001-10-01,105.30
2001-11-01,105.40
2001-12-01,105.60
2002-01-01,105.90
2002-02-01,106.10
2002-03-01,106.20
2002-04-01,106.30
2002-05-01,106.60
2002-06-01,106.90
2002-07-01,107.10
2002-08-01,107.20
2002-09-01,107.50
2002-10-01,107.70
2002-11-01,107.90
2002-12-01,108.10
2003-01-01,108.00
2003-02-01,108.40
2003-03-01,108.60
2003-04-01,108.70
2003-05-01,108.90
2003-06-01,109.20
2003-07-01,109.40
2003-08-01,109.60
2003-09-01,109.70
2003-10-01,110.00
2003-11-01,110.30
2003-12-01,110.60
2004-01-01,111.00
2004-02-01,111.30
2004-03-01,111.50
2004-04-01,111.80
2004-05-01,112.00
2004-06-01,112.20
2004-07-01,112.70
2004-08-01,113.00
2004-09-01,113.30
2004-10-01,113.60
2004-11-01,113.70
2004-12-01,113.90
2005-01-01,114.40
2005-02-01,114.70
2005-03-01,114.90
2005-04-01,115.20
2005-05-01,115.40
2005-06-01,115.70
2005-07-01,116.00
2005-08-01,116.40
2005-09-01,116.60
2005-10-01,117.00
2005-11-01,117.30
2005-12-01,117.50
2006-01-01,117.80
2006-02-01,118.10
2006-03-01,118.40
2006-04-01,118.70
2006-05-01,119.10
2006-06-01,119.40
2006-07-01,119.70
2006-08-01,120.00
2006-09-01,120.20
2006-10-01,120.60
2006-11-01,120.80
2006-12-01,121.20
2007-01-01,121.81
2007-02-01,122.21
2007-03-01,122.32
2007-04-01,122.71
2007-05-01,122.99
2007-06-01,123.46
2007-07-01,124.00
2007-08-01,124.52
2007-09-01,125.04
2007-10-01,125.36
2007-11-01,125.63
2007-12-01,125.88
2008-01-01,126.38
2008-02-01,126.84
2008-03-01,127.22
2008-04-01,127.60
2008-05-01,128.15
2008-06-01,128.85
2008-07-01,129.55
2008-08-01,129.98
2008-09-01,130.71
2008-10-01,131.30
2008-11-01,131.73
2008-12-01,132.11
2009-01-01,132.47
2009-02-01,132.83
2009-03-01,133.01
2009-04-01,133.30
2009-05-01,133.44
2009-06-01,133.59
2009-07-01,133.72
2009-08-01,133.86
2009-09-01,133.99
2009-10-01,134.15
2009-11-01,134.38
2009-12-01,134.47
2010-01-01,134.52
2010-02-01,134.55
2010-03-01,134.56
2010-04-01,134.76
2010-05-01,134.88
2010-06-01,134.93
2010-07-01,134.85
2010-08-01,135.50
2010-09-01,136.07
2010-10-01,136.17
2010-11-01,136.33
2010-12-01,136.48
2011-01-01,136.74
2011-02-01,136.96
2011-03-01,137.39
2011-04-01,137.87
2011-05-01,138.10
2011-06-01,138.50
2011-07-01,138.79
2011-08-01,139.29
2011-09-01,139.64
2011-10-01,139.90
2011-11-01,140.22
2011-12-01,140.48
2012-01-01,140.88
2012-02-01,141.14
2012-03-01,141.44
2012-04-01,141.84
2012-05-01,142.21
2012-06-01,142.56
2012-07-01,142.86
2012-08-01,143.27
2012-09-01,143.51
2012-10-01,143.64
2012-11-01,143.81
2012-12-01,143.98
2013-01-01,144.17
2013-02-01,144.32
2013-03-01,144.60
2013-04-01,145.08
2013-05-01,145.35
2013-06-01,145.58
2013-07-01,145.81
2013-08-01,146.08
2013-09-01,146.22
2013-10-01,146.43
2013-11-01,146.78
2013-12-01,146.98
2014-01-01,147.08
2014-02-01,147.41
2014-03-01,147.84
2014-04-01,148.21
2014-05-01,148.44
2014-06-01,148.73
2014-07-01,149.22
2014-08-01,149.56
2014-09-01,150.02
2014-10-01,150.35
2014-11-01,150.89
2014-12-01,151.29
2015-01-01,151.45
2015-02-01,151.90
2015-03-01,152.14
2015-04-01,152.53
2015-05-01,152.84
2015-06-01,153.13
2015-07-01,153.11
2015-08-01,153.49
2015-09-01,154.54
2015-10-01,154.86
2015-11-01,155.15
2015-12-01,155.31
2016-01-01,155.79
2016-02-01,155.98
2016-03-01,156.31
2016-04-01,156.68
2016-05-01,157.03
2016-06-01,157.28
2016-07-01,157.58
2016-08-01,157.95
2016-09-01,158.25
2016-10-01,158.49
2016-11-01,158.62
2016-12-01,158.86
2017-01-01,159.52
2017-02-01,159.87
2017-03-01,160.09
2017-04-01,160.45
2017-05-01,160.79
2017-06-01,160.85
2017-07-01,161.09
2017-08-01,161.64
2017-09-01,162.14
2017-10-01,162.30
2017-11-01,162.60
2017-12-01,163.02
2018-01-01,163.59
2018-02-01,163.99
2018-03-01,164.16
2018-04-01,164.56
2018-05-01,165.10
