Date,NCBEILQ027S
1945-10-01,103694000000.00
1946-10-01,97302000000.00
1947-10-01,95116000000.00
1948-10-01,94141000000.00
1949-10-01,103822000000.00
1950-10-01,126681000000.00
1951-10-01,147629000000.00
1952-01-01,151463000000.00
1952-04-01,157607000000.00
1952-07-01,156907000000.00
1952-10-01,146628000000.00
1953-01-01,143052000000.00
1953-04-01,133816000000.00
1953-07-01,129274000000.00
1953-10-01,144082000000.00
1954-01-01,156255000000.00
1954-04-01,172550000000.00
1954-07-01,191985000000.00
1954-10-01,194840000000.00
1955-01-01,202122000000.00
1955-04-01,225533000000.00
1955-07-01,240995000000.00
1955-10-01,244222000000.00
1956-01-01,262345000000.00
1956-04-01,252704000000.00
1956-07-01,246833000000.00
1956-10-01,268373000000.00
1957-01-01,254023000000.00
1957-04-01,273076000000.00
1957-07-01,245392000000.00
1957-10-01,245747000000.00
1958-01-01,261319000000.00
1958-04-01,278565000000.00
1958-07-01,310541000000.00
1958-10-01,324670000000.00
1959-01-01,332012000000.00
1959-04-01,346451000000.00
1959-07-01,339875000000.00
1959-10-01,362157000000.00
1960-01-01,339310000000.00
1960-04-01,347588000000.00
1960-07-01,321285000000.00
1960-10-01,365166000000.00
1961-01-01,410353000000.00
1961-04-01,411555000000.00
1961-07-01,423621000000.00
1961-10-01,437674000000.00
1962-01-01,427931000000.00
1962-04-01,326582000000.00
1962-07-01,345363000000.00
1962-10-01,424314000000.00
1963-01-01,447981000000.00
1963-04-01,469026000000.00
1963-07-01,487677000000.00
1963-10-01,465779000000.00
1964-01-01,495027000000.00
1964-04-01,511094000000.00
1964-07-01,528953000000.00
1964-10-01,545955000000.00
1965-01-01,559834000000.00
1965-04-01,539451000000.00
1965-07-01,587928000000.00
1965-10-01,623812000000.00
1966-01-01,606267000000.00
1966-04-01,581050000000.00
1966-07-01,523227000000.00
1966-10-01,547891000000.00
1967-01-01,625556000000.00
1967-04-01,641312000000.00
1967-07-01,678588000000.00
1967-10-01,712221000000.00
1968-01-01,652734000000.00
