Date,TLTRANSCON
2002-01-01,1729000000.00
2002-02-01,1729000000.00
2002-03-01,1950000000.00
2002-04-01,2049000000.00
2002-05-01,2278000000.00
2002-06-01,2376000000.00
2002-07-01,2322000000.00
2002-08-01,2477000000.00
2002-09-01,2441000000.00
2002-10-01,2283000000.00
2002-11-01,2221000000.00
2002-12-01,1927000000.00
2003-01-01,1686000000.00
2003-02-01,1729000000.00
2003-03-01,1768000000.00
2003-04-01,2027000000.00
2003-05-01,2124000000.00
2003-06-01,2249000000.00
2003-07-01,2189000000.00
2003-08-01,2316000000.00
2003-09-01,2366000000.00
2003-10-01,2296000000.00
2003-11-01,2119000000.00
2003-12-01,1842000000.00
2004-01-01,1669000000.00
2004-02-01,1687000000.00
2004-03-01,1863000000.00
2004-04-01,2010000000.00
2004-05-01,2076000000.00
2004-06-01,2146000000.00
2004-07-01,2289000000.00
2004-08-01,2320000000.00
2004-09-01,2362000000.00
2004-10-01,2360000000.00
2004-11-01,2270000000.00
2004-12-01,2008000000.00
2005-01-01,1729000000.00
2005-02-01,1653000000.00
2005-03-01,1753000000.00
2005-04-01,1950000000.00
2005-05-01,2047000000.00
2005-06-01,2167000000.00
2005-07-01,2200000000.00
2005-08-01,2381000000.00
2005-09-01,2401000000.00
2005-10-01,2405000000.00
2005-11-01,2304000000.00
2005-12-01,2063000000.00
2006-01-01,1826000000.00
2006-02-01,1820000000.00
2006-03-01,1997000000.00
2006-04-01,2189000000.00
2006-05-01,2349000000.00
2006-06-01,2545000000.00
2006-07-01,2529000000.00
2006-08-01,2582000000.00
2006-09-01,2639000000.00
2006-10-01,2620000000.00
2006-11-01,2505000000.00
2006-12-01,2363000000.00
2007-01-01,2048000000.00
2007-02-01,2030000000.00
2007-03-01,2106000000.00
2007-04-01,2436000000.00
2007-05-01,2564000000.00
2007-06-01,2762000000.00
2007-07-01,2965000000.00
2007-08-01,3040000000.00
2007-09-01,3106000000.00
2007-10-01,3181000000.00
2007-11-01,2977000000.00
2007-12-01,2664000000.00
2008-01-01,2460000000.00
2008-02-01,2483000000.00
2008-03-01,2629000000.00
2008-04-01,2796000000.00
2008-05-01,2852000000.00
2008-06-01,3038000000.00
2008-07-01,3196000000.00
2008-08-01,3342000000.00
2008-09-01,3356000000.00
2008-10-01,3390000000.00
2008-11-01,3118000000.00
2008-12-01,2812000000.00
2009-01-01,2475000000.00
2009-02-01,2619000000.00
2009-03-01,2591000000.00
2009-04-01,2809000000.00
2009-05-01,2988000000.00
2009-06-01,3168000000.00
2009-07-01,3462000000.00
2009-08-01,3592000000.00
2009-09-01,3639000000.00
2009-10-01,3394000000.00
2009-11-01,3166000000.00
2009-12-01,2797000000.00
2010-01-01,2514000000.00
2010-02-01,2593000000.00
2010-03-01,2893000000.00
2010-04-01,3205000000.00
2010-05-01,3302000000.00
2010-06-01,3459000000.00
2010-07-01,3465000000.00
2010-08-01,3492000000.00
2010-09-01,3809000000.00
2010-10-01,3453000000.00
2010-11-01,3163000000.00
2010-12-01,2993000000.00
2011-01-01,2474000000.00
2011-02-01,2427000000.00
2011-03-01,2633000000.00
2011-04-01,2826000000.00
2011-05-01,2921000000.00
2011-06-01,3120000000.00
2011-07-01,2984000000.00
2011-08-01,3314000000.00
2011-09-01,3223000000.00
2011-10-01,3039000000.00
2011-11-01,2919000000.00
2011-12-01,2858000000.00
2012-01-01,2440000000.00
2012-02-01,2433000000.00
2012-03-01,2526000000.00
2012-04-01,2806000000.00
2012-05-01,3128000000.00
2012-06-01,3455000000.00
2012-07-01,3441000000.00
2012-08-01,3603000000.00
2012-09-01,3669000000.00
2012-10-01,3804000000.00
2012-11-01,3453000000.00
2012-12-01,3104000000.00
2013-01-01,2710000000.00
2013-02-01,2639000000.00
2013-03-01,2834000000.00
2013-04-01,3313000000.00
2013-05-01,3372000000.00
2013-06-01,3480000000.00
2013-07-01,3632000000.00
2013-08-01,3655000000.00
2013-09-01,3725000000.00
2013-10-01,3676000000.00
2013-11-01,3346000000.00
2013-12-01,3078000000.00
2014-01-01,2753000000.00
2014-02-01,2736000000.00
2014-03-01,2932000000.00
2014-04-01,3278000000.00
2014-05-01,3654000000.00
2014-06-01,3828000000.00
2014-07-01,3787000000.00
2014-08-01,3809000000.00
2014-09-01,3920000000.00
2014-10-01,4083000000.00
2014-11-01,3808000000.00
2014-12-01,3456000000.00
2015-01-01,3062000000.00
2015-02-01,2962000000.00
2015-03-01,3324000000.00
2015-04-01,3662000000.00
2015-05-01,3840000000.00
2015-06-01,4031000000.00
2015-07-01,4048000000.00
2015-08-01,4185000000.00
2015-09-01,4316000000.00
2015-10-01,4143000000.00
2015-11-01,3835000000.00
2015-12-01,3438000000.00
2016-01-01,2875000000.00
2016-02-01,2883000000.00
2016-03-01,3172000000.00
2016-04-01,3363000000.00
2016-05-01,3695000000.00
2016-06-01,4113000000.00
2016-07-01,3888000000.00
2016-08-01,3664000000.00
2016-09-01,3870000000.00
2016-10-01,3786000000.00
2016-11-01,3584000000.00
2016-12-01,3312000000.00
2017-01-01,2848000000.00
2017-02-01,2931000000.00
2017-03-01,3223000000.00
2017-04-01,3426000000.00
2017-05-01,3759000000.00
2017-06-01,3822000000.00
2017-07-01,3620000000.00
2017-08-01,3906000000.00
2017-09-01,4070000000.00
2017-10-01,4174000000.00
2017-11-01,4074000000.00
2017-12-01,3918000000.00
2018-01-01,3523000000.00
2018-02-01,3620000000.00
2018-03-01,3825000000.00
2018-04-01,4194000000.00
