Date,IY3114
2005-12-01,100.00
2006-01-01,101.10
2006-02-01,102.30
2006-03-01,104.40
2006-04-01,104.30
2006-05-01,105.10
2006-06-01,106.00
2006-07-01,107.40
2006-08-01,108.70
2006-09-01,109.40
2006-10-01,109.50
2006-11-01,109.70
2006-12-01,111.50
2007-01-01,115.80
2007-02-01,118.40
2007-03-01,120.20
2007-04-01,122.80
2007-05-01,122.90
2007-06-01,122.00
2007-07-01,121.70
2007-08-01,121.20
2007-09-01,121.30
2007-10-01,122.00
2007-11-01,123.80
2007-12-01,124.80
2008-01-01,126.20
2008-02-01,128.40
2008-03-01,130.90
2008-04-01,133.30
2008-05-01,132.90
2008-06-01,131.60
2008-07-01,131.30
2008-08-01,130.60
2008-09-01,131.10
2008-10-01,131.90
2008-11-01,132.30
2008-12-01,131.40
2009-01-01,132.70
2009-02-01,134.50
2009-03-01,136.70
2009-04-01,137.30
2009-05-01,138.10
2009-06-01,136.30
2009-07-01,135.30
2009-08-01,135.60
2009-09-01,135.40
2009-10-01,135.20
2009-11-01,136.50
2009-12-01,137.20
2010-01-01,138.40
2010-02-01,139.50
2010-03-01,139.80
2010-04-01,141.40
2010-05-01,141.80
2010-06-01,141.70
2010-07-01,141.80
2010-08-01,141.90
2010-09-01,139.50
2010-10-01,140.40
2010-11-01,142.70
2010-12-01,143.80
2011-01-01,143.50
2011-02-01,144.60
2011-03-01,146.20
2011-04-01,146.70
2011-05-01,147.50
2011-06-01,147.60
2011-07-01,148.70
2011-08-01,149.50
2011-09-01,149.40
2011-10-01,150.10
2011-11-01,150.50
2011-12-01,150.30
2012-01-01,150.70
2012-02-01,151.40
2012-03-01,152.30
2012-04-01,152.50
2012-05-01,152.60
2012-06-01,152.30
2012-07-01,152.50
2012-08-01,153.10
2012-09-01,153.50
2012-10-01,152.80
2012-11-01,153.80
2012-12-01,154.20
2013-01-01,157.30
2013-02-01,157.50
2013-03-01,157.90
2013-04-01,158.50
2013-05-01,158.60
2013-06-01,158.20
2013-07-01,157.60
2013-08-01,157.80
2013-09-01,157.10
2013-10-01,156.60
2013-11-01,156.40
2013-12-01,158.10
2014-01-01,164.20
2014-02-01,164.00
2014-03-01,168.90
2014-04-01,174.00
2014-05-01,174.00
2014-06-01,174.00
2014-07-01,173.20
2014-08-01,173.20
2014-09-01,172.90
2014-10-01,173.00
2014-11-01,172.80
2014-12-01,172.40
2015-01-01,174.10
2015-02-01,174.00
2015-03-01,174.10
2015-04-01,173.60
2015-05-01,173.70
2015-06-01,173.40
2015-07-01,173.60
2015-08-01,173.40
2015-09-01,173.40
2015-10-01,173.70
2015-11-01,173.30
2015-12-01,173.40
2016-01-01,173.30
2016-02-01,172.70
2016-03-01,172.60
2016-04-01,172.80
2016-05-01,172.80
2016-06-01,175.30
2016-07-01,175.10
2016-08-01,174.90
2016-09-01,175.20
2016-10-01,174.50
2016-11-01,174.20
2016-12-01,173.90
2017-01-01,173.50
2017-02-01,173.50
2017-03-01,173.60
2017-04-01,173.90
2017-05-01,174.00
2017-06-01,174.40
2017-07-01,174.80
2017-08-01,175.30
2017-09-01,174.60
2017-10-01,175.60
2017-11-01,174.90
2017-12-01,171.90
2018-01-01,172.40
2018-02-01,173.10
2018-03-01,174.10
2018-04-01,174.00
2018-05-01,171.00
