Date,HOSMEDUSM052N
2017-04-01,245000.00
2017-05-01,252500.00
2017-06-01,263300.00
2017-07-01,258100.00
2017-08-01,253100.00
2017-09-01,247600.00
2017-10-01,246000.00
2017-11-01,247200.00
2017-12-01,246500.00
2018-01-01,240800.00
2018-02-01,240900.00
2018-03-01,249800.00
2018-04-01,257900.00
2018-05-01,264800.00
