Date,U34XVS
1992-01-01,2715000000.00
1992-02-01,2965000000.00
1992-03-01,3515000000.00
1992-04-01,2903000000.00
1992-05-01,2997000000.00
1992-06-01,3542000000.00
1992-07-01,3061000000.00
1992-08-01,3076000000.00
1992-09-01,3953000000.00
1992-10-01,3270000000.00
1992-11-01,3324000000.00
1992-12-01,4674000000.00
1993-01-01,2680000000.00
1993-02-01,3078000000.00
1993-03-01,3631000000.00
1993-04-01,2971000000.00
1993-05-01,3246000000.00
1993-06-01,3832000000.00
1993-07-01,3008000000.00
1993-08-01,3512000000.00
1993-09-01,4000000000.00
1993-10-01,3583000000.00
1993-11-01,3896000000.00
1993-12-01,5211000000.00
1994-01-01,3113000000.00
1994-02-01,3604000000.00
1994-03-01,4341000000.00
1994-04-01,3711000000.00
1994-05-01,3803000000.00
1994-06-01,4504000000.00
1994-07-01,3527000000.00
1994-08-01,3918000000.00
1994-09-01,4729000000.00
1994-10-01,4069000000.00
1994-11-01,4630000000.00
1994-12-01,5971000000.00
1995-01-01,3548000000.00
1995-02-01,3872000000.00
1995-03-01,4619000000.00
1995-04-01,3958000000.00
1995-05-01,4080000000.00
1995-06-01,5357000000.00
1995-07-01,3696000000.00
1995-08-01,4138000000.00
1995-09-01,5164000000.00
1995-10-01,4558000000.00
1995-11-01,4796000000.00
1995-12-01,7382000000.00
1996-01-01,3737000000.00
1996-02-01,4416000000.00
1996-03-01,5511000000.00
1996-04-01,4428000000.00
1996-05-01,4618000000.00
1996-06-01,6093000000.00
1996-07-01,4536000000.00
1996-08-01,4812000000.00
1996-09-01,6189000000.00
1996-10-01,5433000000.00
1996-11-01,6146000000.00
1996-12-01,8249000000.00
1997-01-01,4347000000.00
1997-02-01,5826000000.00
1997-03-01,7094000000.00
1997-04-01,5787000000.00
1997-05-01,6196000000.00
1997-06-01,8134000000.00
1997-07-01,6223000000.00
1997-08-01,6916000000.00
1997-09-01,8128000000.00
1997-10-01,6945000000.00
1997-11-01,7099000000.00
1997-12-01,10157000000.00
1998-01-01,5039000000.00
1998-02-01,6560000000.00
1998-03-01,8110000000.00
1998-04-01,5881000000.00
1998-05-01,6455000000.00
1998-06-01,8586000000.00
1998-07-01,5665000000.00
1998-08-01,6338000000.00
1998-09-01,8594000000.00
1998-10-01,7072000000.00
1998-11-01,7563000000.00
1998-12-01,10256000000.00
1999-01-01,6037000000.00
1999-02-01,6697000000.00
1999-03-01,8757000000.00
1999-04-01,6865000000.00
1999-05-01,7450000000.00
1999-06-01,9631000000.00
1999-07-01,7391000000.00
1999-08-01,7525000000.00
