Date,U33HNO
1992-02-01,2081000000.00
1992-03-01,2056000000.00
1992-04-01,2342000000.00
1992-05-01,2161000000.00
1992-06-01,2454000000.00
1992-07-01,1846000000.00
1992-08-01,1876000000.00
1992-09-01,1971000000.00
1992-10-01,1943000000.00
1992-11-01,1998000000.00
1992-12-01,2043000000.00
1993-01-01,2298000000.00
1993-02-01,2249000000.00
1993-03-01,2348000000.00
1993-04-01,2209000000.00
1993-05-01,2120000000.00
1993-06-01,2367000000.00
1993-07-01,2030000000.00
1993-08-01,2281000000.00
1993-09-01,2401000000.00
1993-10-01,2440000000.00
1993-11-01,2522000000.00
1993-12-01,2733000000.00
1994-01-01,2287000000.00
1994-02-01,2664000000.00
1994-03-01,2762000000.00
1994-04-01,2512000000.00
1994-05-01,2605000000.00
1994-06-01,3015000000.00
1994-07-01,2495000000.00
1994-08-01,2541000000.00
1994-09-01,2607000000.00
1994-10-01,2659000000.00
1994-11-01,2552000000.00
1994-12-01,2589000000.00
1995-01-01,2439000000.00
1995-02-01,2571000000.00
1995-03-01,2936000000.00
1995-04-01,2631000000.00
1995-05-01,2920000000.00
1995-06-01,2958000000.00
1995-07-01,2387000000.00
1995-08-01,2843000000.00
1995-09-01,2817000000.00
1995-10-01,2591000000.00
1995-11-01,2889000000.00
1995-12-01,2671000000.00
1996-01-01,2710000000.00
1996-02-01,2625000000.00
1996-03-01,2839000000.00
1996-04-01,2795000000.00
1996-05-01,2821000000.00
1996-06-01,3199000000.00
1996-07-01,2502000000.00
1996-08-01,2762000000.00
1996-09-01,2940000000.00
1996-10-01,2625000000.00
1996-11-01,2697000000.00
1996-12-01,2442000000.00
1997-01-01,2364000000.00
1997-02-01,2727000000.00
1997-03-01,2545000000.00
1997-04-01,2873000000.00
1997-05-01,2913000000.00
1997-06-01,2773000000.00
1997-07-01,2391000000.00
1997-08-01,2338000000.00
1997-09-01,2653000000.00
1997-10-01,2527000000.00
1997-11-01,2478000000.00
1997-12-01,2347000000.00
1998-01-01,2367000000.00
1998-02-01,2602000000.00
1998-03-01,2911000000.00
1998-04-01,2821000000.00
1998-05-01,2896000000.00
1998-06-01,3123000000.00
1998-07-01,2619000000.00
1998-08-01,2622000000.00
1998-09-01,2816000000.00
1998-10-01,2544000000.00
1998-11-01,2601000000.00
1998-12-01,2551000000.00
1999-01-01,2384000000.00
1999-02-01,2773000000.00
1999-03-01,3208000000.00
1999-04-01,3040000000.00
1999-05-01,2870000000.00
1999-06-01,3121000000.00
1999-07-01,2560000000.00
1999-08-01,2984000000.00
1999-09-01,2934000000.00
1999-10-01,2757000000.00
1999-11-01,2909000000.00
1999-12-01,2923000000.00
2000-01-01,2703000000.00
2000-02-01,2862000000.00
2000-03-01,3170000000.00
2000-04-01,2953000000.00
2000-05-01,3235000000.00
2000-06-01,3500000000.00
2000-07-01,2717000000.00
2000-08-01,2909000000.00
2000-09-01,3037000000.00
2000-10-01,2767000000.00
2000-11-01,2511000000.00
2000-12-01,2613000000.00
2001-01-01,2570000000.00
2001-02-01,2680000000.00
2001-03-01,3097000000.00
2001-04-01,2701000000.00
2001-05-01,2793000000.00
2001-06-01,3216000000.00
2001-07-01,2626000000.00
2001-08-01,2842000000.00
2001-09-01,2457000000.00
2001-10-01,2335000000.00
2001-11-01,2345000000.00
2001-12-01,2292000000.00
2002-01-01,2341000000.00
2002-02-01,2286000000.00
2002-03-01,2846000000.00
2002-04-01,2785000000.00
2002-05-01,2920000000.00
2002-06-01,2963000000.00
2002-07-01,2599000000.00
2002-08-01,2720000000.00
2002-09-01,2593000000.00
2002-10-01,2500000000.00
2002-11-01,2504000000.00
2002-12-01,2422000000.00
2003-01-01,2260000000.00
2003-02-01,2384000000.00
2003-03-01,2840000000.00
2003-04-01,2616000000.00
2003-05-01,2800000000.00
2003-06-01,3081000000.00
2003-07-01,2766000000.00
2003-08-01,2946000000.00
2003-09-01,2751000000.00
2003-10-01,2543000000.00
2003-11-01,2511000000.00
2003-12-01,2952000000.00
2004-01-01,2235000000.00
2004-02-01,2433000000.00
2004-03-01,3136000000.00
2004-04-01,2886000000.00
2004-05-01,3101000000.00
2004-06-01,3313000000.00
2004-07-01,2724000000.00
2004-08-01,2756000000.00
2004-09-01,3034000000.00
2004-10-01,2620000000.00
2004-11-01,2829000000.00
2004-12-01,3303000000.00
2005-01-01,2521000000.00
2005-02-01,2597000000.00
2005-03-01,3455000000.00
2005-04-01,2962000000.00
2005-05-01,3175000000.00
2005-06-01,3723000000.00
2005-07-01,2973000000.00
2005-08-01,3623000000.00
2005-09-01,3675000000.00
2005-10-01,3109000000.00
2005-11-01,3581000000.00
2005-12-01,3351000000.00
2006-01-01,2917000000.00
2006-02-01,2622000000.00
2006-03-01,3732000000.00
2006-04-01,3082000000.00
2006-05-01,3487000000.00
2006-06-01,3855000000.00
2006-07-01,3310000000.00
2006-08-01,3643000000.00
2006-09-01,3620000000.00
2006-10-01,3227000000.00
2006-11-01,3040000000.00
2006-12-01,3192000000.00
2007-01-01,3047000000.00
2007-02-01,3260000000.00
2007-03-01,3643000000.00
2007-04-01,3209000000.00
2007-05-01,3738000000.00
2007-06-01,4060000000.00
2007-07-01,3728000000.00
2007-08-01,3657000000.00
2007-09-01,4008000000.00
2007-10-01,3263000000.00
2007-11-01,3398000000.00
2007-12-01,3331000000.00
2008-01-01,3273000000.00
2008-02-01,3229000000.00
2008-03-01,3718000000.00
2008-04-01,3659000000.00
2008-05-01,3661000000.00
2008-06-01,4438000000.00
2008-07-01,4196000000.00
2008-08-01,3683000000.00
2008-09-01,3448000000.00
2008-10-01,3057000000.00
2008-11-01,2593000000.00
2008-12-01,2425000000.00
2009-01-01,2022000000.00
2009-02-01,2227000000.00
2009-03-01,2902000000.00
2009-04-01,2740000000.00
2009-05-01,3017000000.00
2009-06-01,3605000000.00
2009-07-01,3041000000.00
2009-08-01,2894000000.00
2009-09-01,3193000000.00
2009-10-01,2637000000.00
2009-11-01,2499000000.00
2009-12-01,2878000000.00
2010-01-01,2369000000.00
2010-02-01,2313000000.00
2010-03-01,3203000000.00
2010-04-01,2994000000.00
2010-05-01,3136000000.00
2010-06-01,4025000000.00
2010-07-01,3248000000.00
2010-08-01,3335000000.00
2010-09-01,3423000000.00
2010-10-01,2912000000.00
2010-11-01,2853000000.00
2010-12-01,3348000000.00
2011-01-01,3000000000.00
2011-02-01,2672000000.00
2011-03-01,3527000000.00
2011-04-01,3466000000.00
2011-05-01,3657000000.00
2011-06-01,4413000000.00
2011-07-01,3469000000.00
2011-08-01,3506000000.00
2011-09-01,3145000000.00
2011-10-01,2823000000.00
2011-11-01,2771000000.00
2011-12-01,3096000000.00
2012-01-01,2567000000.00
2012-02-01,3268000000.00
2012-03-01,3962000000.00
2012-04-01,3736000000.00
2012-05-01,4188000000.00
2012-06-01,4805000000.00
2012-07-01,4088000000.00
2012-08-01,2326000000.00
2012-09-01,3376000000.00
2012-10-01,3379000000.00
2012-11-01,3178000000.00
2012-12-01,3244000000.00
2013-01-01,2838000000.00
2013-02-01,3130000000.00
2013-03-01,3269000000.00
2013-04-01,3555000000.00
2013-05-01,4252000000.00
2013-06-01,4143000000.00
2013-07-01,3794000000.00
2013-08-01,3627000000.00
2013-09-01,3892000000.00
2013-10-01,3423000000.00
2013-11-01,3181000000.00
2013-12-01,3351000000.00
2014-01-01,3263000000.00
2014-02-01,3209000000.00
2014-03-01,3281000000.00
2014-04-01,3815000000.00
2014-05-01,3838000000.00
2014-06-01,4243000000.00
2014-07-01,3519000000.00
2014-08-01,3648000000.00
2014-09-01,3871000000.00
2014-10-01,3401000000.00
2014-11-01,2987000000.00
2014-12-01,3171000000.00
2015-01-01,2958000000.00
2015-02-01,3036000000.00
2015-03-01,4040000000.00
2015-04-01,3713000000.00
2015-05-01,3843000000.00
2015-06-01,4647000000.00
2015-07-01,3901000000.00
2015-08-01,3781000000.00
2015-09-01,3948000000.00
2015-10-01,3513000000.00
2015-11-01,3264000000.00
2015-12-01,3503000000.00
2016-01-01,3052000000.00
2016-02-01,3216000000.00
2016-03-01,3919000000.00
2016-04-01,3489000000.00
2016-05-01,3737000000.00
2016-06-01,4527000000.00
2016-07-01,3726000000.00
2016-08-01,3858000000.00
2016-09-01,3758000000.00
2016-10-01,3181000000.00
2016-11-01,3188000000.00
2016-12-01,3521000000.00
2017-01-01,3133000000.00
2017-02-01,3124000000.00
2017-03-01,4212000000.00
2017-04-01,3555000000.00
2017-05-01,4004000000.00
2017-06-01,4720000000.00
2017-07-01,3776000000.00
2017-08-01,3869000000.00
2017-09-01,3851000000.00
2017-10-01,3419000000.00
2017-11-01,3531000000.00
2017-12-01,3551000000.00
2018-01-01,3301000000.00
2018-02-01,3158000000.00
2018-03-01,4192000000.00
2018-04-01,3694000000.00
