Date,U23STI
1992-01-01,6376000000.00
1992-02-01,6525000000.00
1992-03-01,6540000000.00
1992-04-01,6664000000.00
1992-05-01,6634000000.00
1992-06-01,6623000000.00
1992-07-01,6838000000.00
1992-08-01,7126000000.00
1992-09-01,6999000000.00
1992-10-01,6832000000.00
1992-11-01,6485000000.00
1992-12-01,6044000000.00
1993-01-01,6326000000.00
1993-02-01,6265000000.00
1993-03-01,6232000000.00
1993-04-01,6292000000.00
1993-05-01,6239000000.00
1993-06-01,6257000000.00
1993-07-01,6410000000.00
1993-08-01,6608000000.00
1993-09-01,6289000000.00
1993-10-01,6133000000.00
1993-11-01,5867000000.00
1993-12-01,5835000000.00
1994-01-01,5978000000.00
1994-02-01,6185000000.00
1994-03-01,6375000000.00
1994-04-01,6539000000.00
1994-05-01,6437000000.00
1994-06-01,6463000000.00
1994-07-01,6903000000.00
1994-08-01,6965000000.00
1994-09-01,6807000000.00
1994-10-01,6788000000.00
1994-11-01,6648000000.00
1994-12-01,6247000000.00
1995-01-01,6658000000.00
1995-02-01,6930000000.00
1995-03-01,7260000000.00
1995-04-01,7545000000.00
1995-05-01,7554000000.00
1995-06-01,7744000000.00
1995-07-01,8128000000.00
1995-08-01,8313000000.00
1995-09-01,8026000000.00
1995-10-01,7793000000.00
1995-11-01,7572000000.00
1995-12-01,6897000000.00
1996-01-01,7158000000.00
1996-02-01,7186000000.00
1996-03-01,7040000000.00
1996-04-01,7168000000.00
1996-05-01,7059000000.00
1996-06-01,7258000000.00
1996-07-01,7475000000.00
1996-08-01,7428000000.00
1996-09-01,7276000000.00
1996-10-01,7250000000.00
1996-11-01,6942000000.00
1996-12-01,6529000000.00
1997-01-01,6634000000.00
1997-02-01,6559000000.00
1997-03-01,6593000000.00
1997-04-01,6896000000.00
1997-05-01,6978000000.00
1997-06-01,7016000000.00
1997-07-01,6992000000.00
1997-08-01,7298000000.00
1997-09-01,7193000000.00
1997-10-01,7114000000.00
1997-11-01,6935000000.00
1997-12-01,6621000000.00
1998-01-01,6588000000.00
1998-02-01,6696000000.00
1998-03-01,6778000000.00
1998-04-01,6867000000.00
