Date,MSPNHSUS
1982-05-01,69300.00
1982-06-01,69300.00
1982-07-01,70900.00
1982-08-01,70100.00
1982-09-01,67800.00
1982-10-01,69700.00
1982-11-01,73500.00
1982-12-01,71700.00
1983-01-01,73500.00
1983-02-01,73800.00
1983-03-01,72500.00
1983-04-01,74700.00
1983-05-01,74500.00
1983-06-01,75800.00
1983-07-01,75200.00
1983-08-01,76800.00
1983-09-01,81000.00
1983-10-01,75900.00
1983-11-01,75900.00
1983-12-01,75900.00
1984-01-01,76200.00
1984-02-01,79200.00
1984-03-01,78400.00
1984-04-01,79600.00
1984-05-01,81400.00
1984-06-01,80500.00
1984-07-01,80700.00
1984-08-01,82000.00
1984-09-01,81300.00
1984-10-01,80100.00
1984-11-01,82500.00
1984-12-01,78300.00
1985-01-01,82500.00
1985-02-01,82000.00
1985-03-01,84200.00
1985-04-01,85600.00
1985-05-01,80100.00
1985-06-01,86300.00
1985-07-01,82100.00
1985-08-01,83300.00
1985-09-01,84700.00
1985-10-01,85400.00
1985-11-01,87200.00
1985-12-01,87900.00
1986-01-01,86600.00
1986-02-01,89700.00
1986-03-01,88700.00
1986-04-01,92500.00
1986-05-01,92100.00
1986-06-01,91200.00
1986-07-01,94100.00
1986-08-01,91500.00
1986-09-01,95000.00
1986-10-01,96400.00
1986-11-01,94000.00
1986-12-01,95000.00
1987-01-01,98500.00
1987-02-01,95200.00
1987-03-01,98400.00
1987-04-01,96500.00
1987-05-01,104900.00
1987-06-01,109000.00
1987-07-01,105000.00
1987-08-01,106800.00
1987-09-01,106500.00
1987-10-01,106500.00
1987-11-01,117000.00
1987-12-01,111800.00
1988-01-01,119000.00
1988-02-01,110900.00
1988-03-01,108900.00
1988-04-01,111000.00
1988-05-01,110000.00
1988-06-01,111500.00
1988-07-01,118000.00
1988-08-01,110000.00
1988-09-01,116600.00
1988-10-01,112900.00
1988-11-01,110400.00
1988-12-01,121000.00
1989-01-01,113000.00
1989-02-01,118000.00
1989-03-01,123000.00
1989-04-01,116700.00
1989-05-01,119000.00
1989-06-01,122800.00
1989-07-01,116000.00
1989-08-01,122900.00
1989-09-01,120000.00
1989-10-01,123000.00
1989-11-01,125000.00
1989-12-01,125200.00
1990-01-01,125000.00
1990-02-01,126900.00
1990-03-01,119400.00
1990-04-01,130000.00
1990-05-01,125000.00
1990-06-01,125000.00
1990-07-01,118700.00
1990-08-01,118400.00
1990-09-01,113000.00
1990-10-01,120000.00
1990-11-01,118900.00
1990-12-01,127000.00
1991-01-01,117900.00
1991-02-01,119900.00
1991-03-01,122500.00
1991-04-01,121000.00
1991-05-01,116000.00
1991-06-01,119000.00
1991-07-01,120000.00
1991-08-01,120800.00
1991-09-01,120000.00
1991-10-01,122600.00
1991-11-01,118500.00
1991-12-01,122000.00
1992-01-01,120000.00
1992-02-01,117200.00
1992-03-01,120000.00
1992-04-01,120000.00
1992-05-01,113000.00
1992-06-01,124500.00
1992-07-01,118000.00
1992-08-01,123500.00
1992-09-01,119500.00
1992-10-01,125000.00
1992-11-01,128900.00
1992-12-01,126000.00
1993-01-01,118000.00
1993-02-01,129400.00
1993-03-01,125000.00
1993-04-01,127000.00
1993-05-01,129900.00
1993-06-01,124500.00
1993-07-01,123900.00
1993-08-01,126600.00
1993-09-01,129400.00
1993-10-01,125000.00
1993-11-01,130000.00
1993-12-01,125000.00
1994-01-01,126000.00
1994-02-01,129900.00
1994-03-01,132300.00
1994-04-01,129000.00
1994-05-01,129900.00
1994-06-01,133500.00
1994-07-01,124400.00
1994-08-01,133300.00
1994-09-01,129700.00
1994-10-01,132000.00
1994-11-01,129900.00
1994-12-01,135000.00
1995-01-01,127900.00
1995-02-01,135000.00
1995-03-01,130000.00
1995-04-01,134000.00
1995-05-01,133900.00
1995-06-01,133700.00
1995-07-01,131000.00
1995-08-01,134900.00
1995-09-01,130000.00
1995-10-01,135200.00
1995-11-01,137000.00
1995-12-01,138600.00
1996-01-01,131900.00
1996-02-01,139400.00
1996-03-01,137000.00
1996-04-01,140000.00
1996-05-01,136500.00
1996-06-01,140000.00
1996-07-01,144200.00
1996-08-01,137000.00
1996-09-01,139000.00
1996-10-01,143800.00
1996-11-01,143500.00
1996-12-01,144900.00
1997-01-01,145000.00
1997-02-01,143000.00
1997-03-01,148000.00
