Date,MVGFD027MNFRBDAL
1942-01-01,63000000000.00
1942-02-01,65200000000.00
1942-03-01,65600000000.00
1942-04-01,68300000000.00
1942-05-01,71700000000.00
1942-06-01,75700000000.00
1942-07-01,80200000000.00
1942-08-01,84700000000.00
1942-09-01,89500000000.00
1942-10-01,95900000000.00
1942-11-01,98900000000.00
1942-12-01,110900000000.00
1943-01-01,114100000000.00
1943-02-01,117000000000.00
1943-03-01,118400000000.00
1943-04-01,133200000000.00
1943-05-01,139400000000.00
1943-06-01,140400000000.00
1943-07-01,145100000000.00
1943-08-01,147600000000.00
1943-09-01,161800000000.00
1943-10-01,168400000000.00
1943-11-01,169500000000.00
1943-12-01,169200000000.00
1944-01-01,174100000000.00
1944-02-01,186600000000.00
1944-03-01,188200000000.00
1944-04-01,188400000000.00
1944-05-01,189900000000.00
1944-06-01,204500000000.00
1944-07-01,212300000000.00
1944-08-01,213600000000.00
1944-09-01,213000000000.00
1944-10-01,213600000000.00
1944-11-01,218500000000.00
1944-12-01,234200000000.00
1945-01-01,237100000000.00
1945-02-01,238900000000.00
1945-03-01,239200000000.00
1945-04-01,240800000000.00
1945-05-01,244500000000.00
1945-06-01,265400000000.00
1945-07-01,268000000000.00
1945-08-01,268800000000.00
1945-09-01,267800000000.00
1945-10-01,268000000000.00
1945-11-01,272000000000.00
1945-12-01,285400000000.00
1946-01-01,288100000000.00
1946-02-01,289400000000.00
1946-03-01,286200000000.00
1946-04-01,281800000000.00
1946-05-01,280800000000.00
1946-06-01,277900000000.00
1946-07-01,275900000000.00
1946-08-01,274500000000.00
1946-09-01,271600000000.00
1946-10-01,270300000000.00
1946-11-01,268300000000.00
1946-12-01,266100000000.00
1947-01-01,267000000000.00
1947-02-01,268800000000.00
1947-03-01,266700000000.00
1947-04-01,265000000000.00
1947-05-01,265700000000.00
1947-06-01,265200000000.00
1947-07-01,266300000000.00
1947-08-01,267400000000.00
1947-09-01,266000000000.00
1947-10-01,264400000000.00
1947-11-01,262400000000.00
1947-12-01,259600000000.00
1948-01-01,259200000000.00
1948-02-01,257500000000.00
1948-03-01,256000000000.00
1948-04-01,255400000000.00
1948-05-01,256400000000.00
1948-06-01,255500000000.00
1948-07-01,256300000000.00
1948-08-01,255800000000.00
1948-09-01,255300000000.00
1948-10-01,254900000000.00
1948-11-01,255200000000.00
1948-12-01,256000000000.00
1949-01-01,256100000000.00
1949-02-01,256400000000.00
1949-03-01,255500000000.00
1949-04-01,255400000000.00
1949-05-01,255900000000.00
1949-06-01,257900000000.00
1949-07-01,259500000000.00
1949-08-01,262200000000.00
1949-09-01,263000000000.00
1949-10-01,263000000000.00
1949-11-01,263400000000.00
1949-12-01,263900000000.00
1950-01-01,262800000000.00
1950-02-01,261900000000.00
1950-03-01,260700000000.00
1950-04-01,260200000000.00
1950-05-01,260800000000.00
1950-06-01,261200000000.00
1950-07-01,261300000000.00
1950-08-01,261800000000.00
1950-09-01,260300000000.00
1950-10-01,259500000000.00
1950-11-01,259500000000.00
1950-12-01,259100000000.00
1951-01-01,258700000000.00
1951-02-01,258300000000.00
1951-03-01,255200000000.00
1951-04-01,254100000000.00
1951-05-01,253800000000.00
1951-06-01,254000000000.00
1951-07-01,255200000000.00
1951-08-01,257000000000.00
1951-09-01,256800000000.00
1951-10-01,257600000000.00
1951-11-01,258400000000.00
1951-12-01,255500000000.00
1952-01-01,258600000000.00
1952-02-01,259100000000.00
1952-03-01,257400000000.00
1952-04-01,258800000000.00
1952-05-01,260300000000.00
1952-06-01,259100000000.00
1952-07-01,262400000000.00
1952-08-01,261800000000.00
1952-09-01,260500000000.00
1952-10-01,263300000000.00
1952-11-01,265600000000.00
1952-12-01,265100000000.00
1953-01-01,264800000000.00
1953-02-01,264200000000.00
1953-03-01,260600000000.00
1953-04-01,259000000000.00
1953-05-01,259400000000.00
1953-06-01,260700000000.00
1953-07-01,267800000000.00
1953-08-01,268300000000.00
1953-09-01,270700000000.00
1953-10-01,271900000000.00
1953-11-01,273300000000.00
1953-12-01,275000000000.00
1954-01-01,275800000000.00
1954-02-01,277100000000.00
1954-03-01,273000000000.00
1954-04-01,274900000000.00
1954-05-01,275400000000.00
1954-06-01,274600000000.00
1954-07-01,274400000000.00
1954-08-01,277700000000.00
1954-09-01,277000000000.00
1954-10-01,280500000000.00
1954-11-01,279900000000.00
1954-12-01,279500000000.00
1955-01-01,277600000000.00
1955-02-01,276000000000.00
1955-03-01,272000000000.00
1955-04-01,274000000000.00
1955-05-01,275400000000.00
1955-06-01,271100000000.00
1955-07-01,272500000000.00
1955-08-01,273200000000.00
1955-09-01,273500000000.00
1955-10-01,276700000000.00
1955-11-01,275800000000.00
1955-12-01,276100000000.00
1956-01-01,276800000000.00
1956-02-01,276600000000.00
1956-03-01,270400000000.00
1956-04-01,268800000000.00
1956-05-01,272000000000.00
1956-06-01,268100000000.00
1956-07-01,265500000000.00
1956-08-01,266600000000.00
1956-09-01,265800000000.00
1956-10-01,266400000000.00
1956-11-01,267100000000.00
1956-12-01,265700000000.00
1957-01-01,268600000000.00
1957-02-01,267900000000.00
1957-03-01,267000000000.00
1957-04-01,264600000000.00
1957-05-01,264700000000.00
1957-06-01,258000000000.00
1957-07-01,260300000000.00
1957-08-01,262100000000.00
1957-09-01,262300000000.00
1957-10-01,262400000000.00
1957-11-01,268900000000.00
1957-12-01,271600000000.00
1958-01-01,271900000000.00
1958-02-01,273800000000.00
1958-03-01,272500000000.00
1958-04-01,275800000000.00
1958-05-01,276900000000.00
1958-06-01,275200000000.00
1958-07-01,272300000000.00
1958-08-01,268500000000.00
1958-09-01,265900000000.00
1958-10-01,269500000000.00
1958-11-01,273600000000.00
1958-12-01,271500000000.00
1959-01-01,273700000000.00
1959-02-01,274300000000.00
1959-03-01,270000000000.00
1959-04-01,271900000000.00
1959-05-01,272300000000.00
1959-06-01,269900000000.00
1959-07-01,274000000000.00
1959-08-01,273800000000.00
1959-09-01,271700000000.00
1959-10-01,276700000000.00
1959-11-01,274900000000.00
1959-12-01,273500000000.00
1960-01-01,275600000000.00
1960-02-01,276100000000.00
1960-03-01,276700000000.00
1960-04-01,277000000000.00
1960-05-01,278400000000.00
1960-06-01,278100000000.00
1960-07-01,283600000000.00
1960-08-01,283400000000.00
1960-09-01,283100000000.00
1960-10-01,284700000000.00
1960-11-01,283000000000.00
1960-12-01,285900000000.00
1961-01-01,284200000000.00
1961-02-01,285700000000.00
1961-03-01,282600000000.00
1961-04-01,283700000000.00
1961-05-01,285200000000.00
1961-06-01,282800000000.00
1961-07-01,286100000000.00
1961-08-01,286800000000.00
1961-09-01,287600000000.00
1961-10-01,289800000000.00
1961-11-01,290500000000.00
1961-12-01,289100000000.00
1962-01-01,289100000000.00
1962-02-01,290900000000.00
1962-03-01,291500000000.00
1962-04-01,293000000000.00
1962-05-01,295000000000.00
1962-06-01,292600000000.00
1962-07-01,291800000000.00
1962-08-01,297300000000.00
1962-09-01,295400000000.00
1962-10-01,298500000000.00
1962-11-01,301800000000.00
1962-12-01,300000000000.00
1963-01-01,299700000000.00
1963-02-01,300700000000.00
1963-03-01,298900000000.00
1963-04-01,298800000000.00
1963-05-01,300500000000.00
1963-06-01,301000000000.00
1963-07-01,299400000000.00
1963-08-01,300800000000.00
1963-09-01,300700000000.00
1963-10-01,299700000000.00
1963-11-01,301600000000.00
1963-12-01,302200000000.00
1964-01-01,301700000000.00
1964-02-01,303000000000.00
1964-03-01,301700000000.00
1964-04-01,300200000000.00
1964-05-01,304800000000.00
1964-06-01,305400000000.00
1964-07-01,304900000000.00
1964-08-01,307400000000.00
1964-09-01,308900000000.00
1964-10-01,309000000000.00
1964-11-01,311300000000.00
1964-12-01,311100000000.00
1965-01-01,311500000000.00
1965-02-01,313000000000.00
1965-03-01,311100000000.00
1965-04-01,310100000000.00
1965-05-01,312600000000.00
1965-06-01,311000000000.00
1965-07-01,310000000000.00
1965-08-01,310900000000.00
1965-09-01,308400000000.00
1965-10-01,310300000000.00
