Date,UMTUVS
2010-12-01,145243000000.00
2011-01-01,126732000000.00
2011-02-01,133548000000.00
2011-03-01,164079000000.00
2011-04-01,143505000000.00
2011-05-01,149623000000.00
2011-06-01,162910000000.00
2011-07-01,138165000000.00
2011-08-01,158072000000.00
2011-09-01,162049000000.00
2011-10-01,151826000000.00
2011-11-01,147204000000.00
2011-12-01,158253000000.00
2012-01-01,140875000000.00
2012-02-01,151839000000.00
2012-03-01,173884000000.00
2012-04-01,153776000000.00
2012-05-01,164930000000.00
2012-06-01,172523000000.00
2012-07-01,145748000000.00
2012-08-01,163141000000.00
2012-09-01,163153000000.00
2012-10-01,160417000000.00
2012-11-01,155457000000.00
2012-12-01,159897000000.00
2013-01-01,142223000000.00
2013-02-01,148296000000.00
2013-03-01,171693000000.00
2013-04-01,156791000000.00
2013-05-01,166336000000.00
2013-06-01,171764000000.00
2013-07-01,149197000000.00
2013-08-01,165230000000.00
2013-09-01,169286000000.00
2013-10-01,165299000000.00
2013-11-01,156579000000.00
2013-12-01,161238000000.00
2014-01-01,144333000000.00
2014-02-01,152007000000.00
2014-03-01,176473000000.00
2014-04-01,161160000000.00
2014-05-01,166646000000.00
2014-06-01,179692000000.00
2014-07-01,160036000000.00
2014-08-01,170045000000.00
2014-09-01,178372000000.00
2014-10-01,171148000000.00
2014-11-01,155285000000.00
2014-12-01,171245000000.00
2015-01-01,145447000000.00
2015-02-01,150108000000.00
2015-03-01,178306000000.00
2015-04-01,161330000000.00
2015-05-01,161088000000.00
2015-06-01,177655000000.00
2015-07-01,154627000000.00
2015-08-01,164358000000.00
2015-09-01,172006000000.00
2015-10-01,161689000000.00
2015-11-01,152524000000.00
2015-12-01,157319000000.00
2016-01-01,136351000000.00
2016-02-01,149497000000.00
2016-03-01,169737000000.00
2016-04-01,150712000000.00
2016-05-01,156501000000.00
2016-06-01,170395000000.00
2016-07-01,142987000000.00
2016-08-01,161131000000.00
2016-09-01,168042000000.00
2016-10-01,154718000000.00
2016-11-01,150306000000.00
2016-12-01,160094000000.00
2017-01-01,139636000000.00
2017-02-01,147843000000.00
2017-03-01,177449000000.00
2017-04-01,152634000000.00
2017-05-01,167154000000.00
2017-06-01,178313000000.00
2017-07-01,149180000000.00
2017-08-01,170533000000.00
2017-09-01,174458000000.00
2017-10-01,166601000000.00
2017-11-01,163256000000.00
2017-12-01,167884000000.00
2018-01-01,152274000000.00
2018-02-01,158472000000.00
2018-03-01,186953000000.00
2018-04-01,167602000000.00
2018-05-01,179240000000.00
