Date,U33EUO
1992-01-01,4400000000.00
1992-02-01,4378000000.00
1992-03-01,4212000000.00
1992-04-01,4855000000.00
1992-05-01,4724000000.00
1992-06-01,4569000000.00
1992-07-01,4694000000.00
1992-08-01,4666000000.00
1992-09-01,4597000000.00
1992-10-01,4834000000.00
1992-11-01,4961000000.00
1992-12-01,5004000000.00
1993-01-01,5238000000.00
1993-02-01,5239000000.00
1993-03-01,4986000000.00
1993-04-01,5481000000.00
1993-05-01,5584000000.00
1993-06-01,5354000000.00
1993-07-01,5425000000.00
1993-08-01,5521000000.00
1993-09-01,5258000000.00
1993-10-01,5379000000.00
1993-11-01,5499000000.00
1993-12-01,5858000000.00
1994-01-01,6034000000.00
1994-02-01,6251000000.00
1994-03-01,5853000000.00
1994-04-01,6330000000.00
1994-05-01,6291000000.00
1994-06-01,6492000000.00
1994-07-01,7030000000.00
1994-08-01,7173000000.00
1994-09-01,6935000000.00
1994-10-01,7386000000.00
1994-11-01,7897000000.00
1994-12-01,7973000000.00
1995-01-01,9001000000.00
1995-02-01,9337000000.00
1995-03-01,9198000000.00
1995-04-01,9435000000.00
1995-05-01,9575000000.00
1995-06-01,9530000000.00
1995-07-01,9315000000.00
1995-08-01,9778000000.00
1995-09-01,9772000000.00
1995-10-01,9969000000.00
1995-11-01,10066000000.00
1995-12-01,10177000000.00
1996-01-01,10875000000.00
1996-02-01,11141000000.00
1996-03-01,11163000000.00
1996-04-01,11373000000.00
1996-05-01,11202000000.00
1996-06-01,10891000000.00
1996-07-01,10992000000.00
1996-08-01,10836000000.00
1996-09-01,10443000000.00
1996-10-01,10719000000.00
1996-11-01,10558000000.00
1996-12-01,10331000000.00
1997-01-01,10733000000.00
1997-02-01,10875000000.00
1997-03-01,10707000000.00
1997-04-01,11002000000.00
1997-05-01,11071000000.00
1997-06-01,10764000000.00
1997-07-01,11222000000.00
1997-08-01,11357000000.00
1997-09-01,11570000000.00
1997-10-01,11872000000.00
1997-11-01,11723000000.00
1997-12-01,11221000000.00
1998-01-01,11371000000.00
1998-02-01,11235000000.00
1998-03-01,10713000000.00
1998-04-01,10664000000.00
1998-05-01,10224000000.00
1998-06-01,9714000000.00
1998-07-01,9580000000.00
1998-08-01,9302000000.00
1998-09-01,8893000000.00
1998-10-01,8788000000.00
1998-11-01,8870000000.00
1998-12-01,8491000000.00
1999-01-01,8852000000.00
1999-02-01,8938000000.00
1999-03-01,8776000000.00
1999-04-01,8992000000.00
1999-05-01,9002000000.00
1999-06-01,8768000000.00
1999-07-01,9335000000.00
1999-08-01,9206000000.00
1999-09-01,9276000000.00
1999-10-01,9495000000.00
1999-11-01,9945000000.00
1999-12-01,9893000000.00
2000-01-01,11384000000.00
2000-02-01,11718000000.00
2000-03-01,11678000000.00
2000-04-01,12724000000.00
2000-05-01,13281000000.00
2000-06-01,12719000000.00
2000-07-01,13346000000.00
2000-08-01,13378000000.00
2000-09-01,12891000000.00
2000-10-01,13315000000.00
2000-11-01,12987000000.00
2000-12-01,11815000000.00
2001-01-01,11951000000.00
2001-02-01,11578000000.00
2001-03-01,10579000000.00
2001-04-01,10284000000.00
2001-05-01,10274000000.00
2001-06-01,10036000000.00
2001-07-01,9810000000.00
2001-08-01,9529000000.00
2001-09-01,9075000000.00
2001-10-01,9149000000.00
2001-11-01,9367000000.00
2001-12-01,8732000000.00
2002-01-01,8974000000.00
2002-02-01,9002000000.00
2002-03-01,8874000000.00
2002-04-01,9428000000.00
2002-05-01,9821000000.00
2002-06-01,9217000000.00
2002-07-01,10112000000.00
2002-08-01,9655000000.00
2002-09-01,9263000000.00
2002-10-01,9654000000.00
2002-11-01,9404000000.00
2002-12-01,9161000000.00
2003-01-01,10428000000.00
2003-02-01,9981000000.00
2003-03-01,10407000000.00
2003-04-01,10338000000.00
2003-05-01,10158000000.00
2003-06-01,9553000000.00
2003-07-01,9413000000.00
2003-08-01,9099000000.00
2003-09-01,8933000000.00
2003-10-01,9111000000.00
2003-11-01,9025000000.00
2003-12-01,8806000000.00
2004-01-01,9649000000.00
2004-02-01,9818000000.00
2004-03-01,9832000000.00
2004-04-01,9698000000.00
2004-05-01,9865000000.00
2004-06-01,10030000000.00
2004-07-01,10265000000.00
2004-08-01,10194000000.00
2004-09-01,10682000000.00
2004-10-01,11054000000.00
2004-11-01,11195000000.00
2004-12-01,10662000000.00
2005-01-01,10638000000.00
2005-02-01,10571000000.00
2005-03-01,10370000000.00
2005-04-01,10883000000.00
2005-05-01,10339000000.00
2005-06-01,10275000000.00
2005-07-01,10534000000.00
2005-08-01,10083000000.00
2005-09-01,10218000000.00
2005-10-01,10312000000.00
2005-11-01,10256000000.00
2005-12-01,9929000000.00
2006-01-01,11613000000.00
2006-02-01,11812000000.00
2006-03-01,12203000000.00
2006-04-01,12516000000.00
2006-05-01,12463000000.00
2006-06-01,12472000000.00
2006-07-01,12675000000.00
2006-08-01,12304000000.00
2006-09-01,12102000000.00
2006-10-01,12591000000.00
2006-11-01,12629000000.00
2006-12-01,12570000000.00
2007-01-01,13285000000.00
2007-02-01,13903000000.00
2007-03-01,14482000000.00
2007-04-01,14713000000.00
2007-05-01,14703000000.00
2007-06-01,14235000000.00
2007-07-01,14575000000.00
2007-08-01,14100000000.00
2007-09-01,13601000000.00
2007-10-01,14376000000.00
2007-11-01,14427000000.00
