Date,RTWVDID684NMFRBDAL
1988-01-01,100.00
1988-02-01,100.31
1988-03-01,98.76
1988-04-01,97.51
1988-05-01,97.52
1988-06-01,98.60
1988-07-01,101.00
1988-08-01,101.71
1988-09-01,102.26
1988-10-01,99.77
1988-11-01,97.36
1988-12-01,96.88
1989-01-01,98.67
1989-02-01,99.30
1989-03-01,100.68
1989-04-01,100.70
1989-05-01,103.47
1989-06-01,106.05
1989-07-01,104.00
1989-08-01,104.30
1989-09-01,105.53
1989-10-01,103.78
1989-11-01,104.49
1989-12-01,103.53
1990-01-01,103.89
1990-02-01,104.29
1990-03-01,107.05
1990-04-01,107.53
1990-05-01,105.58
1990-06-01,106.24
1990-07-01,104.12
1990-08-01,103.17
1990-09-01,101.23
1990-10-01,97.55
1990-11-01,97.53
1990-12-01,99.04
1991-01-01,98.52
1991-02-01,97.01
1991-03-01,101.00
1991-04-01,101.90
1991-05-01,102.41
1991-06-01,104.07
1991-07-01,103.44
1991-08-01,102.30
1991-09-01,100.94
1991-10-01,99.20
1991-11-01,97.70
1991-12-01,96.74
1992-01-01,95.98
1992-02-01,97.72
1992-03-01,100.24
1992-04-01,99.59
1992-05-01,98.31
1992-06-01,96.67
1992-07-01,95.67
1992-08-01,95.62
1992-09-01,95.48
1992-10-01,96.82
1992-11-01,99.60
1992-12-01,99.50
1993-01-01,100.73
1993-02-01,100.82
1993-03-01,99.65
1993-04-01,97.11
1993-05-01,96.73
1993-06-01,97.10
1993-07-01,98.11
1993-08-01,97.41
1993-09-01,96.91
1993-10-01,98.08
1993-11-01,99.22
1993-12-01,99.51
1994-01-01,100.23
1994-02-01,99.11
1994-03-01,98.90
1994-04-01,98.39
1994-05-01,97.70
1994-06-01,97.23
1994-07-01,95.49
1994-08-01,95.55
1994-09-01,94.53
1994-10-01,93.65
1994-11-01,93.92
1994-12-01,95.57
1995-01-01,95.88
1995-02-01,95.47
1995-03-01,93.25
1995-04-01,90.10
1995-05-01,90.34
1995-06-01,90.27
1995-07-01,90.68
1995-08-01,93.22
1995-09-01,94.77
1995-10-01,94.54
1995-11-01,95.16
1995-12-01,95.51
1996-01-01,96.80
1996-02-01,96.65
1996-03-01,96.89
1996-04-01,97.15
1996-05-01,97.15
1996-06-01,97.55
1996-07-01,97.67
1996-08-01,97.06
1996-09-01,97.62
1996-10-01,98.26
1996-11-01,97.71
1996-12-01,98.44
1997-01-01,99.83
1997-02-01,102.01
1997-03-01,102.84
1997-04-01,103.29
1997-05-01,101.56
1997-06-01,101.00
1997-07-01,102.03
1997-08-01,104.37
1997-09-01,105.04
1997-10-01,105.67
1997-11-01,106.90
1997-12-01,110.23
1998-01-01,113.04
1998-02-01,110.89
1998-03-01,110.56
1998-04-01,110.91
1998-05-01,112.07
1998-06-01,114.39
1998-07-01,115.35
1998-08-01,117.45
1998-09-01,114.00
1998-10-01,110.47
1998-11-01,110.41
1998-12-01,109.78
1999-01-01,109.84
1999-02-01,111.01
1999-03-01,112.84
1999-04-01,112.78
1999-05-01,112.40
1999-06-01,112.95
1999-07-01,113.60
1999-08-01,112.12
1999-09-01,111.61
1999-10-01,110.91
1999-11-01,111.53
1999-12-01,111.34
2000-01-01,111.15
2000-02-01,113.04
2000-03-01,114.50
2000-04-01,114.46
2000-05-01,117.03
2000-06-01,116.70
2000-07-01,117.36
2000-08-01,117.31
2000-09-01,119.14
2000-10-01,120.28
2000-11-01,120.91
2000-12-01,119.75
2001-01-01,120.48
2001-02-01,121.27
2001-03-01,123.39
2001-04-01,124.83
2001-05-01,124.94
2001-06-01,125.94
2001-07-01,126.19
2001-08-01,123.80
2001-09-01,123.95
2001-10-01,125.22
2001-11-01,126.27
2001-12-01,126.27
2002-01-01,127.78
2002-02-01,128.20
2002-03-01,128.07
2002-04-01,127.72
2002-05-01,125.57
2002-06-01,124.00
2002-07-01,121.81
2002-08-01,123.15
2002-09-01,123.80
2002-10-01,124.91
2002-11-01,123.65
2002-12-01,122.80
2003-01-01,121.39
2003-02-01,122.05
2003-03-01,122.40
2003-04-01,121.77
2003-05-01,118.44
2003-06-01,117.91
2003-07-01,119.20
2003-08-01,120.28
2003-09-01,118.96
2003-10-01,116.15
2003-11-01,115.46
2003-12-01,113.73
2004-01-01,112.28
2004-02-01,112.44
2004-03-01,114.07
2004-04-01,114.05
2004-05-01,116.32
2004-06-01,115.65
2004-07-01,114.47
2004-08-01,114.76
2004-09-01,114.49
2004-10-01,113.62
2004-11-01,110.95
2004-12-01,109.33
2005-01-01,109.90
2005-02-01,109.98
2005-03-01,109.88
2005-04-01,111.25
2005-05-01,111.47
2005-06-01,112.34
2005-07-01,113.25
2005-08-01,112.07
2005-09-01,113.32
2005-10-01,114.81
2005-11-01,114.94
2005-12-01,113.46
2006-01-01,112.05
2006-02-01,111.85
2006-03-01,112.50
2006-04-01,111.99
2006-05-01,110.36
2006-06-01,111.82
2006-07-01,111.56
2006-08-01,110.77
2006-09-01,110.56
2006-10-01,110.53
2006-11-01,109.43
2006-12-01,108.48
2007-01-01,109.51
2007-02-01,109.18
2007-03-01,109.76
2007-04-01,108.88
2007-05-01,108.50
2007-06-01,108.29
2007-07-01,106.01
2007-08-01,105.60
2007-09-01,105.15
2007-10-01,102.62
2007-11-01,101.46
2007-12-01,101.81
2008-01-01,101.15
2008-02-01,99.50
2008-03-01,98.88
2008-04-01,98.21
2008-05-01,98.80
2008-06-01,99.62
2008-07-01,98.88
2008-08-01,100.98
2008-09-01,103.15
2008-10-01,107.83
2008-11-01,108.52
2008-12-01,107.12
2009-01-01,107.73
2009-02-01,110.73
2009-03-01,111.98
2009-04-01,109.09
2009-05-01,105.63
2009-06-01,105.48
2009-07-01,104.88
2009-08-01,103.32
2009-09-01,102.88
2009-10-01,101.23
2009-11-01,100.93
2009-12-01,100.88
2010-01-01,100.27
2010-02-01,100.86
2010-03-01,100.13
2010-04-01,98.75
2010-05-01,100.89
2010-06-01,101.62
2010-07-01,100.25
2010-08-01,99.11
2010-09-01,98.23
2010-10-01,95.76
2010-11-01,95.47
2010-12-01,95.96
2011-01-01,94.45
2011-02-01,93.80
2011-03-01,93.84
2011-04-01,92.51
2011-05-01,92.57
2011-06-01,92.68
2011-07-01,91.34
2011-08-01,92.06
2011-09-01,94.54
2011-10-01,95.56
2011-11-01,95.61
2011-12-01,95.83
2012-01-01,95.02
2012-02-01,93.82
2012-03-01,94.62
2012-04-01,94.52
2012-05-01,95.49
2012-06-01,96.60
2012-07-01,95.47
2012-08-01,94.58
2012-09-01,93.86
2012-10-01,93.52
2012-11-01,93.42
2012-12-01,92.66
2013-01-01,92.69
2013-02-01,93.86
2013-03-01,95.12
2013-04-01,94.83
2013-05-01,95.06
2013-06-01,96.33
2013-07-01,96.52
2013-08-01,96.55
2013-09-01,95.85
2013-10-01,94.81
2013-11-01,95.21
2013-12-01,95.79
2014-01-01,97.10
2014-02-01,97.28
2014-03-01,97.71
2014-04-01,96.85
2014-05-01,96.36
2014-06-01,96.23
2014-07-01,95.58
2014-08-01,96.18
2014-09-01,97.32
2014-10-01,98.59
2014-11-01,99.89
2014-12-01,101.31
2015-01-01,103.06
2015-02-01,104.18
