Date,LCEAMN01USM661N
1956-09-01,10.05
1957-01-01,10.21
1958-05-01,10.59
1960-01-01,11.45
1960-02-01,11.50
1960-03-01,11.50
1960-04-01,11.50
1960-05-01,11.50
1960-06-01,11.50
1960-07-01,11.50
1960-08-01,11.55
1960-09-01,11.61
1960-10-01,11.61
1960-11-01,11.55
1960-12-01,11.61
1961-01-01,11.61
1961-02-01,11.61
1961-03-01,11.61
1961-04-01,11.72
1961-05-01,11.77
1961-06-01,11.82
1961-07-01,11.88
1961-08-01,11.93
1961-09-01,11.82
1961-10-01,11.98
1961-11-01,11.98
1961-12-01,12.04
1962-01-01,12.09
1962-02-01,12.15
1962-03-01,12.15
1962-04-01,12.15
1962-05-01,12.20
1962-06-01,12.15
1962-07-01,12.20
1962-08-01,12.25
1962-09-01,12.25
1962-10-01,12.31
1962-11-01,12.31
1962-12-01,12.31
1963-01-01,12.36
1963-02-01,12.41
1963-03-01,12.47
1963-04-01,12.47
1963-05-01,12.52
1963-06-01,12.58
1963-07-01,12.63
1963-08-01,12.58
1963-09-01,12.68
1963-10-01,12.68
1963-11-01,12.74
1963-12-01,12.79
1964-01-01,12.79
1964-02-01,12.79
1964-03-01,12.79
1964-04-01,12.90
1964-05-01,12.90
1964-06-01,12.95
1964-07-01,12.95
1964-08-01,13.01
1964-09-01,13.11
1964-10-01,12.90
1964-11-01,13.01
1964-12-01,13.11
1965-01-01,13.17
1965-02-01,13.22
1965-03-01,13.27
1965-04-01,13.27
1965-05-01,13.38
1965-06-01,13.38
1965-07-01,13.38
1965-08-01,13.44
1965-09-01,13.49
1965-10-01,13.54
1965-11-01,13.54
1965-12-01,13.60
1966-01-01,13.65
1966-02-01,13.76
1966-03-01,13.76
1966-04-01,13.87
1966-05-01,13.87
1966-06-01,13.87
1966-07-01,13.97
1966-08-01,14.03
1966-09-01,14.13
1966-10-01,14.19
1966-11-01,14.24
1966-12-01,14.19
1967-01-01,14.24
1967-02-01,14.35
1967-03-01,14.35
1967-04-01,14.40
1967-05-01,14.46
1967-06-01,14.46
1967-07-01,14.56
1967-08-01,14.67
1967-09-01,14.67
1967-10-01,14.73
1967-11-01,14.78
1967-12-01,14.89
1968-01-01,15.10
1968-02-01,15.16
1968-03-01,15.26
1968-04-01,15.32
1968-05-01,15.42
1968-06-01,15.48
1968-07-01,15.53
1968-08-01,15.53
1968-09-01,15.69
1968-10-01,15.80
1968-11-01,15.91
1968-12-01,15.96
1969-01-01,16.07
1969-02-01,16.12
1969-03-01,16.18
1969-04-01,16.28
1969-05-01,16.34
1969-06-01,16.39
1969-07-01,16.55
1969-08-01,16.66
1969-09-01,16.77
1969-10-01,16.82
1969-11-01,16.88
1969-12-01,16.93
1970-01-01,17.04
1970-02-01,17.04
1970-03-01,17.14
1970-04-01,17.20
1970-05-01,17.31
1970-06-01,17.36
1970-07-01,17.47
1970-08-01,17.41
1970-09-01,17.74
1970-10-01,17.47
1970-11-01,17.52
1970-12-01,18.00
1971-01-01,18.17
1971-02-01,18.22
1971-03-01,18.22
1971-04-01,18.38
1971-05-01,18.43
1971-06-01,18.54
1971-07-01,18.54
1971-08-01,18.54
1971-09-01,18.76
1971-10-01,18.76
1971-11-01,18.76
1971-12-01,19.24
1972-01-01,19.35
1972-02-01,19.40
1972-03-01,19.51
1972-04-01,19.67
1972-05-01,19.72
1972-06-01,19.78
1972-07-01,19.78
1972-08-01,19.89
1972-09-01,20.21
1972-10-01,20.26
1972-11-01,20.37
1972-12-01,20.75
1973-01-01,20.85
1973-02-01,20.80
1973-03-01,20.85
1973-04-01,21.01
1973-05-01,21.12
1973-06-01,21.23
1973-07-01,21.34
1973-08-01,21.34
1973-09-01,21.71
1973-10-01,21.71
1973-11-01,21.87
1973-12-01,22.14
1974-01-01,22.14
1974-02-01,22.14
1974-03-01,22.30
1974-04-01,22.36
1974-05-01,22.79
1974-06-01,23.06
1974-07-01,23.22
1974-08-01,23.38
1974-09-01,23.81
1974-10-01,24.02
1974-11-01,24.13
1974-12-01,24.51
1975-01-01,24.51
1975-02-01,24.61
1975-03-01,24.83
1975-04-01,24.83
1975-05-01,24.94
1975-06-01,25.10
1975-07-01,25.26
1975-08-01,25.37
1975-09-01,25.74
1975-10-01,25.80
1975-11-01,25.96
1975-12-01,26.33
1976-01-01,26.44
1976-02-01,26.55
1976-03-01,26.71
1976-04-01,26.76
1976-05-01,27.03
1976-06-01,27.19
1976-07-01,27.41
1976-08-01,27.57
1976-09-01,28.05
1976-10-01,27.95
1976-11-01,28.22
1976-12-01,28.70
1977-01-01,28.86
1977-02-01,28.81
1977-03-01,29.02
1977-04-01,29.24
1977-05-01,29.45
1977-06-01,29.72
1977-07-01,29.94
1977-08-01,29.94
1977-09-01,30.47
1977-10-01,30.58
1977-11-01,30.80
1977-12-01,31.17
1978-01-01,31.44
1978-02-01,31.49
1978-03-01,31.60
1978-04-01,31.82
1978-05-01,31.98
1978-06-01,32.19
1978-07-01,32.57
1978-08-01,32.46
1978-09-01,33.11
1978-10-01,33.38
1978-11-01,33.70
1978-12-01,34.18
1979-01-01,34.29
1979-02-01,34.45
1979-03-01,34.66
1979-04-01,34.56
1979-05-01,34.99
1979-06-01,35.15
1979-07-01,35.42
1979-08-01,35.31
1979-09-01,35.90
1979-10-01,36.01
1979-11-01,36.28
1979-12-01,36.81
1980-01-01,36.76
1980-02-01,36.98
1980-03-01,37.30
1980-04-01,37.46
1980-05-01,37.67
1980-06-01,38.05
1980-07-01,38.48
1980-08-01,38.59
1980-09-01,39.23
1980-10-01,39.61
1980-11-01,40.15
1980-12-01,40.74
1981-01-01,40.90
1981-02-01,40.95
1981-03-01,41.28
1981-04-01,41.71
1981-05-01,41.92
1981-06-01,42.19
1981-07-01,42.40
1981-08-01,42.46
1981-09-01,43.16
1981-10-01,43.21
1981-11-01,43.43
1981-12-01,43.75
1982-01-01,44.55
1982-02-01,44.12
1982-03-01,44.29
1982-04-01,44.50
1982-05-01,44.72
1982-06-01,44.93
1982-07-01,45.20
1982-08-01,44.98
1982-09-01,45.41
1982-10-01,45.20
1982-11-01,45.47
1982-12-01,45.90
1983-01-01,46.01
1983-02-01,46.22
1983-03-01,46.17
1983-04-01,46.33
1983-05-01,46.43
1983-06-01,46.54
1983-07-01,46.81
1983-08-01,46.43
1983-09-01,47.08
1983-10-01,47.13
1983-11-01,47.51
1983-12-01,47.94
1984-01-01,48.10
1984-02-01,48.05
1984-03-01,48.21
1984-04-01,48.32
1984-05-01,48.32
1984-06-01,48.48
1984-07-01,48.64
1984-08-01,48.48
1984-09-01,48.96
1984-10-01,48.96
1984-11-01,49.34
1984-12-01,49.82
1985-01-01,50.04
1985-02-01,50.04
1985-03-01,50.14
1985-04-01,50.36
1985-05-01,50.30
1985-06-01,50.41
1985-07-01,50.63
1985-08-01,50.30
1985-09-01,50.68
1985-10-01,50.68
1985-11-01,51.06
1985-12-01,51.65
1986-01-01,51.43
1986-02-01,51.43
1986-03-01,51.54
1986-04-01,51.49
1986-05-01,51.49
1986-06-01,51.43
1986-07-01,51.54
1986-08-01,51.27
1986-09-01,51.59
1986-10-01,51.54
1986-11-01,51.86
1986-12-01,52.19
1987-01-01,52.13
1987-02-01,52.19
1987-03-01,52.24
1987-04-01,52.29
1987-05-01,52.29
1987-06-01,52.29
1987-07-01,52.29
1987-08-01,52.24
1987-09-01,52.94
1987-10-01,52.72
1987-11-01,53.05
1987-12-01,53.42
1988-01-01,53.48
1988-02-01,53.31
1988-03-01,53.48
1988-04-01,53.74
1988-05-01,53.85
1988-06-01,53.91
1988-07-01,53.96
1988-08-01,53.74
1988-09-01,54.44
1988-10-01,54.44
1988-11-01,54.82
1988-12-01,55.09
1989-01-01,55.14
1989-02-01,55.14
1989-03-01,55.30
1989-04-01,55.30
1989-05-01,55.36
1989-06-01,55.46
1989-07-01,55.63
1989-08-01,55.46
1989-09-01,56.06
1989-10-01,55.89
1989-11-01,56.16
1989-12-01,56.59
1990-01-01,56.54
1990-02-01,57.02
1990-03-01,57.45
1990-04-01,57.40
1990-05-01,57.77
1990-06-01,57.99
1990-07-01,58.10
1990-08-01,57.83
1990-09-01,58.53
1990-10-01,58.58
1990-11-01,58.58
1990-12-01,59.12
1991-01-01,59.01
1991-02-01,58.85
1991-03-01,59.06
1991-04-01,59.39
1991-05-01,59.60
1991-06-01,59.82
1991-07-01,60.03
1991-08-01,59.82
1991-09-01,60.41
1991-10-01,60.30
1991-11-01,60.57
1991-12-01,60.95
1992-01-01,60.41
1992-02-01,60.62
1992-03-01,60.84
1992-04-01,61.05
1992-05-01,61.27
1992-06-01,61.32
1992-07-01,61.27
1992-08-01,61.27
1992-09-01,61.70
1992-10-01,61.48
1992-11-01,61.75
1992-12-01,62.24
1993-01-01,62.13
1993-02-01,62.13
1993-03-01,62.24
1993-04-01,62.56
1993-05-01,62.67
1993-06-01,62.67
1993-07-01,62.67
1993-08-01,62.61
1993-09-01,63.42
1993-10-01,63.20
1993-11-01,63.58
1993-12-01,64.28
1994-01-01,64.06
1994-02-01,64.28
1994-03-01,64.22
1994-04-01,64.39
1994-05-01,64.39
1994-06-01,64.44
1994-07-01,64.49
1994-08-01,64.44
1994-09-01,65.19
1994-10-01,64.98
1994-11-01,65.35
1994-12-01,65.84
1995-01-01,65.68
1995-02-01,65.78
1995-03-01,65.84
1995-04-01,65.94
1995-05-01,65.94
1995-06-01,66.05
1995-07-01,66.37
1995-08-01,66.27
1995-09-01,66.91
1995-10-01,66.70
1995-11-01,66.97
1995-12-01,67.56
1996-01-01,67.88
1996-02-01,67.45
1996-03-01,67.18
1996-04-01,68.26
1996-05-01,68.20
1996-06-01,68.42
1996-07-01,68.58
1996-08-01,68.58
1996-09-01,69.22
1996-10-01,68.85
1996-11-01,69.28
1996-12-01,70.14
1997-01-01,69.92
1997-02-01,69.76
1997-03-01,70.08
1997-04-01,70.14
1997-05-01,70.14
1997-06-01,70.19
1997-07-01,70.14
1997-08-01,70.46
1997-09-01,70.94
1997-10-01,71.26
1997-11-01,71.69
1997-12-01,72.29
1998-01-01,71.86
1998-02-01,71.91
1998-03-01,72.18
1998-04-01,72.07
1998-05-01,72.23
1998-06-01,71.96
1998-07-01,71.37
1998-08-01,72.02
1998-09-01,72.88
1998-10-01,72.61
1998-11-01,72.88
1998-12-01,73.36
1999-01-01,73.15
1999-02-01,73.20
1999-03-01,73.52
1999-04-01,73.84
1999-05-01,74.06
1999-06-01,74.33
1999-07-01,74.38
1999-08-01,74.54
1999-09-01,75.51
1999-10-01,75.13
1999-11-01,75.40
1999-12-01,76.10
2000-01-01,76.10
2000-02-01,75.94
2000-03-01,76.16
2000-04-01,76.48
2000-05-01,76.32
2000-06-01,76.69
2000-07-01,76.75
2000-08-01,76.85
2000-09-01,77.66
2000-10-01,77.82
2000-11-01,78.20
2000-12-01,78.52
2001-01-01,78.04
2001-02-01,78.20
2001-03-01,78.31
2001-04-01,78.63
2001-05-01,78.79
2001-06-01,79.11
2001-07-01,79.33
2001-08-01,79.60
2001-09-01,80.19
2001-10-01,79.97
2001-11-01,80.62
2001-12-01,81.26
2002-01-01,81.10
2002-02-01,81.21
2002-03-01,81.37
2002-04-01,81.48
2002-05-01,81.69
2002-06-01,81.91
2002-07-01,81.85
2002-08-01,82.23
2002-09-01,82.82
2002-10-01,83.03
2002-11-01,83.41
2002-12-01,84.11
2003-01-01,83.89
2003-02-01,84.00
2003-03-01,83.95
2003-04-01,83.95
2003-05-01,84.06
2003-06-01,84.32
2003-07-01,84.27
2003-08-01,84.70
2003-09-01,85.29
2003-10-01,84.97
2003-11-01,85.56
2003-12-01,86.21
2004-01-01,85.83
2004-02-01,85.88
2004-03-01,85.94
2004-04-01,86.26
2004-05-01,86.21
2004-06-01,86.42
2004-07-01,86.15
2004-08-01,86.85
2004-09-01,87.93
2004-10-01,87.39
2004-11-01,87.71
2004-12-01,88.46
2005-01-01,88.25
2005-02-01,88.30
2005-03-01,88.25
2005-04-01,88.46
2005-05-01,88.68
2005-06-01,88.79
2005-07-01,88.62
2005-08-01,89.16
2005-09-01,89.48
2005-10-01,89.70
2005-11-01,89.70
2005-12-01,90.24
2006-01-01,89.97
2006-02-01,89.75
2006-03-01,89.70
2006-04-01,89.97
2006-05-01,89.97
2006-06-01,90.08
2006-07-01,89.75
2006-08-01,90.29
2006-09-01,90.77
2006-10-01,90.83
2006-11-01,91.04
2006-12-01,91.96
2007-01-01,91.69
2007-02-01,91.58
2007-03-01,91.80
2007-04-01,92.49
2007-05-01,92.49
2007-06-01,92.87
2007-07-01,92.55
2007-08-01,93.08
2007-09-01,93.51
2007-10-01,93.25
2007-11-01,93.68
2007-12-01,94.21
2008-01-01,94.32
2008-02-01,94.43
2008-03-01,94.70
2008-04-01,94.86
2008-05-01,94.86
2008-06-01,95.29
2008-07-01,95.34
2008-08-01,95.45
2008-09-01,95.93
2008-10-01,96.04
2008-11-01,96.47
2008-12-01,97.12
2009-01-01,97.01
2009-02-01,97.28
2009-03-01,97.38
2009-04-01,97.60
2009-05-01,97.38
2009-06-01,97.55
2009-07-01,97.92
2009-08-01,98.19
2009-09-01,99.16
2009-10-01,98.57
2009-11-01,98.94
2009-12-01,99.32
2010-01-01,99.37
2010-02-01,99.37
2010-03-01,99.27
2010-04-01,99.53
2010-05-01,99.80
2010-06-01,99.64
2010-07-01,99.75
2010-08-01,99.86
2010-09-01,100.77
2010-10-01,100.50
2010-11-01,100.77
2010-12-01,101.36
2011-01-01,101.95
2011-02-01,101.74
2011-03-01,101.58
2011-04-01,101.68
2011-05-01,101.63
2011-06-01,101.42
2011-07-01,101.58
2011-08-01,101.15
2011-09-01,101.74
2011-10-01,101.90
2011-11-01,101.85
2011-12-01,102.49
2012-01-01,102.65
2012-02-01,102.28
2012-03-01,102.22
2012-04-01,102.87
2012-05-01,102.17
2012-06-01,102.33
2012-07-01,102.54
2012-08-01,102.11
2012-09-01,102.49
2012-10-01,102.49
2012-11-01,102.97
2012-12-01,103.30
2013-01-01,103.35
2013-02-01,103.35
2013-03-01,103.24
2013-04-01,103.51
2013-05-01,103.30
2013-06-01,103.35
2013-07-01,103.35
2013-08-01,103.51
2013-09-01,103.94
2013-10-01,103.94
2013-11-01,104.42
2013-12-01,105.07
2014-01-01,104.80
2014-02-01,104.75
2014-03-01,104.96
2014-04-01,104.91
2014-05-01,104.85
2014-06-01,104.80
2014-07-01,105.12
2014-08-01,105.12
2014-09-01,105.34
2014-10-01,105.34
2014-11-01,105.66
2014-12-01,105.93
2015-01-01,105.77
2015-02-01,105.98
2015-03-01,106.31
2015-04-01,106.41
2015-05-01,106.57
2015-06-01,106.68
2015-07-01,107.00
2015-08-01,107.17
2015-09-01,107.97
2015-10-01,107.54
2015-11-01,107.81
2015-12-01,108.51
2016-01-01,108.40
2016-02-01,108.51
2016-03-01,108.94
2016-04-01,109.58
2016-05-01,109.64
2016-06-01,109.64
2016-07-01,109.96
2016-08-01,110.18
2016-09-01,110.55
2016-10-01,110.77
2016-11-01,110.66
2016-12-01,111.09
2017-01-01,111.14
2017-02-01,110.93
2017-03-01,111.20
2017-04-01,112.00
2017-05-01,111.63
2017-06-01,111.63
2017-07-01,112.27
2017-08-01,112.16
2017-09-01,112.97
2017-10-01,113.29
2017-11-01,113.56
2017-12-01,114.37
2018-01-01,114.58
2018-02-01,114.48
2018-03-01,114.80
2018-04-01,115.60
2018-05-01,114.96
