Date,GFDEBTN
1966-01-01,320999000000.00
1966-04-01,316097000000.00
1966-07-01,324748000000.00
1966-10-01,329319000000.00
1967-01-01,330947000000.00
1967-04-01,322893000000.00
1967-07-01,335896000000.00
1967-10-01,344663000000.00
1968-01-01,349473000000.00
1968-04-01,345369000000.00
1968-07-01,354743000000.00
1968-10-01,358029000000.00
1969-01-01,359546000000.00
1969-04-01,352895000000.00
1969-07-01,360685000000.00
1969-10-01,368226000000.00
1970-01-01,372007000000.00
1970-04-01,370094000000.00
1970-07-01,378678000000.00
1970-10-01,389158000000.00
1971-01-01,391668000000.00
1971-04-01,397305000000.00
1971-07-01,412268000000.00
1971-10-01,424131000000.00
1972-01-01,427344000000.00
1972-04-01,426435000000.00
1972-07-01,433946000000.00
1972-10-01,448473000000.00
1973-01-01,458606000000.00
1973-04-01,457317000000.00
1973-07-01,460614000000.00
1973-10-01,469073000000.00
1974-01-01,473675000000.00
1974-04-01,474235000000.00
1974-07-01,481466000000.00
1974-10-01,492664000000.00
1975-01-01,509659000000.00
1975-04-01,533188000000.00
1975-07-01,553647000000.00
1975-10-01,576649000000.00
1976-01-01,600490000000.00
1976-04-01,620432000000.00
1976-07-01,634701000000.00
1976-10-01,653543000000.00
1977-01-01,669207000000.00
1977-04-01,674425000000.00
1977-07-01,698840000000.00
1977-10-01,718943000000.00
1978-01-01,737951000000.00
1978-04-01,749024000000.00
1978-07-01,771544000000.00
1978-10-01,789207000000.00
1979-01-01,796792000000.00
1979-04-01,804913000000.00
1979-07-01,826519000000.00
1979-10-01,845116000000.00
1980-01-01,863451000000.00
1980-04-01,877614000000.00
1980-07-01,907701000000.00
1980-10-01,930210000000.00
1981-01-01,964531000000.00
1981-04-01,971174000000.00
1981-07-01,997855000000.00
1981-10-01,1028729000000.00
1982-01-01,1061299000000.00
1982-04-01,1079630000000.00
1982-07-01,1142035000000.00
1982-10-01,1197074000000.00
1983-01-01,1244493000000.00
1983-04-01,1319581000000.00
1983-07-01,1377211000000.00
1983-10-01,1410702000000.00
1984-01-01,1463741000000.00
1984-04-01,1512697000000.00
1984-07-01,1572267000000.00
1984-10-01,1662966000000.00
1985-01-01,1710731000000.00
1985-04-01,1774640000000.00
1985-07-01,1823103000000.00
1985-10-01,1945942000000.00
1986-01-01,1986816000000.00
1986-04-01,2059349000000.00
1986-07-01,2125304000000.00
1986-10-01,2214835000000.00
1987-01-01,2246724000000.00
1987-04-01,2309296000000.00
1987-07-01,2350277000000.00
1987-10-01,2431715000000.00
1988-01-01,2487551000000.00
1988-04-01,2547656000000.00
1988-07-01,2602183000000.00
1988-10-01,2684392000000.00
1989-01-01,2740898000000.00
1989-04-01,2799923000000.00
1989-07-01,2857431000000.00
1989-10-01,2952994000000.00
1990-01-01,3051958000000.00
1990-04-01,3143754000000.00
1990-07-01,3233313000000.00
1990-10-01,3364820000000.00
1991-01-01,3465189000000.00
1991-04-01,3537988000000.00
1991-07-01,3665303000000.00
1991-10-01,3801698000000.00
1992-01-01,3881288000000.00
1992-04-01,3984656000000.00
1992-07-01,4064621000000.00
1992-10-01,4177009000000.00
1993-01-01,4230580000000.00
1993-04-01,4351950000000.00
1993-07-01,4411489000000.00
1993-10-01,4535687000000.00
1994-01-01,4575869000000.00
1994-04-01,4645802000000.00
1994-07-01,4692750000000.00
1994-10-01,4800150000000.00
1995-01-01,4864116000000.00
1995-04-01,4951372000000.00
1995-07-01,4973983000000.00
1995-10-01,4988665000000.00
1996-01-01,5117786000000.00
1996-04-01,5161076000000.00
1996-07-01,5224811000000.00
1996-10-01,5323172000000.00
1997-01-01,5380890000000.00
1997-04-01,5376151000000.00
1997-07-01,5413146000000.00
1997-10-01,5502388000000.00
1998-01-01,5542426000000.00
1998-04-01,5547935000000.00
1998-07-01,5526193000000.00
1998-10-01,5614217000000.00
1999-01-01,5651615000000.00
1999-04-01,5638780000000.00
1999-07-01,5656271000000.00
1999-10-01,5776091000000.00
2000-01-01,5773392000000.00
2000-04-01,5685938000000.00
2000-07-01,5674179000000.00
2000-10-01,5662216000000.00
2001-01-01,5773740000000.00
2001-04-01,5726815000000.00
2001-07-01,5807464000000.00
2001-10-01,5943439000000.00
2002-01-01,6006032000000.00
2002-04-01,6126469000000.00
2002-07-01,6228236000000.00
2002-10-01,6405707000000.00
2003-01-01,6460776000000.00
2003-04-01,6670121000000.00
2003-07-01,6783320000000.00
2003-10-01,6997964000000.00
2004-01-01,7131068000000.00
2004-04-01,7274335000000.00
2004-07-01,7379053000000.00
2004-10-01,7596143000000.00
2005-01-01,7776939000000.00
2005-04-01,7836496000000.00
2005-07-01,7932710000000.00
2005-10-01,8170413000000.00
2006-01-01,8371156000000.00
2006-04-01,8420042000000.00
2006-07-01,8506974000000.00
2006-10-01,8680224000000.00
2007-01-01,8849665000000.00
2007-04-01,8867677000000.00
2007-07-01,9007653000000.00
2007-10-01,9229172000000.00
2008-01-01,9437594000000.00
2008-04-01,9492006000000.00
2008-07-01,10024725000000.00
2008-10-01,10699805000000.00
2009-01-01,11126941000000.00
2009-04-01,11545275000000.00
2009-07-01,11909828000000.00
2009-10-01,12311349000000.00
2010-01-01,12773123000000.00
2010-04-01,13201792000000.00
2010-07-01,13561622000000.00
2010-10-01,14025215000000.00
2011-01-01,14270114000000.00
2011-04-01,14343087000000.00
2011-07-01,14790340000000.00
2011-10-01,15222940000000.00
2012-01-01,15606518000000.00
2012-04-01,15855037000000.00
2012-07-01,16066240000000.00
2012-10-01,16432730000000.00
2013-01-01,16771381000000.00
2013-04-01,16738320000000.00
2013-07-01,16738180000000.00
2013-10-01,17156119000000.00
2014-01-01,17601227000000.00
2014-04-01,17632606000000.00
2014-07-01,17824071000000.00
2014-10-01,18141444000000.00
2015-01-01,18152056000000.00
2015-04-01,18151998000000.00
2015-07-01,18150618000000.00
2015-10-01,18922179000000.00
2016-01-01,19264939000000.00
2016-04-01,19381591000000.00
2016-07-01,19573445000000.00
2016-10-01,19976827000000.00
2017-01-01,19846420000000.00
2017-04-01,19844554000000.00
2017-07-01,20244900000000.00
2017-10-01,20492747000000.00
2018-01-01,21089643000000.00
