Date,UDXDUO
1992-01-01,308374000000.00
1992-02-01,308202000000.00
1992-03-01,307533000000.00
1992-04-01,308636000000.00
1992-05-01,308414000000.00
1992-06-01,306443000000.00
1992-07-01,305233000000.00
1992-08-01,301535000000.00
1992-09-01,298299000000.00
1992-10-01,297272000000.00
1992-11-01,294030000000.00
1992-12-01,294632000000.00
1993-01-01,297488000000.00
1993-02-01,300894000000.00
1993-03-01,298722000000.00
1993-04-01,297482000000.00
1993-05-01,293864000000.00
1993-06-01,293443000000.00
1993-07-01,293024000000.00
1993-08-01,291343000000.00
1993-09-01,287059000000.00
1993-10-01,285720000000.00
1993-11-01,283771000000.00
1993-12-01,283295000000.00
1994-01-01,289554000000.00
1994-02-01,291901000000.00
1994-03-01,292641000000.00
1994-04-01,293197000000.00
1994-05-01,292326000000.00
1994-06-01,293315000000.00
1994-07-01,294681000000.00
1994-08-01,293867000000.00
1994-09-01,293728000000.00
1994-10-01,295076000000.00
1994-11-01,296676000000.00
1994-12-01,296883000000.00
1995-01-01,304410000000.00
1995-02-01,307485000000.00
1995-03-01,309134000000.00
1995-04-01,307860000000.00
1995-05-01,309517000000.00
1995-06-01,306391000000.00
1995-07-01,307003000000.00
1995-08-01,306896000000.00
1995-09-01,309346000000.00
1995-10-01,310097000000.00
1995-11-01,313220000000.00
1995-12-01,317622000000.00
1996-01-01,330190000000.00
1996-02-01,334849000000.00
1996-03-01,338873000000.00
1996-04-01,338490000000.00
1996-05-01,340442000000.00
1996-06-01,339501000000.00
1996-07-01,345301000000.00
1996-08-01,341924000000.00
1996-09-01,343166000000.00
1996-10-01,348248000000.00
1996-11-01,347717000000.00
1996-12-01,344336000000.00
1997-01-01,353552000000.00
1997-02-01,359260000000.00
1997-03-01,359645000000.00
1997-04-01,359766000000.00
1997-05-01,359336000000.00
1997-06-01,358885000000.00
1997-07-01,362065000000.00
1997-08-01,363141000000.00
1997-09-01,364710000000.00
1997-10-01,368973000000.00
1997-11-01,380864000000.00
1997-12-01,380008000000.00
1998-01-01,389699000000.00
1998-02-01,392813000000.00
1998-03-01,389273000000.00
1998-04-01,389316000000.00
1998-05-01,389279000000.00
1998-06-01,386305000000.00
1998-07-01,385700000000.00
1998-08-01,386515000000.00
1998-09-01,383612000000.00
1998-10-01,379668000000.00
1998-11-01,376310000000.00
1998-12-01,372821000000.00
1999-01-01,381493000000.00
1999-02-01,383027000000.00
1999-03-01,382636000000.00
1999-04-01,380235000000.00
1999-05-01,376987000000.00
1999-06-01,371742000000.00
1999-07-01,374220000000.00
1999-08-01,373647000000.00
1999-09-01,375079000000.00
1999-10-01,376795000000.00
1999-11-01,377128000000.00
1999-12-01,385005000000.00
2000-01-01,394886000000.00
2000-02-01,397133000000.00
2000-03-01,399631000000.00
2000-04-01,400373000000.00
2000-05-01,397927000000.00
2000-06-01,402196000000.00
2000-07-01,404068000000.00
2000-08-01,403251000000.00
2000-09-01,407335000000.00
2000-10-01,405102000000.00
2000-11-01,406894000000.00
2000-12-01,412819000000.00
2001-01-01,417923000000.00
2001-02-01,415999000000.00
2001-03-01,412578000000.00
2001-04-01,408833000000.00
2001-05-01,404214000000.00
2001-06-01,399728000000.00
2001-07-01,396386000000.00
2001-08-01,391133000000.00
2001-09-01,382031000000.00
2001-10-01,371585000000.00
2001-11-01,365555000000.00
2001-12-01,363222000000.00
2002-01-01,363791000000.00
2002-02-01,364995000000.00
2002-03-01,360946000000.00
2002-04-01,358285000000.00
2002-05-01,356382000000.00
2002-06-01,346588000000.00
2002-07-01,346260000000.00
2002-08-01,346135000000.00
2002-09-01,336932000000.00
2002-10-01,333332000000.00
2002-11-01,330709000000.00
2002-12-01,328396000000.00
2003-01-01,332756000000.00
2003-02-01,335386000000.00
2003-03-01,333802000000.00
2003-04-01,332534000000.00
2003-05-01,331177000000.00
2003-06-01,329691000000.00
2003-07-01,329670000000.00
2003-08-01,328642000000.00
2003-09-01,327921000000.00
2003-10-01,331479000000.00
2003-11-01,334342000000.00
2003-12-01,338499000000.00
2004-01-01,344608000000.00
2004-02-01,351993000000.00
2004-03-01,359515000000.00
2004-04-01,362720000000.00
2004-05-01,366881000000.00
2004-06-01,365766000000.00
2004-07-01,373952000000.00
2004-08-01,374072000000.00
2004-09-01,374489000000.00
2004-10-01,371820000000.00
2004-11-01,378130000000.00
2004-12-01,384329000000.00
2005-01-01,390938000000.00
2005-02-01,399728000000.00
2005-03-01,400144000000.00
2005-04-01,400956000000.00
2005-05-01,413620000000.00
2005-06-01,425280000000.00
2005-07-01,431026000000.00
2005-08-01,441002000000.00
2005-09-01,445359000000.00
2005-10-01,451749000000.00
2005-11-01,471421000000.00
2005-12-01,489497000000.00
2006-01-01,500245000000.00
2006-02-01,511812000000.00
2006-03-01,530877000000.00
2006-04-01,542380000000.00
2006-05-01,548486000000.00
2006-06-01,552931000000.00
2006-07-01,560834000000.00
2006-08-01,558910000000.00
2006-09-01,578341000000.00
2006-10-01,586800000000.00
2006-11-01,598263000000.00
2006-12-01,616472000000.00
2007-01-01,629200000000.00
2007-02-01,640507000000.00
2007-03-01,658436000000.00
2007-04-01,673804000000.00
2007-05-01,679584000000.00
2007-06-01,687250000000.00
2007-07-01,702540000000.00
2007-08-01,707361000000.00
2007-09-01,712600000000.00
2007-10-01,718186000000.00
2007-11-01,730344000000.00
2007-12-01,759660000000.00
2008-01-01,775689000000.00
2008-02-01,788856000000.00
2008-03-01,805614000000.00
2008-04-01,813658000000.00
2008-05-01,820481000000.00
2008-06-01,821517000000.00
2008-07-01,826184000000.00
2008-08-01,825437000000.00
2008-09-01,819216000000.00
2008-10-01,807391000000.00
2008-11-01,797843000000.00
2008-12-01,790234000000.00
2009-01-01,776170000000.00
2009-02-01,756277000000.00
2009-03-01,736642000000.00
2009-04-01,717886000000.00
2009-05-01,706100000000.00
2009-06-01,691360000000.00
2009-07-01,685960000000.00
2009-08-01,677127000000.00
2009-09-01,667478000000.00
2009-10-01,660968000000.00
2009-11-01,652173000000.00
2009-12-01,645724000000.00
2010-01-01,648718000000.00
2010-02-01,654890000000.00
2010-03-01,655932000000.00
2010-04-01,657582000000.00
2010-05-01,658749000000.00
2010-06-01,657044000000.00
2010-07-01,659519000000.00
2010-08-01,658749000000.00
2010-09-01,667197000000.00
2010-10-01,670748000000.00
2010-11-01,674823000000.00
2010-12-01,682367000000.00
2011-01-01,689133000000.00
2011-02-01,695745000000.00
2011-03-01,703282000000.00
2011-04-01,704163000000.00
2011-05-01,708348000000.00
2011-06-01,704445000000.00
2011-07-01,710008000000.00
2011-08-01,713685000000.00
2011-09-01,716029000000.00
2011-10-01,716965000000.00
2011-11-01,726475000000.00
2011-12-01,751720000000.00
2012-01-01,766794000000.00
2012-02-01,784991000000.00
2012-03-01,789455000000.00
2012-04-01,792282000000.00
2012-05-01,792547000000.00
2012-06-01,787950000000.00
2012-07-01,797734000000.00
2012-08-01,784216000000.00
2012-09-01,786969000000.00
2012-10-01,791919000000.00
2012-11-01,793443000000.00
2012-12-01,805912000000.00
2013-01-01,811458000000.00
2013-02-01,828157000000.00
2013-03-01,825719000000.00
2013-04-01,827315000000.00
2013-05-01,835401000000.00
2013-06-01,851027000000.00
2013-07-01,852302000000.00
2013-08-01,846988000000.00
2013-09-01,856069000000.00
2013-10-01,858792000000.00
2013-11-01,871722000000.00
2013-12-01,892616000000.00
2014-01-01,898776000000.00
2014-02-01,908352000000.00
2014-03-01,914280000000.00
2014-04-01,913079000000.00
2014-05-01,913129000000.00
2014-06-01,916747000000.00
2014-07-01,976862000000.00
2014-08-01,974096000000.00
2014-09-01,977123000000.00
2014-10-01,972980000000.00
2014-11-01,975640000000.00
2014-12-01,978739000000.00
2015-01-01,980150000000.00
2015-02-01,979827000000.00
2015-03-01,979535000000.00
2015-04-01,974946000000.00
2015-05-01,964258000000.00
2015-06-01,964634000000.00
2015-07-01,965708000000.00
2015-08-01,957606000000.00
2015-09-01,950272000000.00
2015-10-01,948522000000.00
2015-11-01,946810000000.00
2015-12-01,954811000000.00
2016-01-01,958760000000.00
2016-02-01,957605000000.00
2016-03-01,953972000000.00
2016-04-01,953389000000.00
2016-05-01,952153000000.00
2016-06-01,941709000000.00
2016-07-01,941286000000.00
2016-08-01,933780000000.00
2016-09-01,926885000000.00
2016-10-01,934213000000.00
2016-11-01,931346000000.00
2016-12-01,931704000000.00
2017-01-01,931383000000.00
2017-02-01,935011000000.00
2017-03-01,939387000000.00
2017-04-01,939705000000.00
2017-05-01,935328000000.00
2017-06-01,947273000000.00
2017-07-01,944113000000.00
2017-08-01,937967000000.00
2017-09-01,939503000000.00
2017-10-01,939408000000.00
2017-11-01,942406000000.00
2017-12-01,956231000000.00
2018-01-01,957829000000.00
2018-02-01,963765000000.00
2018-03-01,976590000000.00
2018-04-01,982365000000.00
2018-05-01,983772000000.00
