Date,UANMNO
1992-02-01,4883000000.00
1992-03-01,4867000000.00
1992-04-01,4723000000.00
1992-05-01,4727000000.00
1992-06-01,4996000000.00
1992-07-01,4521000000.00
1992-08-01,4573000000.00
1992-09-01,4274000000.00
1992-10-01,4577000000.00
1992-11-01,4557000000.00
1992-12-01,4492000000.00
1993-01-01,4722000000.00
1993-02-01,4704000000.00
1993-03-01,5109000000.00
1993-04-01,4489000000.00
1993-05-01,4233000000.00
1993-06-01,4642000000.00
1993-07-01,3804000000.00
1993-08-01,4147000000.00
1993-09-01,4357000000.00
1993-10-01,4364000000.00
1993-11-01,4553000000.00
1993-12-01,4609000000.00
1994-01-01,4739000000.00
1994-02-01,4954000000.00
1994-03-01,5754000000.00
1994-04-01,4958000000.00
1994-05-01,5284000000.00
1994-06-01,5444000000.00
1994-07-01,4725000000.00
1994-08-01,5139000000.00
1994-09-01,5529000000.00
1994-10-01,5960000000.00
1994-11-01,5954000000.00
1994-12-01,6154000000.00
1995-01-01,6394000000.00
1995-02-01,6211000000.00
1995-03-01,6664000000.00
1995-04-01,6185000000.00
1995-05-01,5940000000.00
1995-06-01,5892000000.00
1995-07-01,5099000000.00
1995-08-01,5986000000.00
1995-09-01,5857000000.00
1995-10-01,6101000000.00
1995-11-01,5940000000.00
1995-12-01,5995000000.00
1996-01-01,5886000000.00
1996-02-01,6271000000.00
1996-03-01,6305000000.00
1996-04-01,6419000000.00
1996-05-01,6314000000.00
1996-06-01,6012000000.00
1996-07-01,5366000000.00
1996-08-01,5606000000.00
1996-09-01,5220000000.00
1996-10-01,5723000000.00
1996-11-01,5746000000.00
1996-12-01,5789000000.00
1997-01-01,6200000000.00
1997-02-01,6551000000.00
1997-03-01,6710000000.00
1997-04-01,6515000000.00
1997-05-01,6337000000.00
1997-06-01,6251000000.00
1997-07-01,5608000000.00
1997-08-01,6123000000.00
1997-09-01,6434000000.00
1997-10-01,6325000000.00
1997-11-01,6207000000.00
1997-12-01,5713000000.00
1998-01-01,6268000000.00
1998-02-01,6332000000.00
1998-03-01,6199000000.00
1998-04-01,6378000000.00
1998-05-01,5856000000.00
1998-06-01,6122000000.00
1998-07-01,5443000000.00
1998-08-01,5979000000.00
1998-09-01,5887000000.00
1998-10-01,5691000000.00
1998-11-01,5712000000.00
1998-12-01,5407000000.00
1999-01-01,5792000000.00
1999-02-01,6002000000.00
1999-03-01,5811000000.00
1999-04-01,5874000000.00
1999-05-01,5715000000.00
1999-06-01,5797000000.00
1999-07-01,5644000000.00
1999-08-01,5753000000.00
1999-09-01,5593000000.00
1999-10-01,5637000000.00
1999-11-01,5600000000.00
1999-12-01,5251000000.00
2000-01-01,5826000000.00
2000-02-01,6368000000.00
2000-03-01,6121000000.00
2000-04-01,5793000000.00
2000-05-01,5470000000.00
2000-06-01,5575000000.00
2000-07-01,5128000000.00
2000-08-01,5428000000.00
2000-09-01,5753000000.00
2000-10-01,5483000000.00
2000-11-01,5230000000.00
2000-12-01,4947000000.00
2001-01-01,5827000000.00
2001-02-01,5420000000.00
2001-03-01,5479000000.00
2001-04-01,5043000000.00
2001-05-01,5229000000.00
2001-06-01,5156000000.00
2001-07-01,4727000000.00
2001-08-01,5092000000.00
2001-09-01,4663000000.00
2001-10-01,4753000000.00
2001-11-01,4663000000.00
2001-12-01,4148000000.00
2002-01-01,4928000000.00
2002-02-01,5034000000.00
2002-03-01,5111000000.00
2002-04-01,5182000000.00
2002-05-01,5412000000.00
2002-06-01,5157000000.00
2002-07-01,4867000000.00
2002-08-01,5268000000.00
2002-09-01,5027000000.00
2002-10-01,5439000000.00
2002-11-01,4783000000.00
2002-12-01,4571000000.00
2003-01-01,5546000000.00
2003-02-01,5003000000.00
2003-03-01,5172000000.00
2003-04-01,5018000000.00
2003-05-01,4966000000.00
2003-06-01,5113000000.00
2003-07-01,4815000000.00
2003-08-01,4940000000.00
2003-09-01,5054000000.00
2003-10-01,5378000000.00
2003-11-01,4923000000.00
2003-12-01,4881000000.00
2004-01-01,5941000000.00
2004-02-01,6198000000.00
2004-03-01,6799000000.00
2004-04-01,5862000000.00
2004-05-01,5941000000.00
