Date,UANMNO
2004-06-01,6052000000.00
2004-07-01,5642000000.00
2004-08-01,5973000000.00
2004-09-01,5912000000.00
2004-10-01,6024000000.00
2004-11-01,5701000000.00
2004-12-01,5790000000.00
2005-01-01,6715000000.00
2005-02-01,6549000000.00
2005-03-01,7303000000.00
2005-04-01,6857000000.00
2005-05-01,6733000000.00
2005-06-01,6872000000.00
2005-07-01,6132000000.00
2005-08-01,7187000000.00
2005-09-01,7643000000.00
2005-10-01,7086000000.00
2005-11-01,7165000000.00
2005-12-01,6380000000.00
2006-01-01,7872000000.00
2006-02-01,7636000000.00
2006-03-01,8423000000.00
2006-04-01,8015000000.00
2006-05-01,9445000000.00
2006-06-01,9169000000.00
2006-07-01,8293000000.00
2006-08-01,9506000000.00
2006-09-01,8936000000.00
2006-10-01,9058000000.00
2006-11-01,8223000000.00
2006-12-01,8210000000.00
2007-01-01,9013000000.00
2007-02-01,8655000000.00
2007-03-01,9471000000.00
2007-04-01,9801000000.00
2007-05-01,10182000000.00
2007-06-01,9723000000.00
2007-07-01,9386000000.00
2007-08-01,10132000000.00
2007-09-01,9278000000.00
2007-10-01,10160000000.00
2007-11-01,9179000000.00
2007-12-01,8762000000.00
2008-01-01,9931000000.00
2008-02-01,10562000000.00
2008-03-01,10557000000.00
2008-04-01,10584000000.00
2008-05-01,10017000000.00
2008-06-01,10542000000.00
2008-07-01,9123000000.00
2008-08-01,9509000000.00
2008-09-01,8854000000.00
2008-10-01,7905000000.00
2008-11-01,6838000000.00
2008-12-01,5635000000.00
2009-01-01,5668000000.00
2009-02-01,5547000000.00
2009-03-01,5986000000.00
2009-04-01,5729000000.00
2009-05-01,5645000000.00
2009-06-01,5937000000.00
2009-07-01,6414000000.00
2009-08-01,6820000000.00
2009-09-01,6542000000.00
2009-10-01,7372000000.00
2009-11-01,6787000000.00
2009-12-01,7030000000.00
2010-01-01,7686000000.00
2010-02-01,7851000000.00
2010-03-01,9798000000.00
2010-04-01,9098000000.00
2010-05-01,8909000000.00
2010-06-01,8985000000.00
2010-07-01,8783000000.00
2010-08-01,9347000000.00
2010-09-01,9452000000.00
2010-10-01,9363000000.00
2010-11-01,8912000000.00
2010-12-01,8651000000.00
2011-01-01,9141000000.00
2011-02-01,9540000000.00
2011-03-01,10599000000.00
2011-04-01,10190000000.00
2011-05-01,9861000000.00
2011-06-01,10993000000.00
2011-07-01,10281000000.00
2011-08-01,11033000000.00
2011-09-01,10345000000.00
2011-10-01,10638000000.00
2011-11-01,9922000000.00
2011-12-01,9486000000.00
2012-01-01,10029000000.00
2012-02-01,9953000000.00
2012-03-01,10102000000.00
2012-04-01,9878000000.00
2012-05-01,9040000000.00
2012-06-01,8557000000.00
2012-07-01,8433000000.00
2012-08-01,8941000000.00
2012-09-01,8674000000.00
2012-10-01,9218000000.00
2012-11-01,8603000000.00
2012-12-01,8046000000.00
2013-01-01,9861000000.00
2013-02-01,9195000000.00
2013-03-01,9474000000.00
2013-04-01,9623000000.00
2013-05-01,9747000000.00
2013-06-01,9362000000.00
2013-07-01,9116000000.00
2013-08-01,9490000000.00
2013-09-01,9404000000.00
2013-10-01,10021000000.00
2013-11-01,8509000000.00
2013-12-01,8498000000.00
2014-01-01,8926000000.00
2014-02-01,8832000000.00
2014-03-01,9488000000.00
2014-04-01,9353000000.00
2014-05-01,9395000000.00
2014-06-01,9380000000.00
2014-07-01,9428000000.00
2014-08-01,9586000000.00
2014-09-01,9517000000.00
2014-10-01,9777000000.00
2014-11-01,8577000000.00
2014-12-01,8503000000.00
2015-01-01,8872000000.00
2015-02-01,8917000000.00
2015-03-01,9097000000.00
2015-04-01,8745000000.00
2015-05-01,8408000000.00
2015-06-01,8756000000.00
2015-07-01,7558000000.00
2015-08-01,7856000000.00
2015-09-01,8141000000.00
2015-10-01,8187000000.00
2015-11-01,7777000000.00
2015-12-01,7030000000.00
2016-01-01,7415000000.00
2016-02-01,7622000000.00
2016-03-01,8130000000.00
2016-04-01,7321000000.00
2016-05-01,7509000000.00
2016-06-01,7933000000.00
2016-07-01,7394000000.00
2016-08-01,7934000000.00
2016-09-01,7840000000.00
2016-10-01,7797000000.00
2016-11-01,7673000000.00
2016-12-01,7081000000.00
2017-01-01,7862000000.00
2017-02-01,8081000000.00
2017-03-01,8952000000.00
2017-04-01,8206000000.00
2017-05-01,8163000000.00
2017-06-01,7996000000.00
2017-07-01,7512000000.00
2017-08-01,8326000000.00
2017-09-01,7987000000.00
2017-10-01,8484000000.00
2017-11-01,8408000000.00
2017-12-01,7902000000.00
2018-01-01,8597000000.00
2018-02-01,8935000000.00
2018-03-01,10047000000.00
2018-04-01,9584000000.00
