Date,U24STI
1992-01-01,10646000000.00
1992-02-01,10575000000.00
1992-03-01,10833000000.00
1992-04-01,10999000000.00
1992-05-01,11405000000.00
1992-06-01,11677000000.00
1992-07-01,11880000000.00
1992-08-01,11742000000.00
1992-09-01,11878000000.00
1992-10-01,11788000000.00
1992-11-01,11460000000.00
1992-12-01,11007000000.00
1993-01-01,11146000000.00
1993-02-01,11053000000.00
1993-03-01,11222000000.00
1993-04-01,11495000000.00
1993-05-01,11584000000.00
1993-06-01,11371000000.00
1993-07-01,11208000000.00
1993-08-01,11126000000.00
1993-09-01,10895000000.00
1993-10-01,11073000000.00
1993-11-01,10811000000.00
1993-12-01,9892000000.00
1994-01-01,9851000000.00
1994-02-01,10033000000.00
1994-03-01,10163000000.00
1994-04-01,10364000000.00
1994-05-01,10790000000.00
1994-06-01,10929000000.00
1994-07-01,11355000000.00
1994-08-01,11370000000.00
1994-09-01,11017000000.00
1994-10-01,11217000000.00
1994-11-01,11292000000.00
1994-12-01,10690000000.00
1995-01-01,11165000000.00
1995-02-01,11317000000.00
1995-03-01,11329000000.00
1995-04-01,11673000000.00
1995-05-01,12035000000.00
1995-06-01,11849000000.00
1995-07-01,11453000000.00
1995-08-01,11243000000.00
1995-09-01,11289000000.00
1995-10-01,10984000000.00
1995-11-01,10956000000.00
1995-12-01,10857000000.00
1996-01-01,11189000000.00
1996-02-01,11319000000.00
1996-03-01,11808000000.00
1996-04-01,12205000000.00
1996-05-01,12415000000.00
1996-06-01,12303000000.00
1996-07-01,12404000000.00
1996-08-01,12342000000.00
1996-09-01,12605000000.00
1996-10-01,12646000000.00
1996-11-01,12542000000.00
1996-12-01,12087000000.00
1997-01-01,12728000000.00
1997-02-01,12563000000.00
1997-03-01,12788000000.00
1997-04-01,12734000000.00
1997-05-01,12926000000.00
1997-06-01,12548000000.00
1997-07-01,12228000000.00
1997-08-01,12494000000.00
1997-09-01,12526000000.00
1997-10-01,12379000000.00
1997-11-01,12238000000.00
1997-12-01,11492000000.00
1998-01-01,10809000000.00
1998-02-01,10794000000.00
1998-03-01,10863000000.00
1998-04-01,11008000000.00
1998-05-01,11015000000.00
1998-06-01,10568000000.00
1998-07-01,10480000000.00
1998-08-01,10179000000.00
1998-09-01,10095000000.00
1998-10-01,10118000000.00
1998-11-01,10258000000.00
1998-12-01,9102000000.00
1999-01-01,9262000000.00
1999-02-01,9029000000.00
1999-03-01,9682000000.00
1999-04-01,10099000000.00
1999-05-01,10351000000.00
1999-06-01,10266000000.00
1999-07-01,10582000000.00
1999-08-01,11061000000.00
1999-09-01,11463000000.00
1999-10-01,11725000000.00
1999-11-01,11913000000.00
1999-12-01,11375000000.00
2000-01-01,12141000000.00
2000-02-01,12509000000.00
2000-03-01,12671000000.00
2000-04-01,13408000000.00
2000-05-01,13769000000.00
2000-06-01,13868000000.00
2000-07-01,13889000000.00
2000-08-01,13691000000.00
2000-09-01,14170000000.00
2000-10-01,14351000000.00
2000-11-01,14043000000.00
2000-12-01,12840000000.00
2001-01-01,13358000000.00
2001-02-01,13586000000.00
2001-03-01,13755000000.00
2001-04-01,14447000000.00
2001-05-01,14682000000.00
2001-06-01,14272000000.00
2001-07-01,14178000000.00
2001-08-01,14430000000.00
2001-09-01,14475000000.00
2001-10-01,13834000000.00
2001-11-01,13241000000.00
2001-12-01,12611000000.00
2002-01-01,12635000000.00
2002-02-01,12136000000.00
2002-03-01,12945000000.00
2002-04-01,13922000000.00
2002-05-01,14231000000.00
2002-06-01,14247000000.00
2002-07-01,14773000000.00
2002-08-01,14730000000.00
2002-09-01,15325000000.00
2002-10-01,15160000000.00
2002-11-01,14491000000.00
2002-12-01,14258000000.00
2003-01-01,15240000000.00
2003-02-01,15942000000.00
2003-03-01,16201000000.00
2003-04-01,17011000000.00
2003-05-01,16581000000.00
2003-06-01,16818000000.00
2003-07-01,16779000000.00
2003-08-01,17410000000.00
2003-09-01,17626000000.00
2003-10-01,17433000000.00
2003-11-01,16615000000.00
2003-12-01,15786000000.00
2004-01-01,17377000000.00
2004-02-01,18113000000.00
2004-03-01,18414000000.00
2004-04-01,19345000000.00
2004-05-01,20701000000.00
2004-06-01,20386000000.00
2004-07-01,21521000000.00
2004-08-01,21168000000.00
2004-09-01,21286000000.00
2004-10-01,22436000000.00
2004-11-01,22487000000.00
2004-12-01,19807000000.00
2005-01-01,22287000000.00
2005-02-01,23086000000.00
2005-03-01,24347000000.00
2005-04-01,25697000000.00
2005-05-01,25323000000.00
2005-06-01,25858000000.00
2005-07-01,28247000000.00
2005-08-01,28437000000.00
2005-09-01,29046000000.00
2005-10-01,30352000000.00
2005-11-01,28499000000.00
2005-12-01,27389000000.00
2006-01-01,28950000000.00
2006-02-01,29226000000.00
2006-03-01,30332000000.00
2006-04-01,33342000000.00
2006-05-01,35742000000.00
2006-06-01,35605000000.00
2006-07-01,36431000000.00
2006-08-01,36428000000.00
2006-09-01,34904000000.00
2006-10-01,32698000000.00
2006-11-01,31573000000.00
2006-12-01,30115000000.00
2007-01-01,30041000000.00
2007-02-01,31225000000.00
2007-03-01,33123000000.00
2007-04-01,35956000000.00
2007-05-01,37977000000.00
2007-06-01,38332000000.00
2007-07-01,39099000000.00
2007-08-01,38638000000.00
2007-09-01,41398000000.00
2007-10-01,41639000000.00
2007-11-01,42103000000.00
2007-12-01,41320000000.00
2008-01-01,45854000000.00
2008-02-01,46908000000.00
2008-03-01,50284000000.00
2008-04-01,49748000000.00
2008-05-01,51850000000.00
2008-06-01,56349000000.00
2008-07-01,56026000000.00
2008-08-01,55295000000.00
2008-09-01,50652000000.00
2008-10-01,43649000000.00
2008-11-01,38193000000.00
2008-12-01,28590000000.00
2009-01-01,28724000000.00
2009-02-01,27627000000.00
2009-03-01,29847000000.00
2009-04-01,30108000000.00
2009-05-01,32348000000.00
2009-06-01,34342000000.00
2009-07-01,34948000000.00
2009-08-01,36007000000.00
2009-09-01,34338000000.00
2009-10-01,35954000000.00
2009-11-01,36222000000.00
2009-12-01,36306000000.00
2010-01-01,37257000000.00
2010-02-01,39839000000.00
2010-03-01,41894000000.00
2010-04-01,42053000000.00
2010-05-01,39080000000.00
2010-06-01,37681000000.00
2010-07-01,39655000000.00
2010-08-01,38789000000.00
2010-09-01,39421000000.00
2010-10-01,40319000000.00
2010-11-01,41722000000.00
2010-12-01,42613000000.00
2011-01-01,45449000000.00
2011-02-01,46975000000.00
2011-03-01,50536000000.00
2011-04-01,55031000000.00
2011-05-01,54839000000.00
2011-06-01,51891000000.00
2011-07-01,52015000000.00
2011-08-01,49685000000.00
2011-09-01,48400000000.00
2011-10-01,51090000000.00
2011-11-01,50512000000.00
2011-12-01,49465000000.00
2012-01-01,51599000000.00
2012-02-01,53709000000.00
2012-03-01,55173000000.00
2012-04-01,54868000000.00
2012-05-01,53037000000.00
2012-06-01,50371000000.00
2012-07-01,51279000000.00
2012-08-01,51712000000.00
2012-09-01,54846000000.00
2012-10-01,52359000000.00
2012-11-01,50328000000.00
2012-12-01,48704000000.00
2013-01-01,50289000000.00
2013-02-01,50645000000.00
2013-03-01,52475000000.00
2013-04-01,51147000000.00
2013-05-01,50908000000.00
2013-06-01,49438000000.00
2013-07-01,51058000000.00
2013-08-01,52234000000.00
2013-09-01,51937000000.00
2013-10-01,50958000000.00
2013-11-01,48529000000.00
2013-12-01,47153000000.00
2014-01-01,48950000000.00
2014-02-01,51136000000.00
