Date,UMVPUO
1992-01-01,12281000000.00
1992-02-01,12420000000.00
1992-03-01,12080000000.00
1992-04-01,12437000000.00
1992-05-01,12152000000.00
1992-06-01,11817000000.00
1992-07-01,12025000000.00
1992-08-01,12018000000.00
1992-09-01,11760000000.00
1992-10-01,11303000000.00
1992-11-01,11442000000.00
1992-12-01,11513000000.00
1993-01-01,11933000000.00
1993-02-01,12052000000.00
1993-03-01,11895000000.00
1993-04-01,11590000000.00
1993-05-01,12006000000.00
1993-06-01,11684000000.00
1993-07-01,12063000000.00
1993-08-01,12277000000.00
1993-09-01,12043000000.00
1993-10-01,12229000000.00
1993-11-01,12376000000.00
1993-12-01,13263000000.00
1994-01-01,13671000000.00
1994-02-01,14111000000.00
1994-03-01,14549000000.00
1994-04-01,14510000000.00
1994-05-01,14435000000.00
1994-06-01,14179000000.00
1994-07-01,14997000000.00
1994-08-01,15353000000.00
1994-09-01,15059000000.00
1994-10-01,15244000000.00
1994-11-01,15237000000.00
1994-12-01,15729000000.00
1995-01-01,16235000000.00
1995-02-01,16556000000.00
1995-03-01,16568000000.00
1995-04-01,16215000000.00
1995-05-01,15509000000.00
1995-06-01,15157000000.00
1995-07-01,15403000000.00
1995-08-01,16022000000.00
1995-09-01,15832000000.00
1995-10-01,15200000000.00
1995-11-01,15036000000.00
1995-12-01,15064000000.00
1996-01-01,15425000000.00
1996-02-01,15250000000.00
1996-03-01,14785000000.00
1996-04-01,14525000000.00
1996-05-01,13729000000.00
1996-06-01,13447000000.00
1996-07-01,14078000000.00
1996-08-01,13729000000.00
1996-09-01,13698000000.00
1996-10-01,13356000000.00
1996-11-01,13412000000.00
1996-12-01,13382000000.00
1997-01-01,14122000000.00
1997-02-01,14312000000.00
1997-03-01,14324000000.00
1997-04-01,13908000000.00
1997-05-01,13627000000.00
1997-06-01,13412000000.00
1997-07-01,13686000000.00
1997-08-01,13698000000.00
1997-09-01,13378000000.00
1997-10-01,13319000000.00
1997-11-01,13554000000.00
1997-12-01,14236000000.00
1998-01-01,15142000000.00
1998-02-01,15164000000.00
1998-03-01,15103000000.00
1998-04-01,14649000000.00
1998-05-01,14680000000.00
1998-06-01,14355000000.00
1998-07-01,14186000000.00
1998-08-01,13876000000.00
1998-09-01,14311000000.00
1998-10-01,14807000000.00
1998-11-01,14960000000.00
1998-12-01,15580000000.00
1999-01-01,17120000000.00
1999-02-01,17178000000.00
1999-03-01,16745000000.00
1999-04-01,16396000000.00
1999-05-01,15791000000.00
1999-06-01,15776000000.00
1999-07-01,15813000000.00
1999-08-01,15929000000.00
1999-09-01,15686000000.00
1999-10-01,15831000000.00
1999-11-01,15615000000.00
1999-12-01,16391000000.00
2000-01-01,16899000000.00
2000-02-01,16788000000.00
2000-03-01,16525000000.00
2000-04-01,15578000000.00
2000-05-01,14914000000.00
2000-06-01,14121000000.00
2000-07-01,14249000000.00
2000-08-01,13770000000.00
2000-09-01,13429000000.00
2000-10-01,13377000000.00
2000-11-01,13590000000.00
2000-12-01,13681000000.00
2001-01-01,14211000000.00
2001-02-01,14180000000.00
2001-03-01,14268000000.00
2001-04-01,14459000000.00
2001-05-01,13839000000.00
2001-06-01,13517000000.00
2001-07-01,13476000000.00
2001-08-01,13147000000.00
2001-09-01,12821000000.00
2001-10-01,12347000000.00
2001-11-01,12363000000.00
2001-12-01,12812000000.00
2002-01-01,13554000000.00
2002-02-01,13749000000.00
2002-03-01,13852000000.00
2002-04-01,13865000000.00
2002-05-01,13705000000.00
2002-06-01,13528000000.00
2002-07-01,14053000000.00
2002-08-01,13590000000.00
2002-09-01,13162000000.00
2002-10-01,12647000000.00
2002-11-01,12918000000.00
2002-12-01,13413000000.00
2003-01-01,13897000000.00
2003-02-01,14233000000.00
2003-03-01,14015000000.00
2003-04-01,13823000000.00
2003-05-01,13253000000.00
2003-06-01,12981000000.00
2003-07-01,13454000000.00
2003-08-01,13153000000.00
2003-09-01,13421000000.00
2003-10-01,13812000000.00
2003-11-01,14383000000.00
2003-12-01,15124000000.00
2004-01-01,15417000000.00
2004-02-01,15997000000.00
2004-03-01,16055000000.00
2004-04-01,16161000000.00
2004-05-01,16250000000.00
2004-06-01,16200000000.00
2004-07-01,16570000000.00
2004-08-01,16598000000.00
2004-09-01,16582000000.00
2004-10-01,15737000000.00
2004-11-01,15806000000.00
2004-12-01,16195000000.00
2005-01-01,16348000000.00
2005-02-01,16664000000.00
2005-03-01,16355000000.00
2005-04-01,16401000000.00
2005-05-01,16308000000.00
2005-06-01,16000000000.00
2005-07-01,16571000000.00
2005-08-01,16521000000.00
2005-09-01,16717000000.00
2005-10-01,16944000000.00
2005-11-01,16951000000.00
2005-12-01,17914000000.00
2006-01-01,18838000000.00
2006-02-01,19254000000.00
2006-03-01,19312000000.00
2006-04-01,19862000000.00
2006-05-01,19459000000.00
2006-06-01,19232000000.00
2006-07-01,20180000000.00
2006-08-01,19608000000.00
2006-09-01,19757000000.00
2006-10-01,19610000000.00
2006-11-01,19825000000.00
2006-12-01,20546000000.00
2007-01-01,21257000000.00
2007-02-01,21533000000.00
2007-03-01,20875000000.00
2007-04-01,20614000000.00
2007-05-01,20381000000.00
2007-06-01,19861000000.00
2007-07-01,20332000000.00
2007-08-01,19159000000.00
2007-09-01,18700000000.00
2007-10-01,18215000000.00
2007-11-01,18565000000.00
2007-12-01,18872000000.00
2008-01-01,18895000000.00
2008-02-01,18718000000.00
2008-03-01,18402000000.00
2008-04-01,18366000000.00
2008-05-01,18081000000.00
2008-06-01,17752000000.00
2008-07-01,18101000000.00
2008-08-01,17717000000.00
2008-09-01,17191000000.00
2008-10-01,16752000000.00
2008-11-01,16464000000.00
2008-12-01,16219000000.00
2009-01-01,16098000000.00
2009-02-01,16049000000.00
2009-03-01,15621000000.00
2009-04-01,15409000000.00
2009-05-01,15030000000.00
2009-06-01,14626000000.00
2009-07-01,14386000000.00
2009-08-01,14044000000.00
2009-09-01,13682000000.00
2009-10-01,13808000000.00
2009-11-01,13588000000.00
2009-12-01,13857000000.00
2010-01-01,14103000000.00
2010-02-01,14115000000.00
2010-03-01,13851000000.00
2010-04-01,13928000000.00
2010-05-01,13849000000.00
2010-06-01,13536000000.00
2010-07-01,13492000000.00
2010-08-01,13278000000.00
2010-09-01,13477000000.00
2010-10-01,13924000000.00
2010-11-01,14331000000.00
2010-12-01,15108000000.00
2011-01-01,15305000000.00
2011-02-01,15497000000.00
2011-03-01,15276000000.00
2011-04-01,15125000000.00
2011-05-01,14968000000.00
2011-06-01,14578000000.00
2011-07-01,14746000000.00
2011-08-01,14544000000.00
2011-09-01,14656000000.00
2011-10-01,14683000000.00
2011-11-01,14995000000.00
2011-12-01,15755000000.00
2012-01-01,16106000000.00
2012-02-01,16635000000.00
2012-03-01,16750000000.00
2012-04-01,16890000000.00
2012-05-01,16746000000.00
2012-06-01,16581000000.00
2012-07-01,16764000000.00
2012-08-01,16741000000.00
2012-09-01,16825000000.00
2012-10-01,16975000000.00
2012-11-01,17483000000.00
2012-12-01,18187000000.00
2013-01-01,18279000000.00
2013-02-01,18863000000.00
2013-03-01,18799000000.00
2013-04-01,18499000000.00
2013-05-01,18390000000.00
2013-06-01,18137000000.00
2013-07-01,17753000000.00
2013-08-01,17707000000.00
2013-09-01,17489000000.00
2013-10-01,17163000000.00
2013-11-01,17360000000.00
2013-12-01,18025000000.00
2014-01-01,18497000000.00
2014-02-01,18971000000.00
2014-03-01,19232000000.00
2014-04-01,19217000000.00
2014-05-01,19486000000.00
2014-06-01,19673000000.00
2014-07-01,19644000000.00
2014-08-01,20369000000.00
2014-09-01,20904000000.00
2014-10-01,20824000000.00
2014-11-01,21716000000.00
2014-12-01,22805000000.00
2015-01-01,23492000000.00
2015-02-01,24103000000.00
2015-03-01,23671000000.00
2015-04-01,23378000000.00
2015-05-01,23448000000.00
2015-06-01,23042000000.00
2015-07-01,22703000000.00
2015-08-01,22987000000.00
2015-09-01,22882000000.00
2015-10-01,22607000000.00
2015-11-01,23424000000.00
2015-12-01,23927000000.00
2016-01-01,23754000000.00
2016-02-01,24087000000.00
2016-03-01,24063000000.00
2016-04-01,23488000000.00
2016-05-01,23877000000.00
2016-06-01,23300000000.00
2016-07-01,23188000000.00
2016-08-01,24055000000.00
2016-09-01,24092000000.00
2016-10-01,23183000000.00
2016-11-01,23619000000.00
2016-12-01,24482000000.00
2017-01-01,24638000000.00
2017-02-01,25492000000.00
2017-03-01,25662000000.00
2017-04-01,25546000000.00
2017-05-01,25736000000.00
2017-06-01,25317000000.00
2017-07-01,25130000000.00
2017-08-01,25308000000.00
2017-09-01,25761000000.00
2017-10-01,25011000000.00
2017-11-01,25419000000.00
2017-12-01,26507000000.00
2018-01-01,26342000000.00
2018-02-01,27189000000.00
2018-03-01,27458000000.00
2018-04-01,27025000000.00
2018-05-01,27262000000.00
