Date,PCU3332423332420
1987-06-01,100.00
1987-07-01,100.00
1987-08-01,98.70
1987-09-01,98.70
1987-10-01,98.70
1987-11-01,99.90
1987-12-01,99.90
1988-01-01,99.40
1988-02-01,100.40
1988-03-01,100.60
1988-04-01,100.80
1988-05-01,100.80
1988-06-01,100.50
1988-07-01,100.50
1988-08-01,100.90
1988-09-01,100.90
1988-10-01,100.90
1988-11-01,101.60
1988-12-01,102.40
1989-01-01,102.60
1989-02-01,102.90
1989-03-01,102.90
1989-04-01,102.90
1989-05-01,103.20
1989-06-01,104.10
1989-07-01,104.50
1989-08-01,104.40
1989-09-01,104.40
1989-10-01,104.40
1989-11-01,104.40
1989-12-01,104.70
1990-01-01,105.70
1990-02-01,106.10
1990-03-01,106.50
1990-04-01,108.00
1990-05-01,108.00
1990-06-01,108.60
1990-07-01,108.30
1990-08-01,108.30
1990-09-01,108.20
1990-10-01,109.80
1990-11-01,109.80
1990-12-01,111.70
1991-01-01,114.00
1991-02-01,113.90
1991-03-01,113.90
1991-04-01,115.60
1991-05-01,115.60
1991-06-01,116.00
1991-07-01,116.00
1991-08-01,116.00
1991-09-01,116.00
1991-10-01,116.40
1991-11-01,116.70
1991-12-01,117.10
1992-01-01,117.70
1992-02-01,117.70
1992-03-01,117.80
1992-04-01,117.80
1992-05-01,117.80
1992-06-01,117.80
1992-07-01,117.80
1992-08-01,117.80
1992-09-01,118.70
1992-10-01,118.90
1992-11-01,119.30
1992-12-01,119.50
1993-01-01,120.30
1993-02-01,121.30
1993-03-01,121.30
1993-04-01,121.00
1993-05-01,121.00
1993-06-01,121.00
1993-07-01,121.00
1993-08-01,121.00
1993-09-01,121.00
1993-10-01,121.00
1993-11-01,121.00
1993-12-01,121.00
1994-01-01,120.60
1994-02-01,120.60
1994-03-01,120.80
1994-04-01,120.80
1994-05-01,121.20
1994-06-01,121.50
1994-07-01,121.50
1994-08-01,121.50
1994-09-01,121.80
1994-10-01,121.80
1994-11-01,121.80
1994-12-01,121.80
1995-01-01,123.10
1995-02-01,123.30
1995-03-01,123.30
1995-04-01,123.30
1995-05-01,123.60
1995-06-01,123.60
1995-07-01,123.90
1995-08-01,124.40
1995-09-01,124.50
1995-10-01,124.60
1995-11-01,124.60
1995-12-01,125.50
1996-01-01,129.80
1996-02-01,129.90
1996-03-01,130.00
1996-04-01,129.60
1996-05-01,129.10
1996-06-01,129.10
1996-07-01,129.20
1996-08-01,130.70
1996-09-01,130.80
1996-10-01,130.60
1996-11-01,132.00
1996-12-01,131.80
1997-01-01,131.90
1997-02-01,131.90
1997-03-01,132.30
1997-04-01,132.30
1997-05-01,132.30
1997-06-01,132.60
1997-07-01,133.00
1997-08-01,133.00
1997-09-01,133.00
1997-10-01,133.20
1997-11-01,132.90
1997-12-01,132.80
1998-01-01,133.40
1998-02-01,133.40
1998-03-01,133.30
1998-04-01,133.40
1998-05-01,133.40
1998-06-01,132.30
1998-07-01,132.50
1998-08-01,132.70
1998-09-01,132.40
1998-10-01,132.40
1998-11-01,135.50
1998-12-01,135.30
1999-01-01,135.40
1999-02-01,135.40
1999-03-01,135.40
1999-04-01,135.30
1999-05-01,135.50
1999-06-01,135.50
1999-07-01,135.30
1999-08-01,135.30
1999-09-01,135.30
1999-10-01,135.40
1999-11-01,135.40
1999-12-01,135.00
2000-01-01,136.90
2000-02-01,136.90
2000-03-01,135.10
2000-04-01,135.30
2000-05-01,135.30
2000-06-01,135.20
2000-07-01,135.10
2000-08-01,135.10
2000-09-01,134.10
2000-10-01,133.80
2000-11-01,133.90
2000-12-01,133.90
2001-01-01,133.90
2001-02-01,133.90
2001-03-01,137.40
2001-04-01,137.30
2001-05-01,138.00
2001-06-01,136.90
2001-07-01,136.90
2001-08-01,136.90
2001-09-01,136.90
2001-10-01,132.80
2001-11-01,131.80
2001-12-01,130.00
2002-01-01,130.20
2002-02-01,130.20
2002-03-01,130.20
2002-04-01,130.20
2002-05-01,130.20
2002-06-01,128.70
2002-07-01,128.90
2002-08-01,129.20
2002-09-01,129.80
2002-10-01,130.40
2002-11-01,130.20
2002-12-01,130.20
2003-01-01,130.00
2003-02-01,128.60
2003-03-01,128.30
2003-04-01,128.30
2003-05-01,127.30
2003-06-01,129.90
2003-07-01,128.80
2003-08-01,128.80
2003-09-01,128.80
2003-10-01,128.70
2003-11-01,128.70
2003-12-01,128.70
2004-01-01,128.70
2004-02-01,128.90
2004-03-01,129.20
2004-04-01,129.20
2004-05-01,129.20
2004-06-01,129.20
2004-07-01,127.60
2004-08-01,127.60
2004-09-01,127.60
2004-10-01,128.60
2004-11-01,128.60
2004-12-01,128.30
2005-01-01,127.90
2005-02-01,128.10
2005-03-01,128.20
2005-04-01,128.10
2005-05-01,128.10
2005-06-01,128.10
2005-07-01,128.10
2005-08-01,128.10
2005-09-01,128.10
2005-10-01,128.10
2005-11-01,128.10
2005-12-01,128.10
2006-01-01,128.10
2006-02-01,128.20
2006-03-01,128.20
2006-04-01,127.50
2006-05-01,128.00
2006-06-01,128.00
2006-07-01,128.00
2006-08-01,128.00
2006-09-01,128.00
2006-10-01,129.10
2006-11-01,129.10
2006-12-01,129.10
2007-01-01,129.10
2007-02-01,129.00
2007-03-01,129.00
2007-04-01,129.00
2007-05-01,129.00
2007-06-01,129.00
2007-07-01,128.80
2007-08-01,128.80
2007-09-01,128.80
2007-10-01,128.80
2007-11-01,128.90
2007-12-01,128.90
2008-01-01,129.00
2008-02-01,127.80
2008-03-01,127.60
2008-04-01,127.60
2008-05-01,127.60
2008-06-01,127.60
2008-07-01,126.50
2008-08-01,126.70
2008-09-01,126.70
2008-10-01,126.70
2008-11-01,126.70
2008-12-01,126.70
2009-01-01,123.30
2009-02-01,123.30
2009-03-01,123.30
2009-04-01,123.30
2009-05-01,124.10
2009-06-01,122.00
2009-07-01,121.20
2009-08-01,121.00
2009-09-01,121.00
2009-10-01,121.20
2009-11-01,121.20
2009-12-01,121.20
2010-01-01,111.80
2010-02-01,111.90
2010-03-01,111.90
2010-04-01,115.10
2010-05-01,115.10
2010-06-01,115.10
2010-07-01,115.30
2010-08-01,115.30
2010-09-01,115.30
2010-10-01,114.80
2010-11-01,114.80
2010-12-01,114.80
2011-01-01,115.10
2011-02-01,115.10
2011-03-01,115.10
2011-04-01,115.20
2011-05-01,115.20
2011-06-01,115.20
2011-07-01,114.80
2011-08-01,114.90
2011-09-01,114.90
2011-10-01,114.10
2011-11-01,114.20
2011-12-01,114.20
2012-01-01,114.30
2012-02-01,114.30
2012-03-01,114.40
2012-04-01,112.00
2012-05-01,112.30
2012-06-01,112.30
2012-07-01,112.30
2012-08-01,112.30
2012-09-01,112.30
2012-10-01,112.30
2012-11-01,112.30
2012-12-01,112.30
2013-01-01,108.50
2013-02-01,108.50
2013-03-01,108.50
2013-04-01,108.50
2013-05-01,108.50
2013-06-01,108.50
2013-07-01,108.50
2013-08-01,108.50
2013-09-01,108.40
2013-10-01,108.40
2013-11-01,108.40
2013-12-01,108.50
2014-01-01,108.60
2014-02-01,108.60
2014-03-01,108.60
2014-04-01,108.60
2014-05-01,108.50
2014-06-01,108.30
2014-07-01,108.30
2014-08-01,108.00
2014-09-01,108.00
2014-10-01,108.00
2014-11-01,108.40
2014-12-01,108.40
2015-01-01,108.40
2015-02-01,108.40
2015-03-01,108.40
2015-04-01,108.40
2015-05-01,108.40
2015-06-01,108.40
2015-07-01,108.40
2015-08-01,108.40
2015-09-01,108.30
2015-10-01,108.30
2015-11-01,108.40
2015-12-01,108.30
2016-01-01,108.20
2016-02-01,108.20
2016-03-01,108.40
2016-04-01,109.10
2016-05-01,109.10
2016-06-01,108.40
2016-07-01,108.40
2016-08-01,108.40
2016-09-01,108.40
2016-10-01,108.40
2016-11-01,108.40
2016-12-01,108.40
2017-01-01,108.10
2017-02-01,108.10
2017-03-01,108.10
2017-04-01,108.10
2017-05-01,108.20
2017-06-01,108.20
2017-07-01,108.20
2017-08-01,108.20
2017-09-01,108.20
2017-10-01,108.20
2017-11-01,108.50
2017-12-01,108.50
2018-01-01,108.50
2018-02-01,108.50
2018-03-01,108.50
2018-04-01,108.50
2018-05-01,109.20
