Date,RTWVDKS684NMFRBDAL
1988-01-01,100.00
1988-02-01,99.56
1988-03-01,97.93
1988-04-01,96.56
1988-05-01,96.46
1988-06-01,97.18
1988-07-01,99.04
1988-08-01,99.60
1988-09-01,99.94
1988-10-01,97.89
1988-11-01,95.48
1988-12-01,94.86
1989-01-01,96.27
1989-02-01,96.67
1989-03-01,97.77
1989-04-01,98.25
1989-05-01,100.62
1989-06-01,102.29
1989-07-01,100.34
1989-08-01,101.40
1989-09-01,102.23
1989-10-01,100.63
1989-11-01,100.46
1989-12-01,99.31
1990-01-01,99.20
1990-02-01,99.47
1990-03-01,100.77
1990-04-01,100.38
1990-05-01,99.20
1990-06-01,99.77
1990-07-01,100.46
1990-08-01,99.14
1990-09-01,98.48
1990-10-01,96.49
1990-11-01,95.80
1990-12-01,96.57
1991-01-01,95.87
1991-02-01,95.43
1991-03-01,98.25
1991-04-01,99.09
1991-05-01,99.33
1991-06-01,100.42
1991-07-01,100.16
1991-08-01,99.28
1991-09-01,98.29
1991-10-01,97.38
1991-11-01,96.05
1991-12-01,95.34
1992-01-01,95.08
1992-02-01,96.29
1992-03-01,97.66
1992-04-01,97.08
1992-05-01,96.71
1992-06-01,95.95
1992-07-01,94.81
1992-08-01,94.41
1992-09-01,94.97
1992-10-01,96.76
1992-11-01,99.08
1992-12-01,98.97
1993-01-01,99.67
1993-02-01,99.22
1993-03-01,98.51
1993-04-01,96.97
1993-05-01,96.70
1993-06-01,96.99
1993-07-01,97.57
1993-08-01,97.33
1993-09-01,97.00
1993-10-01,97.64
1993-11-01,98.08
1993-12-01,98.14
1994-01-01,98.71
1994-02-01,98.49
1994-03-01,99.18
1994-04-01,99.47
1994-05-01,98.88
1994-06-01,98.53
1994-07-01,97.51
1994-08-01,97.36
1994-09-01,96.39
1994-10-01,95.88
1994-11-01,96.13
1994-12-01,98.76
1995-01-01,101.49
1995-02-01,100.89
1995-03-01,99.92
1995-04-01,95.87
1995-05-01,95.08
1995-06-01,95.34
1995-07-01,95.07
1995-08-01,97.01
1995-09-01,98.17
1995-10-01,98.54
1995-11-01,99.87
1995-12-01,99.99
1996-01-01,100.54
1996-02-01,100.43
1996-03-01,100.42
1996-04-01,100.21
1996-05-01,100.16
1996-06-01,100.56
1996-07-01,100.76
1996-08-01,100.24
1996-09-01,100.58
1996-10-01,101.03
1996-11-01,100.77
1996-12-01,101.31
1997-01-01,101.80
1997-02-01,103.17
1997-03-01,104.11
1997-04-01,104.65
1997-05-01,103.26
1997-06-01,103.03
1997-07-01,103.62
1997-08-01,105.01
1997-09-01,105.30
1997-10-01,105.71
1997-11-01,107.96
1997-12-01,112.18
1998-01-01,113.59
1998-02-01,112.57
1998-03-01,112.20
1998-04-01,112.48
1998-05-01,113.31
1998-06-01,115.62
1998-07-01,116.36
1998-08-01,118.86
1998-09-01,117.32
1998-10-01,114.46
1998-11-01,113.97
1998-12-01,113.15
1999-01-01,112.77
1999-02-01,114.01
1999-03-01,115.58
1999-04-01,114.84
1999-05-01,114.36
1999-06-01,114.98
1999-07-01,115.61
1999-08-01,114.27
1999-09-01,113.18
1999-10-01,112.70
1999-11-01,112.93
1999-12-01,112.55
2000-01-01,112.31
2000-02-01,113.90
2000-03-01,114.46
2000-04-01,114.96
2000-05-01,117.49
2000-06-01,116.43
2000-07-01,116.56
2000-08-01,116.96
2000-09-01,118.18
2000-10-01,120.05
2000-11-01,121.05
2000-12-01,120.03
2001-01-01,120.86
2001-02-01,121.91
2001-03-01,124.34
2001-04-01,125.04
2001-05-01,124.48
2001-06-01,125.05
2001-07-01,125.44
2001-08-01,123.77
2001-09-01,124.70
2001-10-01,125.41
2001-11-01,126.02
2001-12-01,125.70
2002-01-01,127.02
2002-02-01,127.39
2002-03-01,126.81
2002-04-01,126.27
2002-05-01,124.48
2002-06-01,123.17
2002-07-01,121.96
2002-08-01,123.59
2002-09-01,124.68
2002-10-01,125.99
2002-11-01,124.16
2002-12-01,123.05
2003-01-01,121.50
2003-02-01,122.01
2003-03-01,121.81
2003-04-01,120.50
2003-05-01,116.08
2003-06-01,115.66
2003-07-01,116.65
2003-08-01,118.01
2003-09-01,116.67
2003-10-01,114.09
2003-11-01,113.32
2003-12-01,111.78
2004-01-01,109.93
2004-02-01,110.88
2004-03-01,112.20
2004-04-01,113.27
2004-05-01,115.85
2004-06-01,114.75
2004-07-01,113.10
2004-08-01,112.95
2004-09-01,112.36
2004-10-01,110.57
2004-11-01,107.20
2004-12-01,105.68
2005-01-01,106.58
2005-02-01,106.88
2005-03-01,106.46
2005-04-01,107.79
2005-05-01,108.23
2005-06-01,108.74
2005-07-01,108.71
2005-08-01,107.49
2005-09-01,107.87
2005-10-01,109.06
2005-11-01,108.82
2005-12-01,107.31
2006-01-01,106.51
2006-02-01,106.65
2006-03-01,107.42
2006-04-01,107.06
2006-05-01,104.86
2006-06-01,106.39
2006-07-01,106.38
2006-08-01,105.30
2006-09-01,105.30
2006-10-01,105.32
2006-11-01,104.22
2006-12-01,103.54
2007-01-01,104.99
2007-02-01,104.69
2007-03-01,104.91
2007-04-01,103.18
2007-05-01,102.21
2007-06-01,101.52
2007-07-01,99.67
2007-08-01,100.17
2007-09-01,98.58
