Date,UMTUTI
1992-01-01,195857000000.00
1992-02-01,196977000000.00
1992-03-01,197220000000.00
1992-04-01,198052000000.00
1992-05-01,198574000000.00
1992-06-01,196220000000.00
1992-07-01,197084000000.00
1992-08-01,198891000000.00
1992-09-01,195786000000.00
1992-10-01,194755000000.00
1992-11-01,193828000000.00
1992-12-01,188784000000.00
1993-01-01,190010000000.00
1993-02-01,192354000000.00
1993-03-01,192939000000.00
1993-04-01,194434000000.00
1993-05-01,195819000000.00
1993-06-01,194309000000.00
1993-07-01,195663000000.00
1993-08-01,195990000000.00
1993-09-01,194095000000.00
1993-10-01,193707000000.00
1993-11-01,193938000000.00
1993-12-01,187718000000.00
1994-01-01,192695000000.00
1994-02-01,195643000000.00
1994-03-01,194830000000.00
1994-04-01,197062000000.00
1994-05-01,199767000000.00
1994-06-01,198048000000.00
1994-07-01,201730000000.00
1994-08-01,203730000000.00
1994-09-01,201181000000.00
1994-10-01,202516000000.00
1994-11-01,203844000000.00
1994-12-01,199178000000.00
1995-01-01,204470000000.00
1995-02-01,208446000000.00
1995-03-01,209547000000.00
1995-04-01,212776000000.00
1995-05-01,215796000000.00
1995-06-01,213074000000.00
1995-07-01,216164000000.00
1995-08-01,217207000000.00
1995-09-01,215157000000.00
1995-10-01,216426000000.00
1995-11-01,215884000000.00
1995-12-01,210124000000.00
1996-01-01,216512000000.00
1996-02-01,219486000000.00
1996-03-01,217789000000.00
1996-04-01,219293000000.00
1996-05-01,220511000000.00
1996-06-01,217297000000.00
1996-07-01,219954000000.00
1996-08-01,221402000000.00
1996-09-01,219045000000.00
1996-10-01,220380000000.00
1996-11-01,221768000000.00
1996-12-01,214113000000.00
1997-01-01,219259000000.00
1997-02-01,222310000000.00
1997-03-01,220043000000.00
1997-04-01,223250000000.00
1997-05-01,225076000000.00
1997-06-01,221733000000.00
1997-07-01,225938000000.00
1997-08-01,227483000000.00
1997-09-01,223411000000.00
1997-10-01,225361000000.00
1997-11-01,225104000000.00
1997-12-01,218575000000.00
1998-01-01,225047000000.00
1998-02-01,229665000000.00
1998-03-01,227884000000.00
1998-04-01,231905000000.00
1998-05-01,234216000000.00
1998-06-01,232124000000.00
1998-07-01,235276000000.00
1998-08-01,237361000000.00
1998-09-01,234373000000.00
1998-10-01,236688000000.00
1998-11-01,236606000000.00
1998-12-01,227782000000.00
1999-01-01,230294000000.00
1999-02-01,233302000000.00
1999-03-01,231676000000.00
1999-04-01,233085000000.00
1999-05-01,234565000000.00
1999-06-01,230614000000.00
1999-07-01,235217000000.00
1999-08-01,235746000000.00
1999-09-01,233871000000.00
1999-10-01,234884000000.00
1999-11-01,237006000000.00
1999-12-01,230501000000.00
2000-01-01,234224000000.00
2000-02-01,238692000000.00
2000-03-01,235597000000.00
2000-04-01,238718000000.00
2000-05-01,240151000000.00
2000-06-01,239129000000.00
2000-07-01,242644000000.00
2000-08-01,245088000000.00
2000-09-01,241815000000.00
2000-10-01,244249000000.00
2000-11-01,246189000000.00
2000-12-01,237736000000.00
2001-01-01,242880000000.00
2001-02-01,243391000000.00
2001-03-01,236504000000.00
2001-04-01,237069000000.00
2001-05-01,235290000000.00
2001-06-01,228369000000.00
2001-07-01,228364000000.00
2001-08-01,226619000000.00
2001-09-01,220566000000.00
2001-10-01,219598000000.00
2001-11-01,216378000000.00
2001-12-01,205638000000.00
2002-01-01,208550000000.00
2002-02-01,209629000000.00
2002-03-01,204064000000.00
2002-04-01,205269000000.00
2002-05-01,204459000000.00
2002-06-01,201864000000.00
2002-07-01,203652000000.00
2002-08-01,204556000000.00
2002-09-01,200954000000.00
2002-10-01,202542000000.00
2002-11-01,201985000000.00
2002-12-01,198714000000.00
2003-01-01,201701000000.00
2003-02-01,205453000000.00
2003-03-01,201378000000.00
2003-04-01,202210000000.00
2003-05-01,202011000000.00
2003-06-01,196513000000.00
2003-07-01,196612000000.00
2003-08-01,195706000000.00
2003-09-01,191700000000.00
2003-10-01,193588000000.00
2003-11-01,192255000000.00
2003-12-01,186986000000.00
2004-01-01,190480000000.00
2004-02-01,192906000000.00
2004-03-01,191076000000.00
2004-04-01,193933000000.00
2004-05-01,195632000000.00
2004-06-01,195086000000.00
2004-07-01,199690000000.00
2004-08-01,201588000000.00
2004-09-01,199604000000.00
2004-10-01,203155000000.00
2004-11-01,205826000000.00
2004-12-01,201081000000.00
