Date,UMNMVS
1992-01-01,102545000000.00
1992-02-01,109801000000.00
1992-03-01,115743000000.00
1992-04-01,113458000000.00
1992-05-01,115904000000.00
1992-06-01,123651000000.00
1992-07-01,112139000000.00
1992-08-01,116254000000.00
1992-09-01,125365000000.00
1992-10-01,119404000000.00
1992-11-01,116994000000.00
1992-12-01,113904000000.00
1993-01-01,108722000000.00
1993-02-01,115662000000.00
1993-03-01,121901000000.00
1993-04-01,116949000000.00
1993-05-01,118210000000.00
1993-06-01,125644000000.00
1993-07-01,112707000000.00
1993-08-01,119172000000.00
1993-09-01,125370000000.00
1993-10-01,121750000000.00
1993-11-01,117540000000.00
1993-12-01,112326000000.00
1994-01-01,108951000000.00
1994-02-01,116944000000.00
1994-03-01,123978000000.00
1994-04-01,118938000000.00
1994-05-01,121062000000.00
1994-06-01,128107000000.00
1994-07-01,116554000000.00
1994-08-01,127450000000.00
1994-09-01,131852000000.00
1994-10-01,128571000000.00
1994-11-01,126882000000.00
1994-12-01,124762000000.00
1995-01-01,119611000000.00
1995-02-01,128238000000.00
1995-03-01,133072000000.00
1995-04-01,129515000000.00
1995-05-01,131658000000.00
1995-06-01,138243000000.00
1995-07-01,125470000000.00
1995-08-01,135341000000.00
1995-09-01,139627000000.00
1995-10-01,136134000000.00
1995-11-01,131856000000.00
1995-12-01,128097000000.00
1996-01-01,121643000000.00
1996-02-01,128827000000.00
1996-03-01,135236000000.00
1996-04-01,133333000000.00
1996-05-01,135842000000.00
1996-06-01,139374000000.00
1996-07-01,130641000000.00
1996-08-01,138752000000.00
1996-09-01,142471000000.00
1996-10-01,141806000000.00
1996-11-01,138233000000.00
1996-12-01,132433000000.00
1997-01-01,129832000000.00
1997-02-01,136868000000.00
1997-03-01,141249000000.00
1997-04-01,139956000000.00
1997-05-01,140881000000.00
1997-06-01,145039000000.00
1997-07-01,135117000000.00
1997-08-01,143595000000.00
1997-09-01,148447000000.00
1997-10-01,147128000000.00
1997-11-01,141626000000.00
1997-12-01,137577000000.00
1998-01-01,131525000000.00
1998-02-01,137784000000.00
1998-03-01,143642000000.00
1998-04-01,139537000000.00
1998-05-01,139462000000.00
1998-06-01,145468000000.00
1998-07-01,133467000000.00
1998-08-01,140944000000.00
1998-09-01,145325000000.00
1998-10-01,141686000000.00
1998-11-01,135698000000.00
1998-12-01,133687000000.00
1999-01-01,126858000000.00
1999-02-01,135079000000.00
1999-03-01,142928000000.00
1999-04-01,137995000000.00
1999-05-01,139079000000.00
1999-06-01,147560000000.00
1999-07-01,135927000000.00
1999-08-01,146614000000.00
1999-09-01,151289000000.00
1999-10-01,149758000000.00
1999-11-01,147808000000.00
1999-12-01,144256000000.00
2000-01-01,137661000000.00
2000-02-01,148351000000.00
2000-03-01,157029000000.00
2000-04-01,150029000000.00
2000-05-01,154427000000.00
2000-06-01,160958000000.00
2000-07-01,147251000000.00
2000-08-01,157956000000.00
2000-09-01,160175000000.00
2000-10-01,157892000000.00
2000-11-01,153778000000.00
2000-12-01,149389000000.00
2001-01-01,145556000000.00
2001-02-01,148497000000.00
2001-03-01,155564000000.00
2001-04-01,148095000000.00
2001-05-01,155494000000.00
2001-06-01,152139000000.00
2001-07-01,143378000000.00
2001-08-01,156987000000.00
2001-09-01,150962000000.00
2001-10-01,152943000000.00
2001-11-01,145391000000.00
2001-12-01,141087000000.00
2002-01-01,137460000000.00
2002-02-01,138363000000.00
2002-03-01,149696000000.00
2002-04-01,146979000000.00
2002-05-01,152700000000.00
2002-06-01,152769000000.00
2002-07-01,144459000000.00
2002-08-01,154659000000.00
2002-09-01,156551000000.00
2002-10-01,158372000000.00
2002-11-01,150560000000.00
2002-12-01,148534000000.00
2003-01-01,145416000000.00
2003-02-01,147606000000.00
2003-03-01,160911000000.00
2003-04-01,151506000000.00
2003-05-01,155506000000.00
2003-06-01,158954000000.00
2003-07-01,154879000000.00
2003-08-01,161022000000.00
2003-09-01,162470000000.00
2003-10-01,165161000000.00
2003-11-01,153809000000.00
2003-12-01,155559000000.00
2004-01-01,150542000000.00
2004-02-01,152961000000.00
2004-03-01,169709000000.00
2004-04-01,164502000000.00
2004-05-01,169992000000.00
2004-06-01,175562000000.00
2004-07-01,167989000000.00
2004-08-01,178706000000.00
2004-09-01,177107000000.00
2004-10-01,183178000000.00
2004-11-01,179180000000.00
2004-12-01,174875000000.00
2005-01-01,170844000000.00
2005-02-01,172444000000.00
2005-03-01,194132000000.00
2005-04-01,188815000000.00
2005-05-01,194723000000.00
2005-06-01,198487000000.00
2005-07-01,190272000000.00
2005-08-01,207537000000.00
2005-09-01,204134000000.00
2005-10-01,203787000000.00
2005-11-01,198386000000.00
2005-12-01,193672000000.00
2006-01-01,192371000000.00
2006-02-01,185664000000.00
2006-03-01,208225000000.00
2006-04-01,200677000000.00
2006-05-01,217293000000.00
2006-06-01,215777000000.00
2006-07-01,207780000000.00
2006-08-01,221091000000.00
2006-09-01,203072000000.00
2006-10-01,204523000000.00
2006-11-01,198829000000.00
2006-12-01,198056000000.00
2007-01-01,192703000000.00
2007-02-01,192047000000.00
2007-03-01,215540000000.00
2007-04-01,211822000000.00
2007-05-01,228013000000.00
2007-06-01,226374000000.00
2007-07-01,220505000000.00
2007-08-01,229619000000.00
2007-09-01,222298000000.00
2007-10-01,235789000000.00
2007-11-01,232753000000.00
2007-12-01,224966000000.00
2008-01-01,223822000000.00
2008-02-01,222786000000.00
2008-03-01,239897000000.00
2008-04-01,249039000000.00
2008-05-01,262303000000.00
2008-06-01,267054000000.00
2008-07-01,266338000000.00
2008-08-01,261141000000.00
2008-09-01,241395000000.00
2008-10-01,234243000000.00
2008-11-01,198422000000.00
2008-12-01,185887000000.00
2009-01-01,179402000000.00
2009-02-01,178522000000.00
2009-03-01,191169000000.00
2009-04-01,188476000000.00
2009-05-01,195791000000.00
2009-06-01,207328000000.00
2009-07-01,198679000000.00
2009-08-01,205919000000.00
2009-09-01,204870000000.00
2009-10-01,209686000000.00
2009-11-01,202898000000.00
2009-12-01,204210000000.00
2010-01-01,196373000000.00
2010-02-01,195830000000.00
2010-03-01,225826000000.00
2010-04-01,220528000000.00
2010-05-01,220934000000.00
2010-06-01,224013000000.00
2010-07-01,217389000000.00
2010-08-01,226178000000.00
2010-09-01,223963000000.00
2010-10-01,226946000000.00
2010-11-01,224497000000.00
2010-12-01,228088000000.00
2011-01-01,225126000000.00
2011-02-01,222313000000.00
2011-03-01,259946000000.00
2011-04-01,255471000000.00
2011-05-01,261545000000.00
2011-06-01,262416000000.00
2011-07-01,253860000000.00
2011-08-01,265494000000.00
2011-09-01,256972000000.00
2011-10-01,254955000000.00
2011-11-01,249902000000.00
2011-12-01,244808000000.00
2012-01-01,239776000000.00
2012-02-01,245108000000.00
2012-03-01,266718000000.00
2012-04-01,257063000000.00
2012-05-01,265527000000.00
2012-06-01,250960000000.00
2012-07-01,251414000000.00
2012-08-01,267763000000.00
2012-09-01,258775000000.00
2012-10-01,266957000000.00
2012-11-01,252854000000.00
2012-12-01,246231000000.00
2013-01-01,248520000000.00
2013-02-01,245165000000.00
2013-03-01,263381000000.00
2013-04-01,258906000000.00
2013-05-01,269289000000.00
2013-06-01,258438000000.00
2013-07-01,264319000000.00
2013-08-01,270425000000.00
2013-09-01,261481000000.00
2013-10-01,267373000000.00
2013-11-01,252954000000.00
2013-12-01,253687000000.00
2014-01-01,248366000000.00
2014-02-01,243854000000.00
2014-03-01,267346000000.00
2014-04-01,267172000000.00
2014-05-01,271440000000.00
2014-06-01,267150000000.00
2014-07-01,262736000000.00
2014-08-01,266241000000.00
2014-09-01,262092000000.00
2014-10-01,259266000000.00
2014-11-01,240186000000.00
2014-12-01,234783000000.00
2015-01-01,218111000000.00
2015-02-01,216819000000.00
2015-03-01,239732000000.00
2015-04-01,236079000000.00
2015-05-01,238709000000.00
2015-06-01,242281000000.00
2015-07-01,232663000000.00
2015-08-01,233034000000.00
2015-09-01,230552000000.00
