Date,U34HTI
1992-01-01,7524000000.00
1992-02-01,7619000000.00
1992-03-01,7578000000.00
1992-04-01,7512000000.00
1992-05-01,7592000000.00
1992-06-01,7766000000.00
1992-07-01,7690000000.00
1992-08-01,7592000000.00
1992-09-01,7502000000.00
1992-10-01,7139000000.00
1992-11-01,6853000000.00
1992-12-01,6861000000.00
1993-01-01,6812000000.00
1993-02-01,6969000000.00
1993-03-01,6995000000.00
1993-04-01,7069000000.00
1993-05-01,7419000000.00
1993-06-01,7586000000.00
1993-07-01,7735000000.00
1993-08-01,7756000000.00
1993-09-01,7227000000.00
1993-10-01,7088000000.00
1993-11-01,7083000000.00
1993-12-01,7100000000.00
1994-01-01,7034000000.00
1994-02-01,7183000000.00
1994-03-01,7200000000.00
1994-04-01,7334000000.00
1994-05-01,7475000000.00
1994-06-01,7522000000.00
1994-07-01,7665000000.00
1994-08-01,7673000000.00
1994-09-01,7840000000.00
1994-10-01,7538000000.00
1994-11-01,7690000000.00
1994-12-01,7901000000.00
1995-01-01,8077000000.00
1995-02-01,8332000000.00
1995-03-01,8515000000.00
1995-04-01,8911000000.00
1995-05-01,9142000000.00
1995-06-01,9248000000.00
1995-07-01,9331000000.00
1995-08-01,9528000000.00
1995-09-01,9398000000.00
1995-10-01,9373000000.00
1995-11-01,8883000000.00
1995-12-01,9009000000.00
1996-01-01,9754000000.00
1996-02-01,9792000000.00
1996-03-01,9779000000.00
1996-04-01,9937000000.00
1996-05-01,10094000000.00
1996-06-01,9944000000.00
1996-07-01,9793000000.00
1996-08-01,9675000000.00
1996-09-01,9560000000.00
1996-10-01,9311000000.00
1996-11-01,9320000000.00
1996-12-01,9095000000.00
1997-01-01,9090000000.00
1997-02-01,9047000000.00
1997-03-01,8796000000.00
1997-04-01,8827000000.00
1997-05-01,8757000000.00
1997-06-01,8487000000.00
1997-07-01,8651000000.00
1997-08-01,8776000000.00
1997-09-01,8587000000.00
1997-10-01,8661000000.00
1997-11-01,8475000000.00
1997-12-01,8225000000.00
1998-01-01,8360000000.00
1998-02-01,8466000000.00
1998-03-01,8433000000.00
1998-04-01,8451000000.00
1998-05-01,8517000000.00
1998-06-01,8404000000.00
1998-07-01,8387000000.00
1998-08-01,8463000000.00
1998-09-01,8286000000.00
1998-10-01,8052000000.00
1998-11-01,7920000000.00
1998-12-01,7539000000.00
1999-01-01,7646000000.00
1999-02-01,7779000000.00
1999-03-01,7622000000.00
1999-04-01,7812000000.00
1999-05-01,7975000000.00
1999-06-01,8032000000.00
1999-07-01,8062000000.00
1999-08-01,8475000000.00
1999-09-01,8523000000.00
1999-10-01,8759000000.00
1999-11-01,8848000000.00
1999-12-01,8796000000.00
2000-01-01,9050000000.00
2000-02-01,9337000000.00
2000-03-01,9429000000.00
2000-04-01,9983000000.00
2000-05-01,10235000000.00
2000-06-01,10674000000.00
2000-07-01,11104000000.00
2000-08-01,11398000000.00
2000-09-01,11558000000.00
2000-10-01,11832000000.00
2000-11-01,12014000000.00
2000-12-01,12023000000.00
2001-01-01,12198000000.00
2001-02-01,11946000000.00
2001-03-01,11399000000.00
2001-04-01,11198000000.00
2001-05-01,10949000000.00
2001-06-01,10567000000.00
2001-07-01,10578000000.00
2001-08-01,10101000000.00
2001-09-01,9663000000.00
2001-10-01,9107000000.00
2001-11-01,8462000000.00
2001-12-01,8091000000.00
2002-01-01,8278000000.00
2002-02-01,8177000000.00
2002-03-01,7981000000.00
2002-04-01,8008000000.00
2002-05-01,7940000000.00
2002-06-01,7520000000.00
2002-07-01,7471000000.00
2002-08-01,7501000000.00
2002-09-01,7149000000.00
2002-10-01,7288000000.00
2002-11-01,7264000000.00
2002-12-01,6941000000.00
2003-01-01,7053000000.00
2003-02-01,7081000000.00
2003-03-01,6645000000.00
2003-04-01,6639000000.00
2003-05-01,6660000000.00
2003-06-01,6426000000.00
2003-07-01,6502000000.00
2003-08-01,6287000000.00
2003-09-01,5707000000.00
2003-10-01,6239000000.00
2003-11-01,6040000000.00
2003-12-01,5928000000.00
2004-01-01,6073000000.00
2004-02-01,5833000000.00
2004-03-01,6094000000.00
2004-04-01,6390000000.00
2004-05-01,6247000000.00
2004-06-01,6248000000.00
2004-07-01,6541000000.00
2004-08-01,6215000000.00
2004-09-01,5781000000.00
2004-10-01,6323000000.00
2004-11-01,6095000000.00
2004-12-01,5969000000.00
2005-01-01,6301000000.00
2005-02-01,6236000000.00
2005-03-01,5697000000.00
2005-04-01,5964000000.00
2005-05-01,5873000000.00
2005-06-01,5737000000.00
2005-07-01,6045000000.00
2005-08-01,5794000000.00
2005-09-01,6027000000.00
2005-10-01,6268000000.00
2005-11-01,6164000000.00
2005-12-01,5896000000.00
2006-01-01,6346000000.00
2006-02-01,6222000000.00
2006-03-01,6045000000.00
2006-04-01,6408000000.00
2006-05-01,6645000000.00
2006-06-01,6706000000.00
2006-07-01,6868000000.00
2006-08-01,6945000000.00
2006-09-01,6567000000.00
2006-10-01,6980000000.00
2006-11-01,7057000000.00
2006-12-01,6751000000.00
2007-01-01,7073000000.00
2007-02-01,7050000000.00
2007-03-01,6650000000.00
2007-04-01,7018000000.00
2007-05-01,6964000000.00
2007-06-01,6627000000.00
2007-07-01,6918000000.00
2007-08-01,6920000000.00
2007-09-01,6840000000.00
2007-10-01,7231000000.00
2007-11-01,7271000000.00
2007-12-01,6996000000.00
2008-01-01,7226000000.00
2008-02-01,7322000000.00
2008-03-01,7050000000.00
2008-04-01,7179000000.00
2008-05-01,7197000000.00
2008-06-01,6934000000.00
2008-07-01,7368000000.00
2008-08-01,7277000000.00
2008-09-01,6985000000.00
2008-10-01,7140000000.00
2008-11-01,7105000000.00
2008-12-01,6527000000.00
2009-01-01,6774000000.00
2009-02-01,6652000000.00
2009-03-01,6236000000.00
2009-04-01,6375000000.00
2009-05-01,6251000000.00
2009-06-01,5981000000.00
2009-07-01,6049000000.00
2009-08-01,5953000000.00
2009-09-01,5805000000.00
2009-10-01,5895000000.00
2009-11-01,5951000000.00
2009-12-01,5871000000.00
2010-01-01,6094000000.00
2010-02-01,5946000000.00
2010-03-01,5951000000.00
2010-04-01,6241000000.00
2010-05-01,6389000000.00
2010-06-01,6297000000.00
2010-07-01,6557000000.00
2010-08-01,6592000000.00
2010-09-01,6564000000.00
2010-10-01,7027000000.00
2010-11-01,6978000000.00
2010-12-01,6587000000.00
2011-01-01,7094000000.00
2011-02-01,7031000000.00
2011-03-01,6824000000.00
2011-04-01,7172000000.00
2011-05-01,7029000000.00
2011-06-01,6732000000.00
2011-07-01,7135000000.00
2011-08-01,6966000000.00
2011-09-01,6860000000.00
2011-10-01,6970000000.00
2011-11-01,6954000000.00
2011-12-01,6768000000.00
2012-01-01,7158000000.00
2012-02-01,7084000000.00
2012-03-01,7026000000.00
2012-04-01,7166000000.00
2012-05-01,6972000000.00
2012-06-01,6786000000.00
2012-07-01,7007000000.00
2012-08-01,6801000000.00
2012-09-01,6737000000.00
2012-10-01,6813000000.00
2012-11-01,6779000000.00
2012-12-01,6654000000.00
2013-01-01,6842000000.00
2013-02-01,6585000000.00
2013-03-01,6443000000.00
2013-04-01,6718000000.00
2013-05-01,6578000000.00
2013-06-01,6437000000.00
2013-07-01,6561000000.00
2013-08-01,6673000000.00
2013-09-01,6669000000.00
2013-10-01,6687000000.00
2013-11-01,6539000000.00
2013-12-01,6543000000.00
2014-01-01,6962000000.00
2014-02-01,6860000000.00
2014-03-01,6782000000.00
2014-04-01,6892000000.00
2014-05-01,6872000000.00
2014-06-01,6728000000.00
2014-07-01,6820000000.00
2014-08-01,6842000000.00
2014-09-01,6640000000.00
2014-10-01,6749000000.00
2014-11-01,6662000000.00
2014-12-01,6683000000.00
2015-01-01,7067000000.00
2015-02-01,7196000000.00
2015-03-01,7247000000.00
2015-04-01,7424000000.00
2015-05-01,7196000000.00
2015-06-01,7053000000.00
2015-07-01,7261000000.00
2015-08-01,7114000000.00
2015-09-01,6910000000.00
2015-10-01,6905000000.00
2015-11-01,6743000000.00
2015-12-01,6679000000.00
2016-01-01,6957000000.00
2016-02-01,6688000000.00
2016-03-01,6948000000.00
2016-04-01,7107000000.00
2016-05-01,6927000000.00
2016-06-01,6935000000.00
2016-07-01,7085000000.00
2016-08-01,6968000000.00
2016-09-01,6832000000.00
2016-10-01,6945000000.00
2016-11-01,6927000000.00
2016-12-01,6613000000.00
2017-01-01,7033000000.00
2017-02-01,7019000000.00
2017-03-01,6958000000.00
2017-04-01,7266000000.00
2017-05-01,7210000000.00
2017-06-01,7182000000.00
2017-07-01,7336000000.00
2017-08-01,7245000000.00
2017-09-01,7225000000.00
2017-10-01,7287000000.00
2017-11-01,7196000000.00
2017-12-01,7088000000.00
2018-01-01,7355000000.00
2018-02-01,7440000000.00
