Date,NONREVNS
1943-01-01,6550000000.00
1943-02-01,6276000000.00
1943-03-01,6099000000.00
1943-04-01,6065000000.00
1943-05-01,5967000000.00
1943-06-01,5893000000.00
1943-07-01,5681000000.00
1943-08-01,5561000000.00
1943-09-01,5619000000.00
1943-10-01,5707000000.00
1943-11-01,5718000000.00
1943-12-01,5663000000.00
1944-01-01,5377000000.00
1944-02-01,5203000000.00
1944-03-01,5255000000.00
1944-04-01,5328000000.00
1944-05-01,5462000000.00
1944-06-01,5530000000.00
1944-07-01,5460000000.00
1944-08-01,5459000000.00
1944-09-01,5520000000.00
1944-10-01,5619000000.00
1944-11-01,5707000000.00
1944-12-01,5787000000.00
1945-01-01,5585000000.00
1945-02-01,5420000000.00
1945-03-01,5550000000.00
1945-04-01,5531000000.00
1945-05-01,5641000000.00
1945-06-01,5762000000.00
1945-07-01,5707000000.00
1945-08-01,5694000000.00
1945-09-01,5730000000.00
1945-10-01,5985000000.00
1945-11-01,6234000000.00
1945-12-01,6800000000.00
1946-01-01,6493000000.00
1946-02-01,6587000000.00
1946-03-01,6862000000.00
1946-04-01,7265000000.00
1946-05-01,7578000000.00
1946-06-01,7769000000.00
1946-07-01,7875000000.00
1946-08-01,8249000000.00
1946-09-01,8568000000.00
1946-10-01,8974000000.00
1946-11-01,9411000000.00
1946-12-01,9777000000.00
1947-01-01,9766000000.00
1947-02-01,9835000000.00
1947-03-01,10128000000.00
1947-04-01,10537000000.00
1947-05-01,10978000000.00
1947-06-01,11209000000.00
1947-07-01,11281000000.00
1947-08-01,11477000000.00
1947-09-01,11846000000.00
1947-10-01,12324000000.00
1947-11-01,12775000000.00
1947-12-01,13298000000.00
1948-01-01,13236000000.00
1948-02-01,13208000000.00
1948-03-01,13613000000.00
1948-04-01,14092000000.00
1948-05-01,14535000000.00
1948-06-01,14847000000.00
1948-07-01,14934000000.00
1948-08-01,15125000000.00
1948-09-01,15539000000.00
1948-10-01,15757000000.00
1948-11-01,15894000000.00
1948-12-01,16332000000.00
1949-01-01,15918000000.00
1949-02-01,15660000000.00
1949-03-01,15716000000.00
1949-04-01,16170000000.00
1949-05-01,16634000000.00
1949-06-01,16926000000.00
1949-07-01,16954000000.00
1949-08-01,17278000000.00
1949-09-01,17764000000.00
1949-10-01,18254000000.00
1949-11-01,18764000000.00
1949-12-01,19374000000.00
1950-01-01,19079000000.00
1950-02-01,18974000000.00
1950-03-01,19262000000.00
1950-04-01,19803000000.00
1950-05-01,20579000000.00
1950-06-01,21197000000.00
1950-07-01,21971000000.00
1950-08-01,22666000000.00
1950-09-01,23279000000.00
1950-10-01,23551000000.00
1950-11-01,23657000000.00
1950-12-01,23947000000.00
1951-01-01,23839000000.00
1951-02-01,23645000000.00
1951-03-01,23692000000.00
1951-04-01,23634000000.00
1951-05-01,23926000000.00
1951-06-01,23933000000.00
1951-07-01,23620000000.00
1951-08-01,23910000000.00
1951-09-01,24202000000.00
1951-10-01,24595000000.00
1951-11-01,25027000000.00
1951-12-01,25350000000.00
1952-01-01,24846000000.00
1952-02-01,24696000000.00
1952-03-01,24597000000.00
1952-04-01,25091000000.00
1952-05-01,26083000000.00
1952-06-01,26878000000.00
1952-07-01,27135000000.00
1952-08-01,27453000000.00
