Date,SUUR0000SAC
1999-12-01,100.00
2000-01-01,100.10
2000-02-01,100.80
2000-03-01,102.00
2000-04-01,101.90
2000-05-01,101.70
2000-06-01,101.90
2000-07-01,101.60
2000-08-01,101.20
2000-09-01,102.20
2000-10-01,102.30
2000-11-01,102.20
2000-12-01,101.50
2001-01-01,101.50
2001-02-01,101.70
2001-03-01,101.70
2001-04-01,102.40
2001-05-01,102.90
2001-06-01,102.40
2001-07-01,101.10
2001-08-01,100.70
2001-09-01,101.80
2001-10-01,101.30
2001-11-01,100.50
2001-12-01,99.30
2002-01-01,99.30
2002-02-01,99.50
2002-03-01,100.30
2002-04-01,101.30
2002-05-01,101.00
2002-06-01,100.40
2002-07-01,100.20
2002-08-01,100.20
2002-09-01,100.70
2002-10-01,100.90
2002-11-01,100.70
2002-12-01,100.00
2003-01-01,100.30
2003-02-01,101.50
2003-03-01,102.20
2003-04-01,101.60
2003-05-01,100.80
2003-06-01,100.40
2003-07-01,100.20
2003-08-01,100.70
2003-09-01,101.40
2003-10-01,101.00
2003-11-01,100.60
2003-12-01,100.20
2004-01-01,100.70
2004-02-01,101.60
2004-03-01,102.40
2004-04-01,102.90
2004-05-01,103.80
2004-06-01,103.50
2004-07-01,102.70
2004-08-01,102.50
2004-09-01,103.00
2004-10-01,104.30
2004-11-01,104.30
2004-12-01,103.30
2005-01-01,103.10
2005-02-01,103.80
2005-03-01,104.80
2005-04-01,106.00
2005-05-01,105.70
2005-06-01,105.00
2005-07-01,105.30
2005-08-01,106.40
2005-09-01,109.00
2005-10-01,108.90
2005-11-01,106.70
2005-12-01,105.70
2006-01-01,106.40
2006-02-01,106.60
2006-03-01,107.40
2006-04-01,109.20
2006-05-01,110.00
2006-06-01,109.60
2006-07-01,109.60
2006-08-01,109.80
2006-09-01,108.50
2006-10-01,107.10
2006-11-01,106.60
2006-12-01,106.70
2007-01-01,106.60
2007-02-01,107.16
2007-03-01,109.02
2007-04-01,110.31
2007-05-01,111.44
2007-06-01,110.81
2007-07-01,110.18
2007-08-01,109.74
2007-09-01,110.37
2007-10-01,110.82
2007-11-01,112.03
2007-12-01,111.50
2008-01-01,111.99
2008-02-01,112.30
2008-03-01,113.97
2008-04-01,115.30
2008-05-01,116.99
2008-06-01,118.27
2008-07-01,118.64
2008-08-01,117.56
2008-09-01,117.60
2008-10-01,115.45
2008-11-01,110.30
2008-12-01,107.10
2009-01-01,107.73
2009-02-01,108.72
2009-03-01,109.13
2009-04-01,109.90
2009-05-01,110.75
2009-06-01,112.40
2009-07-01,111.66
2009-08-01,112.12
2009-09-01,112.37
2009-10-01,112.70
2009-11-01,113.02
2009-12-01,112.59
2010-01-01,113.31
2010-02-01,113.11
2010-03-01,113.96
2010-04-01,114.26
2010-05-01,114.23
2010-06-01,113.22
2010-07-01,112.94
2010-08-01,113.27
2010-09-01,113.49
2010-10-01,114.02
2010-11-01,113.99
2010-12-01,114.34
2011-01-01,115.38
2011-02-01,116.27
2011-03-01,118.85
2011-04-01,120.40
2011-05-01,121.17
2011-06-01,120.12
2011-07-01,119.90
2011-08-01,120.30
2011-09-01,120.70
2011-10-01,120.15
2011-11-01,119.72
2011-12-01,118.70
2012-01-01,119.63
2012-02-01,120.68
2012-03-01,122.49
2012-04-01,123.01
2012-05-01,122.32
2012-06-01,121.09
2012-07-01,120.40
2012-08-01,121.78
2012-09-01,122.74
2012-10-01,122.46
2012-11-01,120.84
2012-12-01,119.66
2013-01-01,119.92
2013-02-01,121.85
2013-03-01,122.37
2013-04-01,121.89
2013-05-01,121.84
2013-06-01,121.77
2013-07-01,121.52
2013-08-01,121.63
2013-09-01,121.70
2013-10-01,120.93
2013-11-01,120.13
2013-12-01,119.82
2014-01-01,120.19
2014-02-01,120.83
2014-03-01,121.98
2014-04-01,122.78
2014-05-01,122.98
2014-06-01,122.79
2014-07-01,122.45
2014-08-01,121.91
2014-09-01,121.99
2014-10-01,121.15
2014-11-01,119.33
2014-12-01,117.21
2015-01-01,114.99
2015-02-01,116.14
2015-03-01,117.89
2015-04-01,118.02
2015-05-01,119.32
2015-06-01,119.42
2015-07-01,119.12
2015-08-01,118.56
2015-09-01,117.57
2015-10-01,117.10
2015-11-01,116.03
2015-12-01,114.70
2016-01-01,114.44
2016-02-01,113.82
2016-03-01,114.91
2016-04-01,115.91
2016-05-01,116.33
2016-06-01,116.42
2016-07-01,115.42
2016-08-01,115.16
2016-09-01,115.59
2016-10-01,115.97
2016-11-01,115.04
2016-12-01,114.67
2017-01-01,115.73
2017-02-01,115.90
2017-03-01,116.20
2017-04-01,116.70
2017-05-01,116.37
2017-06-01,115.87
2017-07-01,115.34
2017-08-01,115.88
2017-09-01,117.45
2017-10-01,116.82
2017-11-01,116.69
2017-12-01,116.03
2018-01-01,116.94
2018-02-01,117.54
2018-03-01,117.80
2018-04-01,118.68
2018-05-01,119.17
