Date,UMXDVS
1992-01-01,202080000000.00
1992-02-01,223377000000.00
1992-03-01,240203000000.00
1992-04-01,230739000000.00
1992-05-01,234766000000.00
1992-06-01,253266000000.00
1992-07-01,214833000000.00
1992-08-01,231688000000.00
1992-09-01,250896000000.00
1992-10-01,243883000000.00
1992-11-01,236309000000.00
1992-12-01,234754000000.00
1993-01-01,216374000000.00
1993-02-01,238677000000.00
1993-03-01,256108000000.00
1993-04-01,241269000000.00
1993-05-01,242670000000.00
1993-06-01,262248000000.00
1993-07-01,216483000000.00
1993-08-01,241387000000.00
1993-09-01,260493000000.00
1993-10-01,254839000000.00
1993-11-01,247963000000.00
1993-12-01,244113000000.00
1994-01-01,227765000000.00
1994-02-01,251949000000.00
1994-03-01,269409000000.00
1994-04-01,254784000000.00
1994-05-01,260415000000.00
1994-06-01,279676000000.00
1994-07-01,233334000000.00
1994-08-01,269640000000.00
1994-09-01,283753000000.00
1994-10-01,275348000000.00
1994-11-01,273108000000.00
1994-12-01,271947000000.00
1995-01-01,254052000000.00
1995-02-01,279568000000.00
1995-03-01,295750000000.00
1995-04-01,276378000000.00
1995-05-01,282247000000.00
1995-06-01,302769000000.00
1995-07-01,249003000000.00
1995-08-01,286655000000.00
1995-09-01,305588000000.00
1995-10-01,294604000000.00
1995-11-01,286268000000.00
1995-12-01,283071000000.00
1996-01-01,257214000000.00
1996-02-01,283493000000.00
1996-03-01,299093000000.00
1996-04-01,288364000000.00
1996-05-01,297156000000.00
1996-06-01,311852000000.00
1996-07-01,264818000000.00
1996-08-01,297385000000.00
1996-09-01,316118000000.00
1996-10-01,306425000000.00
1996-11-01,300233000000.00
1996-12-01,292993000000.00
1997-01-01,275218000000.00
1997-02-01,303468000000.00
1997-03-01,321669000000.00
1997-04-01,309625000000.00
1997-05-01,309416000000.00
1997-06-01,333737000000.00
1997-07-01,284085000000.00
1997-08-01,314916000000.00
1997-09-01,340332000000.00
1997-10-01,327721000000.00
1997-11-01,314985000000.00
1997-12-01,315790000000.00
1998-01-01,284560000000.00
1998-02-01,317422000000.00
1998-03-01,339990000000.00
1998-04-01,315805000000.00
1998-05-01,316257000000.00
1998-06-01,338037000000.00
1998-07-01,281736000000.00
1998-08-01,316424000000.00
1998-09-01,341696000000.00
1998-10-01,328894000000.00
1998-11-01,317630000000.00
1998-12-01,317946000000.00
1999-01-01,287619000000.00
1999-02-01,318884000000.00
1999-03-01,345231000000.00
1999-04-01,322011000000.00
1999-05-01,326101000000.00
1999-06-01,353228000000.00
1999-07-01,294213000000.00
1999-08-01,337030000000.00
1999-09-01,355365000000.00
1999-10-01,341693000000.00
1999-11-01,334565000000.00
1999-12-01,334914000000.00
2000-01-01,309507000000.00
2000-02-01,336688000000.00
2000-03-01,367696000000.00
2000-04-01,338156000000.00
2000-05-01,350368000000.00
2000-06-01,375681000000.00
2000-07-01,309225000000.00
2000-08-01,349290000000.00
2000-09-01,370426000000.00
2000-10-01,350595000000.00
2000-11-01,337683000000.00
2000-12-01,336713000000.00
2001-01-01,308042000000.00
2001-02-01,327422000000.00
2001-03-01,355390000000.00
2001-04-01,318131000000.00
2001-05-01,339665000000.00
2001-06-01,344953000000.00
2001-07-01,291677000000.00
2001-08-01,333725000000.00
2001-09-01,326640000000.00
2001-10-01,325250000000.00
2001-11-01,310040000000.00
2001-12-01,305879000000.00
2002-01-01,287873000000.00
2002-02-01,300122000000.00
2002-03-01,329559000000.00
2002-04-01,318391000000.00
2002-05-01,331301000000.00
2002-06-01,335011000000.00
2002-07-01,293908000000.00
2002-08-01,330464000000.00
2002-09-01,337287000000.00
2002-10-01,336451000000.00
2002-11-01,316008000000.00
2002-12-01,309390000000.00
2003-01-01,298518000000.00
2003-02-01,309961000000.00
2003-03-01,343695000000.00
2003-04-01,316244000000.00
2003-05-01,326910000000.00
2003-06-01,342049000000.00
2003-07-01,304437000000.00
2003-08-01,329297000000.00
2003-09-01,348506000000.00
2003-10-01,347921000000.00
2003-11-01,320879000000.00
2003-12-01,327893000000.00
2004-01-01,304497000000.00
2004-02-01,321295000000.00
2004-03-01,369263000000.00
2004-04-01,341866000000.00
2004-05-01,347592000000.00
2004-06-01,370512000000.00
2004-07-01,324110000000.00
2004-08-01,363074000000.00
2004-09-01,371847000000.00
2004-10-01,368932000000.00
2004-11-01,358551000000.00
2004-12-01,362469000000.00
2005-01-01,339683000000.00
2005-02-01,351596000000.00
2005-03-01,398977000000.00
2005-04-01,378013000000.00
2005-05-01,387883000000.00
2005-06-01,407615000000.00
2005-07-01,354416000000.00
2005-08-01,407700000000.00
2005-09-01,413917000000.00
2005-10-01,405433000000.00
2005-11-01,392285000000.00
2005-12-01,396529000000.00
2006-01-01,372935000000.00
2006-02-01,378746000000.00
2006-03-01,434212000000.00
2006-04-01,393366000000.00
2006-05-01,429976000000.00
2006-06-01,442411000000.00
2006-07-01,384523000000.00
2006-08-01,435579000000.00
2006-09-01,418253000000.00
2006-10-01,413707000000.00
2006-11-01,398498000000.00
2006-12-01,403529000000.00
2007-01-01,380602000000.00
2007-02-01,387422000000.00
2007-03-01,444282000000.00
2007-04-01,422013000000.00
2007-05-01,450192000000.00
2007-06-01,459116000000.00
2007-07-01,414066000000.00
2007-08-01,457947000000.00
2007-09-01,444728000000.00
2007-10-01,460672000000.00
2007-11-01,443140000000.00
2007-12-01,433862000000.00
2008-01-01,423014000000.00
2008-02-01,431471000000.00
2008-03-01,461461000000.00
2008-04-01,463949000000.00
2008-05-01,478141000000.00
2008-06-01,497099000000.00
2008-07-01,465642000000.00
2008-08-01,470738000000.00
2008-09-01,458876000000.00
2008-10-01,438666000000.00
2008-11-01,371440000000.00
2008-12-01,365285000000.00
2009-01-01,328179000000.00
2009-02-01,328876000000.00
2009-03-01,361170000000.00
2009-04-01,342833000000.00
2009-05-01,346196000000.00
2009-06-01,371279000000.00
2009-07-01,346860000000.00
2009-08-01,364671000000.00
2009-09-01,375068000000.00
2009-10-01,375979000000.00
2009-11-01,358847000000.00
2009-12-01,372005000000.00
2010-01-01,347214000000.00
2010-02-01,349133000000.00
2010-03-01,409216000000.00
2010-04-01,395991000000.00
2010-05-01,396077000000.00
2010-06-01,415060000000.00
2010-07-01,386421000000.00
2010-08-01,412582000000.00
