Date,UMXDVS
2010-09-01,416753000000.00
2010-10-01,412814000000.00
2010-11-01,399763000000.00
2010-12-01,413124000000.00
2011-01-01,393053000000.00
2011-02-01,395260000000.00
2011-03-01,470438000000.00
2011-04-01,444352000000.00
2011-05-01,454117000000.00
2011-06-01,471330000000.00
2011-07-01,434881000000.00
2011-08-01,472168000000.00
2011-09-01,464660000000.00
2011-10-01,458578000000.00
2011-11-01,441548000000.00
2011-12-01,443525000000.00
2012-01-01,424273000000.00
2012-02-01,442839000000.00
2012-03-01,489413000000.00
2012-04-01,462319000000.00
2012-05-01,480789000000.00
2012-06-01,474310000000.00
2012-07-01,443164000000.00
2012-08-01,481686000000.00
2012-09-01,468700000000.00
2012-10-01,480024000000.00
2012-11-01,454200000000.00
2012-12-01,448905000000.00
2013-01-01,438353000000.00
2013-02-01,442051000000.00
2013-03-01,487325000000.00
2013-04-01,470956000000.00
2013-05-01,489741000000.00
2013-06-01,482853000000.00
2013-07-01,462347000000.00
2013-08-01,489842000000.00
2013-09-01,483380000000.00
2013-10-01,490712000000.00
2013-11-01,461730000000.00
2013-12-01,463892000000.00
2014-01-01,442208000000.00
2014-02-01,446574000000.00
2014-03-01,500024000000.00
2014-04-01,485639000000.00
2014-05-01,495027000000.00
2014-06-01,504286000000.00
2014-07-01,477566000000.00
2014-08-01,494964000000.00
2014-09-01,500293000000.00
2014-10-01,494256000000.00
2014-11-01,446143000000.00
2014-12-01,458761000000.00
2015-01-01,415297000000.00
2015-02-01,420610000000.00
2015-03-01,479387000000.00
2015-04-01,458729000000.00
2015-05-01,457771000000.00
2015-06-01,481925000000.00
2015-07-01,443111000000.00
2015-08-01,457708000000.00
2015-09-01,464154000000.00
2015-10-01,452901000000.00
2015-11-01,423594000000.00
2015-12-01,425227000000.00
2016-01-01,389250000000.00
2016-02-01,412282000000.00
2016-03-01,457837000000.00
2016-04-01,430010000000.00
2016-05-01,440584000000.00
2016-06-01,461957000000.00
2016-07-01,411334000000.00
2016-08-01,453558000000.00
2016-09-01,455063000000.00
2016-10-01,441822000000.00
2016-11-01,425524000000.00
2016-12-01,437860000000.00
2017-01-01,411929000000.00
2017-02-01,415741000000.00
2017-03-01,477155000000.00
2017-04-01,438516000000.00
2017-05-01,466734000000.00
2017-06-01,478014000000.00
2017-07-01,429650000000.00
2017-08-01,477176000000.00
2017-09-01,471449000000.00
2017-10-01,473490000000.00
2017-11-01,460084000000.00
2017-12-01,455197000000.00
2018-01-01,442834000000.00
2018-02-01,442728000000.00
2018-03-01,503911000000.00
2018-04-01,476683000000.00
