Date,SUUR0000SAE2
1999-12-01,100.00
2000-01-01,99.80
2000-02-01,98.30
2000-03-01,97.50
2000-04-01,96.80
2000-05-01,96.40
2000-06-01,94.90
2000-07-01,95.00
2000-08-01,94.60
2000-09-01,93.20
2000-10-01,93.70
2000-11-01,92.70
2000-12-01,92.50
2001-01-01,91.80
2001-02-01,91.40
2001-03-01,91.20
2001-04-01,90.70
2001-05-01,90.10
2001-06-01,90.00
2001-07-01,90.20
2001-08-01,89.70
2001-09-01,88.90
2001-10-01,88.90
2001-11-01,88.60
2001-12-01,88.10
2002-01-01,87.80
2002-02-01,87.50
2002-03-01,86.60
2002-04-01,86.00
2002-05-01,86.10
2002-06-01,86.20
2002-07-01,86.80
2002-08-01,87.30
2002-09-01,86.50
2002-10-01,86.30
2002-11-01,85.80
2002-12-01,85.70
2003-01-01,85.80
2003-02-01,85.70
2003-03-01,85.20
2003-04-01,84.40
2003-05-01,83.80
2003-06-01,82.80
2003-07-01,82.80
2003-08-01,82.30
2003-09-01,81.90
2003-10-01,81.50
2003-11-01,81.30
2003-12-01,81.20
2004-01-01,81.20
2004-02-01,81.20
2004-03-01,80.90
2004-04-01,80.40
2004-05-01,79.90
2004-06-01,79.90
2004-07-01,79.60
2004-08-01,79.20
2004-09-01,79.30
2004-10-01,78.40
2004-11-01,78.50
2004-12-01,78.20
2005-01-01,78.10
2005-02-01,78.00
2005-03-01,77.90
2005-04-01,77.90
2005-05-01,77.50
2005-06-01,77.20
2005-07-01,76.90
2005-08-01,76.60
2005-09-01,77.00
2005-10-01,76.60
2005-11-01,76.60
2005-12-01,76.50
2006-01-01,76.50
2006-02-01,76.50
2006-03-01,76.50
2006-04-01,76.40
2006-05-01,76.20
2006-06-01,76.20
2006-07-01,76.20
2006-08-01,76.10
2006-09-01,75.80
2006-10-01,75.20
2006-11-01,74.50
2006-12-01,74.10
2007-01-01,73.82
2007-02-01,73.80
2007-03-01,73.93
2007-04-01,74.03
2007-05-01,74.24
2007-06-01,73.91
2007-07-01,73.85
2007-08-01,73.90
2007-09-01,73.82
2007-10-01,73.67
2007-11-01,73.20
2007-12-01,73.26
2008-01-01,73.39
2008-02-01,73.37
2008-03-01,73.41
2008-04-01,73.48
2008-05-01,73.65
2008-06-01,73.94
2008-07-01,74.21
2008-08-01,73.97
2008-09-01,73.78
2008-10-01,73.80
2008-11-01,73.88
2008-12-01,73.93
2009-01-01,74.08
2009-02-01,74.07
2009-03-01,73.95
2009-04-01,73.99
2009-05-01,73.89
2009-06-01,73.79
2009-07-01,73.66
2009-08-01,73.44
2009-09-01,73.49
2009-10-01,73.53
2009-11-01,73.09
2009-12-01,73.06
2010-01-01,73.21
2010-02-01,73.03
2010-03-01,73.05
2010-04-01,73.01
2010-05-01,72.87
2010-06-01,72.75
2010-07-01,72.77
2010-08-01,72.76
2010-09-01,72.71
2010-10-01,72.49
2010-11-01,72.38
2010-12-01,71.83
2011-01-01,71.63
2011-02-01,71.59
2011-03-01,71.43
2011-04-01,71.42
2011-05-01,71.23
2011-06-01,71.14
2011-07-01,70.90
2011-08-01,70.75
2011-09-01,70.66
2011-10-01,70.67
2011-11-01,70.53
2011-12-01,70.41
2012-01-01,70.61
2012-02-01,70.67
2012-03-01,70.66
2012-04-01,70.74
2012-05-01,70.80
2012-06-01,70.70
2012-07-01,70.30
2012-08-01,69.78
2012-09-01,69.76
2012-10-01,69.77
2012-11-01,69.69
2012-12-01,69.60
2013-01-01,69.75
2013-02-01,70.00
2013-03-01,70.08
2013-04-01,69.62
2013-05-01,69.49
2013-06-01,69.35
2013-07-01,69.15
2013-08-01,69.03
2013-09-01,69.10
2013-10-01,69.05
2013-11-01,68.98
2013-12-01,68.91
2014-01-01,68.99
2014-02-01,68.87
2014-03-01,68.90
2014-04-01,69.00
2014-05-01,68.85
2014-06-01,68.68
2014-07-01,68.71
2014-08-01,68.58
2014-09-01,68.40
2014-10-01,67.77
2014-11-01,67.40
2014-12-01,67.01
2015-01-01,66.92
2015-02-01,66.85
2015-03-01,66.67
2015-04-01,66.63
2015-05-01,66.23
2015-06-01,66.13
2015-07-01,66.03
2015-08-01,66.03
2015-09-01,66.19
2015-10-01,66.36
2015-11-01,66.50
2015-12-01,66.30
2016-01-01,66.33
2016-02-01,66.05
2016-03-01,66.16
2016-04-01,66.13
2016-05-01,65.78
2016-06-01,65.64
2016-07-01,65.44
2016-08-01,65.39
2016-09-01,64.83
2016-10-01,64.47
2016-11-01,64.50
2016-12-01,64.37
2017-01-01,64.41
2017-02-01,64.00
2017-03-01,61.57
2017-04-01,61.16
2017-05-01,61.01
2017-06-01,60.76
2017-07-01,60.57
2017-08-01,60.46
2017-09-01,60.45
2017-10-01,60.57
2017-11-01,60.68
2017-12-01,60.68
2018-01-01,60.71
2018-02-01,60.43
2018-03-01,60.32
2018-04-01,60.27
2018-05-01,60.41
