Date,IPB5640CN
1972-01-01,32.00
1972-02-01,32.65
1972-03-01,32.92
1972-04-01,33.60
1972-05-01,33.48
1972-06-01,34.48
1972-07-01,31.82
1972-08-01,33.36
1972-09-01,35.00
1972-10-01,35.93
1972-11-01,35.67
1972-12-01,34.97
1973-01-01,34.74
1973-02-01,35.99
1973-03-01,36.31
1973-04-01,36.02
1973-05-01,36.48
1973-06-01,37.51
1973-07-01,35.11
1973-08-01,35.47
1973-09-01,37.53
1973-10-01,38.44
1973-11-01,38.17
1973-12-01,36.54
1974-01-01,35.88
1974-02-01,36.31
1974-03-01,36.73
1974-04-01,35.94
1974-05-01,37.05
1974-06-01,38.14
1974-07-01,35.84
1974-08-01,36.59
1974-09-01,38.06
1974-10-01,38.59
1974-11-01,37.19
1974-12-01,34.95
1975-01-01,33.55
1975-02-01,33.13
1975-03-01,33.22
1975-04-01,33.80
1975-05-01,33.96
1975-06-01,35.21
1975-07-01,33.47
1975-08-01,34.66
1975-09-01,36.26
1975-10-01,36.87
1975-11-01,36.37
1975-12-01,35.78
1976-01-01,35.74
1976-02-01,36.47
1976-03-01,36.76
1976-04-01,36.32
1976-05-01,37.38
1976-06-01,38.21
1976-07-01,35.77
1976-08-01,36.99
1976-09-01,37.93
1976-10-01,38.62
1976-11-01,38.74
1976-12-01,38.06
1977-01-01,37.52
1977-02-01,38.91
1977-03-01,39.61
1977-04-01,39.70
1977-05-01,40.40
1977-06-01,41.87
1977-07-01,39.49
1977-08-01,39.96
1977-09-01,41.68
1977-10-01,42.21
1977-11-01,41.65
1977-12-01,41.23
1978-01-01,39.89
1978-02-01,41.23
1978-03-01,42.61
1978-04-01,43.73
1978-05-01,43.28
1978-06-01,44.74
1978-07-01,42.02
1978-08-01,43.08
1978-09-01,44.93
1978-10-01,45.57
1978-11-01,45.37
1978-12-01,44.68
1979-01-01,43.89
1979-02-01,44.86
1979-03-01,45.71
1979-04-01,43.84
1979-05-01,45.41
1979-06-01,46.50
1979-07-01,43.91
1979-08-01,44.41
1979-09-01,46.37
1979-10-01,46.71
1979-11-01,46.15
1979-12-01,45.80
1980-01-01,45.34
1980-02-01,46.41
1980-03-01,46.71
1980-04-01,45.84
1980-05-01,45.43
1980-06-01,46.10
1980-07-01,43.51
1980-08-01,44.90
1980-09-01,46.39
1980-10-01,47.24
1980-11-01,47.19
1980-12-01,46.55
1981-01-01,45.69
1981-02-01,46.17
1981-03-01,46.96
1981-04-01,46.64
1981-05-01,47.33
1981-06-01,48.03
1981-07-01,45.89
1981-08-01,47.13
1981-09-01,47.75
1981-10-01,48.44
1981-11-01,47.81
1981-12-01,46.84
1982-01-01,44.76
1982-02-01,47.01
1982-03-01,47.25
1982-04-01,46.53
1982-05-01,46.98
1982-06-01,47.98
1982-07-01,45.80
1982-08-01,46.45
1982-09-01,47.26
1982-10-01,47.21
1982-11-01,46.49
1982-12-01,45.70
1983-01-01,45.78
1983-02-01,45.96
1983-03-01,46.70
1983-04-01,46.72
1983-05-01,47.34
1983-06-01,48.76
1983-07-01,46.95
1983-08-01,48.26
1983-09-01,50.34
1983-10-01,50.82
1983-11-01,50.32
1983-12-01,49.72
1984-01-01,50.04
1984-02-01,51.03
1984-03-01,51.89
1984-04-01,51.94
1984-05-01,51.99
1984-06-01,53.37
1984-07-01,50.93
1984-08-01,52.35
1984-09-01,53.72
1984-10-01,54.27
1984-11-01,53.75
1984-12-01,53.37
1985-01-01,52.70
1985-02-01,53.10
