Date,UNXANO
1992-02-01,34095000000.00
1992-03-01,38808000000.00
1992-04-01,34840000000.00
1992-05-01,34557000000.00
1992-06-01,40582000000.00
1992-07-01,32578000000.00
1992-08-01,33874000000.00
1992-09-01,40599000000.00
1992-10-01,36634000000.00
1992-11-01,36968000000.00
1992-12-01,41875000000.00
1993-01-01,32942000000.00
1993-02-01,36180000000.00
1993-03-01,41217000000.00
1993-04-01,36725000000.00
1993-05-01,35986000000.00
1993-06-01,41990000000.00
1993-07-01,34445000000.00
1993-08-01,37126000000.00
1993-09-01,42777000000.00
1993-10-01,39880000000.00
1993-11-01,40104000000.00
1993-12-01,47061000000.00
1994-01-01,35603000000.00
1994-02-01,40979000000.00
1994-03-01,45806000000.00
1994-04-01,41284000000.00
1994-05-01,40779000000.00
1994-06-01,49067000000.00
1994-07-01,38263000000.00
1994-08-01,42246000000.00
1994-09-01,48695000000.00
1994-10-01,45533000000.00
1994-11-01,44983000000.00
1994-12-01,50223000000.00
1995-01-01,42629000000.00
1995-02-01,45785000000.00
1995-03-01,51930000000.00
1995-04-01,44023000000.00
1995-05-01,46332000000.00
1995-06-01,53540000000.00
1995-07-01,40132000000.00
1995-08-01,44665000000.00
1995-09-01,53961000000.00
1995-10-01,49638000000.00
1995-11-01,48844000000.00
1995-12-01,55290000000.00
1996-01-01,43364000000.00
1996-02-01,50577000000.00
1996-03-01,55519000000.00
1996-04-01,46081000000.00
1996-05-01,48230000000.00
1996-06-01,56383000000.00
1996-07-01,45169000000.00
1996-08-01,47604000000.00
1996-09-01,55286000000.00
1996-10-01,52030000000.00
1996-11-01,51080000000.00
1996-12-01,55851000000.00
1997-01-01,46338000000.00
1997-02-01,53877000000.00
1997-03-01,61241000000.00
1997-04-01,51554000000.00
1997-05-01,51281000000.00
1997-06-01,62721000000.00
1997-07-01,52355000000.00
1997-08-01,53356000000.00
1997-09-01,67170000000.00
1997-10-01,57237000000.00
1997-11-01,54844000000.00
1997-12-01,64145000000.00
1998-01-01,50712000000.00
1998-02-01,58520000000.00
1998-03-01,65995000000.00
1998-04-01,52884000000.00
1998-05-01,54982000000.00
1998-06-01,67063000000.00
1998-07-01,50247000000.00
1998-08-01,53455000000.00
1998-09-01,66657000000.00
1998-10-01,55593000000.00
1998-11-01,55516000000.00
1998-12-01,66655000000.00
1999-01-01,50057000000.00
1999-02-01,57443000000.00
1999-03-01,68252000000.00
1999-04-01,56099000000.00
1999-05-01,57158000000.00
1999-06-01,65869000000.00
1999-07-01,55180000000.00
1999-08-01,57253000000.00
1999-09-01,70226000000.00
1999-10-01,59930000000.00
1999-11-01,59619000000.00
1999-12-01,71003000000.00
2000-01-01,57431000000.00
2000-02-01,59012000000.00
2000-03-01,72174000000.00
2000-04-01,60777000000.00
2000-05-01,61352000000.00
2000-06-01,76000000000.00
2000-07-01,57277000000.00
2000-08-01,59490000000.00
2000-09-01,73857000000.00
2000-10-01,62435000000.00
2000-11-01,59675000000.00
2000-12-01,68274000000.00
2001-01-01,54789000000.00
2001-02-01,58757000000.00
2001-03-01,66159000000.00
2001-04-01,52483000000.00
2001-05-01,55075000000.00
2001-06-01,60955000000.00
2001-07-01,48041000000.00
2001-08-01,50545000000.00
2001-09-01,55526000000.00
2001-10-01,49122000000.00
2001-11-01,49081000000.00
2001-12-01,56411000000.00
2002-01-01,42593000000.00
2002-02-01,48245000000.00
2002-03-01,53237000000.00
2002-04-01,48651000000.00
2002-05-01,49952000000.00
2002-06-01,52808000000.00
2002-07-01,45381000000.00
2002-08-01,47923000000.00
2002-09-01,52645000000.00
2002-10-01,49228000000.00
2002-11-01,46710000000.00
2002-12-01,51775000000.00
2003-01-01,45229000000.00
2003-02-01,46971000000.00
2003-03-01,57476000000.00
2003-04-01,48031000000.00
2003-05-01,49613000000.00
2003-06-01,54492000000.00
2003-07-01,45561000000.00
2003-08-01,46848000000.00
2003-09-01,56572000000.00
2003-10-01,51632000000.00
2003-11-01,48722000000.00
2003-12-01,57028000000.00
2004-01-01,46266000000.00
2004-02-01,50217000000.00
2004-03-01,61977000000.00
2004-04-01,51675000000.00
2004-05-01,50771000000.00
2004-06-01,57576000000.00
2004-07-01,49185000000.00
2004-08-01,48915000000.00
2004-09-01,60727000000.00
2004-10-01,53476000000.00
2004-11-01,52645000000.00
2004-12-01,60567000000.00
2005-01-01,53370000000.00
2005-02-01,55156000000.00
2005-03-01,63568000000.00
2005-04-01,56980000000.00
2005-05-01,55425000000.00
2005-06-01,64137000000.00
2005-07-01,51825000000.00
2005-08-01,57706000000.00
2005-09-01,63690000000.00
2005-10-01,59706000000.00
2005-11-01,56866000000.00
2005-12-01,65367000000.00
2006-01-01,58172000000.00
2006-02-01,59887000000.00
2006-03-01,72879000000.00
2006-04-01,60704000000.00
2006-05-01,62738000000.00
2006-06-01,69480000000.00
2006-07-01,58343000000.00
2006-08-01,61667000000.00
2006-09-01,71877000000.00
2006-10-01,66857000000.00
2006-11-01,63207000000.00
2006-12-01,69345000000.00
2007-01-01,60139000000.00
2007-02-01,60734000000.00
2007-03-01,73859000000.00
2007-04-01,64513000000.00
2007-05-01,63229000000.00
2007-06-01,70237000000.00
2007-07-01,60008000000.00
2007-08-01,64099000000.00
2007-09-01,69708000000.00
2007-10-01,66299000000.00
2007-11-01,61930000000.00
2007-12-01,71910000000.00
2008-01-01,63731000000.00
2008-02-01,65235000000.00
2008-03-01,72546000000.00
2008-04-01,67856000000.00
2008-05-01,66473000000.00
2008-06-01,73198000000.00
2008-07-01,64022000000.00
2008-08-01,62770000000.00
2008-09-01,69613000000.00
2008-10-01,60881000000.00
2008-11-01,55636000000.00
2008-12-01,59849000000.00
2009-01-01,45682000000.00
2009-02-01,47322000000.00
2009-03-01,54938000000.00
2009-04-01,46315000000.00
2009-05-01,46761000000.00
2009-06-01,55197000000.00
2009-07-01,48200000000.00
2009-08-01,47421000000.00
2009-09-01,57279000000.00
2009-10-01,51947000000.00
2009-11-01,49255000000.00
2009-12-01,58347000000.00
2010-01-01,47134000000.00
2010-02-01,50436000000.00
2010-03-01,63118000000.00
2010-04-01,51744000000.00
2010-05-01,55846000000.00
2010-06-01,64224000000.00
2010-07-01,52328000000.00
2010-08-01,56381000000.00
2010-09-01,64631000000.00
2010-10-01,56611000000.00
2010-11-01,56901000000.00
2010-12-01,66138000000.00
2011-01-01,55385000000.00
2011-02-01,56143000000.00
2011-03-01,69755000000.00
2011-04-01,60383000000.00
2011-05-01,62974000000.00
2011-06-01,68875000000.00
2011-07-01,59257000000.00
2011-08-01,62979000000.00
2011-09-01,70513000000.00
2011-10-01,66419000000.00
2011-11-01,60608000000.00
2011-12-01,72293000000.00
2012-01-01,62641000000.00
2012-02-01,69043000000.00
2012-03-01,77824000000.00
2012-04-01,66859000000.00
2012-05-01,69210000000.00
2012-06-01,71811000000.00
2012-07-01,59319000000.00
2012-08-01,62456000000.00
2012-09-01,66419000000.00
2012-10-01,65747000000.00
2012-11-01,62470000000.00
2012-12-01,69678000000.00
2013-01-01,64650000000.00
2013-02-01,63779000000.00
2013-03-01,73681000000.00
2013-04-01,67240000000.00
2013-05-01,69061000000.00
2013-06-01,72816000000.00
2013-07-01,61109000000.00
2013-08-01,63656000000.00
2013-09-01,70002000000.00
2013-10-01,64113000000.00
2013-11-01,62594000000.00
2013-12-01,70959000000.00
2014-01-01,63173000000.00
2014-02-01,64421000000.00
2014-03-01,75942000000.00
2014-04-01,65570000000.00
2014-05-01,64885000000.00
2014-06-01,74905000000.00
2014-07-01,63026000000.00
2014-08-01,65070000000.00
2014-09-01,73714000000.00
2014-10-01,65252000000.00
2014-11-01,58686000000.00
2014-12-01,69882000000.00
2015-01-01,60384000000.00
2015-02-01,61253000000.00
2015-03-01,72218000000.00
2015-04-01,63666000000.00
2015-05-01,61202000000.00
2015-06-01,69497000000.00
2015-07-01,59963000000.00
2015-08-01,60781000000.00
2015-09-01,67294000000.00
2015-10-01,62308000000.00
2015-11-01,57980000000.00
2015-12-01,64368000000.00
2016-01-01,55863000000.00
2016-02-01,59965000000.00
2016-03-01,68216000000.00
2016-04-01,59338000000.00
2016-05-01,58362000000.00
2016-06-01,65210000000.00
2016-07-01,55300000000.00
2016-08-01,60783000000.00
2016-09-01,64436000000.00
2016-10-01,58856000000.00
2016-11-01,57018000000.00
2016-12-01,63912000000.00
2017-01-01,57217000000.00
2017-02-01,59743000000.00
2017-03-01,70814000000.00
2017-04-01,61376000000.00
2017-05-01,63649000000.00
2017-06-01,69087000000.00
2017-07-01,59115000000.00
2017-08-01,63533000000.00
2017-09-01,71652000000.00
2017-10-01,66453000000.00
2017-11-01,61730000000.00
2017-12-01,69308000000.00
2018-01-01,61498000000.00
2018-02-01,64066000000.00
2018-03-01,73995000000.00
2018-04-01,66749000000.00
2018-05-01,67867000000.00
