Date,CPIEREC
2002-10-01,110.00
2002-11-01,110.00
2002-12-01,110.10
2003-01-01,110.50
2003-02-01,110.90
2003-03-01,111.20
2003-04-01,111.30
2003-05-01,111.40
2003-06-01,111.50
2003-07-01,111.70
2003-08-01,111.70
2003-09-01,111.80
2003-10-01,111.80
2003-11-01,111.90
2003-12-01,111.80
2004-01-01,112.30
2004-02-01,112.90
2004-03-01,113.30
2004-04-01,113.60
2004-05-01,113.40
2004-06-01,113.50
2004-07-01,113.50
2004-08-01,113.40
2004-09-01,113.50
2004-10-01,113.70
2004-11-01,113.70
2004-12-01,113.50
2005-01-01,113.90
2005-02-01,114.10
2005-03-01,114.30
2005-04-01,114.70
2005-05-01,114.90
2005-06-01,114.50
2005-07-01,114.40
2005-08-01,114.80
2005-09-01,115.20
2005-10-01,115.40
2005-11-01,115.30
2005-12-01,115.30
2006-01-01,115.60
2006-02-01,116.00
2006-03-01,116.60
2006-04-01,117.00
2006-05-01,117.20
2006-06-01,117.20
2006-07-01,117.40
2006-08-01,117.40
2006-09-01,117.30
2006-10-01,117.30
2006-11-01,117.20
2006-12-01,116.80
2007-01-01,117.17
2007-02-01,117.17
2007-03-01,117.28
2007-04-01,117.57
2007-05-01,117.68
2007-06-01,117.61
2007-07-01,117.44
2007-08-01,117.28
2007-09-01,117.58
2007-10-01,117.90
2007-11-01,118.23
2007-12-01,118.11
2008-01-01,118.56
2008-02-01,118.93
2008-03-01,119.27
2008-04-01,119.54
2008-05-01,119.60
2008-06-01,119.61
2008-07-01,119.88
2008-08-01,120.52
2008-09-01,120.87
2008-10-01,121.03
2008-11-01,120.95
2008-12-01,120.53
2009-01-01,120.67
2009-02-01,121.47
2009-03-01,121.80
2009-04-01,121.47
2009-05-01,121.63
2009-06-01,122.04
2009-07-01,122.13
2009-08-01,122.35
2009-09-01,122.16
2009-10-01,121.71
2009-11-01,121.56
2009-12-01,121.07
2010-01-01,121.26
2010-02-01,121.41
2010-03-01,121.42
2010-04-01,122.12
2010-05-01,121.93
2010-06-01,122.12
2010-07-01,121.99
2010-08-01,121.78
2010-09-01,121.10
2010-10-01,121.12
2010-11-01,121.02
2010-12-01,120.58
2011-01-01,121.00
2011-02-01,121.72
2011-03-01,121.78
2011-04-01,121.74
2011-05-01,122.15
2011-06-01,122.15
2011-07-01,121.89
2011-08-01,122.11
2011-09-01,122.21
2011-10-01,121.96
2011-11-01,122.17
2011-12-01,122.55
2012-01-01,123.30
2012-02-01,123.45
2012-03-01,123.97
2012-04-01,124.16
2012-05-01,124.22
2012-06-01,124.96
2012-07-01,124.91
2012-08-01,124.93
2012-09-01,125.02
2012-10-01,124.57
2012-11-01,124.56
2012-12-01,124.33
2013-01-01,124.85
2013-02-01,125.52
2013-03-01,125.72
2013-04-01,125.78
2013-05-01,126.08
2013-06-01,125.83
2013-07-01,125.77
2013-08-01,125.75
2013-09-01,125.69
2013-10-01,125.68
2013-11-01,125.70
2013-12-01,125.44
2014-01-01,126.04
2014-02-01,126.45
2014-03-01,126.65
2014-04-01,126.99
2014-05-01,127.13
2014-06-01,127.16
2014-07-01,126.96
2014-08-01,126.42
2014-09-01,126.39
2014-10-01,126.64
2014-11-01,126.35
2014-12-01,126.25
2015-01-01,126.57
2015-02-01,127.02
2015-03-01,127.34
2015-04-01,127.68
2015-05-01,127.69
2015-06-01,127.96
2015-07-01,127.93
2015-08-01,127.59
2015-09-01,127.48
2015-10-01,127.57
2015-11-01,127.36
2015-12-01,127.24
2016-01-01,127.73
2016-02-01,128.46
2016-03-01,129.03
2016-04-01,129.54
2016-05-01,129.60
2016-06-01,129.62
2016-07-01,129.50
2016-08-01,129.40
2016-09-01,129.23
2016-10-01,128.95
2016-11-01,129.19
2016-12-01,129.04
2017-01-01,129.78
2017-02-01,130.93
2017-03-01,131.25
2017-04-01,131.40
2017-05-01,131.44
2017-06-01,131.42
2017-07-01,131.69
2017-08-01,131.79
2017-09-01,131.94
2017-10-01,131.63
2017-11-01,131.65
2017-12-01,131.53
2018-01-01,131.81
2018-02-01,132.44
2018-03-01,132.76
2018-04-01,132.36
2018-05-01,132.29
