Date,U36AVS
1992-01-01,5618000000.00
1992-02-01,7205000000.00
1992-03-01,7446000000.00
1992-04-01,7420000000.00
1992-05-01,8076000000.00
1992-06-01,7692000000.00
1992-07-01,4395000000.00
1992-08-01,7045000000.00
1992-09-01,7058000000.00
1992-10-01,8219000000.00
1992-11-01,7432000000.00
1992-12-01,6427000000.00
1993-01-01,7091000000.00
1993-02-01,8339000000.00
1993-03-01,8231000000.00
1993-04-01,7772000000.00
1993-05-01,8012000000.00
1993-06-01,8015000000.00
1993-07-01,3831000000.00
1993-08-01,6246000000.00
1993-09-01,7399000000.00
1993-10-01,8546000000.00
1993-11-01,8186000000.00
1993-12-01,7267000000.00
1994-01-01,7986000000.00
1994-02-01,9482000000.00
1994-03-01,9215000000.00
1994-04-01,9092000000.00
1994-05-01,9346000000.00
1994-06-01,9653000000.00
1994-07-01,4748000000.00
1994-08-01,8832000000.00
1994-09-01,9194000000.00
1994-10-01,9583000000.00
1994-11-01,9573000000.00
1994-12-01,8560000000.00
1995-01-01,8541000000.00
1995-02-01,10048000000.00
1995-03-01,9796000000.00
1995-04-01,8781000000.00
1995-05-01,8851000000.00
1995-06-01,8877000000.00
1995-07-01,4207000000.00
1995-08-01,7898000000.00
1995-09-01,8999000000.00
1995-10-01,9167000000.00
1995-11-01,8333000000.00
1995-12-01,7236000000.00
1996-01-01,7379000000.00
1996-02-01,8852000000.00
1996-03-01,7817000000.00
1996-04-01,8688000000.00
1996-05-01,8993000000.00
1996-06-01,8521000000.00
1996-07-01,4900000000.00
1996-08-01,7837000000.00
1996-09-01,8895000000.00
1996-10-01,8739000000.00
1996-11-01,8213000000.00
1996-12-01,6425000000.00
1997-01-01,7698000000.00
1997-02-01,8898000000.00
1997-03-01,8228000000.00
1997-04-01,8121000000.00
1997-05-01,7804000000.00
1997-06-01,8120000000.00
1997-07-01,5151000000.00
1997-08-01,7943000000.00
1997-09-01,8179000000.00
1997-10-01,9354000000.00
1997-11-01,8490000000.00
1997-12-01,7380000000.00
1998-01-01,7248000000.00
1998-02-01,9013000000.00
1998-03-01,9280000000.00
1998-04-01,8622000000.00
1998-05-01,8706000000.00
1998-06-01,7312000000.00
1998-07-01,3874000000.00
1998-08-01,8162000000.00
1998-09-01,9006000000.00
1998-10-01,9658000000.00
1998-11-01,8396000000.00
1998-12-01,7431000000.00
1999-01-01,7594000000.00
1999-02-01,9144000000.00
1999-03-01,9429000000.00
1999-04-01,8550000000.00
1999-05-01,8635000000.00
1999-06-01,8738000000.00
1999-07-01,4657000000.00
1999-08-01,8797000000.00
1999-09-01,8895000000.00
1999-10-01,9280000000.00
1999-11-01,8607000000.00
1999-12-01,7477000000.00
2000-01-01,8231000000.00
2000-02-01,9117000000.00
2000-03-01,9817000000.00
2000-04-01,8467000000.00
2000-05-01,8919000000.00
2000-06-01,9536000000.00
2000-07-01,4437000000.00
2000-08-01,7941000000.00
2000-09-01,9267000000.00
2000-10-01,9133000000.00
2000-11-01,7720000000.00
2000-12-01,6175000000.00
2001-01-01,6485000000.00
2001-02-01,7141000000.00
2001-03-01,8540000000.00
2001-04-01,6985000000.00
2001-05-01,8429000000.00
2001-06-01,7998000000.00
2001-07-01,4411000000.00
2001-08-01,8182000000.00
2001-09-01,6828000000.00
2001-10-01,8374000000.00
2001-11-01,7314000000.00
2001-12-01,6359000000.00
2002-01-01,7229000000.00
2002-02-01,7240000000.00
2002-03-01,7542000000.00
2002-04-01,7887000000.00
2002-05-01,8383000000.00
2002-06-01,7726000000.00
2002-07-01,4982000000.00
2002-08-01,8088000000.00
2002-09-01,7464000000.00
2002-10-01,8564000000.00
2002-11-01,7147000000.00
2002-12-01,5875000000.00
2003-01-01,7382000000.00
2003-02-01,7307000000.00
2003-03-01,7922000000.00
2003-04-01,6959000000.00
2003-05-01,7638000000.00
2003-06-01,7375000000.00
2003-07-01,4903000000.00
2003-08-01,6937000000.00
2003-09-01,8036000000.00
2003-10-01,8521000000.00
2003-11-01,6681000000.00
2003-12-01,6575000000.00
2004-01-01,6669000000.00
2004-02-01,7777000000.00
2004-03-01,9103000000.00
2004-04-01,7322000000.00
2004-05-01,7306000000.00
2004-06-01,7946000000.00
2004-07-01,4212000000.00
2004-08-01,7709000000.00
2004-09-01,7875000000.00
2004-10-01,7454000000.00
2004-11-01,6838000000.00
2004-12-01,6636000000.00
2005-01-01,6522000000.00
2005-02-01,7305000000.00
2005-03-01,7694000000.00
2005-04-01,6968000000.00
2005-05-01,7406000000.00
2005-06-01,7908000000.00
2005-07-01,4680000000.00
2005-08-01,8288000000.00
2005-09-01,8400000000.00
2005-10-01,8468000000.00
2005-11-01,7522000000.00
2005-12-01,7205000000.00
2006-01-01,7448000000.00
2006-02-01,8002000000.00
2006-03-01,9821000000.00
2006-04-01,7565000000.00
2006-05-01,9137000000.00
2006-06-01,9243000000.00
2006-07-01,4426000000.00
2006-08-01,8661000000.00
2006-09-01,7628000000.00
2006-10-01,8133000000.00
2006-11-01,7286000000.00
2006-12-01,6879000000.00
2007-01-01,6791000000.00
2007-02-01,6897000000.00
2007-03-01,8122000000.00
2007-04-01,6466000000.00
2007-05-01,7423000000.00
2007-06-01,7482000000.00
2007-07-01,4946000000.00
2007-08-01,8012000000.00
2007-09-01,6970000000.00
2007-10-01,7963000000.00
2007-11-01,7249000000.00
2007-12-01,6407000000.00
2008-01-01,7320000000.00
2008-02-01,7848000000.00
2008-03-01,7209000000.00
2008-04-01,6790000000.00
2008-05-01,7054000000.00
2008-06-01,7328000000.00
2008-07-01,5106000000.00
2008-08-01,7225000000.00
2008-09-01,7297000000.00
2008-10-01,7250000000.00
2008-11-01,5578000000.00
2008-12-01,4836000000.00
2009-01-01,3784000000.00
2009-02-01,3901000000.00
2009-03-01,4117000000.00
2009-04-01,3935000000.00
2009-05-01,3424000000.00
2009-06-01,3884000000.00
2009-07-01,3185000000.00
2009-08-01,4505000000.00
2009-09-01,4773000000.00
2009-10-01,5400000000.00
2009-11-01,4967000000.00
2009-12-01,5147000000.00
