Date,UCMSTI
1992-01-01,36134000000.00
1992-02-01,36806000000.00
1992-03-01,36971000000.00
1992-04-01,37033000000.00
1992-05-01,37313000000.00
1992-06-01,37214000000.00
1992-07-01,37143000000.00
1992-08-01,36898000000.00
1992-09-01,36555000000.00
1992-10-01,36389000000.00
1992-11-01,36183000000.00
1992-12-01,35864000000.00
1993-01-01,36435000000.00
1993-02-01,37011000000.00
1993-03-01,37475000000.00
1993-04-01,37780000000.00
1993-05-01,37641000000.00
1993-06-01,37533000000.00
1993-07-01,37621000000.00
1993-08-01,37541000000.00
1993-09-01,37239000000.00
1993-10-01,37280000000.00
1993-11-01,37344000000.00
1993-12-01,37457000000.00
1994-01-01,38876000000.00
1994-02-01,39707000000.00
1994-03-01,39809000000.00
1994-04-01,39649000000.00
1994-05-01,39553000000.00
1994-06-01,39480000000.00
1994-07-01,39732000000.00
1994-08-01,39631000000.00
1994-09-01,39675000000.00
1994-10-01,39838000000.00
1994-11-01,39838000000.00
1994-12-01,40031000000.00
1995-01-01,41137000000.00
1995-02-01,41920000000.00
1995-03-01,42545000000.00
1995-04-01,43226000000.00
1995-05-01,43565000000.00
1995-06-01,43326000000.00
1995-07-01,43652000000.00
1995-08-01,43259000000.00
1995-09-01,43014000000.00
1995-10-01,42869000000.00
1995-11-01,42882000000.00
1995-12-01,42551000000.00
1996-01-01,43403000000.00
1996-02-01,43833000000.00
1996-03-01,43890000000.00
1996-04-01,43448000000.00
1996-05-01,43309000000.00
1996-06-01,43075000000.00
1996-07-01,43524000000.00
1996-08-01,43565000000.00
1996-09-01,43507000000.00
1996-10-01,43131000000.00
1996-11-01,43628000000.00
1996-12-01,43275000000.00
1997-01-01,44136000000.00
1997-02-01,44797000000.00
1997-03-01,44939000000.00
1997-04-01,45087000000.00
1997-05-01,45135000000.00
1997-06-01,45044000000.00
1997-07-01,45279000000.00
1997-08-01,45100000000.00
1997-09-01,44902000000.00
1997-10-01,44873000000.00
1997-11-01,44983000000.00
1997-12-01,44877000000.00
1998-01-01,45684000000.00
1998-02-01,46227000000.00
1998-03-01,46030000000.00
1998-04-01,46191000000.00
1998-05-01,46256000000.00
1998-06-01,46166000000.00
1998-07-01,46340000000.00
1998-08-01,46420000000.00
1998-09-01,46375000000.00
1998-10-01,46150000000.00
1998-11-01,46285000000.00
1998-12-01,45617000000.00
1999-01-01,46597000000.00
1999-02-01,46982000000.00
1999-03-01,46911000000.00
1999-04-01,46481000000.00
1999-05-01,46713000000.00
1999-06-01,46111000000.00
1999-07-01,46940000000.00
1999-08-01,46917000000.00
1999-09-01,46805000000.00
1999-10-01,47259000000.00
1999-11-01,47589000000.00
1999-12-01,47510000000.00
2000-01-01,48939000000.00
2000-02-01,49652000000.00
2000-03-01,49373000000.00
2000-04-01,49736000000.00
2000-05-01,49729000000.00
2000-06-01,49695000000.00
2000-07-01,50135000000.00
2000-08-01,50082000000.00
2000-09-01,49544000000.00
2000-10-01,49623000000.00
2000-11-01,49765000000.00
2000-12-01,49389000000.00
2001-01-01,50533000000.00
2001-02-01,50833000000.00
2001-03-01,50317000000.00
2001-04-01,50064000000.00
2001-05-01,49773000000.00
2001-06-01,49119000000.00
2001-07-01,49053000000.00
2001-08-01,48466000000.00
2001-09-01,47919000000.00
2001-10-01,47468000000.00
2001-11-01,46697000000.00
2001-12-01,45205000000.00
2002-01-01,46340000000.00
2002-02-01,46600000000.00
2002-03-01,46595000000.00
2002-04-01,46093000000.00
2002-05-01,45630000000.00
2002-06-01,46038000000.00
2002-07-01,46175000000.00
2002-08-01,45973000000.00
2002-09-01,45659000000.00
2002-10-01,45773000000.00
2002-11-01,45705000000.00
2002-12-01,45347000000.00
2003-01-01,46357000000.00
2003-02-01,48953000000.00
2003-03-01,49210000000.00
2003-04-01,48627000000.00
2003-05-01,48186000000.00
2003-06-01,47274000000.00
2003-07-01,46980000000.00
2003-08-01,46350000000.00
2003-09-01,45461000000.00
2003-10-01,45214000000.00
2003-11-01,44851000000.00
2003-12-01,44073000000.00
2004-01-01,45275000000.00
2004-02-01,46625000000.00
2004-03-01,47152000000.00
2004-04-01,47169000000.00
2004-05-01,47789000000.00
2004-06-01,47694000000.00
2004-07-01,48685000000.00
2004-08-01,49289000000.00
2004-09-01,49347000000.00
2004-10-01,49693000000.00
2004-11-01,50115000000.00
2004-12-01,49689000000.00
2005-01-01,51952000000.00
2005-02-01,53968000000.00
2005-03-01,54689000000.00
2005-04-01,54720000000.00
2005-05-01,55022000000.00
2005-06-01,54042000000.00
2005-07-01,54512000000.00
2005-08-01,54209000000.00
2005-09-01,53162000000.00
2005-10-01,53382000000.00
2005-11-01,53384000000.00
2005-12-01,53494000000.00
2006-01-01,55564000000.00
2006-02-01,57092000000.00
2006-03-01,57342000000.00
2006-04-01,57933000000.00
2006-05-01,58550000000.00
2006-06-01,58624000000.00
2006-07-01,59647000000.00
2006-08-01,60412000000.00
2006-09-01,60344000000.00
2006-10-01,60443000000.00
