Date,SUUR0000SAF
1999-12-01,100.00
2000-01-01,100.40
2000-02-01,100.60
2000-03-01,100.70
2000-04-01,100.80
2000-05-01,101.10
2000-06-01,101.10
2000-07-01,101.50
2000-08-01,101.70
2000-09-01,102.00
2000-10-01,102.00
2000-11-01,101.90
2000-12-01,102.40
2001-01-01,102.90
2001-02-01,103.20
2001-03-01,103.40
2001-04-01,103.60
2001-05-01,103.90
2001-06-01,104.10
2001-07-01,104.30
2001-08-01,104.50
2001-09-01,104.60
2001-10-01,105.10
2001-11-01,105.00
2001-12-01,105.00
2002-01-01,105.60
2002-02-01,105.70
2002-03-01,105.80
2002-04-01,105.90
2002-05-01,105.70
2002-06-01,105.60
2002-07-01,105.70
2002-08-01,105.60
2002-09-01,105.90
2002-10-01,105.90
2002-11-01,106.10
2002-12-01,106.30
2003-01-01,106.50
2003-02-01,106.90
2003-03-01,107.00
2003-04-01,106.90
2003-05-01,107.20
2003-06-01,107.60
2003-07-01,107.60
2003-08-01,107.90
2003-09-01,108.10
2003-10-01,108.60
2003-11-01,108.80
2003-12-01,109.50
2004-01-01,109.60
2004-02-01,109.70
2004-03-01,109.90
2004-04-01,110.00
2004-05-01,110.80
2004-06-01,110.90
2004-07-01,111.00
2004-08-01,111.00
2004-09-01,111.00
2004-10-01,111.60
2004-11-01,111.60
2004-12-01,111.70
2005-01-01,112.10
2005-02-01,112.00
2005-03-01,112.20
2005-04-01,112.70
2005-05-01,113.00
2005-06-01,112.70
2005-07-01,112.90
2005-08-01,112.90
2005-09-01,113.30
2005-10-01,113.70
2005-11-01,113.70
2005-12-01,114.00
2006-01-01,114.80
2006-02-01,114.80
2006-03-01,114.80
2006-04-01,114.70
2006-05-01,115.00
2006-06-01,115.20
2006-07-01,115.40
2006-08-01,115.50
2006-09-01,116.00
2006-10-01,116.40
2006-11-01,116.20
2006-12-01,116.30
2007-01-01,117.42
2007-02-01,118.11
2007-03-01,118.37
2007-04-01,118.60
2007-05-01,119.17
2007-06-01,119.47
2007-07-01,119.68
2007-08-01,120.13
2007-09-01,120.70
2007-10-01,121.23
2007-11-01,121.30
2007-12-01,121.48
2008-01-01,122.62
2008-02-01,122.99
2008-03-01,123.11
2008-04-01,124.12
2008-05-01,124.65
2008-06-01,125.21
2008-07-01,126.25
2008-08-01,126.88
2008-09-01,127.63
2008-10-01,128.19
2008-11-01,128.11
2008-12-01,128.11
2009-01-01,128.66
2009-02-01,128.37
2009-03-01,128.00
2009-04-01,127.68
2009-05-01,127.53
2009-06-01,127.43
2009-07-01,127.13
2009-08-01,127.06
2009-09-01,127.01
2009-10-01,127.18
2009-11-01,126.82
2009-12-01,126.97
2010-01-01,127.61
2010-02-01,127.59
2010-03-01,127.73
2010-04-01,127.80
2010-05-01,127.85
2010-06-01,127.66
2010-07-01,127.51
2010-08-01,127.82
2010-09-01,128.29
2010-10-01,128.43
2010-11-01,128.27
2010-12-01,128.47
2011-01-01,129.58
2011-02-01,130.13
2011-03-01,130.98
2011-04-01,131.42
2011-05-01,131.82
2011-06-01,131.97
2011-07-01,132.46
2011-08-01,133.13
2011-09-01,133.71
2011-10-01,133.93
2011-11-01,133.65
2011-12-01,133.81
2012-01-01,134.65
2012-02-01,134.55
2012-03-01,134.70
2012-04-01,134.95
2012-05-01,135.01
2012-06-01,135.14
2012-07-01,135.04
2012-08-01,135.29
2012-09-01,135.42
2012-10-01,135.70
2012-11-01,135.66
2012-12-01,135.89
2013-01-01,136.48
2013-02-01,136.51
2013-03-01,136.57
2013-04-01,136.79
2013-05-01,136.65
2013-06-01,136.67
2013-07-01,136.75
2013-08-01,136.99
2013-09-01,137.04
2013-10-01,137.19
2013-11-01,136.94
2013-12-01,137.05
2014-01-01,137.59
2014-02-01,137.94
2014-03-01,138.42
2014-04-01,138.85
2014-05-01,139.37
2014-06-01,139.22
2014-07-01,139.58
2014-08-01,139.96
2014-09-01,140.40
2014-10-01,140.67
2014-11-01,140.73
2014-12-01,141.04
2015-01-01,141.36
2015-02-01,141.41
2015-03-01,141.18
2015-04-01,141.28
2015-05-01,141.32
2015-06-01,141.32
2015-07-01,141.40
2015-08-01,141.82
2015-09-01,142.49
2015-10-01,142.77
2015-11-01,142.33
2015-12-01,142.06
2016-01-01,142.50
2016-02-01,142.62
2016-03-01,142.19
2016-04-01,142.40
2016-05-01,142.11
2016-06-01,141.80
2016-07-01,141.85
2016-08-01,141.99
2016-09-01,142.14
2016-10-01,142.24
2016-11-01,141.82
2016-12-01,141.76
2017-01-01,142.32
2017-02-01,142.67
2017-03-01,142.86
2017-04-01,143.20
2017-05-01,143.34
2017-06-01,143.02
2017-07-01,143.32
2017-08-01,143.47
2017-09-01,143.78
2017-10-01,144.00
2017-11-01,143.74
2017-12-01,143.93
2018-01-01,144.53
2018-02-01,144.51
2018-03-01,144.57
2018-04-01,145.04
2018-05-01,144.93
