Date,UCNGVS
1992-01-01,63069000000.00
1992-02-01,67035000000.00
1992-03-01,69885000000.00
1992-04-01,67166000000.00
1992-05-01,69758000000.00
1992-06-01,75339000000.00
1992-07-01,68984000000.00
1992-08-01,70759000000.00
1992-09-01,77361000000.00
1992-10-01,72890000000.00
1992-11-01,72618000000.00
1992-12-01,70505000000.00
1993-01-01,66429000000.00
1993-02-01,69598000000.00
1993-03-01,73292000000.00
1993-04-01,68609000000.00
1993-05-01,70310000000.00
1993-06-01,74927000000.00
1993-07-01,68664000000.00
1993-08-01,71799000000.00
1993-09-01,76135000000.00
1993-10-01,73571000000.00
1993-11-01,71140000000.00
1993-12-01,68342000000.00
1994-01-01,65569000000.00
1994-02-01,70064000000.00
1994-03-01,73047000000.00
1994-04-01,68947000000.00
1994-05-01,70858000000.00
1994-06-01,75573000000.00
1994-07-01,70368000000.00
1994-08-01,76196000000.00
1994-09-01,78439000000.00
1994-10-01,76650000000.00
1994-11-01,76271000000.00
1994-12-01,75185000000.00
1995-01-01,70432000000.00
1995-02-01,75144000000.00
1995-03-01,77029000000.00
1995-04-01,75235000000.00
1995-05-01,76840000000.00
1995-06-01,80694000000.00
1995-07-01,75139000000.00
1995-08-01,80453000000.00
1995-09-01,83055000000.00
1995-10-01,81202000000.00
1995-11-01,79393000000.00
1995-12-01,77959000000.00
1996-01-01,72738000000.00
1996-02-01,76075000000.00
1996-03-01,79570000000.00
1996-04-01,77967000000.00
1996-05-01,79652000000.00
1996-06-01,81106000000.00
1996-07-01,78416000000.00
1996-08-01,82772000000.00
1996-09-01,84939000000.00
1996-10-01,86160000000.00
1996-11-01,84272000000.00
1996-12-01,80886000000.00
1997-01-01,78341000000.00
1997-02-01,80559000000.00
1997-03-01,82520000000.00
1997-04-01,80592000000.00
1997-05-01,82612000000.00
1997-06-01,84726000000.00
1997-07-01,81017000000.00
1997-08-01,86032000000.00
1997-09-01,87618000000.00
1997-10-01,87499000000.00
1997-11-01,84929000000.00
1997-12-01,81878000000.00
1998-01-01,77953000000.00
1998-02-01,80197000000.00
1998-03-01,83044000000.00
1998-04-01,80086000000.00
1998-05-01,80667000000.00
1998-06-01,84045000000.00
1998-07-01,78810000000.00
1998-08-01,83561000000.00
1998-09-01,85742000000.00
1998-10-01,83900000000.00
1998-11-01,80881000000.00
1998-12-01,79522000000.00
1999-01-01,75292000000.00
1999-02-01,78561000000.00
1999-03-01,83392000000.00
1999-04-01,80358000000.00
1999-05-01,82112000000.00
1999-06-01,86741000000.00
1999-07-01,81750000000.00
1999-08-01,87715000000.00
1999-09-01,90567000000.00
1999-10-01,89992000000.00
1999-11-01,89083000000.00
1999-12-01,86619000000.00
2000-01-01,82997000000.00
2000-02-01,88133000000.00
2000-03-01,92634000000.00
2000-04-01,89001000000.00
2000-05-01,91940000000.00
2000-06-01,95738000000.00
2000-07-01,89872000000.00
2000-08-01,95943000000.00
2000-09-01,97081000000.00
2000-10-01,96815000000.00
2000-11-01,95911000000.00
2000-12-01,93004000000.00
2001-01-01,90407000000.00
2001-02-01,90338000000.00
2001-03-01,93788000000.00
2001-04-01,90890000000.00
2001-05-01,96338000000.00
2001-06-01,93103000000.00
2001-07-01,88748000000.00
2001-08-01,98283000000.00
2001-09-01,94829000000.00
2001-10-01,95402000000.00
2001-11-01,91373000000.00
2001-12-01,89474000000.00
2002-01-01,85692000000.00
2002-02-01,84576000000.00
2002-03-01,91212000000.00
2002-04-01,87832000000.00
2002-05-01,91850000000.00
2002-06-01,92355000000.00
2002-07-01,87858000000.00
2002-08-01,94674000000.00
2002-09-01,96985000000.00
2002-10-01,97918000000.00
2002-11-01,93856000000.00
2002-12-01,93814000000.00
2003-01-01,90734000000.00
2003-02-01,91112000000.00
2003-03-01,98809000000.00
2003-04-01,92225000000.00
2003-05-01,95409000000.00
2003-06-01,97820000000.00
2003-07-01,97362000000.00
2003-08-01,101300000000.00
2003-09-01,101330000000.00
2003-10-01,103318000000.00
2003-11-01,97927000000.00
2003-12-01,98162000000.00
2004-01-01,94787000000.00
2004-02-01,95556000000.00
2004-03-01,103384000000.00
2004-04-01,101570000000.00
2004-05-01,106744000000.00
2004-06-01,108784000000.00
2004-07-01,105978000000.00
2004-08-01,112967000000.00
2004-09-01,110802000000.00
2004-10-01,116463000000.00
2004-11-01,114526000000.00
2004-12-01,110092000000.00
2005-01-01,107586000000.00
2005-02-01,107578000000.00
2005-03-01,120732000000.00
2005-04-01,117602000000.00
2005-05-01,122890000000.00
2005-06-01,124683000000.00
2005-07-01,122400000000.00
2005-08-01,133957000000.00
2005-09-01,131593000000.00
2005-10-01,131831000000.00
2005-11-01,127073000000.00
2005-12-01,124639000000.00
2006-01-01,122305000000.00
2006-02-01,116397000000.00
2006-03-01,130073000000.00
2006-04-01,127370000000.00
2006-05-01,138731000000.00
2006-06-01,136164000000.00
2006-07-01,134879000000.00
2006-08-01,141666000000.00
2006-09-01,127541000000.00
2006-10-01,128752000000.00
2006-11-01,127099000000.00
2006-12-01,127194000000.00
2007-01-01,121636000000.00
2007-02-01,121234000000.00
2007-03-01,134812000000.00
2007-04-01,133290000000.00
2007-05-01,144882000000.00
2007-06-01,143126000000.00
2007-07-01,141479000000.00
2007-08-01,146074000000.00
2007-09-01,142626000000.00
2007-10-01,151314000000.00
2007-11-01,153636000000.00
2007-12-01,150150000000.00
2008-01-01,146418000000.00
2008-02-01,145453000000.00
2008-03-01,157158000000.00
2008-04-01,164739000000.00
2008-05-01,176759000000.00
2008-06-01,178935000000.00
2008-07-01,180973000000.00
2008-08-01,176137000000.00
2008-09-01,160756000000.00
2008-10-01,153919000000.00
2008-11-01,132116000000.00
2008-12-01,123098000000.00
2009-01-01,119767000000.00
2009-02-01,117632000000.00
2009-03-01,124287000000.00
2009-04-01,123548000000.00
2009-05-01,130263000000.00
2009-06-01,138525000000.00
2009-07-01,132507000000.00
2009-08-01,138393000000.00
2009-09-01,136751000000.00
2009-10-01,141735000000.00
2009-11-01,138084000000.00
2009-12-01,139585000000.00
2010-01-01,132528000000.00
2010-02-01,129324000000.00
2010-03-01,147174000000.00
2010-04-01,143224000000.00
2010-05-01,144834000000.00
2010-06-01,145213000000.00
2010-07-01,142654000000.00
2010-08-01,147839000000.00
2010-09-01,145845000000.00
2010-10-01,150972000000.00
2010-11-01,150972000000.00
2010-12-01,154902000000.00
2011-01-01,151916000000.00
2011-02-01,148538000000.00
2011-03-01,172191000000.00
2011-04-01,171668000000.00
2011-05-01,174671000000.00
2011-06-01,174443000000.00
2011-07-01,171800000000.00
2011-08-01,177619000000.00
2011-09-01,172773000000.00
2011-10-01,173242000000.00
2011-11-01,172008000000.00
2011-12-01,168344000000.00
2012-01-01,162488000000.00
2012-02-01,164631000000.00
2012-03-01,176817000000.00
2012-04-01,170556000000.00
2012-05-01,176975000000.00
2012-06-01,166111000000.00
2012-07-01,169078000000.00
2012-08-01,180145000000.00
2012-09-01,174937000000.00
2012-10-01,181012000000.00
2012-11-01,172111000000.00
2012-12-01,168934000000.00
2013-01-01,167141000000.00
2013-02-01,165345000000.00
2013-03-01,175266000000.00
2013-04-01,170365000000.00
2013-05-01,177805000000.00
2013-06-01,171634000000.00
2013-07-01,178656000000.00
2013-08-01,182442000000.00
2013-09-01,176289000000.00
2013-10-01,180310000000.00
2013-11-01,173316000000.00
2013-12-01,174711000000.00
2014-01-01,169183000000.00
2014-02-01,164754000000.00
2014-03-01,178364000000.00
2014-04-01,179414000000.00
2014-05-01,181693000000.00
2014-06-01,178763000000.00
2014-07-01,176060000000.00
2014-08-01,178787000000.00
2014-09-01,174591000000.00
2014-10-01,172451000000.00
2014-11-01,162214000000.00
2014-12-01,155726000000.00
2015-01-01,142496000000.00
2015-02-01,141993000000.00
2015-03-01,155241000000.00
2015-04-01,153045000000.00
2015-05-01,156766000000.00
2015-06-01,157731000000.00
2015-07-01,152095000000.00
2015-08-01,152052000000.00
2015-09-01,150008000000.00
2015-10-01,150149000000.00
2015-11-01,142666000000.00
2015-12-01,140634000000.00
2016-01-01,129220000000.00
2016-02-01,129999000000.00
2016-03-01,142471000000.00
2016-04-01,138023000000.00
2016-05-01,144962000000.00
2016-06-01,147367000000.00
2016-07-01,139948000000.00
2016-08-01,147331000000.00
2016-09-01,145774000000.00
2016-10-01,147611000000.00
2016-11-01,144580000000.00
2016-12-01,150265000000.00
2017-01-01,144050000000.00
2017-02-01,140105000000.00
2017-03-01,153500000000.00
2017-04-01,149778000000.00
2017-05-01,156008000000.00
2017-06-01,153747000000.00
2017-07-01,151843000000.00
2017-08-01,161156000000.00
2017-09-01,158563000000.00
2017-10-01,163284000000.00
2017-11-01,162633000000.00
2017-12-01,160687000000.00
2018-01-01,158448000000.00
2018-02-01,151835000000.00
2018-03-01,167276000000.00
2018-04-01,164542000000.00
