Date,RTWVDNM684NMFRBDAL
1988-01-01,100.00
1988-02-01,99.88
1988-03-01,97.92
1988-04-01,96.80
1988-05-01,96.78
1988-06-01,97.73
1988-07-01,99.11
1988-08-01,99.50
1988-09-01,100.53
1988-10-01,98.58
1988-11-01,96.36
1988-12-01,95.60
1989-01-01,97.32
1989-02-01,97.73
1989-03-01,99.01
1989-04-01,99.06
1989-05-01,101.45
1989-06-01,103.14
1989-07-01,100.75
1989-08-01,101.41
1989-09-01,102.24
1989-10-01,100.68
1989-11-01,100.54
1989-12-01,99.32
1990-01-01,98.59
1990-02-01,98.48
1990-03-01,99.70
1990-04-01,99.09
1990-05-01,98.14
1990-06-01,98.54
1990-07-01,97.06
1990-08-01,95.77
1990-09-01,95.90
1990-10-01,94.67
1990-11-01,94.09
1990-12-01,94.40
1991-01-01,93.85
1991-02-01,92.91
1991-03-01,95.96
1991-04-01,96.73
1991-05-01,97.10
1991-06-01,98.42
1991-07-01,98.14
1991-08-01,97.18
1991-09-01,96.26
1991-10-01,95.57
1991-11-01,94.33
1991-12-01,93.55
1992-01-01,93.22
1992-02-01,94.25
1992-03-01,95.88
1992-04-01,95.24
1992-05-01,94.34
1992-06-01,93.39
1992-07-01,92.31
1992-08-01,91.91
1992-09-01,91.95
1992-10-01,93.55
1992-11-01,96.15
1992-12-01,96.05
1993-01-01,96.55
1993-02-01,96.40
1993-03-01,95.57
1993-04-01,93.73
1993-05-01,93.51
1993-06-01,93.47
1993-07-01,93.93
1993-08-01,93.35
1993-09-01,92.70
1993-10-01,93.31
1993-11-01,94.08
1993-12-01,93.70
1994-01-01,94.48
1994-02-01,93.68
1994-03-01,94.24
1994-04-01,94.40
1994-05-01,93.70
1994-06-01,93.63
1994-07-01,92.77
1994-08-01,92.70
1994-09-01,92.10
1994-10-01,91.45
1994-11-01,91.60
1994-12-01,94.22
1995-01-01,97.05
1995-02-01,96.46
1995-03-01,95.80
1995-04-01,92.34
1995-05-01,91.36
1995-06-01,91.32
1995-07-01,90.71
1995-08-01,92.02
1995-09-01,92.60
1995-10-01,92.70
1995-11-01,94.12
1995-12-01,94.21
1996-01-01,94.42
1996-02-01,93.89
1996-03-01,94.00
1996-04-01,93.72
1996-05-01,93.62
1996-06-01,94.07
1996-07-01,94.31
1996-08-01,93.69
1996-09-01,94.26
1996-10-01,94.87
1996-11-01,94.86
1996-12-01,95.06
1997-01-01,94.84
1997-02-01,95.36
1997-03-01,95.66
1997-04-01,96.08
1997-05-01,95.68
1997-06-01,95.16
1997-07-01,97.83
1997-08-01,101.43
1997-09-01,107.30
1997-10-01,111.90
1997-11-01,114.34
1997-12-01,124.96
1998-01-01,137.22
1998-02-01,129.42
1998-03-01,124.71
1998-04-01,121.85
1998-05-01,122.87
1998-06-01,124.85
1998-07-01,125.14
1998-08-01,126.89
1998-09-01,127.96
1998-10-01,125.63
1998-11-01,120.33
1998-12-01,117.49
1999-01-01,115.25
1999-02-01,116.04
1999-03-01,118.18
1999-04-01,117.57
1999-05-01,116.89
1999-06-01,116.39
1999-07-01,117.51
1999-08-01,118.28
1999-09-01,119.33
1999-10-01,119.51
1999-11-01,118.93
1999-12-01,117.85
2000-01-01,117.46
2000-02-01,118.16
2000-03-01,118.97
2000-04-01,119.04
2000-05-01,120.73
2000-06-01,120.90
2000-07-01,121.68
2000-08-01,121.82
2000-09-01,122.72
2000-10-01,124.96
2000-11-01,126.32
2000-12-01,127.09
2001-01-01,128.01
2001-02-01,127.11
2001-03-01,128.42
2001-04-01,129.98
2001-05-01,130.15
2001-06-01,131.23
2001-07-01,131.95
2001-08-01,129.84
2001-09-01,130.00
2001-10-01,130.22
2001-11-01,130.27
2001-12-01,129.75
2002-01-01,130.42
2002-02-01,130.92
2002-03-01,130.96
2002-04-01,130.94
2002-05-01,129.21
2002-06-01,128.26
2002-07-01,126.72
2002-08-01,128.08
2002-09-01,129.02
2002-10-01,130.23
2002-11-01,129.23
2002-12-01,128.41
2003-01-01,127.53
2003-02-01,128.93
2003-03-01,130.29
2003-04-01,128.34
2003-05-01,125.87
