Date,RTWVDNJ684NMFRBDAL
1988-01-01,100.00
1988-02-01,100.62
1988-03-01,99.19
1988-04-01,98.14
1988-05-01,98.38
1988-06-01,99.79
1988-07-01,102.08
1988-08-01,103.20
1988-09-01,103.33
1988-10-01,101.07
1988-11-01,98.42
1988-12-01,97.75
1989-01-01,99.51
1989-02-01,99.77
1989-03-01,102.04
1989-04-01,101.83
1989-05-01,104.10
1989-06-01,105.79
1989-07-01,103.32
1989-08-01,103.84
1989-09-01,104.50
1989-10-01,102.61
1989-11-01,102.29
1989-12-01,100.49
1990-01-01,99.92
1990-02-01,99.96
1990-03-01,101.02
1990-04-01,100.00
1990-05-01,99.08
1990-06-01,99.63
1990-07-01,97.83
1990-08-01,96.16
1990-09-01,96.12
1990-10-01,94.43
1990-11-01,93.77
1990-12-01,94.41
1991-01-01,93.91
1991-02-01,92.90
1991-03-01,96.35
1991-04-01,97.60
1991-05-01,97.96
1991-06-01,99.28
1991-07-01,99.03
1991-08-01,97.86
1991-09-01,96.70
1991-10-01,96.17
1991-11-01,94.54
1991-12-01,93.74
1992-01-01,93.73
1992-02-01,95.20
1992-03-01,96.93
1992-04-01,96.19
1992-05-01,95.66
1992-06-01,94.66
1992-07-01,92.95
1992-08-01,92.33
1992-09-01,93.40
1992-10-01,95.78
1992-11-01,99.09
1992-12-01,99.08
1993-01-01,100.11
1993-02-01,100.50
1993-03-01,99.91
1993-04-01,98.29
1993-05-01,98.34
1993-06-01,99.16
1993-07-01,100.14
1993-08-01,100.36
1993-09-01,99.40
1993-10-01,99.97
1993-11-01,100.74
1993-12-01,100.71
1994-01-01,101.20
1994-02-01,101.75
1994-03-01,102.24
1994-04-01,103.37
1994-05-01,102.41
1994-06-01,101.42
1994-07-01,100.16
1994-08-01,99.84
1994-09-01,98.71
1994-10-01,97.68
1994-11-01,97.99
1994-12-01,99.47
1995-01-01,100.11
1995-02-01,99.35
1995-03-01,98.12
1995-04-01,95.60
1995-05-01,95.26
1995-06-01,95.30
1995-07-01,94.72
1995-08-01,96.26
1995-09-01,96.73
1995-10-01,96.30
1995-11-01,96.79
1995-12-01,97.66
1996-01-01,98.52
1996-02-01,98.50
1996-03-01,98.48
1996-04-01,98.82
1996-05-01,99.40
1996-06-01,99.40
1996-07-01,99.14
1996-08-01,98.59
1996-09-01,99.05
1996-10-01,99.31
1996-11-01,98.66
1996-12-01,99.65
1997-01-01,100.54
1997-02-01,102.35
1997-03-01,103.36
1997-04-01,103.89
1997-05-01,102.78
1997-06-01,102.88
1997-07-01,103.67
1997-08-01,105.05
1997-09-01,104.46
1997-10-01,104.23
1997-11-01,105.28
1997-12-01,107.85
1998-01-01,109.40
1998-02-01,108.85
